period,variant,spread_atr_bucket,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,v4_micro_or_candle_lower_tf_sl_1_3R,normal_0.05-0.10,45,24,21,53.33,406.54,1.409,9.03,0.234,246.24,2.43,5,-246.24,61.87,344.67,7.23,399.31,97.78,53.33,2.203,2.864,0.0763,0.4851,57.7,2.241,0.098,0.23
2024,v4_without_weak_lower_tf_sl_1_3R,blocked_0.20+,2,1,1,50.0,-44.57,0.137,-22.28,0.153,51.63,0.52,1,-51.63,-51.63,7.06,7.06,-51.63,50.0,50.0,2.19,2.847,0.2,0.3633,42.12,3.13,0.29,0.37
2024,v4_without_weak_lower_tf_sl_1_3R,high_0.10-0.20,223,88,135,39.46,-1220.71,0.809,-5.47,-0.091,1325.14,13.15,9,-410.89,-535.59,-685.12,152.56,-1373.27,54.71,47.98,2.298,2.987,0.1547,0.4833,56.24,2.314,0.234,0.95
2024,v4_without_weak_lower_tf_sl_1_3R,low_<0.05,4,2,2,50.0,27.5,1.309,6.88,0.154,89.06,0.89,2,-89.06,0,27.5,-26.41,53.91,100.0,75.0,2.23,2.899,0.0399,0.6195,59.39,2.152,0.048,0.07
2024,v4_without_weak_lower_tf_sl_1_3R,normal_0.05-0.10,56,28,28,50.0,325.9,1.258,5.82,0.15,235.31,2.33,5,-235.31,135.71,190.19,20.25,305.65,92.86,42.86,2.173,2.825,0.078,0.4859,57.21,2.165,0.099,0.22
2025,current_thirdwave_current_sl_1_5R,high_0.10-0.20,113,43,70,38.05,-271.02,0.922,-2.4,-0.025,1011.82,9.52,10,-491.85,-360.04,89.02,-564.4,293.38,47.79,56.64,3.162,4.743,0.1488,0.4534,55.21,3.01,0.169,0.8
2025,current_thirdwave_current_sl_1_5R,low_<0.05,49,25,24,51.02,548.56,1.54,11.2,0.277,235.2,2.19,5,-210.81,0,548.56,258.86,289.7,100.0,63.27,3.052,4.579,0.0378,0.5603,55.35,2.96,0.03,0.06
2025,current_thirdwave_current_sl_1_5R,normal_0.05-0.10,107,38,69,35.51,-709.52,0.782,-6.63,-0.124,930.88,9.2,10,-444.62,-50.78,-658.74,-244.98,-464.54,94.39,60.75,3.167,4.751,0.0745,0.453,55.07,3.065,0.069,0.27
2025,v4_micro_or_candle_lower_tf_sl_1_2R,high_0.10-0.20,143,69,74,48.25,429.88,1.116,3.01,0.079,470.78,4.58,8,-406.41,-50.56,480.44,676.19,-246.31,40.56,48.25,2.314,2.776,0.1527,0.447,55.94,2.285,0.265,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_2R,low_<0.05,69,33,36,47.83,98.96,1.058,1.43,0.065,503.9,4.88,4,-196.4,0,98.96,145.14,-46.18,100.0,63.77,2.276,2.731,0.0378,0.5604,55.44,2.237,0.046,0.11
2025,v4_micro_or_candle_lower_tf_sl_1_2R,normal_0.05-0.10,125,61,64,48.8,314.77,1.099,2.52,0.065,385.75,3.82,4,-197.78,-32.6,347.37,567.9,-253.13,96.0,60.0,2.496,2.995,0.0714,0.449,54.92,2.488,0.084,0.23
2025,v4_micro_or_candle_lower_tf_sl_1_3R,high_0.10-0.20,141,63,78,44.68,219.29,1.057,1.56,0.048,631.59,6.17,9,-451.68,-265.47,484.76,536.98,-317.69,40.43,47.52,2.302,2.993,0.1525,0.4488,55.96,2.275,0.262,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_3R,low_<0.05,69,32,37,46.38,147.59,1.085,2.14,0.076,430.31,4.15,6,-314.24,0,147.59,134.42,13.17,100.0,63.77,2.278,2.961,0.0378,0.5596,55.82,2.238,0.045,0.11
2025,v4_micro_or_candle_lower_tf_sl_1_3R,normal_0.05-0.10,125,59,66,47.2,357.97,1.111,2.86,0.078,446.31,4.42,6,-305.78,-19.19,377.16,603.86,-245.89,96.0,60.0,2.496,3.244,0.0714,0.449,54.92,2.488,0.082,0.22
2025,v4_without_weak_lower_tf_sl_1_3R,high_0.10-0.20,175,76,99,43.43,191.17,1.039,1.09,0.037,886.02,8.69,9,-443.59,-399.15,590.32,529.06,-337.89,35.43,38.29,2.282,2.966,0.1543,0.4392,55.87,2.198,0.264,0.85
2025,v4_without_weak_lower_tf_sl_1_3R,low_<0.05,73,36,37,49.32,384.48,1.218,5.27,0.143,325.48,3.08,6,-325.48,0,384.48,114.57,269.91,100.0,60.27,2.306,2.998,0.0384,0.5276,54.99,2.165,0.047,0.15
2025,v4_without_weak_lower_tf_sl_1_3R,normal_0.05-0.10,140,67,73,47.86,542.7,1.151,3.88,0.096,296.23,2.94,6,-296.23,-121.48,664.18,623.65,-80.95,95.0,53.57,2.467,3.207,0.0709,0.4291,55.31,2.44,0.085,0.26
2026YTD,current_thirdwave_current_sl_1_5R,high_0.10-0.20,12,4,8,33.33,-95.3,0.765,-7.94,-0.16,117.96,1.18,2,-101.21,9.64,-104.94,-49.77,-45.53,16.67,8.33,2.618,3.926,0.1545,0.4584,63.24,2.46,0.213,0.44
2026YTD,current_thirdwave_current_sl_1_5R,low_<0.05,57,25,32,43.86,509.2,1.354,8.93,0.124,250.43,2.4,4,-176.67,0,509.2,66.36,442.84,100.0,43.86,2.986,4.48,0.032,0.4611,55.29,2.889,0.025,0.07
2026YTD,current_thirdwave_current_sl_1_5R,normal_0.05-0.10,26,15,11,57.69,451.85,1.741,17.38,0.391,160.71,1.53,3,-160.71,0,451.85,87.41,364.44,100.0,42.31,2.951,4.426,0.0658,0.3582,61.22,2.842,0.048,0.11
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,high_0.10-0.20,22,11,11,50.0,142.11,1.242,6.46,0.12,367.57,3.5,7,-367.57,340.09,-197.98,-269.09,411.2,18.18,31.82,2.368,2.842,0.1575,0.4451,56.19,2.11,0.262,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,low_<0.05,69,35,34,50.72,536.2,1.318,7.77,0.146,429.46,3.94,5,-246.51,0,536.2,154.01,382.19,100.0,36.23,2.371,2.845,0.0299,0.402,56.99,2.403,0.028,0.1
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,normal_0.05-0.10,31,17,14,54.84,243.35,1.314,7.85,0.167,208.14,2.01,4,-208.14,66.09,177.26,96.35,147.0,96.77,38.71,2.465,2.957,0.0673,0.4081,57.04,2.604,0.059,0.13
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,high_0.10-0.20,22,10,12,45.45,64.37,1.1,2.93,0.057,367.57,3.52,7,-367.57,262.35,-197.98,-263.35,327.72,18.18,31.82,2.368,3.079,0.1575,0.4451,56.19,2.11,0.263,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,low_<0.05,68,33,35,48.53,571.7,1.338,8.41,0.142,525.07,4.76,5,-238.71,0,571.7,200.04,371.66,100.0,36.76,2.341,3.043,0.0296,0.4004,57.05,2.357,0.028,0.1
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,normal_0.05-0.10,32,16,16,50.0,148.77,1.169,4.65,0.107,251.32,2.45,4,-202.57,71.69,77.08,-4.36,153.13,96.88,37.5,2.461,3.2,0.0672,0.4147,57.73,2.592,0.058,0.13
2026YTD,v4_without_weak_lower_tf_sl_1_3R,high_0.10-0.20,29,12,17,41.38,-55.19,0.939,-1.9,-0.04,421.01,4.06,8,-421.01,148.44,-203.63,-259.79,204.6,13.79,24.14,2.263,2.942,0.1652,0.4393,54.9,2.056,0.299,1.0
2026YTD,v4_without_weak_lower_tf_sl_1_3R,low_<0.05,84,40,44,47.62,553.26,1.267,6.59,0.101,439.42,4.02,4,-163.26,0,553.26,199.45,353.81,100.0,29.76,2.34,3.042,0.0307,0.3872,56.82,2.364,0.029,0.11
2026YTD,v4_without_weak_lower_tf_sl_1_3R,normal_0.05-0.10,34,17,17,50.0,176.82,1.197,5.2,0.11,202.57,1.97,4,-202.57,67.7,109.12,18.57,158.25,97.06,35.29,2.435,3.166,0.0665,0.4184,55.2,2.518,0.057,0.13
