variant,reward_r,wave_audit_label,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_micro_or_candle,1.2,late_entry,4,4,2,2,50.0,15.37,1.158,3.84,0.1,97.47,0.97,50.0,50.0,0,0,0,0,0.92,1.052,11342750000.0,13611300000.0,0.092
v4_micro_or_candle,1.2,third_wave_initial,6,6,4,2,66.67,136.25,2.311,22.71,0.467,54.32,0.53,66.67,33.33,0,0,0,0,0.652,1.341,2386833333.333,2864200000.0,0.382
v4_micro_or_candle,1.2,third_wave_middle,6,6,5,1,83.33,276.88,8.143,46.15,0.833,38.76,0.39,83.33,16.67,0,0,0,0,0.608,1.303,3793915000.0,4552698000.0,0.273
v4_micro_or_candle,1.2,unclear,4,4,3,1,75.0,140.26,3.972,35.06,0.65,47.2,0.47,75.0,25.0,0,0,0,0,0.446,1.014,3119750000.0,3743700000.0,0.145
v4_micro_or_candle,1.3,chasing_entry,122,122,62,60,50.82,1303.96,1.45,10.69,0.169,441.87,3.76,50.82,49.18,0,0,0,0,0.779,1.061,17459842049.18,22697794663.934,0.1
v4_micro_or_candle,1.3,late_entry,4,4,2,2,50.0,24.77,1.254,6.19,0.15,97.47,0.97,50.0,50.0,0,0,0,0,0.92,1.17,11342750000.0,14745575000.0,0.092
v4_micro_or_candle,1.3,third_wave_initial,6,6,4,2,66.67,156.26,2.503,26.04,0.533,54.32,0.53,66.67,33.33,0,0,0,0,0.652,1.439,2386833333.333,3102883333.333,0.382
v4_micro_or_candle,1.3,third_wave_middle,6,6,5,1,83.33,303.2,8.822,50.53,0.917,38.76,0.39,83.33,16.67,0,0,0,0,0.608,1.458,3793915000.0,4932089500.0,0.273
v4_micro_or_candle,1.3,unclear,4,4,2,2,50.0,40.88,1.421,10.22,0.15,97.2,0.97,50.0,50.0,0,0,0,0,0.766,1.08,3119750000.0,4055675000.0,0.145
v4_micro_or_candle,1.5,chasing_entry,122,122,58,64,47.54,1472.53,1.477,12.07,0.189,403.9,3.41,47.54,52.46,0,0,0,0,0.81,1.143,17459842049.18,26189763073.771,0.1
v4_micro_or_candle,1.5,late_entry,4,4,2,2,50.0,43.57,1.447,10.89,0.25,97.47,0.97,50.0,50.0,0,0,0,0,0.92,1.269,11342750000.0,17014125000.0,0.092
v4_micro_or_candle,1.5,third_wave_initial,6,6,4,2,66.67,196.31,2.888,32.72,0.667,54.32,0.53,66.67,33.33,0,0,0,0,0.652,1.439,2386833333.333,3580250000.0,0.382
v4_micro_or_candle,1.5,third_wave_middle,6,6,4,2,66.67,226.27,3.498,37.71,0.667,90.57,0.9,66.67,33.33,0,0,0,0,0.638,1.52,3793915000.0,5690872500.0,0.273
v4_micro_or_candle,1.5,unclear,4,4,2,2,50.0,62.12,1.639,15.53,0.25,97.2,0.97,50.0,50.0,0,0,0,0,0.766,1.174,3119750000.0,4679625000.0,0.145
v4_without_weak_signals,1.2,chasing_entry,144,144,76,68,52.78,1417.93,1.421,9.85,0.161,431.43,3.67,52.78,46.53,0,0,0,0,0.766,0.992,16882927430.556,20259512916.667,0.117
v4_without_weak_signals,1.2,late_entry,7,7,4,3,57.14,79.75,1.551,11.39,0.257,97.47,0.97,57.14,42.86,0,0,0,0,0.827,1.131,15196428571.429,18235714285.714,0.077
v4_without_weak_signals,1.2,third_wave_initial,6,6,4,2,66.67,135.08,2.299,22.51,0.467,54.32,0.53,66.67,33.33,0,0,0,0,0.652,1.341,2386833333.333,2864200000.0,0.38
v4_without_weak_signals,1.2,third_wave_middle,6,6,5,1,83.33,269.67,7.957,44.94,0.833,38.76,0.39,83.33,16.67,0,0,0,0,0.58,1.397,5003915000.0,6004698000.0,0.257
v4_without_weak_signals,1.2,unclear,3,3,1,2,33.33,-36.78,0.62,-12.26,-0.267,96.78,0.96,33.33,66.67,0,0,0,0,0.73,0.554,2290000000.0,2748000000.0,0.283
