period,variant,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,largest_direction_share_pct,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,avg_lot_size,max_lot_size,avg_risk_amount,elapsed_seconds,csv_bytes
2025-08,v4_micro_or_candle_lower_tf_sl_1_3R,24,12,12,50.0,169.31,1.283,7.05,0.162,152.57,1.49,3,-152.57,-140.35,309.66,199.72,-30.41,79.17,50.0,384.2,2.225,499.4,2.893,0.202,0.6,48.65,73.0,733656
2025-08,v4_micro_or_candle_lower_tf_sl_1_5R,23,10,13,43.48,75.21,1.117,3.27,0.091,295.17,2.89,6,-295.17,-78.17,153.38,255.72,-180.51,82.61,52.17,388.7,2.162,583.0,3.243,0.198,0.59,48.09,72.9,731943
2025-08,v4_without_weak_lower_tf_sl_1_2R,28,16,12,57.14,368.05,1.607,13.14,0.277,152.54,1.46,3,-152.54,-145.85,513.9,220.88,147.17,82.14,53.57,369.1,2.187,443.0,2.625,0.194,0.49,49.6,73.0,815168
2025-08,v4_without_weak_lower_tf_sl_1_3R,26,14,12,53.85,304.45,1.503,11.71,0.25,152.54,1.47,3,-152.54,-142.51,446.96,205.33,99.12,80.77,53.85,375.5,2.188,488.2,2.845,0.196,0.49,49.41,73.0,811789
2025-10,current_thirdwave_current_sl_1_5R,20,11,9,55.0,345.18,1.823,17.26,0.378,176.76,1.75,3,-148.92,52.5,292.68,236.4,108.78,80.0,75.0,1170.7,3.544,1756.0,5.315,0.086,0.35,46.05,83.0,705746
2025-10,v4_micro_or_candle_current_sl_1_5R,25,12,13,48.0,229.65,1.386,9.19,0.198,139.18,1.39,3,-139.18,65.97,163.68,290.07,-60.42,76.0,76.0,848.8,2.533,1273.1,3.8,0.118,0.45,45.37,73.1,851154
2025-10,v4_micro_or_candle_lower_tf_sl_1_2R,23,12,11,52.17,190.05,1.399,8.26,0.147,151.81,1.5,3,-135.84,133.33,56.72,168.76,21.29,73.91,73.91,936.8,2.678,1124.1,3.214,0.126,0.59,44.57,73.1,823567
2025-10,v4_micro_or_candle_lower_tf_sl_1_3R,23,12,11,52.17,248.06,1.52,10.79,0.201,141.95,1.4,3,-135.84,150.44,97.62,213.42,34.64,73.91,73.91,936.8,2.678,1217.8,3.482,0.126,0.59,44.61,73.0,823652
2025-10,v4_micro_or_candle_lower_tf_sl_1_5R,23,11,12,47.83,254.65,1.487,11.07,0.198,148.01,1.46,3,-135.84,194.05,60.6,190.15,64.5,73.91,73.91,936.8,2.678,1405.2,4.017,0.126,0.59,44.91,73.1,823554
2025-10,v4_without_weak_lower_tf_sl_1_2R,27,14,13,51.85,210.46,1.364,7.79,0.147,151.81,1.5,3,-135.84,31.36,179.1,168.76,41.7,70.37,62.96,887.9,2.635,1065.5,3.162,0.137,0.59,45.19,73.0,931633
2025-10,v4_without_weak_lower_tf_sl_1_3R,27,14,13,51.85,270.94,1.469,10.03,0.195,141.95,1.4,3,-135.84,46.8,224.14,213.42,57.52,70.37,62.96,887.9,2.635,1154.3,3.426,0.137,0.59,45.22,73.0,931687
2026-Q1,current_thirdwave_current_sl_1_5R,60,27,33,45.0,610.21,1.402,10.17,0.154,278.5,2.65,6,-277.88,9.64,600.57,87.84,522.37,83.33,51.67,2446.2,3.02,3669.3,4.531,0.061,0.44,47.85,195.1,2050024
2026-Q1,v4_micro_or_candle_current_sl_1_5R,73,35,38,47.95,1156.36,1.61,15.84,0.21,483.84,4.19,10,-465.8,131.18,1025.18,143.6,1012.76,79.45,60.27,2614.3,2.363,3921.5,3.545,0.083,0.66,53.04,184.9,2366035
2026-Q1,v4_micro_or_candle_lower_tf_sl_1_2R,68,41,27,60.29,1297.92,1.978,19.09,0.361,367.63,3.22,5,-232.91,542.19,755.73,272.13,1025.79,79.41,63.24,2356.8,2.325,2828.2,2.79,0.08,0.61,50.16,174.8,2263191
2026-Q1,v4_micro_or_candle_lower_tf_sl_1_3R,67,39,28,58.21,1324.74,1.962,19.77,0.369,377.82,3.27,5,-247.04,470.05,854.69,321.72,1003.02,79.1,62.69,2338.9,2.324,3040.6,3.021,0.081,0.61,50.29,174.8,2261524
2026-Q1,v4_micro_or_candle_lower_tf_sl_1_5R,66,32,34,48.48,840.35,1.518,12.73,0.236,410.15,3.67,6,-313.98,-76.38,916.73,224.31,616.04,78.79,63.64,2362.1,2.332,3543.1,3.499,0.079,0.58,48.36,174.8,2259895
2026-Q1,v4_without_weak_lower_tf_sl_1_2R,85,47,38,55.29,1175.73,1.643,13.83,0.228,413.37,3.64,5,-232.91,337.91,837.82,272.13,903.6,76.47,70.59,2277.6,2.289,2733.1,2.747,0.098,1.0,50.17,184.8,2606525
2026-Q1,v4_without_weak_lower_tf_sl_1_3R,83,45,38,54.22,1200.11,1.655,14.46,0.257,398.73,3.51,5,-232.93,399.94,800.17,329.23,870.88,75.9,69.88,2194.1,2.295,2852.4,2.984,0.099,1.0,49.55,185.0,2603128
ALL_SHORT_WINDOWS,current_thirdwave_current_sl_1_5R,109,53,56,48.62,1288.96,1.491,11.83,0.224,278.5,2.49,6,-277.88,241.33,1047.63,490.72,798.24,83.49,55.05,1719.7,3.147,2579.6,4.72,0.084,0.8,47.47,,
ALL_SHORT_WINDOWS,v4_micro_or_candle_current_sl_1_5R,142,67,75,47.18,1643.28,1.447,11.57,0.185,483.84,4.02,10,-465.8,136.48,1506.8,516.77,1126.51,77.46,50.0,1625.4,2.377,2438.0,3.566,0.12,0.82,50.19,,
ALL_SHORT_WINDOWS,v4_micro_or_candle_lower_tf_sl_1_2R,131,76,55,58.02,1966.47,1.741,15.01,0.296,367.63,3.05,5,-232.91,549.08,1417.39,726.57,1239.9,77.86,51.15,1518.5,2.374,1822.3,2.849,0.119,0.61,48.6,,
ALL_SHORT_WINDOWS,v4_micro_or_candle_lower_tf_sl_1_3R,129,71,58,55.04,1868.66,1.667,14.49,0.285,377.82,3.12,5,-247.04,394.69,1473.97,714.11,1154.55,77.52,51.16,1512.3,2.376,1966.1,3.089,0.119,0.61,48.63,,
ALL_SHORT_WINDOWS,v4_micro_or_candle_lower_tf_sl_1_5R,127,60,67,47.24,1274.4,1.402,10.03,0.195,410.15,3.53,6,-295.17,-36.33,1310.73,592.49,681.91,77.95,51.18,1527.6,2.371,2291.4,3.556,0.116,0.59,47.48,,
ALL_SHORT_WINDOWS,v4_without_weak_lower_tf_sl_1_2R,158,88,70,55.7,2027.49,1.603,12.83,0.237,413.37,3.39,5,-232.91,201.7,1825.79,731.82,1295.67,74.68,59.49,1495.0,2.322,1794.0,2.787,0.132,1.0,48.96,,
ALL_SHORT_WINDOWS,v4_without_weak_lower_tf_sl_1_3R,154,83,71,53.9,2001.93,1.585,13.0,0.248,398.73,3.28,5,-232.93,301.83,1700.1,741.07,1260.86,74.03,59.09,1455.5,2.328,1892.2,3.026,0.133,1.0,48.65,,
