variant,sl_mode,session,month,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_micro_or_candle,CURRENT_SL,server_08_15,2025-08,18,18,13,5,72.22,582.33,3.317,32.35,0.678,151.35,1.41,72.22,27.78,0,0,0,0,0.679,1.249,2729166666.667,3638888888.889,0.207
v4_micro_or_candle,CURRENT_SL,server_08_15,2025-10,30,30,14,16,46.67,131.4,1.184,4.38,0.083,421.98,4.22,46.67,53.33,0,0,0,0,0.751,0.827,8516100000.0,11354800000.0,0.096
v4_micro_or_candle,CURRENT_SL,server_08_15,2026-01,42,42,31,11,73.81,1643.03,4.351,39.12,0.714,177.81,1.63,73.81,26.19,0,0,0,0,0.721,1.438,16844612142.857,22459482857.143,0.123
v4_micro_or_candle,CURRENT_SL,server_08_15,2026-02,21,21,3,18,14.29,-819.81,0.207,-39.04,-0.667,819.81,8.2,14.29,85.71,0,0,0,0,1.227,0.524,24489115714.286,32652154285.714,0.051
v4_micro_or_candle,CURRENT_SL,server_08_15,2026-03,18,18,7,11,38.89,-191.81,0.705,-10.66,-0.1,425.58,4.16,38.89,61.11,0,0,0,0,0.926,0.843,29180653333.333,38907537777.778,0.115
v4_micro_or_candle,CURRENT_SL,server_16_23,2025-02,27,27,17,10,62.96,585.78,2.207,21.7,0.463,283.41,2.71,62.96,37.04,0,0,0,0,0.591,1.343,3119888888.889,4159851851.852,0.173
v4_micro_or_candle,CURRENT_SL,server_16_23,2025-08,33,33,18,15,54.55,422.76,1.589,12.81,0.273,417.66,3.94,54.55,45.45,0,0,0,0,0.714,1.138,4343727272.727,5791636363.636,0.201
v4_micro_or_candle,CURRENT_SL,server_16_23,2025-10,27,27,18,9,66.67,645.83,2.473,23.92,0.556,148.68,1.45,66.67,33.33,0,0,0,0,0.752,1.357,5270111111.111,7026814814.815,0.183
v4_micro_or_candle,CURRENT_SL,server_16_23,2026-01,18,18,12,6,66.67,958.29,4.858,53.24,0.556,248.4,2.44,66.67,33.33,0,0,0,0,0.541,1.541,45173333333.333,60231111111.111,0.023
v4_micro_or_candle,CURRENT_SL,server_16_23,2026-02,39,39,23,16,58.97,983.12,2.493,25.21,0.372,515.37,4.48,58.97,41.03,0,0,0,0,0.697,0.99,23971384615.385,31961846153.846,0.082
v4_micro_or_candle,CURRENT_SL,server_16_23,2026-03,18,18,10,8,55.56,302.56,1.755,16.81,0.289,204.7,2.0,55.56,44.44,0,0,0,0,0.632,1.122,12945710000.0,17260946666.666,0.232
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_00_07,2025-02,12,9,5,4,55.56,94.87,1.5,10.54,0.278,189.66,1.84,41.67,33.33,0,3,0,0,0.59,1.08,4986666666.666,6648888888.889,0.212
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_00_07,2025-08,27,24,5,19,20.83,-528.99,0.375,-22.04,-0.448,576.81,5.74,18.52,59.26,0,3,0,0,0.865,0.749,2854875000.0,3806500000.0,0.199
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_00_07,2025-10,18,18,6,12,33.33,-172.6,0.675,-9.59,-0.222,394.65,3.86,33.33,66.67,0,0,0,0,0.798,0.708,10727833333.333,14303777777.778,0.06
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_00_07,2026-01,12,6,0,6,0.0,-375.54,0.0,-62.59,-1.0,375.54,3.76,0.0,50.0,0,0,6,0,1.132,0.843,37321145000.0,49761526666.667,0.115
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_00_07,2026-02,24,21,12,9,57.14,861.98,3.277,41.05,0.333,267.54,2.4,50.0,37.5,0,0,3,0,0.91,1.085,38738571428.571,51651428571.429,0.023
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_00_07,2026-03,27,24,17,7,70.83,812.58,3.999,33.86,0.621,113.64,1.12,51.85,25.93,0,0,3,0,0.609,1.232,20542500000.0,27390000000.0,0.03
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_08_15,2025-02,15,12,7,5,58.33,179.57,1.717,14.96,0.35,149.7,1.47,46.67,33.33,0,0,0,3,0.915,1.481,5235000000.0,6980000000.0,0.097
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_08_15,2025-08,18,18,13,5,72.22,582.33,3.317,32.35,0.678,151.35,1.41,72.22,27.78,0,0,0,0,0.674,1.262,2757500000.0,3676666666.666,0.204
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_08_15,2025-10,30,30,14,16,46.67,216.51,1.345,7.22,0.153,395.04,3.95,46.67,33.33,0,0,0,0,0.672,0.771,10091900000.0,13455866666.667,0.083
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_08_15,2026-01,42,30,25,5,83.33,1476.88,7.819,49.23,0.933,110.58,1.02,59.52,11.9,0,0,12,0,0.671,1.418,13742657000.0,18323542666.667,0.136
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_08_15,2026-02,21,15,3,12,20.0,-278.13,0.434,-18.54,-0.41,491.49,4.81,14.29,42.86,0,0,6,0,0.923,0.586,15118762000.0,20158349333.334,0.051
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_08_15,2026-03,18,15,7,8,46.67,-76.97,0.857,-5.13,0.08,425.58,4.11,38.89,44.44,0,0,3,0,0.77,0.887,30154784000.0,40206378666.667,0.134
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_16_23,2025-02,27,24,14,10,58.33,387.35,1.798,16.14,0.354,283.41,2.77,51.85,37.04,0,0,3,0,0.676,1.28,3661500000.0,4882000000.0,0.141
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_16_23,2025-08,33,30,18,12,60.0,437.3,1.746,14.58,0.32,285.72,2.7,39.39,36.36,0,0,3,0,0.645,1.197,4384300000.0,5845733333.333,0.202
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_16_23,2025-10,27,21,15,6,71.43,634.26,3.184,30.2,0.667,290.4,2.8,55.56,22.22,0,3,3,0,0.741,1.357,5226285714.286,6968380952.381,0.242
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_16_23,2026-01,18,12,6,6,50.0,177.87,1.716,14.82,0.167,248.4,2.48,33.33,33.33,0,0,3,3,0.669,1.389,28555000000.0,38073333333.333,0.021
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_16_23,2026-02,39,36,20,16,55.56,769.62,2.168,21.38,0.292,515.37,4.57,51.28,41.03,0,0,0,3,0.735,0.968,23687083333.333,31582777777.778,0.071
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,server_16_23,2026-03,18,18,9,9,50.0,161.9,1.409,8.99,0.131,280.29,2.74,33.33,33.33,0,0,0,0,0.616,0.991,14995721666.667,19994295555.555,0.22
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_00_07,2025-02,12,12,3,9,25.0,-235.51,0.439,-19.63,-0.417,269.76,2.69,25.0,75.0,0,0,0,0,0.948,0.918,5708500000.0,7611333333.333,0.118
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_00_07,2025-08,27,27,6,21,22.22,-638.31,0.382,-23.64,-0.481,686.13,6.83,22.22,77.78,0,0,0,0,0.909,0.807,2754333333.333,3672444444.445,0.208
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_00_07,2025-10,18,18,6,12,33.33,-172.6,0.675,-9.59,-0.222,394.65,3.86,33.33,66.67,0,0,0,0,0.784,0.707,10972833333.333,14630444444.445,0.058
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_00_07,2026-01,12,12,6,6,50.0,12.67,1.034,1.06,0.167,375.54,3.62,50.0,50.0,0,0,0,0,0.757,1.134,24130665000.0,32174220000.0,0.072
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_00_07,2026-02,24,24,12,12,50.0,649.08,2.191,27.05,0.167,277.32,2.55,50.0,50.0,0,0,0,0,0.955,1.085,42525000000.0,56700000000.0,0.021
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_00_07,2026-03,27,27,15,12,55.56,481.6,1.971,17.84,0.296,215.61,2.05,55.56,44.44,0,0,0,0,0.732,1.164,20677777777.778,27570370370.37,0.028
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_08_15,2025-02,15,15,10,5,66.67,375.24,2.498,25.02,0.547,149.7,1.45,66.67,33.33,0,0,0,0,0.785,1.464,4250200000.0,5666933333.333,0.126
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_08_15,2025-08,18,18,13,5,72.22,582.33,3.317,32.35,0.678,151.35,1.41,72.22,27.78,0,0,0,0,0.679,1.249,2729166666.667,3638888888.889,0.207
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_08_15,2025-10,30,30,14,16,46.67,131.4,1.184,4.38,0.083,421.98,4.22,46.67,53.33,0,0,0,0,0.751,0.827,8516100000.0,11354800000.0,0.096
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_08_15,2026-01,42,42,31,11,73.81,1643.03,4.351,39.12,0.714,177.81,1.63,73.81,26.19,0,0,0,0,0.721,1.438,16844612142.857,22459482857.143,0.123
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_08_15,2026-02,21,21,3,18,14.29,-819.81,0.207,-39.04,-0.667,819.81,8.2,14.29,85.71,0,0,0,0,1.227,0.524,24489115714.286,32652154285.714,0.051
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_08_15,2026-03,18,18,7,11,38.89,-191.81,0.705,-10.66,-0.1,425.58,4.16,38.89,61.11,0,0,0,0,0.926,0.843,29180653333.333,38907537777.778,0.115
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_16_23,2025-02,27,27,17,10,62.96,585.78,2.207,21.7,0.463,283.41,2.71,62.96,37.04,0,0,0,0,0.591,1.343,3119888888.889,4159851851.852,0.173
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_16_23,2025-08,33,33,18,15,54.55,422.76,1.589,12.81,0.273,417.66,3.94,54.55,45.45,0,0,0,0,0.714,1.138,4343727272.727,5791636363.636,0.201
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_16_23,2025-10,27,27,18,9,66.67,645.83,2.473,23.92,0.556,148.68,1.45,66.67,33.33,0,0,0,0,0.752,1.357,5270111111.111,7026814814.815,0.183
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_16_23,2026-01,18,18,12,6,66.67,958.29,4.858,53.24,0.556,248.4,2.44,66.67,33.33,0,0,0,0,0.541,1.541,45173333333.333,60231111111.111,0.023
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_16_23,2026-02,39,39,23,16,58.97,983.12,2.493,25.21,0.372,515.37,4.48,58.97,41.03,0,0,0,0,0.697,0.99,23971384615.385,31961846153.846,0.082
v4_micro_or_candle,MID_TF_STRUCTURE_SL,server_16_23,2026-03,18,18,10,8,55.56,302.56,1.755,16.81,0.289,204.7,2.0,55.56,44.44,0,0,0,0,0.632,1.122,12945710000.0,17260946666.666,0.232
v4_without_weak_signals,CURRENT_SL,server_00_07,2025-02,15,15,6,9,40.0,-36.05,0.914,-2.4,-0.067,269.76,2.64,40.0,60.0,0,0,0,0,0.758,1.104,4592000000.0,6122666666.667,0.216
v4_without_weak_signals,CURRENT_SL,server_00_07,2025-08,30,30,9,21,30.0,-440.03,0.573,-14.67,-0.3,684.09,6.68,30.0,70.0,0,0,0,0,0.88,0.866,2800900000.0,3734533333.333,0.2
v4_without_weak_signals,CURRENT_SL,server_00_07,2025-10,18,18,6,12,33.33,-172.6,0.675,-9.59,-0.222,394.65,3.86,33.33,66.67,0,0,0,0,0.784,0.707,10972833333.333,14630444444.445,0.058
v4_without_weak_signals,CURRENT_SL,server_00_07,2026-01,12,12,6,6,50.0,12.67,1.034,1.06,0.167,375.54,3.62,50.0,50.0,0,0,0,0,0.757,1.134,24130665000.0,32174220000.0,0.072
v4_without_weak_signals,CURRENT_SL,server_00_07,2026-02,24,24,12,12,50.0,649.08,2.191,27.05,0.167,277.32,2.55,50.0,50.0,0,0,0,0,0.955,1.085,42525000000.0,56700000000.0,0.021
v4_without_weak_signals,CURRENT_SL,server_00_07,2026-03,36,36,18,18,50.0,337.69,1.405,9.38,0.167,384.57,3.59,50.0,50.0,0,0,0,0,0.773,1.094,18851813333.333,25135751111.111,0.053
