period,run,scenario,strategy_family,group,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_balance_dd,max_balance_dd_pct
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,XAUUSD,3,2,1,66.67,137.56,4.052,45.85,,45.07,0.45
2025-08,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,USDJPY,1,1,0,100.0,76.22,,76.22,,0.0,0.0
2025-08,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,XAUUSD,12,4,8,33.33,-116.33,0.708,-9.69,,247.81,2.45
2025-08,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,USDJPY,5,1,4,20.0,-126.92,0.384,-25.38,,153.26,1.53
2025-08,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,XAUUSD,28,14,14,50.0,322.8,1.458,11.53,,333.85,3.16
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,GBPJPY,1,0,1,0.0,-52.77,0.0,-52.77,,52.77,0.53
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,XAUUSD,1,1,0,100.0,79.91,,79.91,,0.0,0.0
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,GBPJPY,1,0,1,0.0,-52.77,0.0,-52.77,,52.77,0.53
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,XAUUSD,1,1,0,100.0,79.91,,79.91,,0.0,0.0
2025-10,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,USDJPY,4,2,2,50.0,52.5,1.522,13.13,,100.55,1.0
2025-10,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,XAUUSD,16,9,7,56.25,292.68,1.918,18.29,,133.42,1.33
2025-10,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,GBPJPY,1,0,1,0.0,-51.07,0.0,-51.07,,51.07,0.51
2025-10,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,USDJPY,9,4,5,44.44,36.21,1.143,4.02,,141.67,1.4
2025-10,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,XAUUSD,28,12,16,42.86,94.1,1.131,3.36,,195.42,1.91
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,USDJPY,1,1,0,100.0,98.56,,98.56,,0.0,0.0
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,XAUUSD,3,2,1,66.67,114.14,3.311,38.05,,49.4,0.49
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,USDJPY,2,2,0,100.0,199.43,,99.72,,0.0,0.0
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,XAUUSD,3,2,1,66.67,114.14,3.311,38.05,,49.4,0.49
2026-Q1,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,EURUSD,3,2,1,66.67,110.22,3.135,36.74,,51.62,0.51
2026-Q1,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,GBPUSD,3,1,2,33.33,-21.29,0.783,-7.1,,98.09,0.97
2026-Q1,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,USDJPY,4,1,3,25.0,-79.29,0.475,-19.82,,101.21,1.01
2026-Q1,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,XAUUSD,50,23,27,46.0,600.57,1.493,12.01,,250.43,2.38
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,EURJPY,1,1,0,100.0,81.2,,81.2,,0.0,0.0
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,EURUSD,6,4,2,66.67,214.52,2.897,35.75,,57.2,0.56
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,GBPJPY,3,1,2,33.33,-26.25,0.749,-8.75,,55.24,0.55
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,GBPUSD,6,1,5,16.67,-179.99,0.308,-30.0,,179.99,1.8
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,USDJPY,5,2,3,40.0,-2.52,0.984,-0.5,,102.8,1.03
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,XAUUSD,75,34,41,45.33,960.11,1.48,12.8,,404.61,3.57
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,EURJPY,1,0,1,0.0,-50.4,0.0,-50.4,,50.4,0.5
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,EURUSD,3,1,2,33.33,4.56,1.049,1.52,,93.99,0.93
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,GBPJPY,1,0,1,0.0,-48.41,0.0,-48.41,,48.41,0.48
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,GBPUSD,9,1,8,11.11,-281.63,0.262,-31.29,,381.57,3.78
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,USDJPY,3,0,3,0.0,-144.18,0.0,-48.06,,144.18,1.44
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,XAUUSD,8,1,7,12.5,-243.02,0.191,-30.38,,265.38,2.65
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,EURJPY,1,0,1,0.0,-50.96,0.0,-50.96,,50.96,0.51
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,EURUSD,4,2,2,50.0,99.87,2.048,24.97,,95.31,0.93
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,GBPJPY,1,0,1,0.0,-48.41,0.0,-48.41,,48.41,0.48
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,GBPUSD,9,1,8,11.11,-281.63,0.262,-31.29,,381.57,3.78
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,USDJPY,4,0,4,0.0,-192.53,0.0,-48.13,,192.53,1.93
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,XAUUSD,8,1,7,12.5,-243.02,0.191,-30.38,,265.38,2.65
