scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,periods_count,symbols_count,period_distribution,symbol_distribution,direction_distribution
Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,2025-02,2,50.0,2.04,0.503,49.75,47.83,0.48,2.489,0.7,50.0,50.0,-47.83,97.58,0,49.75,1,2,2025-02:2,EURJPY:1;XAUUSD:1,SHORT:2
Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,2025-10,1,100.0,,2.0,93.96,0.0,0.0,2.125,0.941,100.0,100.0,0,93.96,93.96,0,1,1,2025-10:1,XAUUSD:1,LONG:1
Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,2026-Q1,6,16.67,0.401,-0.505,-139.84,233.3,2.33,1.235,1.259,50.0,16.67,-56.37,-83.47,-86.97,-52.87,1,3,2026-Q1:6,GBPUSD:1;USDJPY:3;XAUUSD:2,LONG:2;SHORT:4
Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,2025-02,6,50.0,1.858,0.505,130.22,99.24,0.98,2.028,0.762,50.0,50.0,-6.8,137.02,39.44,90.78,1,4,2025-02:6,AUDJPY:1;EURJPY:1;USDJPY:1;XAUUSD:3,LONG:2;SHORT:4
Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,2025-10,3,33.33,1.05,-0.0,4.76,94.84,0.94,1.3,1.717,66.67,33.33,0,4.76,54.16,-49.4,1,1,2025-10:3,XAUUSD:3,LONG:2;SHORT:1
Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,2026-Q1,10,30.0,0.829,-0.111,-52.18,270.63,2.68,1.38,1.234,70.0,30.0,45.85,-98.03,-24.35,-27.83,1,3,2026-Q1:10,GBPUSD:2;USDJPY:3;XAUUSD:5,LONG:4;SHORT:6
Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2025-02,13,30.77,0.842,-0.08,-70.8,206.42,2.06,1.424,1.055,46.15,30.77,-208.97,138.17,-163.03,92.23,1,6,2025-02:13,AUDJPY:1;EURJPY:3;EURUSD:2;GBPJPY:3;USDJPY:1;XAUUSD:3,LONG:6;SHORT:7
Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2025-08,2,50.0,1.535,0.501,28.18,52.72,0.52,1.435,0.619,50.0,50.0,-52.72,80.9,80.9,-52.72,1,2,2025-08:2,GBPJPY:1;XAUUSD:1,LONG:1;SHORT:1
Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2025-10,5,80.0,7.348,1.405,313.61,49.4,0.49,2.265,1.005,100.0,80.0,199.43,114.18,163.58,150.03,1,2,2025-10:5,USDJPY:2;XAUUSD:3,LONG:2;SHORT:3
Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2026-Q1,27,14.81,0.33,-0.564,-716.42,772.94,7.69,1.181,1.361,55.56,18.52,-473.44,-242.98,-516.62,-199.8,1,6,2026-Q1:27,EURJPY:1;EURUSD:4;GBPJPY:1;GBPUSD:9;USDJPY:4;XAUUSD:8,LONG:14;SHORT:13
Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,2025-02,5,20.0,0.447,-0.409,-109.71,109.71,1.1,0.84,1.238,20.0,20.0,-198.29,88.58,37.76,-147.47,1,4,2025-02:5,EURJPY:2;EURUSD:1;GBPJPY:1;XAUUSD:1,LONG:2;SHORT:3
Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,2025-08,1,100.0,,2.009,80.9,0.0,0.0,2.254,0.247,100.0,100.0,0,80.9,80.9,0,1,1,2025-08:1,XAUUSD:1,LONG:1
Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,2025-10,1,100.0,,2.0,99.6,0.0,0.0,2.484,0.904,100.0,100.0,0,99.6,99.6,0,1,1,2025-10:1,XAUUSD:1,LONG:1
Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,2026-Q1,17,17.65,0.457,-0.481,-347.85,347.85,3.48,1.084,1.257,52.94,17.65,-146.09,-201.76,-123.5,-224.35,1,6,2026-Q1:17,EURJPY:1;EURUSD:2;GBPJPY:1;GBPUSD:5;USDJPY:3;XAUUSD:5,LONG:6;SHORT:11
Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,2026-Q1,4,0.0,0.0,-1.004,-198.08,198.08,1.98,0.865,1.271,25.0,0.0,-198.08,0,-149.01,-49.07,1,3,2026-Q1:4,EURUSD:1;GBPUSD:2;USDJPY:1,LONG:3;SHORT:1
