variant,sl_mode,is_xauusd,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_micro_break_only,LOWER_TF_REVERSAL_SL,XAUUSD,162,135,66,69,48.89,709.85,1.23,5.26,0.145,507.59,4.53,37.04,37.04,0,0,21,6,0.832,1.055,17008888888.889,22678518518.519,0.056
v4_micro_break_only,MID_TF_STRUCTURE_SL,FX,42,42,24,18,57.14,670.49,1.756,15.96,0.326,347.93,3.38,57.14,35.71,0,0,0,0,0.707,1.093,214412142.857,285882857.143,0.296
v4_micro_break_only,MID_TF_STRUCTURE_SL,XAUUSD,162,162,75,87,46.3,432.07,1.104,2.67,0.077,980.5,8.59,46.3,53.7,1,0,0,0,0.827,1.089,18656851851.852,24875802469.136,0.052
v4_micro_or_candle,CURRENT_SL,FX,96,96,55,41,57.29,1649.47,1.782,17.18,0.33,961.06,9.01,57.29,42.71,0,0,0,0,0.696,1.145,232350625.0,309800833.333,0.313
v4_micro_or_candle,CURRENT_SL,XAUUSD,330,330,169,161,51.21,4066.18,1.533,12.32,0.193,1205.28,7.96,51.21,48.79,0,0,0,0,0.795,1.089,20160000000.0,26880000000.0,0.064
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,FX,96,87,49,38,56.32,1357.26,1.692,15.6,0.3,750.48,7.3,50.0,39.58,0,0,3,6,0.686,1.107,218100689.655,290800919.54,0.32
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,XAUUSD,330,276,147,129,53.26,4003.53,1.706,14.51,0.248,1119.42,7.63,41.52,34.55,0,9,42,3,0.749,1.066,18547282608.696,24729710144.928,0.063
v4_micro_or_candle,MID_TF_STRUCTURE_SL,FX,96,96,55,41,57.29,1649.47,1.782,17.18,0.33,961.06,9.01,57.29,42.71,0,0,0,0,0.696,1.145,232350625.0,309800833.333,0.313
v4_micro_or_candle,MID_TF_STRUCTURE_SL,XAUUSD,330,330,169,161,51.21,4066.18,1.533,12.32,0.193,1205.28,7.96,51.21,48.79,0,0,0,0,0.795,1.089,20160000000.0,26880000000.0,0.064
v4_without_weak_signals,CURRENT_SL,FX,126,126,65,61,51.59,1332.61,1.424,10.58,0.2,984.09,9.2,51.59,46.03,0,0,0,0,0.726,1.058,205024761.905,273366349.206,0.345
v4_without_weak_signals,CURRENT_SL,XAUUSD,372,372,192,180,51.61,4601.12,1.527,12.37,0.202,1287.87,8.21,51.61,48.39,0,0,0,0,0.795,1.091,20807419354.839,27743225806.452,0.061
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,FX,126,117,59,58,50.43,1090.76,1.372,9.32,0.178,639.2,6.21,46.03,41.27,0,0,3,6,0.71,1.001,201518461.538,268691282.051,0.335
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,XAUUSD,372,318,172,146,54.09,4820.4,1.734,15.16,0.267,1206.0,7.78,43.28,35.22,0,9,42,3,0.749,1.095,18936603773.585,25248805031.447,0.061
v4_without_weak_signals,MID_TF_STRUCTURE_SL,FX,126,126,65,61,51.59,1332.61,1.424,10.58,0.2,984.09,9.2,51.59,46.03,0,0,0,0,0.726,1.058,205024761.905,273366349.206,0.345
v4_without_weak_signals,MID_TF_STRUCTURE_SL,XAUUSD,372,372,192,180,51.61,4601.12,1.527,12.37,0.202,1287.87,8.21,51.61,48.39,0,0,0,0,0.795,1.091,20807419354.839,27743225806.452,0.061
