time,event,last_scan_bar_time,scan_elapsed_ms,reason
2026.01.02 14:34:59,scan_executed_new_execution_bar,2026.01.02 14:25:00,0,
2026.01.02 14:39:59,scan_executed_new_execution_bar,2026.01.02 14:30:00,0,
2026.01.02 14:44:59,scan_executed_new_execution_bar,2026.01.02 14:35:00,0,
2026.01.02 14:49:59,scan_executed_new_execution_bar,2026.01.02 14:40:00,0,
2026.01.02 14:54:59,scan_executed_new_execution_bar,2026.01.02 14:45:00,0,
2026.01.02 14:59:59,scan_executed_new_execution_bar,2026.01.02 14:50:00,0,
2026.01.02 15:04:59,scan_executed_new_execution_bar,2026.01.02 14:55:00,0,
2026.01.02 15:09:59,scan_executed_new_execution_bar,2026.01.02 15:00:00,0,
2026.01.02 15:14:59,scan_executed_new_execution_bar,2026.01.02 15:05:00,0,
2026.01.02 15:19:59,scan_executed_new_execution_bar,2026.01.02 15:10:00,0,
2026.01.02 15:24:59,scan_executed_new_execution_bar,2026.01.02 15:15:00,0,
2026.01.02 15:29:59,scan_executed_new_execution_bar,2026.01.02 15:20:00,0,
2026.01.02 15:34:59,scan_executed_new_execution_bar,2026.01.02 15:25:00,0,
2026.01.02 15:39:59,scan_executed_new_execution_bar,2026.01.02 15:30:00,0,
2026.01.02 15:44:59,scan_executed_new_execution_bar,2026.01.02 15:35:00,0,
2026.01.02 15:49:59,scan_executed_new_execution_bar,2026.01.02 15:40:00,0,
2026.01.02 15:54:59,scan_executed_new_execution_bar,2026.01.02 15:45:00,0,
2026.01.02 15:59:59,scan_executed_new_execution_bar,2026.01.02 15:50:00,0,
2026.01.02 16:04:59,scan_executed_new_execution_bar,2026.01.02 15:55:00,0,
2026.01.02 16:09:59,scan_executed_new_execution_bar,2026.01.02 16:00:00,0,
2026.01.02 16:14:59,scan_executed_new_execution_bar,2026.01.02 16:05:00,0,
2026.01.02 16:19:59,scan_executed_new_execution_bar,2026.01.02 16:10:00,0,
2026.01.02 16:24:59,scan_executed_new_execution_bar,2026.01.02 16:15:00,0,
2026.01.02 16:29:59,scan_executed_new_execution_bar,2026.01.02 16:20:00,0,
