period,scenario,fx_bucket,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,FX,1,0,1,0.0,-52.77,0.0,-52.77,0.0,52.77,0.53,-52.77,0,0,-52.77,0.616,0.991,100.0,0.0,0.0,100.0
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,1,1,0,100.0,79.91,,79.91,0.0,0.0,0.0,0,79.91,79.91,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,1,1,0,100.0,79.88,,79.88,0.0,0.0,0.0,0,79.88,79.88,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,XAUUSD,1,1,0,100.0,79.88,,79.88,0.0,0.0,0.0,0,79.88,79.88,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,FX,2,2,0,100.0,199.43,,99.72,0.0,0.0,0.0,199.43,0,0,199.43,2.208,0.338,100.0,100.0,100.0,0.0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,3,2,1,66.67,114.14,3.311,38.05,0.0,49.4,0.49,0,114.14,163.54,-49.4,2.015,1.204,100.0,100.0,66.67,66.67
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,FX,1,1,0,100.0,98.56,,98.56,0.0,0.0,0.0,98.56,0,0,98.56,2.181,0.062,100.0,100.0,100.0,0.0
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,3,2,1,66.67,114.14,3.311,38.05,0.0,49.4,0.49,0,114.14,163.54,-49.4,2.015,1.204,100.0,100.0,66.67,66.67
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,1,1,0,100.0,99.6,,99.6,0.0,0.0,0.0,0,99.6,99.6,0,2.177,0.904,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,XAUUSD,1,1,0,100.0,99.6,,99.6,0.0,0.0,0.0,0,99.6,99.6,0,2.177,0.904,100.0,100.0,100.0,100.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,FX,19,3,16,15.79,-473.66,0.384,-24.93,0.0,530.18,5.27,-473.66,0,-372.62,-101.04,1.175,1.151,68.42,52.63,21.05,63.16
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,8,1,7,12.5,-243.02,0.191,-30.38,0.0,265.38,2.65,0,-243.02,-144.04,-98.98,0.881,1.345,62.5,50.0,12.5,50.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,FX,17,2,15,11.76,-520.06,0.276,-30.59,0.0,576.58,5.73,-520.06,0,-371.3,-148.76,1.079,1.195,64.71,47.06,11.76,70.59
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,8,1,7,12.5,-243.02,0.191,-30.38,0.0,265.38,2.65,0,-243.02,-144.04,-98.98,0.881,1.345,62.5,50.0,12.5,50.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,FX,12,3,9,25.0,-146.16,0.667,-12.18,0.0,244.51,2.45,-146.16,0,-45.04,-101.12,1.181,1.054,75.0,50.0,25.0,58.33
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,5,0,5,0.0,-201.81,0.0,-40.36,0.0,201.81,2.02,0,-201.81,-78.51,-123.3,0.792,1.444,80.0,60.0,0.0,60.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,FX,10,2,8,20.0,-199.35,0.491,-19.94,0.0,244.5,2.44,-199.35,0,-45.04,-154.31,1.141,1.094,80.0,50.0,20.0,70.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,XAUUSD,5,0,5,0.0,-201.81,0.0,-40.36,0.0,201.81,2.02,0,-201.81,-78.51,-123.3,0.792,1.444,80.0,60.0,0.0,60.0
