period,month,run,scenario,trade_index,open_time,close_time,symbol,fx_vs_xauusd,direction,net_profit,result_R,close_comment,session,label,neckline_break_label,breakout_quality_label,context_quality_label,context_quality_score,context_quality_reason,sl_atr,tp_atr,breakout_close_distance_from_neckline_atr,breakout_body_ratio,breakout_body_atr,breakout_close_position_directional,breakout_directional_wick_ratio
2025-02,2025-02,C,breakout_router_all_r12,2,2025-02-24 01:05:00,2025-02-24 02:19:54,XAUUSD,XAUUSD,SHORT,58.94,1.213,tp 2935.38,server_00_07,strong_breakout,router_strong_instant,strong_breakout,clean_context,6.0,h4_edge_pullback|neckline_tested_not_extreme|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.16,1.4,0.61,0.63,0.56,0.78,0.22
2025-02,2025-02,D,context_router_all_r12,1,2025-02-06 22:50:00,2025-02-07 02:21:56,XAUUSD,XAUUSD,LONG,50.08,1.208,tp 2859.94,server_16_23,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,5.0,h4_edge_pullback|neckline_tested_not_extreme|sl_atr_neutral|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.93,2.31,0.86,0.77,0.55,0.8,0.2
2025-02,2025-02,D,context_router_all_r12,2,2025-02-12 01:50:00,2025-02-12 02:04:30,XAUUSD,XAUUSD,LONG,-49.14,-1.0,sl 2896.77,server_00_07,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,8.0,h4_mid_pullback|neckline_tested_not_extreme|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.69,2.03,0.33,0.49,0.34,0.88,0.12
2025-02,2025-02,D,context_router_all_r12,3,2025-02-13 20:35:00,2025-02-13 20:40:58,GBPJPY,FX,LONG,-49.97,-1.021,sl 191.637,server_16_23,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,7.0,h4_mid_pullback|neckline_tested_not_extreme|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_neutral|wick_ok|right_side_room_ok,1.33,1.6,0.13,0.08,0.08,0.94,0.06
2025-02,2025-02,D,context_router_all_r12,4,2025-02-21 06:20:00,2025-02-21 09:31:12,EURJPY,FX,SHORT,-47.83,-1.003,sl 158.112,server_00_07,strong_breakout_clean_context,context_router_strong_instant,strong_breakout,clean_context,7.0,h4_mid_pullback|neckline_touch_neutral|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.61,1.93,0.75,0.9,0.7,0.96,0.04
2025-02,2025-02,D,context_router_all_r12,5,2025-02-24 01:05:00,2025-02-24 02:19:54,XAUUSD,XAUUSD,SHORT,58.94,1.213,tp 2935.38,server_00_07,strong_breakout_clean_context,context_router_strong_instant,strong_breakout,clean_context,6.0,h4_edge_pullback|neckline_tested_not_extreme|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.16,1.4,0.61,0.63,0.56,0.78,0.22
2025-02,2025-02,D,context_router_all_r12,6,2025-02-24 19:05:00,2025-02-25 01:10:07,USDJPY,FX,SHORT,-52.56,-1.0,sl 149.885,server_16_23,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,7.0,h4_mid_pullback|neckline_tested_not_extreme|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_neutral|wick_ok|right_side_room_ok,1.43,1.71,0.21,0.96,1.07,0.97,0.03
2025-02,2025-02,D,context_router_all_r12,7,2025-02-24 19:05:00,2025-02-25 09:33:33,AUDJPY,FX,SHORT,56.27,1.206,tp 94.773,server_16_23,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,5.0,h4_edge_pullback|neckline_tested_not_extreme|sl_atr_neutral|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.93,2.31,1.08,0.87,0.71,0.95,0.05
2025-02,2025-02,E,context_router_v2_all_r12,1,2025-02-06 22:50:00,2025-02-07 02:21:56,XAUUSD,XAUUSD,LONG,50.08,1.208,tp 2859.94,server_16_23,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,5.0,h4_edge_pullback|neckline_tested_not_extreme|sl_atr_neutral|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.93,2.31,0.86,0.77,0.55,0.8,0.2
2025-02,2025-02,E,context_router_v2_all_r12,2,2025-02-12 01:50:00,2025-02-12 02:04:30,XAUUSD,XAUUSD,LONG,-49.14,-1.0,sl 2896.77,server_00_07,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,8.0,h4_mid_pullback|neckline_tested_not_extreme|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.69,2.03,0.33,0.49,0.34,0.88,0.12
2025-02,2025-02,E,context_router_v2_all_r12,3,2025-02-21 06:20:00,2025-02-21 09:31:12,EURJPY,FX,SHORT,-47.83,-1.003,sl 158.112,server_00_07,strong_breakout_clean_context,context_router_strong_instant,strong_breakout,clean_context,7.0,h4_mid_pullback|neckline_touch_neutral|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.61,1.93,0.75,0.9,0.7,0.96,0.04
2025-02,2025-02,E,context_router_v2_all_r12,4,2025-02-24 01:05:00,2025-02-24 02:19:54,XAUUSD,XAUUSD,SHORT,58.94,1.213,tp 2935.38,server_00_07,strong_breakout_clean_context,context_router_strong_instant,strong_breakout,clean_context,6.0,h4_edge_pullback|neckline_tested_not_extreme|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.16,1.4,0.61,0.63,0.56,0.78,0.22
2025-02,2025-02,E,context_router_v2_all_r12,5,2025-02-24 19:05:00,2025-02-25 01:10:07,USDJPY,FX,SHORT,-52.56,-1.0,sl 149.885,server_16_23,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,7.0,h4_mid_pullback|neckline_tested_not_extreme|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_neutral|wick_ok|right_side_room_ok,1.43,1.71,0.21,0.96,1.07,0.97,0.03
2025-02,2025-02,E,context_router_v2_all_r12,6,2025-02-24 19:05:00,2025-02-25 09:33:33,AUDJPY,FX,SHORT,56.27,1.206,tp 94.773,server_16_23,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,5.0,h4_edge_pullback|neckline_tested_not_extreme|sl_atr_neutral|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.93,2.31,1.08,0.87,0.71,0.95,0.05
2025-08,2025-08,A,instant_all_r12,1,2025-08-06 16:35:00,2025-08-06 17:22:04,XAUUSD,XAUUSD,LONG,58.52,1.206,tp 3375.25,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.8,2.16,0.54,0.22,0.14,0.41,0.59
2025-08,2025-08,A,instant_all_r12,2,2025-08-21 17:20:00,2025-08-22 03:56:41,GBPJPY,FX,SHORT,-52.72,-1.006,sl 199.252,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.74,2.09,0.36,0.87,2.32,0.08,0.05
2025-08,2025-08,B,retest_all_r12,1,2025-08-06 16:35:00,2025-08-06 17:22:04,XAUUSD,XAUUSD,LONG,58.52,1.206,tp 3375.25,server_16_23,retest_confirmation_entry,retest_confirmed,unclassified,not_evaluated,0.0,,1.8,2.16,0.13,0.54,0.83,0.7,0.3
2025-10,2025-10,A,instant_all_r12,1,2025-10-02 06:00:00,2025-10-02 09:15:28,XAUUSD,XAUUSD,LONG,59.9,1.203,tp 3872.27,server_00_07,neckline_break_initial,neckline_break_initial,unclassified,not_evaluated,0.0,,0.97,1.17,0.19,0.4,0.24,0.61,0.39
2025-10,2025-10,A,instant_all_r12,2,2025-10-10 15:05:00,2025-10-10 17:03:22,XAUUSD,XAUUSD,SHORT,59.36,1.203,tp 3973.31,server_08_15,neckline_break_initial,neckline_break_initial,unclassified,not_evaluated,0.0,,1.62,1.94,0.49,0.45,0.69,0.7,0.3
2025-10,2025-10,A,instant_all_r12,3,2025-10-16 16:35:00,2025-10-16 17:09:56,USDJPY,FX,SHORT,61.51,1.22,tp 150.998,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.54,1.84,0.14,0.18,0.17,0.54,0.28
2025-10,2025-10,A,instant_all_r12,4,2025-10-20 09:20:00,2025-10-20 12:05:24,USDJPY,FX,SHORT,60.11,1.208,tp 150.469,server_08_15,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,2.08,2.49,1.66,0.04,0.04,0.27,0.69
2025-10,2025-10,A,instant_all_r12,5,2025-10-17 23:35:00,2025-10-20 15:14:10,XAUUSD,XAUUSD,LONG,38.13,1.202,tp 4282.99,server_16_23,neckline_break_initial,neckline_break_initial,unclassified,not_evaluated,0.0,,2.07,2.48,0.06,0.89,0.86,0.96,0.04
2025-10,2025-10,B,retest_all_r12,1,2025-10-02 06:00:00,2025-10-02 09:15:28,XAUUSD,XAUUSD,LONG,59.9,1.203,tp 3872.27,server_00_07,retest_then_go_after_return_inside,retest_confirmed,unclassified,not_evaluated,0.0,,0.97,1.17,0.92,0.59,0.96,1.0,0.0
2025-10,2025-10,C,breakout_router_all_r12,1,2025-10-02 06:15:00,2025-10-02 11:57:41,XAUUSD,XAUUSD,LONG,56.46,1.202,tp 3878.56,server_00_07,strong_breakout,router_strong_instant,strong_breakout,clean_context,5.0,h4_edge_pullback|neckline_tested_not_extreme|sl_atr_compact|entry_distance_neutral|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.63,1.96,0.79,0.73,0.6,0.99,0.01
2025-10,2025-10,D,context_router_all_r12,1,2025-10-02 06:00:00,2025-10-02 09:15:28,XAUUSD,XAUUSD,LONG,59.9,1.203,tp 3872.27,server_00_07,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,6.0,h4_edge_pullback|neckline_tested_not_extreme|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,0.97,1.17,0.19,0.4,0.24,0.61,0.39
2025-10,2025-10,D,context_router_all_r12,2,2025-10-10 15:05:00,2025-10-10 17:03:22,XAUUSD,XAUUSD,SHORT,59.36,1.203,tp 3973.31,server_08_15,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,6.0,h4_edge_pullback|neckline_tested_not_extreme|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.62,1.94,0.49,0.45,0.69,0.7,0.3
2025-10,2025-10,D,context_router_all_r12,3,2025-10-16 16:35:00,2025-10-16 17:09:56,USDJPY,FX,SHORT,61.51,1.22,tp 150.998,server_16_23,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,6.0,h4_mid_pullback|neckline_tested_not_extreme|sl_atr_compact|entry_distance_usable|directional_close_neutral|body_atr_neutral|wick_ok|right_side_room_ok,1.54,1.84,0.14,0.18,0.17,0.54,0.28
2025-10,2025-10,D,context_router_all_r12,4,2025-10-20 01:50:00,2025-10-20 02:49:23,XAUUSD,XAUUSD,LONG,-45.44,-1.0,sl 4239.22,server_00_07,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,7.0,h4_mid_pullback|neckline_touch_neutral|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.66,2.0,0.3,0.22,0.22,0.78,0.0
2025-10,2025-10,E,context_router_v2_all_r12,1,2025-10-02 06:00:00,2025-10-02 09:15:28,XAUUSD,XAUUSD,LONG,59.9,1.203,tp 3872.27,server_00_07,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,6.0,h4_edge_pullback|neckline_tested_not_extreme|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,0.97,1.17,0.19,0.4,0.24,0.61,0.39
2025-10,2025-10,E,context_router_v2_all_r12,2,2025-10-10 15:05:00,2025-10-10 17:03:22,XAUUSD,XAUUSD,SHORT,59.36,1.203,tp 3973.31,server_08_15,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,6.0,h4_edge_pullback|neckline_tested_not_extreme|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.62,1.94,0.49,0.45,0.69,0.7,0.3
2025-10,2025-10,E,context_router_v2_all_r12,3,2025-10-20 01:50:00,2025-10-20 02:49:23,XAUUSD,XAUUSD,LONG,-45.44,-1.0,sl 4239.22,server_00_07,weak_breakout_clean_context,context_router_weak_clean_instant,weak_breakout,clean_context,7.0,h4_mid_pullback|neckline_touch_neutral|sl_atr_compact|entry_distance_usable|directional_close_ok|body_atr_usable|wick_ok|right_side_room_ok,1.66,2.0,0.3,0.22,0.22,0.78,0.0
2026-Q1,2026-01,A,instant_all_r12,1,2026-01-14 20:05:00,2026-01-15 09:12:39,USDJPY,FX,LONG,63.2,1.214,tp 158.682,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,2.2,2.63,0.14,0.65,0.26,0.22,0.12
2026-Q1,2026-01,A,instant_all_r12,2,2026-01-16 15:35:00,2026-01-16 17:23:22,GBPUSD,FX,SHORT,62.4,1.24,tp 1.33846,server_08_15,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.67,2.0,0.19,0.65,1.24,0.01,0.34
2026-Q1,2026-01,A,instant_all_r12,3,2026-01-16 18:05:00,2026-01-19 00:08:48,GBPUSD,FX,SHORT,64.57,1.282,tp 1.33562,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,2.17,2.61,1.71,0.57,0.66,0.41,0.02
2026-Q1,2026-01,A,instant_all_r12,4,2026-01-21 16:05:00,2026-01-21 17:03:25,GBPUSD,FX,LONG,60.26,1.202,tp 1.34581,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,2.16,2.59,1.42,0.76,1.31,0.88,0.12
2026-Q1,2026-01,A,instant_all_r12,5,2026-01-21 17:20:00,2026-01-21 19:36:57,GBPUSD,FX,LONG,-49.92,-1.0,sl 1.34204,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.64,1.97,0.57,0.03,0.02,0.19,0.81
2026-Q1,2026-01,A,instant_all_r12,6,2026-01-28 13:05:00,2026-01-28 13:08:17,GBPUSD,FX,LONG,-50.82,-1.0,sl 1.37737,server_08_15,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,0.62,0.74,0.03,0.12,0.09,0.22,0.78
2026-Q1,2026-01,A,instant_all_r12,7,2026-01-28 20:05:00,2026-01-28 20:38:13,GBPUSD,FX,LONG,-49.92,-1.0,sl 1.37696,server_16_23,clean_nested_nwave_entry,clean_nested_nwave_entry,unclassified,not_evaluated,0.0,,1.02,1.23,0.1,0.87,0.7,0.92,0.08
2026-Q1,2026-01,A,instant_all_r12,8,2026-01-29 01:05:00,2026-01-29 01:59:59,EURUSD,FX,LONG,58.86,1.204,tp 1.19786,server_00_07,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.79,2.14,0.2,0.17,0.02,0.17,0.83
2026-Q1,2026-01,A,instant_all_r12,9,2026-01-29 03:05:00,2026-01-29 04:30:02,USDJPY,FX,SHORT,62.04,1.199,tp 153.046,server_00_07,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.23,1.47,1.59,0.71,0.99,0.09,0.21
2026-Q1,2026-01,A,instant_all_r12,10,2026-01-29 04:50:00,2026-01-29 09:41:03,USDJPY,FX,SHORT,-50.68,-1.003,sl 153.406,server_00_07,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.55,1.86,0.17,0.54,0.3,0.33,0.13
2026-Q1,2026-01,A,instant_all_r12,11,2026-01-30 01:50:00,2026-01-30 03:07:19,XAUUSD,XAUUSD,LONG,-70.76,-1.007,sl 5372.90,server_00_07,neckline_break_initial,neckline_break_initial,unclassified,not_evaluated,0.0,,1.9,2.28,0.33,0.67,0.59,0.98,0.02
2026-Q1,2026-02,A,instant_all_r12,12,2026-02-03 13:50:00,2026-02-03 14:00:55,XAUUSD,XAUUSD,SHORT,-36.92,-1.013,sl 4924.98,server_08_15,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,0.92,1.11,0.24,0.4,0.42,0.47,0.13
2026-Q1,2026-02,A,instant_all_r12,13,2026-02-12 18:50:00,2026-02-13 03:05:06,USDJPY,FX,SHORT,-53.14,-1.011,sl 153.076,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.45,1.74,0.41,0.77,1.25,0.21,0.02
2026-Q1,2026-02,A,instant_all_r12,14,2026-02-13 16:50:00,2026-02-13 17:10:40,GBPJPY,FX,SHORT,-50.27,-1.014,sl 208.811,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.34,1.6,0.11,0.02,0.06,0.29,0.71
2026-Q1,2026-02,A,instant_all_r12,15,2026-02-13 16:50:00,2026-02-16 09:17:13,EURJPY,FX,SHORT,-50.97,-1.018,sl 181.890,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,2.15,2.58,0.96,0.23,0.47,0.08,0.69
2026-Q1,2026-02,A,instant_all_r12,16,2026-02-12 19:20:00,2026-02-17 02:41:43,EURUSD,FX,SHORT,61.29,1.2,tp 1.18459,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,2.07,2.49,1.17,0.38,0.43,0.45,0.55
2026-Q1,2026-02,A,instant_all_r12,17,2026-02-18 12:50:00,2026-02-18 14:07:13,XAUUSD,XAUUSD,SHORT,-42.56,-1.01,sl 4923.44,server_08_15,neckline_break_initial,neckline_break_initial,unclassified,not_evaluated,0.0,,1.42,1.7,0.12,0.78,1.26,0.78,0.22
2026-Q1,2026-02,A,instant_all_r12,18,2026-02-23 17:35:00,2026-02-23 17:52:41,EURUSD,FX,LONG,-49.41,-1.0,sl 1.17924,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.11,1.33,0.05,0.35,0.33,0.31,0.34
2026-Q1,2026-02,A,instant_all_r12,19,2026-02-26 09:35:00,2026-02-26 16:46:26,USDJPY,FX,LONG,-49.07,-1.014,sl 155.891,server_08_15,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.77,2.12,0.65,0.15,0.13,0.88,0.12
2026-Q1,2026-02,A,instant_all_r12,20,2026-02-27 12:35:00,2026-02-27 13:55:08,XAUUSD,XAUUSD,SHORT,-46.2,-1.011,sl 5183.00,server_08_15,neckline_break_initial,neckline_break_initial,unclassified,not_evaluated,0.0,,1.66,2.0,0.13,0.12,0.15,0.88,0.12
2026-Q1,2026-03,A,instant_all_r12,21,2026-03-02 21:20:00,2026-03-03 03:07:08,XAUUSD,XAUUSD,LONG,43.84,1.201,tp 5370.21,server_16_23,neckline_break_initial,neckline_break_initial,unclassified,not_evaluated,0.0,,1.62,1.94,0.43,0.78,0.65,0.86,0.14
2026-Q1,2026-03,A,instant_all_r12,22,2026-03-04 14:35:00,2026-03-05 07:53:19,GBPUSD,FX,SHORT,55.81,1.199,tp 1.33248,server_08_15,clean_nested_nwave_entry,clean_nested_nwave_entry,unclassified,not_evaluated,0.0,,2.12,2.55,0.36,0.95,1.37,0.98,0.02
2026-Q1,2026-03,A,instant_all_r12,23,2026-03-11 17:35:00,2026-03-11 18:14:56,EURUSD,FX,LONG,-48.84,-1.008,sl 1.15760,server_16_23,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.11,1.33,0.09,0.36,0.36,0.42,0.22
2026-Q1,2026-03,A,instant_all_r12,24,2026-03-18 20:50:00,2026-03-18 21:39:53,GBPUSD,FX,LONG,-48.09,-1.004,sl 1.33156,server_16_23,neckline_break_initial,neckline_break_initial,unclassified,not_evaluated,0.0,,2.12,2.55,0.08,0.45,0.55,0.62,0.38
2026-Q1,2026-03,A,instant_all_r12,25,2026-03-20 09:05:00,2026-03-20 11:19:23,XAUUSD,XAUUSD,SHORT,-30.59,-1.043,sl 4724.23,server_08_15,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,2.14,2.57,1.61,0.84,1.53,0.89,0.11
2026-Q1,2026-03,A,instant_all_r12,26,2026-03-20 11:50:00,2026-03-20 12:58:19,XAUUSD,XAUUSD,SHORT,34.31,1.2,tp 4661.49,server_08_15,neckline_break_late,neckline_break_late,unclassified,not_evaluated,0.0,,1.7,2.03,0.19,0.66,0.91,0.66,0.34
2026-Q1,2026-03,A,instant_all_r12,27,2026-03-24 11:20:00,2026-03-24 12:30:01,GBPUSD,FX,LONG,-50.32,-1.035,sl 1.33831,server_08_15,chasing_after_break,chasing_after_break,unclassified,not_evaluated,0.0,,2.15,2.58,1.76,0.82,0.95,0.18,0.0
2026-Q1,2026-03,A,instant_all_r12,28,2026-03-24 12:50:00,2026-03-24 14:07:31,GBPUSD,FX,LONG,58.0,1.218,tp 1.34093,server_08_15,chasing_after_break,chasing_after_break,unclassified,not_evaluated,0.0,,0.78,0.93,0.03,0.49,0.54,0.89,0.11
2026-Q1,2026-03,A,instant_all_r12,29,2026-03-26 14:05:00,2026-03-26 19:21:27,XAUUSD,XAUUSD,LONG,-34.93,-1.073,sl 4413.62,server_08_15,clean_nested_nwave_entry,clean_nested_nwave_entry,unclassified,not_evaluated,0.0,,1.8,2.16,0.16,0.65,0.8,0.8,0.2
