run,scenario,kind,group,rows
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,best_by_direction,LONG,73648
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,entry_by_symbol,AUDJPY,23
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,entry_by_symbol,EURJPY,47
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,entry_by_symbol,EURUSD,80
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,entry_by_symbol,GBPJPY,51
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,entry_by_symbol,GBPUSD,54
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,entry_by_symbol,USDJPY,183
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,entry_by_symbol,XAUUSD,1333
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,entry_by_direction,LONG,1261
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,entry_by_direction,SHORT,510
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,best_by_symbol,AUDJPY,5832
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,best_by_symbol,EURJPY,8188
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,best_by_symbol,EURUSD,2137
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,best_by_symbol,GBPJPY,6649
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,best_by_symbol,GBPUSD,2269
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,best_by_symbol,USDJPY,9562
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,best_by_symbol,XAUUSD,39011
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,best_by_direction,LONG,44662
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,best_by_direction,SHORT,28986
