scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,max_consecutive_losses,monthly_net,monthly_trades,symbol_distribution,direction_distribution,FX_net,XAUUSD_net,LONG_net,SHORT_net,clean_or_acceptable_pct
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2025-03,11,45.45,1.605,0.361,184.98,101.85,1.01,1.509,1.032,72.73,54.55,45.45,2,2025-03:184.98,2025-03:11,EURJPY:1;EURUSD:1;GBPJPY:1;USDJPY:2;XAUUSD:6,LONG:4;SHORT:7,199.82,-14.84,85.86,99.12,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2025-04,13,23.08,0.599,-0.311,-200.33,252.96,2.52,1.303,1.243,76.92,53.85,30.77,5,2025-04:-200.33,2025-04:13,EURJPY:2;EURUSD:1;GBPJPY:3;USDJPY:3;XAUUSD:4,LONG:6;SHORT:7,-10.26,-190.07,-2.27,-198.06,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2025-05,10,40.0,1.268,0.205,81.12,153.52,1.5,1.126,1.183,60.0,60.0,40.0,3,2025-05:81.12,2025-05:10,EURUSD:1;USDJPY:4;XAUUSD:5,LONG:5;SHORT:5,-101.61,182.73,-107.5,188.62,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2025-06,8,12.5,0.276,-0.673,-258.86,258.86,2.59,1.136,1.897,87.5,50.0,12.5,5,2025-06:-258.86,2025-06:8,USDJPY:1;XAUUSD:7,LONG:7;SHORT:1,98.55,-357.41,-209.2,-49.66,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2025-07,6,16.67,0.321,-0.514,-170.17,250.52,2.49,1.052,1.16,83.33,33.33,16.67,5,2025-07:-170.17,2025-07:6,USDJPY:2;XAUUSD:4,LONG:4;SHORT:2,-98.52,-71.65,-71.65,-98.52,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2025-08,8,37.5,1.17,0.131,40.65,154.85,1.53,1.239,1.024,62.5,50.0,37.5,3,2025-08:40.65,2025-08:8,EURJPY:1;XAUUSD:7,LONG:7;SHORT:1,94.1,-53.45,-53.45,94.1,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2025-09,6,50.0,1.89,0.5,127.88,98.1,0.97,1.865,0.769,83.33,66.67,66.67,2,2025-09:127.88,2025-09:6,XAUUSD:6,LONG:2;SHORT:4,0,127.88,38.04,89.84,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2025-10,6,33.33,0.851,-0.016,-26.56,81.8,0.82,1.36,1.197,66.67,50.0,33.33,2,2025-10:-26.56,2025-10:6,USDJPY:1;XAUUSD:5,LONG:4;SHORT:2,-47.48,20.92,-77.04,50.48,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2025-11,5,80.0,7.784,1.405,313.7,46.24,0.45,1.961,0.587,80.0,80.0,80.0,1,2025-11:313.7,2025-11:5,XAUUSD:5,SHORT:5,0,313.7,0,313.7,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2025-12,4,0.0,0.0,-1.013,-191.33,191.33,1.91,1.161,1.544,100.0,50.0,0.0,4,2025-12:-191.33,2025-12:4,XAUUSD:4,LONG:1;SHORT:3,0,-191.33,-50.6,-140.73,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2026-01,1,0.0,0.0,-1.013,-49.29,49.29,0.49,1.49,1.159,100.0,100.0,0.0,1,2026-01:-49.29,2026-01:1,GBPUSD:1,LONG:1,-49.29,0,-49.29,0,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2026-02,3,66.67,4.96,1.007,171.85,43.4,0.42,1.895,0.634,66.67,66.67,66.67,1,2026-02:171.85,2026-02:3,EURJPY:1;XAUUSD:2,LONG:1;SHORT:2,100.1,71.75,-43.4,215.25,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2026-03,5,40.0,1.482,0.171,61.63,91.89,0.91,1.5,1.023,100.0,60.0,40.0,2,2026-03:61.63,2026-03:5,EURUSD:1;XAUUSD:4,LONG:1;SHORT:4,100.8,-39.17,-40.62,102.25,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2026-04,6,0.0,0.0,-1.009,-284.73,284.73,2.85,0.585,1.613,50.0,16.67,0.0,6,2026-04:-284.73,2026-04:6,EURUSD:2;XAUUSD:4,LONG:4;SHORT:2,-99.65,-185.08,-186.18,-98.55,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2026-05,8,12.5,0.276,-0.649,-243.82,243.82,2.44,0.992,1.301,50.0,37.5,12.5,4,2026-05:-243.82,2026-05:8,EURJPY:1;XAUUSD:7,LONG:1;SHORT:7,-48.98,-194.84,-48.1,-195.72,100.0
Nested_Fixed_Room2R_LOWER_TF_BOTH_all_H1_M15_M5_2R,2026-06,5,60.0,2.838,0.797,176.47,48.51,0.48,1.856,0.97,60.0,60.0,60.0,1,2026-06:176.47,2026-06:5,XAUUSD:5,LONG:1;SHORT:4,0,176.47,-47.52,223.99,100.0
