enabled_conditions,condition_count,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_room_to_2r,5,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_true_bos_level+cond_room_to_2r,5,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_m15_prev_extreme_bos+cond_room_to_2r,5,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,5,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos+cond_room_to_2r,5,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,5,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_room_to_2r,6,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_true_bos_level+cond_room_to_2r,6,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_m15_prev_extreme_bos+cond_room_to_2r,6,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,6,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos+cond_room_to_2r,6,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,6,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,6,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos+cond_room_to_2r,6,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,6,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,6,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,7,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos+cond_room_to_2r,7,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,7,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,7,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,7,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,8,4,50.0,1.961,0.498,98.4,52.14,0.51,1.749,1.316,100.0,75.0,50.0,1,3,100.7,-2.3,2.005,-0.004,1,3,USDJPY:4,2025-01:2;2025-02:1;2025-06:1,LONG:1;SHORT:3
cond_h4_fib_382_618+cond_h1_counter_nwave+cond_room_to_2r,3,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_room_to_2r,4,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_room_to_2r,4,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_counter_nwave+cond_true_bos_level+cond_room_to_2r,4,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_counter_nwave+cond_m15_prev_extreme_bos+cond_room_to_2r,4,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_room_to_2r,5,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_true_bos_level+cond_room_to_2r,5,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_m15_prev_extreme_bos+cond_room_to_2r,5,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,5,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos+cond_room_to_2r,5,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_counter_nwave+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,5,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,6,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos+cond_room_to_2r,6,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,6,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,6,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,7,5,40.0,1.312,0.198,47.75,102.79,1.01,1.416,1.266,80.0,60.0,40.0,1,4,100.7,-52.95,2.005,-0.253,2,4,EURJPY:1;USDJPY:4,2025-01:2;2025-02:1;2025-03:1;2025-06:1,LONG:1;SHORT:4
cond_h4_bias_ma+cond_room_to_2r,2,18,38.89,1.257,0.167,141.58,153.76,1.5,1.431,1.077,83.33,72.22,38.89,8,10,47.46,94.12,0.127,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:3;GBPJPY:3;USDJPY:10,2025-01:3;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-09:2;2025-11:2,LONG:8;SHORT:10
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_room_to_2r,3,18,38.89,1.257,0.167,141.58,153.76,1.5,1.431,1.077,83.33,72.22,38.89,8,10,47.46,94.12,0.127,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:3;GBPJPY:3;USDJPY:10,2025-01:3;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-09:2;2025-11:2,LONG:8;SHORT:10
cond_h4_bias_ma+cond_true_bos_level+cond_room_to_2r,3,18,38.89,1.257,0.167,141.58,153.76,1.5,1.431,1.077,83.33,72.22,38.89,8,10,47.46,94.12,0.127,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:3;GBPJPY:3;USDJPY:10,2025-01:3;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-09:2;2025-11:2,LONG:8;SHORT:10
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_true_bos_level+cond_room_to_2r,4,18,38.89,1.257,0.167,141.58,153.76,1.5,1.431,1.077,83.33,72.22,38.89,8,10,47.46,94.12,0.127,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:3;GBPJPY:3;USDJPY:10,2025-01:3;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-09:2;2025-11:2,LONG:8;SHORT:10
cond_h4_bias_ma+cond_h1_counter_wave_atr+cond_room_to_2r,3,16,37.5,1.186,0.123,93.16,154.43,1.51,1.464,1.125,87.5,75.0,37.5,6,10,-0.96,94.12,-0.003,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:2;GBPJPY:2;USDJPY:10,2025-01:3;2025-02:2;2025-03:1;2025-04:3;2025-06:1;2025-07:2;2025-09:2;2025-11:2,LONG:6;SHORT:10
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_room_to_2r,4,16,37.5,1.186,0.123,93.16,154.43,1.51,1.464,1.125,87.5,75.0,37.5,6,10,-0.96,94.12,-0.003,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:2;GBPJPY:2;USDJPY:10,2025-01:3;2025-02:2;2025-03:1;2025-04:3;2025-06:1;2025-07:2;2025-09:2;2025-11:2,LONG:6;SHORT:10
cond_h4_bias_ma+cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,4,16,37.5,1.186,0.123,93.16,154.43,1.51,1.464,1.125,87.5,75.0,37.5,6,10,-0.96,94.12,-0.003,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:2;GBPJPY:2;USDJPY:10,2025-01:3;2025-02:2;2025-03:1;2025-04:3;2025-06:1;2025-07:2;2025-09:2;2025-11:2,LONG:6;SHORT:10
cond_h4_bias_ma+cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos+cond_room_to_2r,4,16,37.5,1.186,0.123,93.16,154.43,1.51,1.464,1.125,87.5,75.0,37.5,6,10,-0.96,94.12,-0.003,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:2;GBPJPY:2;USDJPY:10,2025-01:3;2025-02:2;2025-03:1;2025-04:3;2025-06:1;2025-07:2;2025-09:2;2025-11:2,LONG:6;SHORT:10
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,5,16,37.5,1.186,0.123,93.16,154.43,1.51,1.464,1.125,87.5,75.0,37.5,6,10,-0.96,94.12,-0.003,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:2;GBPJPY:2;USDJPY:10,2025-01:3;2025-02:2;2025-03:1;2025-04:3;2025-06:1;2025-07:2;2025-09:2;2025-11:2,LONG:6;SHORT:10
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos+cond_room_to_2r,5,16,37.5,1.186,0.123,93.16,154.43,1.51,1.464,1.125,87.5,75.0,37.5,6,10,-0.96,94.12,-0.003,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:2;GBPJPY:2;USDJPY:10,2025-01:3;2025-02:2;2025-03:1;2025-04:3;2025-06:1;2025-07:2;2025-09:2;2025-11:2,LONG:6;SHORT:10
cond_h4_bias_ma+cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,5,16,37.5,1.186,0.123,93.16,154.43,1.51,1.464,1.125,87.5,75.0,37.5,6,10,-0.96,94.12,-0.003,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:2;GBPJPY:2;USDJPY:10,2025-01:3;2025-02:2;2025-03:1;2025-04:3;2025-06:1;2025-07:2;2025-09:2;2025-11:2,LONG:6;SHORT:10
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,6,16,37.5,1.186,0.123,93.16,154.43,1.51,1.464,1.125,87.5,75.0,37.5,6,10,-0.96,94.12,-0.003,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:2;GBPJPY:2;USDJPY:10,2025-01:3;2025-02:2;2025-03:1;2025-04:3;2025-06:1;2025-07:2;2025-09:2;2025-11:2,LONG:6;SHORT:10
cond_h4_bias_ma+cond_h4_fib_382_618,2,11,36.36,1.138,0.088,47.5,245.73,2.39,1.344,1.087,63.64,54.55,36.36,4,7,96.64,-49.14,0.497,-0.145,5,7,EURJPY:1;EURUSD:2;GBPJPY:1;GBPUSD:1;USDJPY:6,2025-01:3;2025-02:2;2025-03:1;2025-04:1;2025-06:2;2025-08:1;2025-11:1,LONG:4;SHORT:7
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break,3,11,36.36,1.138,0.088,47.5,245.73,2.39,1.344,1.087,63.64,54.55,36.36,4,7,96.64,-49.14,0.497,-0.145,5,7,EURJPY:1;EURUSD:2;GBPJPY:1;GBPUSD:1;USDJPY:6,2025-01:3;2025-02:2;2025-03:1;2025-04:1;2025-06:2;2025-08:1;2025-11:1,LONG:4;SHORT:7
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_wave_atr,3,11,36.36,1.138,0.088,47.5,245.73,2.39,1.344,1.087,63.64,54.55,36.36,4,7,96.64,-49.14,0.497,-0.145,5,7,EURJPY:1;EURUSD:2;GBPJPY:1;GBPUSD:1;USDJPY:6,2025-01:3;2025-02:2;2025-03:1;2025-04:1;2025-06:2;2025-08:1;2025-11:1,LONG:4;SHORT:7
cond_h4_bias_ma+cond_h4_fib_382_618+cond_true_bos_level,3,11,36.36,1.138,0.088,47.5,245.73,2.39,1.344,1.087,63.64,54.55,36.36,4,7,96.64,-49.14,0.497,-0.145,5,7,EURJPY:1;EURUSD:2;GBPJPY:1;GBPUSD:1;USDJPY:6,2025-01:3;2025-02:2;2025-03:1;2025-04:1;2025-06:2;2025-08:1;2025-11:1,LONG:4;SHORT:7
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_wave_atr,4,11,36.36,1.138,0.088,47.5,245.73,2.39,1.344,1.087,63.64,54.55,36.36,4,7,96.64,-49.14,0.497,-0.145,5,7,EURJPY:1;EURUSD:2;GBPJPY:1;GBPUSD:1;USDJPY:6,2025-01:3;2025-02:2;2025-03:1;2025-04:1;2025-06:2;2025-08:1;2025-11:1,LONG:4;SHORT:7
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_true_bos_level,4,11,36.36,1.138,0.088,47.5,245.73,2.39,1.344,1.087,63.64,54.55,36.36,4,7,96.64,-49.14,0.497,-0.145,5,7,EURJPY:1;EURUSD:2;GBPJPY:1;GBPUSD:1;USDJPY:6,2025-01:3;2025-02:2;2025-03:1;2025-04:1;2025-06:2;2025-08:1;2025-11:1,LONG:4;SHORT:7
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_wave_atr+cond_true_bos_level,4,11,36.36,1.138,0.088,47.5,245.73,2.39,1.344,1.087,63.64,54.55,36.36,4,7,96.64,-49.14,0.497,-0.145,5,7,EURJPY:1;EURUSD:2;GBPJPY:1;GBPUSD:1;USDJPY:6,2025-01:3;2025-02:2;2025-03:1;2025-04:1;2025-06:2;2025-08:1;2025-11:1,LONG:4;SHORT:7
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_true_bos_level,5,11,36.36,1.138,0.088,47.5,245.73,2.39,1.344,1.087,63.64,54.55,36.36,4,7,96.64,-49.14,0.497,-0.145,5,7,EURJPY:1;EURUSD:2;GBPJPY:1;GBPUSD:1;USDJPY:6,2025-01:3;2025-02:2;2025-03:1;2025-04:1;2025-06:2;2025-08:1;2025-11:1,LONG:4;SHORT:7
