period,run,scenario,trade_index,open_time,close_time,symbol,direction,net_profit,final_result_R,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,reached_3R,time_to_0_5R,time_to_1R,time_to_1_5R,time_to_2R,time_to_3R,time_to_SL,would_1R_take_profit_help,would_1_5R_take_profit_help,would_2R_take_profit_work,did_price_reverse_after_1R,did_price_reverse_after_1_5R,mfe_bucket,failure_type,winning_type
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2025.10.02 06:00:00,2025.10.02 11:49:35,XAUUSD,LONG,99.6,2.0,2.177,0.904,1,1,1,1,0,10.0,185.0,195.0,345.0,,,0,0,1,0,0,2R+,,retest_then_go
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2025.10.10 15:05:00,2025.10.10 18:05:47,XAUUSD,SHORT,-49.4,-1.001,1.412,1.932,1,1,0,0,0,40.0,110.0,,,,180.0,1,0,0,1,0,1-1.5R,false_breakout,
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,3,2025.10.16 16:35:00,2025.10.16 17:33:39,USDJPY,SHORT,98.56,2.0,2.181,0.062,1,1,1,1,0,0.0,10.0,35.0,55.0,,,0,0,1,0,0,2R+,,retest_then_go
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,4,2025.10.17 23:35:00,2025.10.20 15:35:45,XAUUSD,LONG,63.94,2.0,2.455,0.776,1,1,1,1,0,2965.0,3800.0,3820.0,3840.0,,,0,0,1,0,0,2R+,,retest_then_go
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.10.02 06:00:00,2025.10.02 11:49:35,XAUUSD,LONG,99.6,2.0,2.177,0.904,1,1,1,1,0,10.0,185.0,195.0,345.0,,,0,0,1,0,0,2R+,,retest_then_go
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.10.10 15:05:00,2025.10.10 18:05:47,XAUUSD,SHORT,-49.4,-1.001,1.412,1.932,1,1,0,0,0,40.0,110.0,,,,180.0,1,0,0,1,0,1-1.5R,false_breakout,
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2025.10.16 16:35:00,2025.10.16 17:33:39,USDJPY,SHORT,98.56,2.0,2.181,0.062,1,1,1,1,0,0.0,10.0,35.0,55.0,,,0,0,1,0,0,2R+,,retest_then_go
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2025.10.20 09:20:00,2025.10.20 12:08:20,USDJPY,SHORT,100.87,2.025,2.234,0.614,1,1,1,1,0,10.0,160.0,165.0,165.0,,,0,0,1,0,0,2R+,,fast_follow_through
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2025.10.17 23:35:00,2025.10.20 15:35:45,XAUUSD,LONG,63.94,2.0,2.455,0.776,1,1,1,1,0,2965.0,3800.0,3820.0,3840.0,,,0,0,1,0,0,2R+,,retest_then_go
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2026.01.14 20:05:00,2026.01.16 04:40:12,USDJPY,LONG,-43.419999999999995,-1.004,1.914,1.5,1,1,1,0,0,100.0,545.0,1170.0,,,1955.0,1,1,0,1,1,1.5-2R,target_too_far,
