variant,symbol,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_micro_break_only,GBPJPY,1,1,1,0,100.0,69.92,,69.92,1.499,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,GBPUSD,2,2,0,2,0.0,-100.33,0.0,-50.16,-1.006,100.33,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,USDJPY,8,8,4,4,50.0,103.2,1.526,12.9,0.258,49.78,0.49,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,XAUUSD,54,54,22,32,40.74,7.02,1.005,0.13,0.016,386.22,3.72,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,EURJPY,1,1,1,0,100.0,80.06,,80.06,1.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,EURUSD,4,4,2,2,50.0,53.96,1.478,13.49,0.248,112.86,1.12,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,GBPJPY,5,5,1,4,20.0,-127.78,0.393,-25.56,-0.512,153.95,1.54,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,GBPUSD,4,4,1,3,25.0,-79.21,0.503,-19.8,-0.38,103.01,1.03,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,USDJPY,18,18,9,9,50.0,209.45,1.453,11.64,0.255,226.36,2.23,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,XAUUSD,110,110,53,57,48.18,1506.8,1.551,13.7,0.212,411.63,3.47,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,EURJPY,1,1,1,0,100.0,85.47,,85.47,1.51,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,EURUSD,6,6,4,2,66.67,220.81,2.928,36.8,0.668,58.63,0.58,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,GBPJPY,5,5,1,4,20.0,-126.23,0.4,-25.25,-0.512,153.95,1.54,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,GBPUSD,6,6,1,5,16.67,-189.49,0.297,-31.58,-0.588,189.49,1.89,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,USDJPY,24,24,10,14,41.67,36.2,1.051,1.51,0.048,345.29,3.38,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,XAUUSD,124,124,61,63,49.19,1799.07,1.582,14.51,0.24,440.33,3.63,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
