trade_band_group,rank,combination_id,enabled_conditions,condition_count,trades,trade_band,win_rate,PF,avg_R,net,maxDD,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,LONG PF,SHORT PF,symbols_count,symbol_distribution,max_symbol_share_pct,months_count,month_distribution,max_month_share_pct,sessions_count,session_distribution,cond_h4_ma_bias,cond_h4_fib_382_618,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_close_bos,cond_room_to_2r,cond_round_or_major_obstacle_clear
50-100_small,12,134,cond_h4_fib_382_618;cond_h1_counter_nwave;cond_true_bos_level;cond_round_or_major_obstacle_clear,4,92,50-100_small,28.26,0.658,-0.213,-452.08,563.22,1.439,1.467,71.74,50.0,31.52,50,42,-208.43,-243.65,-0.162,-0.273,0.665,0.651,6,AUDJPY:8;EURJPY:6;EURUSD:18;GBPJPY:8;GBPUSD:9;USDJPY:43,46.74,11,2025-01:13;2025-02:6;2025-03:10;2025-04:15;2025-05:13;2025-06:11;2025-07:5;2025-08:5;2025-09:5;2025-11:4;2025-12:5,16.3,3,server_00_07:21;server_08_15:34;server_16_23:37,false,true,true,false,true,false,false,true
50-100_small,13,137,cond_h4_fib_382_618;cond_h1_counter_nwave;cond_room_to_2r;cond_round_or_major_obstacle_clear,4,92,50-100_small,28.26,0.658,-0.213,-452.08,563.22,1.439,1.467,71.74,50.0,31.52,50,42,-208.43,-243.65,-0.162,-0.273,0.665,0.651,6,AUDJPY:8;EURJPY:6;EURUSD:18;GBPJPY:8;GBPUSD:9;USDJPY:43,46.74,11,2025-01:13;2025-02:6;2025-03:10;2025-04:15;2025-05:13;2025-06:11;2025-07:5;2025-08:5;2025-09:5;2025-11:4;2025-12:5,16.3,3,server_00_07:21;server_08_15:34;server_16_23:37,false,true,true,false,false,false,true,true
50-100_small,14,206,cond_h4_fib_382_618;cond_h1_counter_nwave;cond_true_bos_level;cond_room_to_2r;cond_round_or_major_obstacle_clear,5,92,50-100_small,28.26,0.658,-0.213,-452.08,563.22,1.439,1.467,71.74,50.0,31.52,50,42,-208.43,-243.65,-0.162,-0.273,0.665,0.651,6,AUDJPY:8;EURJPY:6;EURUSD:18;GBPJPY:8;GBPUSD:9;USDJPY:43,46.74,11,2025-01:13;2025-02:6;2025-03:10;2025-04:15;2025-05:13;2025-06:11;2025-07:5;2025-08:5;2025-09:5;2025-11:4;2025-12:5,16.3,3,server_00_07:21;server_08_15:34;server_16_23:37,false,true,true,false,true,false,true,true
50-100_small,15,6,cond_m15_close_bos,1,88,50-100_small,21.59,0.622,0.107,-394.44,545.29,1.094,1.0,61.36,37.5,19.32,50,38,-299.76,-94.68,0.295,-0.141,0.55,0.75,6,AUDJPY:4;EURJPY:15;EURUSD:18;GBPJPY:11;GBPUSD:16;USDJPY:24,27.27,12,2025-01:6;2025-02:4;2025-03:11;2025-04:8;2025-05:11;2025-06:9;2025-07:5;2025-08:6;2025-09:9;2025-10:7;2025-11:10;2025-12:2,12.5,3,server_00_07:19;server_08_15:29;server_16_23:40,false,false,false,false,false,true,false,false
50-100_small,16,31,cond_true_bos_level;cond_m15_close_bos,2,88,50-100_small,21.59,0.622,0.107,-394.44,545.29,1.094,1.0,61.36,37.5,19.32,50,38,-299.76,-94.68,0.295,-0.141,0.55,0.75,6,AUDJPY:4;EURJPY:15;EURUSD:18;GBPJPY:11;GBPUSD:16;USDJPY:24,27.27,12,2025-01:6;2025-02:4;2025-03:11;2025-04:8;2025-05:11;2025-06:9;2025-07:5;2025-08:6;2025-09:9;2025-10:7;2025-11:10;2025-12:2,12.5,3,server_00_07:19;server_08_15:29;server_16_23:40,false,false,false,false,true,true,false,false
50-100_small,17,166,cond_h4_ma_bias;cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_round_or_major_obstacle_clear,5,57,50-100_small,28.07,0.564,-0.231,-387.87,514.35,1.423,1.466,70.18,54.39,29.82,33,24,-226.7,-161.17,-0.332,-0.093,0.421,0.676,6,AUDJPY:4;EURJPY:3;EURUSD:14;GBPJPY:3;GBPUSD:8;USDJPY:25,43.86,11,2025-01:9;2025-02:5;2025-03:4;2025-04:15;2025-05:4;2025-06:5;2025-07:3;2025-08:2;2025-09:2;2025-11:4;2025-12:4,26.32,3,server_00_07:14;server_08_15:19;server_16_23:24,true,true,true,true,false,false,false,true
50-100_small,18,221,cond_h4_ma_bias;cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_round_or_major_obstacle_clear,6,57,50-100_small,28.07,0.564,-0.231,-387.87,514.35,1.423,1.466,70.18,54.39,29.82,33,24,-226.7,-161.17,-0.332,-0.093,0.421,0.676,6,AUDJPY:4;EURJPY:3;EURUSD:14;GBPJPY:3;GBPUSD:8;USDJPY:25,43.86,11,2025-01:9;2025-02:5;2025-03:4;2025-04:15;2025-05:4;2025-06:5;2025-07:3;2025-08:2;2025-09:2;2025-11:4;2025-12:4,26.32,3,server_00_07:14;server_08_15:19;server_16_23:24,true,true,true,true,true,false,false,true
50-100_small,19,224,cond_h4_ma_bias;cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_room_to_2r;cond_round_or_major_obstacle_clear,6,57,50-100_small,28.07,0.564,-0.231,-387.87,514.35,1.423,1.466,70.18,54.39,29.82,33,24,-226.7,-161.17,-0.332,-0.093,0.421,0.676,6,AUDJPY:4;EURJPY:3;EURUSD:14;GBPJPY:3;GBPUSD:8;USDJPY:25,43.86,11,2025-01:9;2025-02:5;2025-03:4;2025-04:15;2025-05:4;2025-06:5;2025-07:3;2025-08:2;2025-09:2;2025-11:4;2025-12:4,26.32,3,server_00_07:14;server_08_15:19;server_16_23:24,true,true,true,true,false,false,true,true
50-100_small,20,249,cond_h4_ma_bias;cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r;cond_round_or_major_obstacle_clear,7,57,50-100_small,28.07,0.564,-0.231,-387.87,514.35,1.423,1.466,70.18,54.39,29.82,33,24,-226.7,-161.17,-0.332,-0.093,0.421,0.676,6,AUDJPY:4;EURJPY:3;EURUSD:14;GBPJPY:3;GBPUSD:8;USDJPY:25,43.86,11,2025-01:9;2025-02:5;2025-03:4;2025-04:15;2025-05:4;2025-06:5;2025-07:3;2025-08:2;2025-09:2;2025-11:4;2025-12:4,26.32,3,server_00_07:14;server_08_15:19;server_16_23:24,true,true,true,true,true,false,true,true
100-300_main,1,66,cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_round_or_major_obstacle_clear,3,231,100-300_main,28.57,0.943,-0.189,-156.88,685.11,1.436,1.437,71.86,50.65,29.87,121,110,81.07,-237.95,-0.063,-0.328,1.058,0.825,6,AUDJPY:15;EURJPY:21;EURUSD:48;GBPJPY:14;GBPUSD:29;USDJPY:104,45.02,12,2025-01:29;2025-02:13;2025-03:21;2025-04:32;2025-05:33;2025-06:24;2025-07:14;2025-08:12;2025-09:17;2025-10:5;2025-11:15;2025-12:16,14.29,3,server_00_07:54;server_08_15:78;server_16_23:99,false,true,false,true,false,false,false,true
100-300_main,2,140,cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_true_bos_level;cond_round_or_major_obstacle_clear,4,231,100-300_main,28.57,0.943,-0.189,-156.88,685.11,1.436,1.437,71.86,50.65,29.87,121,110,81.07,-237.95,-0.063,-0.328,1.058,0.825,6,AUDJPY:15;EURJPY:21;EURUSD:48;GBPJPY:14;GBPUSD:29;USDJPY:104,45.02,12,2025-01:29;2025-02:13;2025-03:21;2025-04:32;2025-05:33;2025-06:24;2025-07:14;2025-08:12;2025-09:17;2025-10:5;2025-11:15;2025-12:16,14.29,3,server_00_07:54;server_08_15:78;server_16_23:99,false,true,false,true,true,false,false,true
100-300_main,3,143,cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_room_to_2r;cond_round_or_major_obstacle_clear,4,231,100-300_main,28.57,0.943,-0.189,-156.88,685.11,1.436,1.437,71.86,50.65,29.87,121,110,81.07,-237.95,-0.063,-0.328,1.058,0.825,6,AUDJPY:15;EURJPY:21;EURUSD:48;GBPJPY:14;GBPUSD:29;USDJPY:104,45.02,12,2025-01:29;2025-02:13;2025-03:21;2025-04:32;2025-05:33;2025-06:24;2025-07:14;2025-08:12;2025-09:17;2025-10:5;2025-11:15;2025-12:16,14.29,3,server_00_07:54;server_08_15:78;server_16_23:99,false,true,false,true,false,false,true,true
100-300_main,4,210,cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r;cond_round_or_major_obstacle_clear,5,231,100-300_main,28.57,0.943,-0.189,-156.88,685.11,1.436,1.437,71.86,50.65,29.87,121,110,81.07,-237.95,-0.063,-0.328,1.058,0.825,6,AUDJPY:15;EURJPY:21;EURUSD:48;GBPJPY:14;GBPUSD:29;USDJPY:104,45.02,12,2025-01:29;2025-02:13;2025-03:21;2025-04:32;2025-05:33;2025-06:24;2025-07:14;2025-08:12;2025-09:17;2025-10:5;2025-11:15;2025-12:16,14.29,3,server_00_07:54;server_08_15:78;server_16_23:99,false,true,false,true,true,false,true,true
100-300_main,5,21,cond_h4_fib_382_618;cond_round_or_major_obstacle_clear,2,257,100-300_main,28.79,0.895,-0.187,-315.22,774.64,1.438,1.429,72.76,49.42,29.57,127,130,67.17,-382.39,-0.06,-0.311,1.047,0.757,6,AUDJPY:19;EURJPY:23;EURUSD:52;GBPJPY:14;GBPUSD:31;USDJPY:118,45.91,12,2025-01:29;2025-02:14;2025-03:24;2025-04:34;2025-05:34;2025-06:30;2025-07:17;2025-08:13;2025-09:17;2025-10:8;2025-11:20;2025-12:17,13.23,3,server_00_07:65;server_08_15:87;server_16_23:105,false,true,false,false,false,false,false,true
100-300_main,6,69,cond_h4_fib_382_618;cond_true_bos_level;cond_round_or_major_obstacle_clear,3,257,100-300_main,28.79,0.895,-0.187,-315.22,774.64,1.438,1.429,72.76,49.42,29.57,127,130,67.17,-382.39,-0.06,-0.311,1.047,0.757,6,AUDJPY:19;EURJPY:23;EURUSD:52;GBPJPY:14;GBPUSD:31;USDJPY:118,45.91,12,2025-01:29;2025-02:14;2025-03:24;2025-04:34;2025-05:34;2025-06:30;2025-07:17;2025-08:13;2025-09:17;2025-10:8;2025-11:20;2025-12:17,13.23,3,server_00_07:65;server_08_15:87;server_16_23:105,false,true,false,false,true,false,false,true
100-300_main,7,72,cond_h4_fib_382_618;cond_room_to_2r;cond_round_or_major_obstacle_clear,3,257,100-300_main,28.79,0.895,-0.187,-315.22,774.64,1.438,1.429,72.76,49.42,29.57,127,130,67.17,-382.39,-0.06,-0.311,1.047,0.757,6,AUDJPY:19;EURJPY:23;EURUSD:52;GBPJPY:14;GBPUSD:31;USDJPY:118,45.91,12,2025-01:29;2025-02:14;2025-03:24;2025-04:34;2025-05:34;2025-06:30;2025-07:17;2025-08:13;2025-09:17;2025-10:8;2025-11:20;2025-12:17,13.23,3,server_00_07:65;server_08_15:87;server_16_23:105,false,true,false,false,false,false,true,true
100-300_main,8,146,cond_h4_fib_382_618;cond_true_bos_level;cond_room_to_2r;cond_round_or_major_obstacle_clear,4,257,100-300_main,28.79,0.895,-0.187,-315.22,774.64,1.438,1.429,72.76,49.42,29.57,127,130,67.17,-382.39,-0.06,-0.311,1.047,0.757,6,AUDJPY:19;EURJPY:23;EURUSD:52;GBPJPY:14;GBPUSD:31;USDJPY:118,45.91,12,2025-01:29;2025-02:14;2025-03:24;2025-04:34;2025-05:34;2025-06:30;2025-07:17;2025-08:13;2025-09:17;2025-10:8;2025-11:20;2025-12:17,13.23,3,server_00_07:65;server_08_15:87;server_16_23:105,false,true,false,false,true,false,true,true
100-300_main,9,38,cond_h4_ma_bias;cond_h4_fib_382_618;cond_h1_counter_wave_atr,3,263,100-300_main,27.0,0.8,-0.117,-714.45,808.93,1.308,1.341,66.54,49.81,27.0,152,111,-510.12,-204.33,-0.174,-0.039,0.697,0.892,6,AUDJPY:18;EURJPY:27;EURUSD:48;GBPJPY:23;GBPUSD:37;USDJPY:110,41.83,12,2025-01:42;2025-02:19;2025-03:15;2025-04:40;2025-05:39;2025-06:34;2025-07:17;2025-08:6;2025-09:19;2025-10:3;2025-11:13;2025-12:16,15.97,3,server_00_07:56;server_08_15:100;server_16_23:107,true,true,false,true,false,false,false,false
100-300_main,10,98,cond_h4_ma_bias;cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_true_bos_level,4,263,100-300_main,27.0,0.8,-0.117,-714.45,808.93,1.308,1.341,66.54,49.81,27.0,152,111,-510.12,-204.33,-0.174,-0.039,0.697,0.892,6,AUDJPY:18;EURJPY:27;EURUSD:48;GBPJPY:23;GBPUSD:37;USDJPY:110,41.83,12,2025-01:42;2025-02:19;2025-03:15;2025-04:40;2025-05:39;2025-06:34;2025-07:17;2025-08:6;2025-09:19;2025-10:3;2025-11:13;2025-12:16,15.97,3,server_00_07:56;server_08_15:100;server_16_23:107,true,true,false,true,true,false,false,false
100-300_main,11,130,cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_room_to_2r,4,161,100-300_main,27.95,0.792,-0.169,-470.59,564.41,1.354,1.423,70.81,49.69,29.81,82,79,-301.57,-169.02,-0.147,-0.193,0.708,0.862,6,AUDJPY:20;EURJPY:18;EURUSD:25;GBPJPY:12;GBPUSD:15;USDJPY:71,44.1,12,2025-01:22;2025-02:6;2025-03:24;2025-04:27;2025-05:31;2025-06:14;2025-07:8;2025-08:6;2025-09:7;2025-10:2;2025-11:5;2025-12:9,19.25,3,server_00_07:33;server_08_15:64;server_16_23:64,false,true,true,true,false,false,true,false
100-300_main,12,199,cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r,5,161,100-300_main,27.95,0.792,-0.169,-470.59,564.41,1.354,1.423,70.81,49.69,29.81,82,79,-301.57,-169.02,-0.147,-0.193,0.708,0.862,6,AUDJPY:20;EURJPY:18;EURUSD:25;GBPJPY:12;GBPUSD:15;USDJPY:71,44.1,12,2025-01:22;2025-02:6;2025-03:24;2025-04:27;2025-05:31;2025-06:14;2025-07:8;2025-08:6;2025-09:7;2025-10:2;2025-11:5;2025-12:9,19.25,3,server_00_07:33;server_08_15:64;server_16_23:64,false,true,true,true,true,false,true,false
100-300_main,13,61,cond_h4_fib_382_618;cond_h1_counter_nwave;cond_room_to_2r,3,163,100-300_main,27.61,0.786,-0.18,-486.69,580.51,1.342,1.429,70.55,49.08,29.45,84,79,-317.67,-169.02,-0.167,-0.193,0.697,0.862,6,AUDJPY:20;EURJPY:18;EURUSD:25;GBPJPY:12;GBPUSD:15;USDJPY:73,44.79,12,2025-01:22;2025-02:6;2025-03:24;2025-04:27;2025-05:31;2025-06:16;2025-07:8;2025-08:6;2025-09:7;2025-10:2;2025-11:5;2025-12:9,19.02,3,server_00_07:33;server_08_15:66;server_16_23:64,false,true,true,false,false,false,true,false
100-300_main,14,133,cond_h4_fib_382_618;cond_h1_counter_nwave;cond_true_bos_level;cond_room_to_2r,4,163,100-300_main,27.61,0.786,-0.18,-486.69,580.51,1.342,1.429,70.55,49.08,29.45,84,79,-317.67,-169.02,-0.167,-0.193,0.697,0.862,6,AUDJPY:20;EURJPY:18;EURUSD:25;GBPJPY:12;GBPUSD:15;USDJPY:73,44.79,12,2025-01:22;2025-02:6;2025-03:24;2025-04:27;2025-05:31;2025-06:16;2025-07:8;2025-08:6;2025-09:7;2025-10:2;2025-11:5;2025-12:9,19.02,3,server_00_07:33;server_08_15:66;server_16_23:64,false,true,true,false,true,false,true,false
100-300_main,15,58,cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr,3,193,100-300_main,26.42,0.754,-0.164,-675.88,770.1,1.302,1.372,67.36,48.19,27.98,94,99,-396.94,-278.94,-0.178,-0.15,0.66,0.824,6,AUDJPY:23;EURJPY:22;EURUSD:30;GBPJPY:16;GBPUSD:18;USDJPY:84,43.52,12,2025-01:27;2025-02:9;2025-03:27;2025-04:32;2025-05:35;2025-06:23;2025-07:9;2025-08:6;2025-09:7;2025-10:2;2025-11:6;2025-12:10,18.13,3,server_00_07:40;server_08_15:74;server_16_23:79,false,true,true,true,false,false,false,false
100-300_main,16,128,cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level,4,193,100-300_main,26.42,0.754,-0.164,-675.88,770.1,1.302,1.372,67.36,48.19,27.98,94,99,-396.94,-278.94,-0.178,-0.15,0.66,0.824,6,AUDJPY:23;EURJPY:22;EURUSD:30;GBPJPY:16;GBPUSD:18;USDJPY:84,43.52,12,2025-01:27;2025-02:9;2025-03:27;2025-04:32;2025-05:35;2025-06:23;2025-07:9;2025-08:6;2025-09:7;2025-10:2;2025-11:6;2025-12:10,18.13,3,server_00_07:40;server_08_15:74;server_16_23:79,false,true,true,true,true,false,false,false
100-300_main,17,101,cond_h4_ma_bias;cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_round_or_major_obstacle_clear,4,129,100-300_main,24.81,0.752,-0.233,-417.58,508.6,1.39,1.476,69.77,51.94,27.13,76,53,-172.81,-244.77,-0.195,-0.288,0.783,0.724,6,AUDJPY:9;EURJPY:12;EURUSD:30;GBPJPY:4;GBPUSD:20;USDJPY:54,41.86,11,2025-01:18;2025-02:8;2025-03:7;2025-04:26;2025-05:17;2025-06:16;2025-07:7;2025-08:4;2025-09:9;2025-11:7;2025-12:10,20.16,3,server_00_07:29;server_08_15:45;server_16_23:55,true,true,false,true,false,false,false,true
100-300_main,18,175,cond_h4_ma_bias;cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_true_bos_level;cond_round_or_major_obstacle_clear,5,129,100-300_main,24.81,0.752,-0.233,-417.58,508.6,1.39,1.476,69.77,51.94,27.13,76,53,-172.81,-244.77,-0.195,-0.288,0.783,0.724,6,AUDJPY:9;EURJPY:12;EURUSD:30;GBPJPY:4;GBPUSD:20;USDJPY:54,41.86,11,2025-01:18;2025-02:8;2025-03:7;2025-04:26;2025-05:17;2025-06:16;2025-07:7;2025-08:4;2025-09:9;2025-11:7;2025-12:10,20.16,3,server_00_07:29;server_08_15:45;server_16_23:55,true,true,false,true,true,false,false,true
100-300_main,19,178,cond_h4_ma_bias;cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_room_to_2r;cond_round_or_major_obstacle_clear,5,129,100-300_main,24.81,0.752,-0.233,-417.58,508.6,1.39,1.476,69.77,51.94,27.13,76,53,-172.81,-244.77,-0.195,-0.288,0.783,0.724,6,AUDJPY:9;EURJPY:12;EURUSD:30;GBPJPY:4;GBPUSD:20;USDJPY:54,41.86,11,2025-01:18;2025-02:8;2025-03:7;2025-04:26;2025-05:17;2025-06:16;2025-07:7;2025-08:4;2025-09:9;2025-11:7;2025-12:10,20.16,3,server_00_07:29;server_08_15:45;server_16_23:55,true,true,false,true,false,false,true,true
100-300_main,20,231,cond_h4_ma_bias;cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r;cond_round_or_major_obstacle_clear,6,129,100-300_main,24.81,0.752,-0.233,-417.58,508.6,1.39,1.476,69.77,51.94,27.13,76,53,-172.81,-244.77,-0.195,-0.288,0.783,0.724,6,AUDJPY:9;EURJPY:12;EURUSD:30;GBPJPY:4;GBPUSD:20;USDJPY:54,41.86,11,2025-01:18;2025-02:8;2025-03:7;2025-04:26;2025-05:17;2025-06:16;2025-07:7;2025-08:4;2025-09:9;2025-11:7;2025-12:10,20.16,3,server_00_07:29;server_08_15:45;server_16_23:55,true,true,false,true,true,false,true,true
