period,scenario,trade_index,open_time,symbol,direction,net_profit,label,breakout_close_strength_raw,close_position_in_bar_raw,close_position_in_bar_low_side_raw,breakout_close_strength_directional,close_position_in_bar_directional,directional_strength_pass_0_60,retest_quality,failure_type,winning_type
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,21,2026.03.20 09:05:00,XAUUSD,SHORT,-30.59,neckline_break_late,0.55,0.55,0.45,0.45,0.45,0,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,22,2026.03.20 11:50:00,XAUUSD,SHORT,57.29,neckline_break_late,0.237,0.237,0.763,0.763,0.763,1,no_retest_break_and_go,,strong_body_breakout
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,23,2026.03.24 11:20:00,GBPUSD,LONG,-47.36,chasing_after_break,0.017,0.017,0.983,0.017,0.017,0,return_inside_and_fail,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,24,2026.03.24 12:50:00,GBPUSD,LONG,-46.41,chasing_after_break,0.588,0.588,0.412,0.588,0.588,0,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,25,2026.03.26 14:05:00,XAUUSD,LONG,-34.93,clean_nested_nwave_entry,0.677,0.677,0.323,0.677,0.677,1,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2026.01.14 20:05:00,USDJPY,LONG,-43.419999999999995,neckline_break_late,0.676,0.676,0.324,0.676,0.676,1,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2026.01.16 15:35:00,GBPUSD,SHORT,99.94,neckline_break_late,0.024,0.024,0.976,0.976,0.976,1,shallow_retest_then_go,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2026.01.16 18:05:00,GBPUSD,SHORT,-48.94,neckline_break_late,0.743,0.743,0.257,0.257,0.257,0,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2026.01.21 16:05:00,GBPUSD,LONG,-47.96,neckline_break_late,0.062,0.062,0.938,0.062,0.062,0,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2026.01.28 13:05:00,GBPUSD,LONG,-49.28,neckline_break_late,0.0,0.0,1.0,0.0,0.0,0,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,6,2026.01.28 20:05:00,GBPUSD,LONG,-48.0,clean_nested_nwave_entry,0.457,0.457,0.543,0.457,0.457,0,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,7,2026.01.29 01:05:00,EURUSD,LONG,98.55,neckline_break_late,0.857,0.857,0.143,0.857,0.857,1,no_retest_break_and_go,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,8,2026.01.29 03:05:00,USDJPY,SHORT,-50.76,neckline_break_late,0.98,0.98,0.02,0.02,0.02,0,no_retest_break_and_go,late_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,9,2026.01.30 01:50:00,XAUUSD,LONG,-70.76,neckline_break_initial,0.846,0.846,0.154,0.846,0.846,1,unclear,no_follow_through,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,10,2026.02.03 13:50:00,XAUUSD,SHORT,-36.92,neckline_break_late,0.001,0.001,0.999,0.999,0.999,1,immediate_full_false_break,false_breakout,
