period,run,scenario,trade_index,open_time,symbol,direction,net_profit,final_result_R,label,winning_type,failure_type,neckline_price,neckline_source_type,neckline_touch_count,neckline_age_bars,neckline_range_points,neckline_range_atr,right_shoulder_or_right_bottom_distance_points,right_shoulder_or_right_bottom_distance_atr,entry_close_distance_from_neckline_points,entry_close_distance_from_neckline_atr,breakout_body_points,breakout_body_atr,breakout_body_ratio,breakout_wick_ratio,breakout_close_strength,close_position_in_bar,breakout_volume_proxy,bars_since_pattern_completed,bars_since_neckline_defined,bars_since_counter_trend_nwave_completed,immediate_retest_within_4_bars,false_break_return_inside_neckline,false_break_return_bars,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,time_to_0_5R,time_to_1R,time_to_2R,time_to_SL
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,11,2025.02.25 13:05:00,GBPJPY,LONG,-48.76,-1.0,neckline_break_late,,false_breakout,189.051,double_bottom,41,4,255.0,0.973,255.0,0.973,55.0,0.21,11.0,0.042,0.121,0.879,0.22,0.22,531,4,4,4,1,1,1,1.799,1.569,1,1,1,0,25.0,30.0,,235.0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,12,2025.02.26 19:50:00,EURUSD,LONG,-54.67,-1.006,neckline_break_late,,false_breakout,1.0492,double_bottom,53,10,134.0,1.196,134.0,1.196,22.0,0.196,54.0,0.482,0.75,0.25,0.25,0.25,385,10,10,10,1,1,0,0.31,1.224,0,0,0,0,,,,425.0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.02.04 08:05:00,EURJPY,SHORT,-50.05,-1.01,neckline_break_late,,no_follow_through,160.016,double_top,16,7,115.0,0.685,115.0,0.685,163.0,0.97,66.0,0.393,0.564,0.436,0.368,0.368,386,7,7,7,0,0,,0.399,1.068,0,0,0,0,,,,90.0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.02.04 19:35:00,EURUSD,SHORT,-49.3,-1.0,neckline_break_late,,false_breakout,1.03726,double_top,14,3,141.0,1.137,141.0,1.137,11.0,0.089,3.0,0.024,0.038,0.962,0.165,0.165,318,3,3,3,1,1,3,0.112,0.9,0,0,0,0,,,,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2025.02.06 22:35:00,XAUUSD,LONG,85.05000000000001,2.0,neckline_break_late,clean_break_and_go,,2853.65,double_bottom,8,4,325.0,1.332,325.0,1.332,124.0,0.508,34.0,0.139,0.459,0.541,0.527,0.527,482,4,4,4,0,0,,2.503,0.216,1,1,1,1,165.0,220.0,305.0,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2025.02.11 18:05:00,XAUUSD,LONG,-45.07,-1.002,neckline_break_initial,,false_breakout,2904.35,double_bottom,39,4,1353.0,1.938,1353.0,1.938,28.0,0.04,26.0,0.037,0.133,0.867,0.369,0.369,762,4,4,4,1,1,7,0.28,1.094,0,0,0,0,,,,525.0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2025.02.13 20:20:00,GBPJPY,LONG,-50.82,-1.035,clean_nested_nwave_entry,,false_breakout,191.902,double_bottom,21,7,227.0,0.89,227.0,0.89,67.0,0.263,119.0,0.467,0.529,0.471,0.324,0.324,621,7,7,7,1,1,0,0.581,2.934,1,0,0,0,5.0,,,20.0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,6,2025.02.14 11:50:00,GBPJPY,LONG,-49.37,-1.0,neckline_break_late,,false_breakout,191.971,double_bottom,41,8,292.0,1.346,292.0,1.346,87.0,0.401,39.0,0.18,0.696,0.304,0.107,0.107,456,8,8,8,1,1,1,1.024,1.053,1,1,0,0,190.0,205.0,,390.0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,7,2025.02.21 06:05:00,EURJPY,SHORT,-47.47,-1.004,neckline_break_late,,no_follow_through,157.876,double_top,9,3,206.0,0.958,206.0,0.958,49.0,0.228,39.0,0.181,0.574,0.426,0.735,0.735,291,3,3,3,0,0,,0.498,0.909,0,0,0,0,,,,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,8,2025.02.21 10:35:00,EURJPY,SHORT,97.32,2.003,neckline_break_initial,retest_then_go,,157.761,double_top,23,3,392.0,2.361,392.0,2.361,58.0,0.349,255.0,1.536,0.951,0.049,0.049,0.049,781,3,3,3,1,0,,2.308,0.055,1,1,1,1,10.0,55.0,370.0,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,9,2025.02.24 01:05:00,XAUUSD,SHORT,97.58,2.009,neckline_break_late,fast_follow_through,,2937.76,double_top,1,13,507.0,1.701,507.0,1.701,178.0,0.597,431.0,1.446,0.671,0.329,0.146,0.146,581,13,13,13,0,1,0,2.833,0.28,1,1,1,1,25.0,70.0,105.0,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,10,2025.02.24 18:20:00,USDJPY,SHORT,-51.379999999999995,-1.0,neckline_break_late,,false_breakout,149.6,double_top,25,10,266.0,1.612,266.0,1.612,67.0,0.406,68.0,0.412,0.66,0.34,0.068,0.068,539,10,10,10,1,1,1,0.444,1.066,0,0,0,0,,,,410.0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,11,2025.02.24 18:35:00,AUDJPY,SHORT,95.52,2.0,neckline_break_late,clean_break_and_go,,95.276,double_top,60,11,162.0,0.994,162.0,0.994,103.0,0.632,30.0,0.184,0.652,0.348,0.283,0.283,370,11,11,11,0,0,,2.201,0.437,1,1,1,1,255.0,890.0,920.0,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,12,2025.02.25 13:05:00,GBPJPY,LONG,-48.76,-1.0,neckline_break_late,,false_breakout,189.051,double_bottom,41,4,255.0,0.973,255.0,0.973,55.0,0.21,11.0,0.042,0.121,0.879,0.22,0.22,531,4,4,4,1,1,1,1.799,1.569,1,1,1,0,25.0,30.0,,235.0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,13,2025.02.26 19:50:00,EURUSD,LONG,-54.67,-1.006,neckline_break_late,,false_breakout,1.0492,double_bottom,53,10,134.0,1.196,134.0,1.196,22.0,0.196,54.0,0.482,0.75,0.25,0.25,0.25,385,10,10,10,1,1,0,0.31,1.224,0,0,0,0,,,,425.0
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2025.08.06 16:35:00,XAUUSD,LONG,79.91,2.009,neckline_break_late,retest_then_go,,3367.0,double_bottom,18,5,681.0,1.769,681.0,1.769,7.0,0.018,237.0,0.616,0.436,0.564,0.224,0.224,2086,5,5,5,1,1,0,2.185,0.247,1,1,1,1,15.0,30.0,725.0,
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2025.08.21 17:20:00,GBPJPY,SHORT,-52.77,-1.006,neckline_break_late,,false_breakout,198.909,double_top,14,13,305.0,1.605,305.0,1.605,12.0,0.063,76.0,0.4,0.987,0.013,0.013,0.013,686,13,13,13,1,1,0,0.616,0.991,1,0,0,0,400.0,,,
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.08.06 16:35:00,XAUUSD,LONG,79.91,2.009,neckline_break_late,retest_then_go,,3367.0,double_bottom,18,5,681.0,1.769,681.0,1.769,7.0,0.018,237.0,0.616,0.436,0.564,0.224,0.224,2086,5,5,5,1,1,0,2.185,0.247,1,1,1,1,15.0,30.0,725.0,
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.08.21 17:20:00,GBPJPY,SHORT,-52.77,-1.006,neckline_break_late,,false_breakout,198.909,double_top,14,13,305.0,1.605,305.0,1.605,12.0,0.063,76.0,0.4,0.987,0.013,0.013,0.013,686,13,13,13,1,1,0,0.616,0.991,1,0,0,0,400.0,,,
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2025.10.02 06:00:00,XAUUSD,LONG,99.6,2.0,neckline_break_initial,retest_then_go,,3865.17,double_bottom,56,4,360.0,0.702,360.0,0.702,112.0,0.218,112.0,0.218,0.789,0.211,0.141,0.141,921,4,4,4,1,1,7,2.177,0.904,1,1,1,1,10.0,185.0,345.0,
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2025.10.10 15:05:00,XAUUSD,SHORT,-49.4,-1.001,neckline_break_initial,,false_breakout,3990.81,double_top,27,6,927.0,1.213,927.0,1.213,269.0,0.352,100.0,0.131,0.338,0.662,0.463,0.463,2409,6,6,6,1,1,2,1.412,1.932,1,1,0,0,40.0,110.0,,180.0
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,3,2025.10.16 16:35:00,USDJPY,SHORT,98.56,2.0,neckline_break_late,retest_then_go,,151.154,double_top,34,8,213.0,1.852,213.0,1.852,56.0,0.487,70.0,0.609,0.745,0.255,0.255,0.255,810,8,8,8,1,0,,2.181,0.062,1,1,1,1,0.0,10.0,55.0,
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,4,2025.10.17 23:35:00,XAUUSD,LONG,63.94,2.0,neckline_break_initial,retest_then_go,,4244.63,double_bottom,21,5,3210.0,2.052,3210.0,2.052,50.0,0.032,177.0,0.113,0.543,0.457,0.396,0.396,1932,5,5,5,1,0,,2.455,0.776,1,1,1,1,2965.0,3800.0,3840.0,
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.10.02 06:00:00,XAUUSD,LONG,99.6,2.0,neckline_break_initial,retest_then_go,,3865.17,double_bottom,56,4,360.0,0.702,360.0,0.702,112.0,0.218,112.0,0.218,0.789,0.211,0.141,0.141,921,4,4,4,1,1,7,2.177,0.904,1,1,1,1,10.0,185.0,345.0,
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.10.10 15:05:00,XAUUSD,SHORT,-49.4,-1.001,neckline_break_initial,,false_breakout,3990.81,double_top,27,6,927.0,1.213,927.0,1.213,269.0,0.352,100.0,0.131,0.338,0.662,0.463,0.463,2409,6,6,6,1,1,2,1.412,1.932,1,1,0,0,40.0,110.0,,180.0
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2025.10.16 16:35:00,USDJPY,SHORT,98.56,2.0,neckline_break_late,retest_then_go,,151.154,double_top,34,8,213.0,1.852,213.0,1.852,56.0,0.487,70.0,0.609,0.745,0.255,0.255,0.255,810,8,8,8,1,0,,2.181,0.062,1,1,1,1,0.0,10.0,55.0,
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2025.10.20 09:20:00,USDJPY,SHORT,100.87,2.025,neckline_break_late,fast_follow_through,,150.804,double_top,27,14,83.0,0.874,83.0,0.874,99.0,1.042,58.0,0.611,0.586,0.414,0.04,0.04,320,14,14,14,0,0,,2.234,0.614,1,1,1,1,10.0,160.0,165.0,
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2025.10.17 23:35:00,XAUUSD,LONG,63.94,2.0,neckline_break_initial,retest_then_go,,4244.63,double_bottom,21,5,3210.0,2.052,3210.0,2.052,50.0,0.032,177.0,0.113,0.543,0.457,0.396,0.396,1932,5,5,5,1,0,,2.455,0.776,1,1,1,1,2965.0,3800.0,3840.0,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2026.01.14 20:05:00,USDJPY,LONG,-43.419999999999995,-1.004,neckline_break_late,,target_too_far,158.277,double_bottom,23,4,162.0,1.339,162.0,1.339,86.0,0.711,50.0,0.413,0.676,0.324,0.676,0.676,474,4,4,4,0,0,,1.914,1.5,1,1,1,0,100.0,545.0,,1955.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2026.01.16 15:35:00,GBPUSD,SHORT,99.94,2.039,neckline_break_late,retest_then_go,,1.34041,double_top,27,7,74.0,0.961,74.0,0.961,40.0,0.519,25.0,0.325,0.61,0.39,0.976,0.976,562,7,7,7,1,1,2,2.69,0.566,1,1,1,1,100.0,105.0,120.0,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,3,2026.01.16 18:05:00,GBPUSD,SHORT,-48.94,-1.005,neckline_break_late,,target_too_far,1.33945,double_top,24,4,86.0,0.851,86.0,0.851,119.0,1.178,55.0,0.545,0.743,0.257,0.257,0.257,833,4,4,4,0,0,,1.864,1.077,1,1,1,0,3235.0,3235.0,,3335.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,4,2026.01.21 16:05:00,GBPUSD,LONG,-47.96,-1.0,neckline_break_late,,false_breakout,1.34267,double_bottom,7,3,151.0,1.495,151.0,1.495,52.0,0.515,107.0,1.059,0.823,0.177,0.062,0.062,1088,3,3,3,1,1,2,1.22,1.032,1,1,0,0,25.0,35.0,,325.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,5,2026.01.28 13:05:00,GBPUSD,LONG,-49.28,-1.0,neckline_break_late,,false_breakout,1.37917,double_bottom,17,3,161.0,1.298,161.0,1.298,103.0,0.831,126.0,1.016,0.984,0.016,0.0,0.0,784,3,3,3,0,1,0,0.0,1.013,0,0,0,0,,,,0.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,6,2026.01.28 20:05:00,GBPUSD,LONG,-48.0,-1.0,clean_nested_nwave_entry,,false_breakout,1.37869,double_bottom,47,3,155.0,0.824,155.0,0.824,19.0,0.101,16.0,0.085,0.348,0.652,0.457,0.457,669,3,3,3,1,1,0,0.146,1.177,0,0,0,0,,,,30.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,7,2026.01.29 01:05:00,EURUSD,LONG,98.55,2.017,neckline_break_late,retest_then_go,,1.19521,double_bottom,27,6,113.0,1.119,113.0,1.119,48.0,0.475,8.0,0.079,0.381,0.619,0.857,0.857,194,6,6,6,1,0,,2.149,0.304,1,1,1,1,15.0,30.0,475.0,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,8,2026.01.30 01:50:00,XAUUSD,LONG,-70.76,-1.007,neckline_break_initial,,no_follow_through,5426.14,double_bottom,9,4,5139.0,1.39,5139.0,1.39,1705.0,0.461,474.0,0.128,0.793,0.207,0.846,0.846,2584,4,4,4,0,0,,0.11,2.009,0,0,0,0,,,,75.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,9,2026.02.03 13:50:00,XAUUSD,SHORT,-36.92,-1.013,neckline_break_late,,false_breakout,4914.14,double_top,29,4,985.0,0.499,985.0,0.499,739.0,0.374,277.0,0.14,0.33,0.67,0.999,0.999,2230,4,4,4,1,1,1,0.433,1.593,0,0,0,0,,,,10.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,10,2026.02.12 18:50:00,USDJPY,SHORT,-53.13,-1.011,neckline_break_late,,late_breakout,152.828,double_top,29,5,227.0,0.942,227.0,0.942,100.0,0.415,1.0,0.004,0.013,0.987,0.592,0.592,1335,5,5,5,0,0,,0.549,1.466,1,0,0,0,30.0,,,495.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,11,2026.02.13 16:50:00,GBPJPY,SHORT,-48.41,-1.014,neckline_break_late,,false_breakout,208.452,double_top,32,3,321.0,1.529,321.0,1.529,78.0,0.371,98.0,0.467,0.405,0.595,0.591,0.591,1773,3,3,3,1,1,0,0.694,1.541,1,0,0,0,0.0,,,20.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,12,2026.02.13 17:20:00,EURJPY,SHORT,-50.4,-1.02,neckline_break_late,,target_too_far,181.674,double_top,28,9,186.0,1.057,186.0,1.057,77.0,0.437,51.0,0.29,0.646,0.354,0.646,0.646,646,9,9,9,0,0,,1.717,1.113,1,1,1,0,20.0,25.0,,3835.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,13,2026.02.18 12:50:00,XAUUSD,SHORT,-42.56,-1.01,neckline_break_initial,,false_breakout,4913.03,double_top,10,6,1004.0,1.353,1004.0,1.353,12.0,0.016,78.0,0.105,0.479,0.521,0.417,0.417,1046,6,6,6,1,1,1,0.617,1.261,1,0,0,0,55.0,,,75.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,14,2026.02.23 17:35:00,EURUSD,LONG,-47.79,-1.0,neckline_break_late,,false_breakout,1.18023,double_bottom,11,3,86.0,1.178,86.0,1.178,18.0,0.247,35.0,0.479,0.603,0.397,0.0,0.0,632,3,3,3,1,1,0,0.333,1.099,0,0,0,0,,,,15.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,15,2026.02.26 09:35:00,USDJPY,LONG,-47.63,-1.014,neckline_break_late,,false_breakout,156.063,double_bottom,20,3,151.0,1.198,151.0,1.198,50.0,0.397,54.0,0.429,0.73,0.27,0.027,0.027,426,3,3,3,1,1,3,0.586,1.32,1,0,0,0,390.0,,,430.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,16,2026.02.27 12:35:00,XAUUSD,SHORT,-46.2,-1.011,neckline_break_initial,,false_breakout,5174.29,double_top,19,3,837.0,1.22,837.0,1.22,271.0,0.395,186.0,0.271,0.386,0.614,0.99,0.99,1947,3,3,3,1,1,0,0.208,1.408,0,0,0,0,,,,80.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,17,2026.03.02 21:20:00,XAUUSD,LONG,-38.35,-1.01,neckline_break_initial,,target_too_far,5320.68,double_bottom,9,5,3107.0,1.353,3107.0,1.353,494.0,0.215,520.0,0.226,0.395,0.605,0.51,0.51,2639,5,5,5,0,0,,1.459,1.245,1,1,0,0,50.0,340.0,,650.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,18,2026.03.04 14:35:00,GBPUSD,SHORT,-47.82,-1.003,clean_nested_nwave_entry,,false_breakout,1.33705,double_top,18,5,318.0,1.871,318.0,1.871,24.0,0.141,38.0,0.224,0.613,0.387,0.048,0.048,802,5,5,5,0,1,6,1.978,1.127,1,1,1,0,20.0,950.0,,3130.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,19,2026.03.11 17:35:00,EURUSD,LONG,-46.2,-1.008,neckline_break_late,,false_breakout,1.15912,double_bottom,23,3,139.0,1.178,139.0,1.178,21.0,0.178,45.0,0.381,0.402,0.598,0.232,0.232,984,3,3,3,1,1,0,0.382,1.076,0,0,0,0,,,,35.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,20,2026.03.18 20:50:00,GBPUSD,LONG,-45.8,-1.004,neckline_break_initial,,false_breakout,1.33365,double_bottom,16,8,191.0,1.769,191.0,1.769,19.0,0.176,8.0,0.074,0.113,0.887,0.014,0.014,787,8,8,8,1,1,4,0.496,1.232,0,0,0,0,,,,45.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,21,2026.03.20 09:05:00,XAUUSD,SHORT,-30.59,-1.043,neckline_break_late,,target_too_far,4710.51,double_top,5,3,1304.0,0.952,1304.0,0.952,1560.0,1.139,655.0,0.478,0.482,0.518,0.45,0.45,3005,3,3,3,0,0,,1.146,1.274,1,1,0,0,20.0,35.0,,130.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,22,2026.03.20 11:50:00,XAUUSD,SHORT,57.29,2.004,neckline_break_late,strong_body_breakout,,4710.51,double_top,11,14,1304.0,0.773,1304.0,0.773,1471.0,0.872,1154.0,0.684,0.708,0.292,0.763,0.763,2649,14,14,14,0,0,,2.053,0.162,1,1,1,1,40.0,55.0,125.0,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,23,2026.03.24 11:20:00,GBPUSD,LONG,-47.36,-1.035,chasing_after_break,,false_breakout,1.3394,simplified_pattern,34,13,91.0,0.684,91.0,0.684,177.0,1.331,75.0,0.564,0.63,0.37,0.017,0.017,1030,13,13,13,0,1,6,0.0,1.133,0,0,0,0,,,,70.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,24,2026.03.24 12:50:00,GBPUSD,LONG,-46.41,-1.0,chasing_after_break,,false_breakout,1.3394,simplified_pattern,45,19,91.0,0.595,91.0,0.595,10.0,0.065,12.0,0.078,0.235,0.765,0.588,0.588,698,19,19,19,1,1,8,1.622,2.546,1,1,1,0,5.0,30.0,,195.0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,25,2026.03.26 14:05:00,XAUUSD,LONG,-34.93,-1.073,clean_nested_nwave_entry,,false_breakout,4440.09,double_bottom,23,6,2557.0,1.417,2557.0,1.417,607.0,0.336,216.0,0.12,0.259,0.741,0.677,0.677,2814,6,6,6,1,1,8,1.019,1.812,1,1,0,0,195.0,210.0,,315.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2026.01.14 20:05:00,USDJPY,LONG,-43.419999999999995,-1.004,neckline_break_late,,target_too_far,158.277,double_bottom,23,4,162.0,1.339,162.0,1.339,86.0,0.711,50.0,0.413,0.676,0.324,0.676,0.676,474,4,4,4,0,0,,1.914,1.5,1,1,1,0,100.0,545.0,,1955.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2026.01.16 15:35:00,GBPUSD,SHORT,99.94,2.039,neckline_break_late,retest_then_go,,1.34041,double_top,27,7,74.0,0.961,74.0,0.961,40.0,0.519,25.0,0.325,0.61,0.39,0.976,0.976,562,7,7,7,1,1,2,2.69,0.566,1,1,1,1,100.0,105.0,120.0,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2026.01.16 18:05:00,GBPUSD,SHORT,-48.94,-1.005,neckline_break_late,,target_too_far,1.33945,double_top,24,4,86.0,0.851,86.0,0.851,119.0,1.178,55.0,0.545,0.743,0.257,0.257,0.257,833,4,4,4,0,0,,1.864,1.077,1,1,1,0,3235.0,3235.0,,3335.0
