period,scenario,failure_type,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,false_breakout,1,0,1,0.0,-49.4,0.0,-49.4,0.0,49.4,0.49,0,-49.4,0,-49.4,1.412,1.932,100.0,100.0,0.0,100.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,false_breakout,15,0,15,0.0,-684.59,0.0,-45.64,0.0,684.59,6.85,-523.98,-160.61,-462.68,-221.91,0.649,1.358,46.67,26.67,0.0,100.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,late_breakout,2,0,2,0.0,-101.48,0.0,-50.74,0.0,101.48,1.01,-101.48,0,0,-101.48,1.308,1.179,100.0,50.0,50.0,0.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,no_follow_through,1,0,1,0.0,-70.76,0.0,-70.76,0.0,70.76,0.71,0,-70.76,-70.76,0,0.11,2.009,0.0,0.0,0.0,0.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,target_too_far,5,0,5,0.0,-212.26,0.0,-42.45,0.0,212.26,2.12,-143.32,-68.94,-81.77,-130.49,1.546,1.239,100.0,100.0,0.0,0.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,false_breakout,15,0,15,0.0,-683.27,0.0,-45.55,0.0,683.27,6.83,-522.66,-160.61,-461.36,-221.91,0.649,1.358,46.67,26.67,0.0,100.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,late_breakout,1,0,1,0.0,-53.13,0.0,-53.13,0.0,53.13,0.53,-53.13,0,0,-53.13,0.549,1.466,100.0,0.0,0.0,0.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,no_follow_through,1,0,1,0.0,-70.76,0.0,-70.76,0.0,70.76,0.71,0,-70.76,-70.76,0,0.11,2.009,0.0,0.0,0.0,0.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,target_too_far,5,0,5,0.0,-211.7,0.0,-42.34,0.0,211.7,2.12,-142.76,-68.94,-81.77,-129.93,1.62,1.242,100.0,100.0,0.0,0.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,false_breakout,9,0,9,0.0,-419.21,0.0,-46.58,0.0,419.21,4.19,-291.57,-127.64,-178.52,-240.69,0.545,1.371,66.67,22.22,0.0,100.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,no_follow_through,1,0,1,0.0,-47.64,0.0,-47.64,0.0,47.64,0.48,-47.64,0,0,-47.64,0.473,1.029,0.0,0.0,0.0,0.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,target_too_far,4,0,4,0.0,-173.95,0.0,-43.49,0.0,173.95,1.74,-99.78,-74.17,-43.58,-130.37,1.468,1.17,100.0,100.0,0.0,0.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,false_breakout,9,0,9,0.0,-419.21,0.0,-46.58,0.0,419.21,4.19,-291.57,-127.64,-178.52,-240.69,0.545,1.371,66.67,22.22,0.0,100.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,target_too_far,4,0,4,0.0,-173.95,0.0,-43.49,0.0,173.95,1.74,-99.78,-74.17,-43.58,-130.37,1.468,1.17,100.0,100.0,0.0,0.0
