period,scenario,run,entry_selection_mode,candidate_index,time,month,hour,session,symbol,direction,fx_bucket,event,router_decision,breakout_quality_label,breakout_quality_reason,fail_reason,execution_block_reason,label,fib_zone,neckline_break_label,h4_trend_state,h1_counter_trend_state,h4_fib_retracement_pct,entry_price,sl,tp,volume,risk_r,rr,sl_atr,tp_atr,neckline_price,right_side_level,distance_neckline_to_entry_atr,breakout_close_distance_from_neckline_atr,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,hypothetical_exit_time,hypothetical_exit_price,hypothetical_outcome,hypothetical_result_R,hypothetical_net_profit,same_bar_ambiguous,bars_to_exit,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,reached_3R,time_to_0_5R,time_to_1R,time_to_1_5R,time_to_2R,time_to_3R,false_break_return_inside_neckline,false_break_return_bars,cohort,h4_fib_bucket,sl_atr_bucket,neckline_touch_bucket,close_strength_bucket,close_distance_bucket,body_atr_bucket,body_ratio_bucket,directional_wick_bucket,mfe_bucket,mae_bucket,context_quality_v0,context_quality_reasons_v0,context_quality_score_v0
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,8,2025.08.11 21:04:59,2025-08,21,server_16_23,EURJPY,LONG,FX,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,neckline_break_initial,bullish_nwave,bearish_counter_nwave,52.52,171.843,171.69,172.149,0.48,0.153,2.0,1.81,3.63,171.795,171.72,0.57,0.32,0.54,0.36,0.66,0.32,0.68,13,2025.08.12 03:00:00,172.149,tp_hit,2.0,91.72,0,71,2.255,0.222,1,1,1,1,0,25.0,45.0,165.0,355.0,,0,,2025-08_other_dirty_weak,50-58_mid,1.5-2.0,13+_stale,0.60+_strong_close,0.20-0.40_normal,0.25-0.60_normal,0.30-0.60_mixed,0.20-0.45_mixed_wick,2R+,<0.5R,clean_context_v0,h4_mid_pullback|neckline_over_tested|sl_atr_ok|break_distance_usable|directional_close_strong|body_atr_usable|wick_ok,6
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,9,2025.08.13 17:49:59,2025-08,17,server_16_23,EURJPY,LONG,FX,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,38.56,172.432,172.189,172.918,0.3,0.243,2.0,1.99,3.98,172.456,172.219,0.2,0.16,0.25,0.13,0.53,0.45,0.55,9,2025.08.14 03:00:00,172.189,sl_hit,-1.0,-45.52,0,110,0.654,1.412,1,0,0,0,0,40.0,,,,,1,0,2025-08_other_dirty_weak,38-42_shallow_edge,1.5-2.0,9-12_tested,0.35-0.60_mixed_close,<0.20_shallow_break,<0.25_small_body,<0.30_wicky,0.45+_large_wick,0.5-1R,1-1.5R,poor_context_v0,h4_edge_pullback|neckline_over_tested|sl_atr_ok|break_too_shallow|directional_close_mixed|body_too_small|large_directional_wick,1
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,10,2025.08.14 14:04:59,2025-08,14,server_08_15,EURUSD,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,sl_too_wide_for_router,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,46.92,1.16937,1.1678,1.17251,0.31,0.00157,2.0,2.04,4.07,1.16861,1.16798,0.99,1.11,0.78,0.65,0.83,0.02,0.98,9,2025.08.14 15:30:00,1.1678,sl_hit,-1.0,-48.67,0,17,0.089,2.879,0,0,0,0,0,,,,,,1,4,2025-08_other_dirty_weak,42-50_mid,2.0+_wide,9-12_tested,0.60+_strong_close,0.80+_far,0.60-1.00_large,0.60+_body,<0.20_clean_wick,<0.5R,2R+,poor_context_v0,h4_mid_pullback|neckline_over_tested|sl_atr_wide_or_unknown|break_too_far|directional_close_strong|body_atr_usable|wick_ok,4
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,11,2025.08.14 14:19:59,2025-08,14,server_08_15,EURUSD,LONG,FX,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,46.92,1.16909,1.1678,1.17167,0.38,0.00129,2.0,1.69,3.38,1.16861,1.16798,0.63,0.92,0.28,0.21,0.76,0.19,0.53,9,2025.08.14 15:30:00,1.1678,sl_hit,-1.0,-49.02,0,14,0.085,3.287,0,0,0,0,0,,,,,,1,1,2025-08_other_dirty_weak,42-50_mid,1.5-2.0,9-12_tested,0.35-0.60_mixed_close,0.80+_far,<0.25_small_body,<0.30_wicky,<0.20_clean_wick,<0.5R,2R+,poor_context_v0,h4_mid_pullback|neckline_over_tested|sl_atr_ok|break_too_far|directional_close_mixed|body_too_small|wick_ok,3
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,12,2025.08.21 17:19:59,2025-08,17,server_16_23,GBPJPY,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,50.06,198.921,199.252,198.259,0.22,0.331,2.0,1.74,3.48,198.909,199.214,0.06,0.36,0.87,2.32,2.67,0.05,0.08,5,2025.08.22 04:15:00,199.252,sl_hit,-1.0,-45.47,0,131,0.616,1.003,1,0,0,0,0,400.0,,,,,1,0,2025-08_other_dirty_weak,50-58_mid,1.5-2.0,5-8_moderate,<0.35_weak_close,0.20-0.40_normal,1.00+_overextended,0.60+_body,<0.20_clean_wick,0.5-1R,1-1.5R,mixed_context_v0,h4_mid_pullback|neckline_not_stale|sl_atr_ok|break_distance_usable|directional_close_weak|body_overextended|wick_ok,5
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,13,2025.08.26 07:04:59,2025-08,07,server_00_07,AUDJPY,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,shallow_close_distance,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_initial,bullish_nwave,bearish_counter_nwave,58.69,95.656,95.505,95.958,0.48,0.151,2.0,1.57,3.14,95.654,95.533,0.02,0.01,0.23,0.1,0.45,0.16,0.84,3,2025.08.27 04:30:00,95.958,tp_hit,2.0,90.52,0,257,2.046,0.841,1,1,1,1,0,35.0,610.0,1285.0,1285.0,,0,,2025-08_other_dirty_weak,58-62_deep_edge,1.5-2.0,1-4_fresh,0.60+_strong_close,<0.20_shallow_break,<0.25_small_body,<0.30_wicky,<0.20_clean_wick,2R+,0.5-1R,poor_context_v0,h4_edge_pullback|neckline_not_stale|sl_atr_ok|break_too_shallow|directional_close_strong|body_too_small|wick_ok,4
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,14,2025.08.26 14:49:59,2025-08,14,server_08_15,GBPJPY,SHORT,FX,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,clean_nested_nwave_entry,bearish_nwave,bullish_counter_nwave,40.18,198.82,199.038,198.384,0.33,0.218,2.0,1.96,3.91,198.845,199.0,0.22,0.22,0.65,1.02,1.58,0.14,0.86,9,2025.08.26 17:20:00,199.038,sl_hit,-1.0,-44.92,0,30,0.523,1.0,1,0,0,0,0,15.0,,,,,1,0,2025-08_other_dirty_weak,38-42_shallow_edge,1.5-2.0,9-12_tested,0.60+_strong_close,0.20-0.40_normal,1.00+_overextended,0.60+_body,<0.20_clean_wick,0.5-1R,1-1.5R,poor_context_v0,h4_edge_pullback|neckline_over_tested|sl_atr_ok|break_distance_usable|directional_close_strong|body_overextended|wick_ok,4
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,15,2025.08.26 15:19:59,2025-08,15,server_08_15,GBPJPY,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,sl_too_wide_for_router,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_initial,bearish_nwave,bullish_counter_nwave,40.18,198.783,199.038,198.273,0.28,0.255,2.0,2.2,4.4,198.845,199.0,0.53,0.8,0.7,1.09,1.56,0.25,0.75,9,2025.08.26 17:20:00,199.038,sl_hit,-1.0,-44.58,0,24,0.122,1.0,0,0,0,0,0,,,,,,1,2,2025-08_other_dirty_weak,38-42_shallow_edge,2.0+_wide,9-12_tested,0.60+_strong_close,0.80+_far,1.00+_overextended,0.60+_body,0.20-0.45_mixed_wick,<0.5R,1-1.5R,poor_context_v0,h4_edge_pullback|neckline_over_tested|sl_atr_wide_or_unknown|break_distance_usable|directional_close_strong|body_overextended|wick_ok,3
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,16,2025.08.26 15:34:59,2025-08,15,server_08_15,GBPJPY,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,40.18,198.847,199.038,198.465,0.38,0.191,2.0,1.62,3.24,198.845,199.0,0.02,0.44,0.39,0.37,0.93,0.2,0.4,10,2025.08.26 17:20:00,199.038,sl_hit,-1.0,-45.32,0,21,0.277,1.0,0,0,0,0,0,,,,,,1,1,2025-08_other_dirty_weak,38-42_shallow_edge,1.5-2.0,9-12_tested,0.35-0.60_mixed_close,0.40-0.80_extended,0.25-0.60_normal,0.30-0.60_mixed,0.20-0.45_mixed_wick,<0.5R,1-1.5R,mixed_context_v0,h4_edge_pullback|neckline_over_tested|sl_atr_ok|break_distance_usable|directional_close_mixed|body_atr_usable|wick_ok,4
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,17,2025.08.26 16:19:59,2025-08,16,server_16_23,EURUSD,LONG,FX,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,neckline_break_initial,bullish_nwave,bearish_counter_nwave,60.28,1.16435,1.16345,1.16615,0.55,0.0009,2.0,1.12,2.24,1.16467,1.16363,0.4,0.11,0.19,0.29,1.47,0.05,0.95,7,2025.08.26 17:20:00,1.16615,tp_hit,2.0,99.0,0,12,2.144,0.444,1,1,1,1,0,10.0,15.0,60.0,60.0,,1,0,2025-08_other_dirty_weak,58-62_deep_edge,1.0-1.5,5-8_moderate,0.60+_strong_close,<0.20_shallow_break,0.25-0.60_normal,<0.30_wicky,<0.20_clean_wick,2R+,<0.5R,mixed_context_v0,h4_edge_pullback|neckline_not_stale|sl_atr_ok|break_too_shallow|directional_close_strong|body_atr_usable|wick_ok,5
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,18,2025.08.26 18:19:59,2025-08,18,server_16_23,GBPJPY,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close|large_directional_wick|sl_too_wide_for_router,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,clean_nested_nwave_entry,bearish_nwave,bullish_counter_nwave,58.65,198.791,199.076,198.221,0.25,0.285,2.0,2.07,4.15,198.794,199.038,0.02,0.28,0.43,0.28,0.65,0.57,0.43,12,2025.08.27 16:50:00,199.076,sl_hit,-1.0,-44.49,0,270,1.523,1.158,1,1,1,0,0,10.0,60.0,70.0,,,0,,2025-08_other_dirty_weak,58-62_deep_edge,2.0+_wide,9-12_tested,0.35-0.60_mixed_close,0.20-0.40_normal,0.25-0.60_normal,0.30-0.60_mixed,0.45+_large_wick,1.5-2R,1-1.5R,poor_context_v0,h4_edge_pullback|neckline_over_tested|sl_atr_wide_or_unknown|break_distance_usable|directional_close_mixed|body_atr_usable|large_directional_wick,2
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,19,2025.08.28 13:49:59,2025-08,13,server_08_15,GBPJPY,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,shallow_close_distance|weak_directional_close,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,61.27,198.74,198.55,199.12,0.38,0.19,2.0,1.75,3.5,198.686,198.597,0.5,0.06,0.5,0.55,1.12,0.36,0.15,18,2025.08.28 14:05:00,198.55,sl_hit,-1.0,-45.08,0,3,0.0,1.084,0,0,0,0,0,,,,,,1,1,2025-08_other_dirty_weak,58-62_deep_edge,1.5-2.0,13+_stale,<0.35_weak_close,<0.20_shallow_break,0.25-0.60_normal,0.30-0.60_mixed,0.20-0.45_mixed_wick,<0.5R,1-1.5R,poor_context_v0,h4_edge_pullback|neckline_over_tested|sl_atr_ok|break_too_shallow|directional_close_weak|body_atr_usable|wick_ok,3
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,1,2025.10.02 06:00:00,2025-10,06,server_00_07,XAUUSD,LONG,XAUUSD,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,neckline_break_initial,bullish_nwave,bearish_counter_nwave,38.36,3866.29,3861.31,3876.25,0.1,4.98,2.0,0.97,1.94,3865.17,3861.57,0.22,0.19,0.4,0.24,0.61,0.39,0.61,14,2025.10.02 11:45:00,3876.25,tp_hit,2.0,99.6,0,69,2.056,0.904,1,1,1,1,0,10.0,185.0,195.0,345.0,,1,7,2025_10_removed_winner_dirty_weak,38-42_shallow_edge,<1.0_tight,13+_stale,0.60+_strong_close,<0.20_shallow_break,<0.25_small_body,0.30-0.60_mixed,0.20-0.45_mixed_wick,2R+,0.5-1R,poor_context_v0,h4_edge_pullback|neckline_over_tested|sl_atr_ok|break_too_shallow|directional_close_strong|body_too_small|wick_ok,3
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,3,2025.10.02 06:30:00,2025-10,06,server_00_07,XAUUSD,LONG,XAUUSD,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,38.36,3867.38,3861.34,3879.46,0.08,6.04,2.0,1.3,2.59,3865.17,3861.57,0.47,0.43,0.72,0.39,0.54,0.18,0.1,14,2025.10.02 12:45:00,3879.46,tp_hit,2.0,96.64,0,75,2.05,0.925,1,1,1,1,0,115.0,165.0,315.0,375.0,,1,1,2025_10_removed_winner_dirty_weak,38-42_shallow_edge,1.0-1.5,13+_stale,<0.35_weak_close,0.40-0.80_extended,0.25-0.60_normal,0.60+_body,<0.20_clean_wick,2R+,0.5-1R,poor_context_v0,h4_edge_pullback|neckline_over_tested|sl_atr_ok|break_distance_usable|directional_close_weak|body_atr_usable|wick_ok,4
