period,run,scenario,trade_index,open_time,close_time,symbol,fx_vs_xauusd,direction,net_profit,result_R,label,breakout_quality_label,context_quality_label,context_quality_score,sl_atr,breakout_body_atr
2025,A,instant_all_r12,65,2025-06-17 04:20:00,2025-06-17 05:05:35,XAUUSD,XAUUSD,LONG,-45.2,-1.007,neckline_break_initial,unclassified,not_evaluated,0.0,1.61,1.16
2025,A,instant_all_r12,66,2025-06-20 21:05:00,2025-06-23 01:01:00,XAUUSD,XAUUSD,SHORT,-195.51,-4.071,clean_nested_nwave_entry,unclassified,not_evaluated,0.0,1.78,0.64
2025,A,instant_all_r12,67,2025-06-23 04:50:00,2025-06-23 12:15:01,XAUUSD,XAUUSD,SHORT,-47.24,-1.008,neckline_break_late,unclassified,not_evaluated,0.0,1.69,0.66
2025,A,instant_all_r12,68,2025-06-24 18:50:00,2025-06-25 09:17:53,EURJPY,FX,LONG,54.67,1.2,neckline_break_late,unclassified,not_evaluated,0.0,2.09,0.06
2025,A,instant_all_r12,69,2025-07-14 20:35:00,2025-07-14 23:39:57,XAUUSD,XAUUSD,LONG,-45.9,-1.001,clean_nested_nwave_entry,unclassified,not_evaluated,0.0,1.78,0.53
2025,A,instant_all_r12,70,2025-07-15 02:05:00,2025-07-15 06:03:12,XAUUSD,XAUUSD,LONG,54.54,1.202,neckline_break_initial,unclassified,not_evaluated,0.0,2.16,0.45
2025,A,instant_all_r12,71,2025-07-16 13:35:00,2025-07-16 13:58:57,XAUUSD,XAUUSD,SHORT,54.88,1.199,neckline_break_late,unclassified,not_evaluated,0.0,1.16,0.25
2025,A,instant_all_r12,72,2025-07-16 14:35:00,2025-07-16 16:35:04,XAUUSD,XAUUSD,SHORT,52.56,1.214,neckline_break_late,unclassified,not_evaluated,0.0,2.08,0.06
2025,A,instant_all_r12,73,2025-07-29 14:20:00,2025-07-29 17:05:14,XAUUSD,XAUUSD,SHORT,54.74,1.199,neckline_break_late,unclassified,not_evaluated,0.0,1.63,0.6
2025,A,instant_all_r12,74,2025-08-06 16:35:00,2025-08-06 17:22:04,XAUUSD,XAUUSD,LONG,58.52,1.206,neckline_break_late,unclassified,not_evaluated,0.0,1.8,0.14
2025,A,instant_all_r12,75,2025-08-21 17:20:00,2025-08-22 03:56:41,GBPJPY,FX,SHORT,-52.16,-1.006,neckline_break_late,unclassified,not_evaluated,0.0,1.74,2.32
2025,A,instant_all_r12,76,2025-09-04 11:35:00,2025-09-04 15:15:01,XAUUSD,XAUUSD,LONG,57.4,1.27,neckline_break_late,unclassified,not_evaluated,0.0,1.72,0.15
2025,A,instant_all_r12,77,2025-09-24 08:05:00,2025-09-24 08:39:13,XAUUSD,XAUUSD,LONG,55.76,1.202,neckline_break_late,unclassified,not_evaluated,0.0,1.44,0.1
2025,A,instant_all_r12,78,2025-09-24 10:50:00,2025-09-24 11:42:30,XAUUSD,XAUUSD,LONG,-44.05,-1.0,neckline_break_initial,unclassified,not_evaluated,0.0,2.15,0.53
2025,A,instant_all_r12,79,2025-10-02 06:00:00,2025-10-02 09:15:28,XAUUSD,XAUUSD,LONG,53.91,1.203,neckline_break_initial,unclassified,not_evaluated,0.0,0.97,0.24
2025,A,instant_all_r12,80,2025-10-10 15:05:00,2025-10-10 17:03:22,XAUUSD,XAUUSD,SHORT,44.52,1.203,neckline_break_initial,unclassified,not_evaluated,0.0,1.62,0.69
2025,A,instant_all_r12,81,2025-10-16 16:35:00,2025-10-16 17:09:56,USDJPY,FX,SHORT,57.22,1.22,neckline_break_late,unclassified,not_evaluated,0.0,1.54,0.17
2025,A,instant_all_r12,82,2025-10-20 09:20:00,2025-10-20 12:05:24,USDJPY,FX,SHORT,60.11,1.208,neckline_break_late,unclassified,not_evaluated,0.0,2.08,0.04
2025,A,instant_all_r12,83,2025-10-17 23:35:00,2025-10-20 15:14:10,XAUUSD,XAUUSD,LONG,38.13,1.202,neckline_break_initial,unclassified,not_evaluated,0.0,2.07,0.86
2025,A,instant_all_r12,84,2025-11-19 15:20:00,2025-11-19 16:55:29,XAUUSD,XAUUSD,SHORT,-48.42,-1.001,neckline_break_late,unclassified,not_evaluated,0.0,2.14,1.52
2025,A,instant_all_r12,85,2025-11-20 18:50:00,2025-11-21 10:55:47,GBPUSD,FX,SHORT,-49.4,-1.0,neckline_break_initial,unclassified,not_evaluated,0.0,1.31,0.75
2025,A,instant_all_r12,86,2025-11-24 01:20:00,2025-11-24 03:23:30,XAUUSD,XAUUSD,SHORT,46.2,1.203,neckline_break_late,unclassified,not_evaluated,0.0,2.05,0.9
2025,A,instant_all_r12,87,2025-11-27 11:20:00,2025-11-27 11:52:00,XAUUSD,XAUUSD,LONG,60.72,1.22,neckline_break_late,unclassified,not_evaluated,0.0,1.25,2.15
2025,A,instant_all_r12,88,2025-12-02 16:05:00,2025-12-02 17:17:06,XAUUSD,XAUUSD,LONG,-45.39,-1.001,neckline_break_late,unclassified,not_evaluated,0.0,2.17,1.03
2025,A,instant_all_r12,89,2025-12-05 04:05:00,2025-12-05 05:54:43,XAUUSD,XAUUSD,SHORT,-43.2,-1.001,neckline_break_late,unclassified,not_evaluated,0.0,1.96,1.06
