variant,reward_r,direction,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_micro_or_candle,1.3,LONG,71,71,35,36,49.3,383.86,1.223,5.41,0.134,392.83,3.69,49.3,50.7,0,0,0,0,0.866,1.12,10331233380.282,13430603394.366,0.092
v4_micro_or_candle,1.3,SHORT,71,71,40,31,56.34,1445.21,1.956,20.36,0.296,335.09,3.19,56.34,43.66,0,0,0,0,0.675,1.075,21007290845.07,27309478098.592,0.148
v4_micro_or_candle,1.5,LONG,71,71,33,38,46.48,476.39,1.263,6.71,0.162,366.74,3.44,46.48,53.52,0,0,0,0,0.884,1.176,10331233380.282,15496850070.423,0.092
v4_micro_or_candle,1.5,SHORT,71,71,37,34,52.11,1524.41,1.917,21.47,0.303,325.04,3.1,52.11,47.89,0,0,0,0,0.712,1.176,21007290845.07,31510936267.606,0.148
v4_without_weak_signals,1.2,LONG,71,71,37,34,52.11,459.67,1.283,6.47,0.146,405.88,3.79,52.11,47.89,0,0,0,0,0.834,1.042,10331233380.282,12397480056.338,0.092
v4_without_weak_signals,1.2,SHORT,95,95,53,42,55.79,1405.98,1.661,14.8,0.227,279.81,2.67,55.79,43.16,0,0,0,0,0.699,0.998,19528562842.105,23434275410.526,0.164
v4_without_weak_signals,1.3,LONG,71,71,35,36,49.3,402.17,1.234,5.66,0.134,392.83,3.69,49.3,50.7,0,0,0,0,0.866,1.12,10331233380.282,13430603394.366,0.092
v4_without_weak_signals,1.3,SHORT,95,95,50,45,52.63,1368.22,1.602,14.4,0.21,380.91,3.62,52.63,46.32,0,0,0,0,0.72,1.042,19528562842.105,25387131694.737,0.164
v4_without_weak_signals,1.5,LONG,71,71,33,38,46.48,497.51,1.274,7.01,0.162,366.74,3.44,46.48,53.52,0,0,0,0,0.884,1.176,10331233380.282,15496850070.423,0.092
v4_without_weak_signals,1.5,SHORT,95,95,49,46,51.58,1800.18,1.775,18.95,0.289,362.55,3.4,51.58,47.37,0,0,0,0,0.726,1.141,19528562842.105,29292844263.158,0.164
