scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,periods_count,symbols_count,period_distribution,symbol_distribution,direction_distribution
Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,XAUUSD,11,36.36,1.146,0.083,43.75,215.23,2.1,1.575,1.288,63.64,36.36,0,43.75,20.36,23.39,3,1,2025-02:3;2025-10:3;2026-Q1:5,XAUUSD:11,LONG:6;SHORT:5
Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,AUDJPY,1,100.0,,2.0,95.53,0.0,0.0,2.201,0.437,100.0,100.0,95.53,0,0,95.53,1,1,2025-02:1,AUDJPY:1,SHORT:1
Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,EURJPY,4,25.0,0.655,-0.257,-51.17,97.52,0.98,1.327,0.841,50.0,25.0,-51.17,0,0,-51.17,2,1,2025-02:3;2026-Q1:1,EURJPY:4,SHORT:4
Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,EURUSD,6,33.33,0.98,0.001,-4.04,103.97,1.04,1.042,0.99,33.33,33.33,-4.04,0,-51.43,47.39,2,1,2025-02:2;2026-Q1:4,EURUSD:6,LONG:4;SHORT:2
Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPJPY,5,0.0,0.0,-1.011,-250.08,250.08,2.5,0.943,1.745,40.0,0.0,-250.08,0,-148.95,-101.13,3,1,2025-02:3;2025-08:1;2026-Q1:1,GBPJPY:5,LONG:3;SHORT:2
Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPUSD,9,11.11,0.262,-0.668,-281.46,381.4,3.78,1.309,1.397,66.67,11.11,-281.46,0,-284.81,3.35,1,1,2026-Q1:9,GBPUSD:9,LONG:6;SHORT:3
Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,USDJPY,7,28.57,0.818,-0.144,-44.48,192.53,1.9,1.489,1.041,57.14,42.86,-44.48,0,-91.05,46.57,3,1,2025-02:1;2025-10:2;2026-Q1:4,USDJPY:7,LONG:2;SHORT:5
Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,15,40.0,1.229,0.19,90.27,265.34,2.57,1.595,1.228,66.67,40.0,0,90.27,141.07,-50.8,4,1,2025-02:3;2025-08:1;2025-10:3;2026-Q1:8,XAUUSD:15,LONG:8;SHORT:7
Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,EURJPY,3,0.0,0.0,-1.011,-148.44,148.44,1.48,0.713,1.097,33.33,0.0,-148.44,0,0,-148.44,2,1,2025-02:2;2026-Q1:1,EURJPY:3,SHORT:3
Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,EURUSD,3,66.67,4.045,1.007,150.14,49.3,0.49,1.61,0.627,66.67,66.67,150.14,0,98.55,51.59,2,1,2025-02:1;2026-Q1:2,EURUSD:3,LONG:1;SHORT:2
Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,GBPJPY,2,0.0,0.0,-1.024,-99.23,99.23,0.99,0.637,2.237,0.0,0.0,-99.23,0,-50.82,-48.41,2,1,2025-02:1;2026-Q1:1,GBPJPY:2,LONG:1;SHORT:1
Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,GBPUSD,5,20.0,0.482,-0.399,-100.31,145.47,1.45,1.211,1.081,60.0,20.0,-100.31,0,-95.96,-4.35,1,1,2026-Q1:5,GBPUSD:5,LONG:2;SHORT:3
Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,USDJPY,3,0.0,0.0,-1.009,-146.54,146.54,1.47,0.53,1.365,0.0,0.0,-146.54,0,-47.63,-98.91,1,1,2026-Q1:3,USDJPY:3,LONG:1;SHORT:2
Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,8,37.5,1.334,0.108,67.32,201.76,1.96,1.435,1.196,75.0,37.5,0,67.32,190.62,-123.3,4,1,2025-02:1;2025-08:1;2025-10:1;2026-Q1:5,XAUUSD:8,LONG:5;SHORT:3
Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,EURUSD,1,0.0,0.0,-1.005,-51.2,51.2,0.51,1.858,1.071,100.0,0.0,-51.2,0,-51.2,0,1,1,2026-Q1:1,EURUSD:1,LONG:1
Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,GBPUSD,2,0.0,0.0,-1.006,-97.81,97.81,0.98,0.513,1.448,0.0,0.0,-97.81,0,-97.81,0,1,1,2026-Q1:2,GBPUSD:2,LONG:2
Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,USDJPY,1,0.0,0.0,-1.0,-49.07,49.07,0.49,0.577,1.119,0.0,0.0,-49.07,0,0,-49.07,1,1,2026-Q1:1,USDJPY:1,SHORT:1
