scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,periods_count,symbols_count,period_distribution,symbol_distribution,direction_distribution
Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,LONG,3,33.33,1.08,-0.011,6.99,86.97,0.86,1.508,1.195,66.67,33.33,-48.66,55.65,6.99,0,2,2,2025-10:1;2026-Q1:2,USDJPY:1;XAUUSD:2,LONG:3
Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,SHORT,6,33.33,0.984,0.002,-3.12,146.33,1.46,1.665,1.052,50.0,33.33,-55.54,52.42,0,-3.12,2,4,2025-02:2;2026-Q1:4,EURJPY:1;GBPUSD:1;USDJPY:2;XAUUSD:2,SHORT:6
Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,LONG,8,37.5,1.319,0.112,69.25,122.31,1.2,1.398,1.197,75.0,37.5,48.89,20.36,69.25,0,3,3,2025-02:2;2025-10:2;2026-Q1:4,GBPUSD:1;USDJPY:1;XAUUSD:6,LONG:8
Nested_NWave_ContextQualityRouterV2_BOTH_all_H4_H1_M15_2R,SHORT,11,36.36,1.04,0.093,13.55,232.65,2.31,1.699,1.136,54.55,36.36,-9.84,23.39,0,13.55,3,5,2025-02:4;2025-10:1;2026-Q1:6,AUDJPY:1;EURJPY:1;GBPUSD:1;USDJPY:3;XAUUSD:5,SHORT:11
Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,LONG,23,21.74,0.496,-0.355,-435.17,520.69,5.16,1.204,1.396,56.52,21.74,-576.24,141.07,-435.17,0,4,5,2025-02:6;2025-08:1;2025-10:2;2026-Q1:14,EURUSD:4;GBPJPY:3;GBPUSD:6;USDJPY:2;XAUUSD:8,LONG:23
Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,SHORT,24,33.33,0.986,-0.003,-10.26,357.03,3.47,1.538,1.026,58.33,37.5,40.54,-50.8,0,-10.26,4,7,2025-02:7;2025-08:1;2025-10:3;2026-Q1:13,AUDJPY:1;EURJPY:4;EURUSD:2;GBPJPY:2;GBPUSD:3;USDJPY:5;XAUUSD:7,SHORT:24
Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,LONG,10,40.0,1.347,0.189,94.76,126.09,1.23,1.43,1.195,70.0,40.0,-95.86,190.62,94.76,0,4,5,2025-02:2;2025-08:1;2025-10:1;2026-Q1:6,EURUSD:1;GBPJPY:1;GBPUSD:2;USDJPY:1;XAUUSD:5,LONG:10
Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,SHORT,14,14.29,0.343,-0.58,-371.82,394.57,3.95,0.933,1.198,35.71,14.29,-248.52,-123.3,0,-371.82,2,6,2025-02:3;2026-Q1:11,EURJPY:3;EURUSD:2;GBPJPY:1;GBPUSD:3;USDJPY:2;XAUUSD:3,SHORT:14
Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,LONG,3,0.0,0.0,-1.005,-149.01,149.01,1.49,0.961,1.322,33.33,0.0,-149.01,0,-149.01,0,1,2,2026-Q1:3,EURUSD:1;GBPUSD:2,LONG:3
Nested_NWave_StructuralBOS_V2_BOTH_all_H4_H1_M15_2R,SHORT,1,0.0,0.0,-1.0,-49.07,49.07,0.49,0.577,1.119,0.0,0.0,-49.07,0,0,-49.07,1,1,2026-Q1:1,USDJPY:1,SHORT:1
