period,variant,scenario,signal_mode,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,elapsed_seconds,csv_bytes,fx_net,xauusd_net,xauusd_trade_share_pct,long_net,short_net,largest_direction_share_pct,chasing_entry_ratio_pct,third_wave_initial_ratio_pct,third_wave_middle_ratio_pct,good_label_ratio_pct
2025-08,v4_micro_or_candle,ThirdWave_v4_micro_or_candle_BOTH_all_5m,V4_SIGNAL_MICRO_OR_CANDLE,26,11,15,42.31,66.5,1.09,2.56,0.064,266.48,2.61,73.0,728802,-126.38,192.88,80.77,218.81,-152.31,50.0,80.77,15.38,0.0,15.38
2025-08,v4_without_weak_signals,ThirdWave_v4_without_weak_signals_BOTH_all_5m,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,27,12,15,44.44,146.71,1.198,5.43,0.117,268.39,2.6,72.9,807876,-125.12,271.83,81.48,218.81,-72.1,51.85,81.48,14.81,0.0,14.81
2025-10,current_thirdwave,ThirdWave_regime_BOTH_all_5m,not_used,20,11,9,55.0,345.18,1.823,17.26,0.378,176.76,1.75,73.0,688224,52.5,292.68,80.0,236.4,108.78,75.0,95.0,0.0,0.0,0.0
2025-10,v4_all_signals,ThirdWave_v4_all_signals_BOTH_all_5m,V4_SIGNAL_ALL,38,16,22,42.11,79.24,1.077,2.09,0.048,253.1,2.48,73.1,1091277,-14.86,94.1,73.68,222.62,-143.38,73.68,86.84,0.0,7.89,7.89
2025-10,v4_micro_break_only,ThirdWave_v4_micro_break_only_BOTH_all_5m,V4_SIGNAL_MICRO_BREAK_ONLY,15,7,8,46.67,115.76,1.311,7.72,0.165,96.61,0.95,72.9,607916,53.04,62.72,73.33,256.84,-141.08,80.0,93.33,6.67,0.0,6.67
2025-10,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,20,8,12,40.0,-2.23,0.996,-0.11,-0.004,164.29,1.64,73.0,717604,-14.48,12.25,75.0,60.13,-62.36,70.0,85.0,0.0,10.0,10.0
2025-10,v4_micro_or_candle,ThirdWave_v4_micro_or_candle_BOTH_all_5m,V4_SIGNAL_MICRO_OR_CANDLE,25,12,13,48.0,229.65,1.386,9.19,0.198,139.18,1.39,73.1,826282,65.97,163.68,76.0,290.07,-60.42,76.0,88.0,0.0,8.0,8.0
2025-10,v4_without_weak_signals,ThirdWave_v4_without_weak_signals_BOTH_all_5m,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,29,13,16,44.83,148.9,1.2,5.13,0.119,139.18,1.39,73.0,941673,-36.89,185.79,72.41,290.07,-141.17,65.52,82.76,0.0,10.34,10.34
2026-Q1,current_thirdwave,ThirdWave_regime_BOTH_all_5m,not_used,60,27,33,45.0,610.21,1.402,10.17,0.154,278.5,2.65,185.1,1998715,9.64,600.57,83.33,87.84,522.37,51.67,91.67,1.67,5.0,6.67
2026-Q1,v4_all_signals,ThirdWave_v4_all_signals_BOTH_all_5m,V4_SIGNAL_ALL,96,43,53,44.79,1047.07,1.397,10.91,0.131,541.77,4.72,185.2,3052071,86.96,960.11,78.12,-169.9,1216.97,62.5,90.62,1.04,3.12,4.17
2026-Q1,v4_micro_break_only,ThirdWave_v4_micro_break_only_BOTH_all_5m,V4_SIGNAL_MICRO_BREAK_ONLY,37,14,23,37.84,-124.41,0.889,-3.36,-0.055,319.97,3.14,174.5,1688070,-34.41,-90.0,78.38,-97.92,-26.49,59.46,78.38,2.7,8.11,10.81
2026-Q1,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,66,31,35,46.97,1019.26,1.587,15.44,0.186,454.55,3.99,174.9,2011491,240.11,779.15,80.3,137.37,881.89,63.64,90.91,1.52,4.55,6.06
2026-Q1,v4_micro_or_candle,ThirdWave_v4_micro_or_candle_BOTH_all_5m,V4_SIGNAL_MICRO_OR_CANDLE,73,35,38,47.95,1156.36,1.61,15.84,0.21,483.84,4.19,184.8,2297417,131.18,1025.18,79.45,143.6,1012.76,60.27,86.3,2.74,5.48,8.22
2026-Q1,v4_without_weak_signals,ThirdWave_v4_without_weak_signals_BOTH_all_5m,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,89,43,46,48.31,1360.1,1.576,15.28,0.221,524.09,4.49,184.9,2644389,143.71,1216.39,77.53,164.73,1195.37,67.42,88.76,2.25,3.37,5.62
