run_id,period_id,variant,consumption_stage,not_traded_reason,validation_pass,validation_reject_reason,count
q1_i_child_stop_extreme_mode2,q1_quick,i_child_stop_extreme_mode2,invalid_candidate,invalid_stop_distance,false,invalid_stop_distance,105
q1_i_child_stop_extreme_mode2,q1_quick,i_child_stop_extreme_mode2,invalid_candidate,spread_guard,false,spread_guard,618
q1_i_child_stop_extreme_mode2,q1_quick,i_child_stop_extreme_mode2,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,1
q1_i_child_stop_extreme_mode2,q1_quick,i_child_stop_extreme_mode2,position_cap,symbol_position_cap,true,none,1
q1_i_child_stop_extreme_mode2,q1_quick,i_child_stop_extreme_mode2,traded,traded,true,none,43
q1_j_parent_stop_extreme_mode2,q1_quick,j_parent_stop_extreme_mode2,before_portfolio,pending_portfolio,true,none,10
q1_j_parent_stop_extreme_mode2,q1_quick,j_parent_stop_extreme_mode2,invalid_candidate,entry_or_stop_anchor_invalid,false,entry_or_stop_anchor_invalid,89
q1_j_parent_stop_extreme_mode2,q1_quick,j_parent_stop_extreme_mode2,invalid_candidate,invalid_stop_distance,false,invalid_stop_distance,612
q1_j_parent_stop_extreme_mode2,q1_quick,j_parent_stop_extreme_mode2,invalid_candidate,spread_guard,false,spread_guard,56
q1_j_parent_stop_extreme_mode2,q1_quick,j_parent_stop_extreme_mode2,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,1
q1_j_parent_stop_extreme_mode2,q1_quick,j_parent_stop_extreme_mode2,traded,traded,true,none,10
q1_k_one_symbol_mode2,q1_quick,k_one_symbol_mode2,before_portfolio,pending_portfolio,true,none,44
q1_k_one_symbol_mode2,q1_quick,k_one_symbol_mode2,invalid_candidate,invalid_stop_distance,false,invalid_stop_distance,105
q1_k_one_symbol_mode2,q1_quick,k_one_symbol_mode2,invalid_candidate,spread_guard,false,spread_guard,618
q1_k_one_symbol_mode2,q1_quick,k_one_symbol_mode2,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,1
q1_k_one_symbol_mode2,q1_quick,k_one_symbol_mode2,position_cap,symbol_position_cap,true,none,1
q1_k_one_symbol_mode2,q1_quick,k_one_symbol_mode2,traded,traded,true,none,43
