run_id,period_id,variant,variant_name,reason,count
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,base_first_child_flip_mode2,candidate_invalid_invalid_stop_distance,406
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,base_first_child_flip_mode2,stale_child_flip_not_reused,1
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,base_first_child_flip_mode2,symbol_position_cap,1
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,child_stop_extreme_mode2,candidate_invalid_spread_guard,2562
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,child_stop_extreme_mode2,candidate_invalid_invalid_stop_distance,406
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,child_stop_extreme_mode2,stale_child_flip_not_reused,1
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,child_stop_extreme_mode2,symbol_position_cap,1
full2025_j_parent_stop_extreme_mode2,full2025_validation,j_parent_stop_extreme_mode2,parent_stop_extreme_mode2,candidate_invalid_entry_or_stop_anchor_invalid,89
full2025_j_parent_stop_extreme_mode2,full2025_validation,j_parent_stop_extreme_mode2,parent_stop_extreme_mode2,candidate_invalid_spread_guard,299
full2025_j_parent_stop_extreme_mode2,full2025_validation,j_parent_stop_extreme_mode2,parent_stop_extreme_mode2,candidate_invalid_invalid_stop_distance,2723
full2025_j_parent_stop_extreme_mode2,full2025_validation,j_parent_stop_extreme_mode2,parent_stop_extreme_mode2,stale_child_flip_not_reused,1
full2025_k_one_symbol_mode2,full2025_validation,k_one_symbol_mode2,one_symbol_mode2,candidate_invalid_spread_guard,2562
full2025_k_one_symbol_mode2,full2025_validation,k_one_symbol_mode2,one_symbol_mode2,candidate_invalid_invalid_stop_distance,406
full2025_k_one_symbol_mode2,full2025_validation,k_one_symbol_mode2,one_symbol_mode2,stale_child_flip_not_reused,1
full2025_k_one_symbol_mode2,full2025_validation,k_one_symbol_mode2,one_symbol_mode2,symbol_position_cap,1
full2025_k_one_symbol_mode2,full2025_validation,k_one_symbol_mode2,one_symbol_mode2,portfolio_not_selected,1
