run_id,period_id,variant,previous_state,strategy_state,reason,count
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,CHILD_COUNTER_TREND_CONFIRMED,CHILD_TREND_FLIPPED,first_close_break_of_active_child_anchor,3197
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,CHILD_COUNTER_TREND_CONFIRMED,INVALIDATED,wave1_origin_broken,7
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,CHILD_COUNTER_TREND_CONFIRMED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,729
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,CHILD_TREND_FLIPPED,EXPIRED,stale_child_flip_not_reused,8
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,CHILD_TREND_FLIPPED,SIGNAL_CONSUMED,invalid_stop_distance,419
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,CHILD_TREND_FLIPPED,SIGNAL_CONSUMED,spread_guard,2592
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,CHILD_TREND_FLIPPED,SIGNAL_RESERVED,valid_signal_reserved_before_portfolio,178
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,EXPIRED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,8
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,IDLE,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,6
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,INVALIDATED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,77
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,PARENT_FLIP_DETECTED,PARENT_WAVE1_CONFIRMED,parent_wave1_confirmed,4535
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,PARENT_WAVE1_CONFIRMED,INVALIDATED,wave1_origin_broken,1
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,PARENT_WAVE1_CONFIRMED,PARENT_WAVE2_ACTIVE,first_opposite_close,23
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,PARENT_WAVE1_CONFIRMED,PARENT_WAVE2_PENDING,first_opposite_close,4511
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,PARENT_WAVE2_ACTIVE,CHILD_COUNTER_TREND_CONFIRMED,child_countertrend_confirmed_latest_anchor_active,3934
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,PARENT_WAVE2_ACTIVE,INVALIDATED,wave1_origin_broken,40
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,PARENT_WAVE2_ACTIVE,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,530
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,PARENT_WAVE2_PENDING,INVALIDATED,wave1_origin_broken,29
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,PARENT_WAVE2_PENDING,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,1
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,PARENT_WAVE2_PENDING,PARENT_WAVE2_ACTIVE,first_opposite_close,4481
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,SIGNAL_CONSUMED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,3184
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,SIGNAL_RESERVED,SIGNAL_CONSUMED,symbol_position_cap,1
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,SIGNAL_RESERVED,SIGNAL_CONSUMED,traded,177
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,CHILD_COUNTER_TREND_CONFIRMED,CHILD_TREND_FLIPPED,first_close_break_of_active_child_anchor,3164
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,CHILD_COUNTER_TREND_CONFIRMED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,725
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,CHILD_TREND_FLIPPED,EXPIRED,stale_child_flip_not_reused,92
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,CHILD_TREND_FLIPPED,SIGNAL_CONSUMED,invalid_stop_distance,411
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,CHILD_TREND_FLIPPED,SIGNAL_CONSUMED,spread_guard,2495
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,CHILD_TREND_FLIPPED,SIGNAL_RESERVED,valid_signal_reserved_before_portfolio,166
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,EXPIRED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,92
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,IDLE,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,6
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,INVALIDATED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,149
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,PARENT_FLIP_DETECTED,PARENT_WAVE1_CONFIRMED,parent_wave1_confirmed,4470
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,PARENT_WAVE1_CONFIRMED,INVALIDATED,wave1_origin_broken,1
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,PARENT_WAVE1_CONFIRMED,PARENT_WAVE2_PENDING,confirmed_wave1_terminal_pivot,4469
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,PARENT_WAVE2_ACTIVE,CHILD_COUNTER_TREND_CONFIRMED,child_countertrend_confirmed_latest_anchor_active,3890
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,PARENT_WAVE2_ACTIVE,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,429
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,PARENT_WAVE2_PENDING,INVALIDATED,wave1_origin_broken,148
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,PARENT_WAVE2_PENDING,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,2
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,PARENT_WAVE2_PENDING,PARENT_WAVE2_ACTIVE,confirmed_wave1_terminal_pivot,4319
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,SIGNAL_CONSUMED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,3067
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,SIGNAL_RESERVED,SIGNAL_CONSUMED,symbol_position_cap,1
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,SIGNAL_RESERVED,SIGNAL_CONSUMED,traded,165
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,CHILD_COUNTER_TREND_CONFIRMED,CHILD_TREND_FLIPPED,first_close_break_of_active_child_anchor,3143
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,CHILD_COUNTER_TREND_CONFIRMED,INVALIDATED,wave1_origin_broken,7
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,CHILD_COUNTER_TREND_CONFIRMED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,812
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,CHILD_TREND_FLIPPED,EXPIRED,stale_child_flip_not_reused,1
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,CHILD_TREND_FLIPPED,SIGNAL_CONSUMED,invalid_stop_distance,406
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,CHILD_TREND_FLIPPED,SIGNAL_CONSUMED,spread_guard,2562
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,CHILD_TREND_FLIPPED,SIGNAL_RESERVED,valid_signal_reserved_before_portfolio,174
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,EXPIRED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,2
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,IDLE,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,6
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,INVALIDATED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,494
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,PARENT_FLIP_DETECTED,PARENT_WAVE1_CONFIRMED,parent_wave1_confirmed,4453
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,PARENT_WAVE1_CONFIRMED,INVALIDATED,wave1_origin_broken,1
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,PARENT_WAVE1_CONFIRMED,PARENT_WAVE2_ACTIVE,child_countertrend_confirmed,7
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,PARENT_WAVE1_CONFIRMED,PARENT_WAVE2_PENDING,child_countertrend_confirmed,4445
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,PARENT_WAVE2_ACTIVE,CHILD_COUNTER_TREND_CONFIRMED,child_countertrend_confirmed_latest_anchor_active,3963
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,PARENT_WAVE2_PENDING,EXPIRED,wave2_max_age_exceeded,1
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,PARENT_WAVE2_PENDING,INVALIDATED,wave1_origin_broken,486
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,PARENT_WAVE2_PENDING,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,2
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,PARENT_WAVE2_PENDING,PARENT_WAVE2_ACTIVE,child_countertrend_confirmed,3956
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,SIGNAL_CONSUMED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,3137
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,SIGNAL_RESERVED,SIGNAL_CONSUMED,symbol_position_cap,1
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,SIGNAL_RESERVED,SIGNAL_CONSUMED,traded,173
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,CHILD_COUNTER_TREND_CONFIRMED,CHILD_TREND_FLIPPED,first_close_break_of_active_child_anchor,3143
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,CHILD_COUNTER_TREND_CONFIRMED,INVALIDATED,wave1_origin_broken,7
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,CHILD_COUNTER_TREND_CONFIRMED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,812
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,CHILD_TREND_FLIPPED,EXPIRED,stale_child_flip_not_reused,1
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,CHILD_TREND_FLIPPED,SIGNAL_CONSUMED,invalid_stop_distance,406
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,CHILD_TREND_FLIPPED,SIGNAL_CONSUMED,spread_guard,2562
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,CHILD_TREND_FLIPPED,SIGNAL_RESERVED,valid_signal_reserved_before_portfolio,174
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,EXPIRED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,2
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,IDLE,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,6
