period_id,variant,direction,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,avg_r,max_dd_profit,max_dd_pct,recovery_factor,avg_mfe_r,avg_mae_r,mfe_ge_0_5r_rate,mfe_ge_0_8r_rate,mfe_ge_1_0r_rate,mfe_ge_1_3r_rate,tp_rate,full_sl_rate,time_exit_rate,avg_hold_bars,avg_child_flip_signal_age,avg_parent_wave2_age
full2025_validation,k_one_symbol_mode2,LONG,73,38,0.5205479452054794,33.570000000000036,643.1400000000001,-609.57,1.0550716078547173,0.02453134246575343,143.95,1.4394999999999998,0.23320597429663104,0.6287063424657534,-0.5935332876712329,0.5205479452054794,0.3424657534246575,0.2602739726027397,0.0,0.1643835616438356,0.3013698630136986,0.5342465753424658,22.164383561643834,0.0,0.0821917808219178
full2025_validation,k_one_symbol_mode2,SHORT,99,37,0.37373737373737376,-564.5699999999998,555.7600000000001,-1120.3300000000002,0.4960681227852508,-0.24067926262626274,564.5699999999998,5.645699999999998,-1.0,0.4929915454545456,-0.7001960505050506,0.41414141414141414,0.2222222222222222,0.15151515151515152,0.0,0.12121212121212122,0.41414141414141414,0.46464646464646464,20.333333333333332,0.0,0.1111111111111111
q1_quick,f_base_first_child_flip_mode0,LONG,17,9,0.5294117647058824,6.040000000000006,133.02,-126.97999999999999,1.0475665459127423,0.014409999999999994,53.29,0.5328999999999999,0.11334209044848952,0.559205705882353,-0.5433929411764706,0.47058823529411764,0.23529411764705882,0.23529411764705882,0.0,0.11764705882352941,0.29411764705882354,0.5882352941176471,22.823529411764707,0.0,2.0588235294117645
q1_quick,f_base_first_child_flip_mode0,SHORT,26,7,0.2692307692307692,-296.75999999999993,87.02,-383.7799999999999,0.22674448903017358,-0.4895756538461539,332.1699999999999,3.321699999999999,-0.893397958876479,0.3947996923076923,-0.7087185769230769,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.0,0.038461538461538464,0.5384615384615384,0.4230769230769231,19.153846153846153,0.0,2.423076923076923
q1_quick,g_base_first_child_flip_mode1,LONG,17,8,0.47058823529411764,-30.78,118.94,-149.72,0.7944162436548223,-0.07614023529411765,68.11,0.6811,-0.4519160182058435,0.5024335294117647,-0.588738294117647,0.4117647058823529,0.17647058823529413,0.17647058823529413,0.0,0.11764705882352941,0.35294117647058826,0.5294117647058824,22.0,0.0,0.0
q1_quick,g_base_first_child_flip_mode1,SHORT,21,5,0.23809523809523808,-321.34000000000003,35.24,-356.58,0.0988277525379999,-0.6430231428571429,325.78000000000003,3.2578000000000005,-0.9863711707287126,0.31493776190476186,-0.7755067142857142,0.23809523809523808,0.0,0.0,0.0,0.0,0.6190476190476191,0.38095238095238093,18.428571428571427,0.0,0.0
q1_quick,h_base_first_child_flip_mode2,LONG,17,9,0.5294117647058824,5.730000000000004,133.02,-127.28999999999999,1.045015319349517,0.014409999999999994,53.6,0.536,0.10690298507462694,0.559205705882353,-0.5433929411764706,0.47058823529411764,0.23529411764705882,0.23529411764705882,0.0,0.11764705882352941,0.29411764705882354,0.5882352941176471,22.823529411764707,0.0,0.058823529411764705
q1_quick,h_base_first_child_flip_mode2,SHORT,26,7,0.2692307692307692,-308.17,80.69999999999999,-388.86999999999995,0.20752436546917993,-0.5000490000000002,343.58,3.4358,-0.8969381221258514,0.38129015384615383,-0.7016748461538462,0.3076923076923077,0.07692307692307693,0.038461538461538464,0.0,0.038461538461538464,0.5384615384615384,0.4230769230769231,19.153846153846153,0.0,0.19230769230769232
q1_quick,i_child_stop_extreme_mode2,LONG,17,9,0.5294117647058824,5.730000000000004,133.02,-127.28999999999999,1.045015319349517,0.014409999999999994,53.6,0.536,0.10690298507462694,0.559205705882353,-0.5433929411764706,0.47058823529411764,0.23529411764705882,0.23529411764705882,0.0,0.11764705882352941,0.29411764705882354,0.5882352941176471,22.823529411764707,0.0,0.058823529411764705
q1_quick,i_child_stop_extreme_mode2,SHORT,26,7,0.2692307692307692,-308.17,80.69999999999999,-388.86999999999995,0.20752436546917993,-0.5000490000000002,343.58,3.4358,-0.8969381221258514,0.38129015384615383,-0.7016748461538462,0.3076923076923077,0.07692307692307693,0.038461538461538464,0.0,0.038461538461538464,0.5384615384615384,0.4230769230769231,19.153846153846153,0.0,0.19230769230769232
q1_quick,j_parent_stop_extreme_mode2,LONG,3,2,0.6666666666666666,42.25,64.55,-22.3,2.8946188340807173,0.5730293333333333,22.3,0.22300000000000003,1.8946188340807175,0.8564729999999999,-0.4508063333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,8.333333333333334,0.0,0.3333333333333333
q1_quick,j_parent_stop_extreme_mode2,SHORT,7,2,0.2857142857142857,-41.59,59.260000000000005,-100.85000000000001,0.5876053544868617,-0.2708357142857143,68.95,0.6895,-0.6031907179115301,0.43896571428571424,-0.7667974285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,14.142857142857142,0.0,0.42857142857142855
q1_quick,k_one_symbol_mode2,LONG,17,9,0.5294117647058824,5.730000000000004,133.02,-127.28999999999999,1.045015319349517,0.014409999999999994,53.6,0.536,0.10690298507462694,0.559205705882353,-0.5433929411764706,0.47058823529411764,0.23529411764705882,0.23529411764705882,0.0,0.11764705882352941,0.29411764705882354,0.5882352941176471,22.823529411764707,0.0,0.058823529411764705
q1_quick,k_one_symbol_mode2,SHORT,26,7,0.2692307692307692,-308.17,80.69999999999999,-388.86999999999995,0.20752436546917993,-0.5000490000000002,343.58,3.4358,-0.8969381221258514,0.38129015384615383,-0.7016748461538462,0.3076923076923077,0.07692307692307693,0.038461538461538464,0.0,0.038461538461538464,0.5384615384615384,0.4230769230769231,19.153846153846153,0.0,0.19230769230769232
