symbol,server_hour,horizon_ms,events,valid,mean_continuation,median_continuation,mean_absolute,mean_spread
AUDUSD,11,3000,162,162,8.896493395061734e-07,-7.888146e-06,5.589679861111111e-05,0.00021870370370370373
AUDUSD,11,5000,162,162,7.316648265432099e-06,-0.0,6.455508768518518e-05,0.00021888888888888888
AUDUSD,11,10000,162,162,1.7911097759259257e-05,0.0,8.749301522839507e-05,0.0002190740740740741
AUDUSD,11,15000,162,162,1.637658227160494e-05,7.9005485e-06,0.00010054951112345678,0.00022024691358024694
AUDUSD,11,30000,162,162,2.164393690740741e-05,1.5903563e-05,0.0001220197900308642,0.00021864197530864198
AUDUSD,11,60000,162,162,1.804584010493827e-05,1.1852752e-05,0.00014367634415432098,0.00021944444444444444
AUDUSD,11,120000,162,162,-2.5055611191358025e-05,3.95687e-06,0.00025194899122839504,0.00021746913580246915
AUDUSD,12,250,6,6,-1.3207076666666667e-05,-1.5884111000000003e-05,2.1144309666666668e-05,0.00022166666666666667
AUDUSD,12,500,6,6,-1.8499898666666666e-05,-2.3823612e-05,2.1144488333333334e-05,0.00022166666666666667
AUDUSD,12,1000,6,6,-1.8497008833333336e-05,-2.3733182000000003e-05,2.11415985e-05,0.00021833333333333332
AUDUSD,12,2000,6,6,-3.8347496833333335e-05,-3.56546355e-05,4.09920865e-05,0.00022
AUDUSD,12,3000,6,6,-5.554515066666667e-05,-3.96263095e-05,5.819097866666667e-05,0.00022500000000000002
AUDUSD,12,5000,6,6,-3.3055279666666664e-05,-2.37473555e-05,4.0992827e-05,0.00022
AUDUSD,12,10000,6,6,-3.969445716666667e-05,-1.983395e-05,4.497505016666667e-05,0.00021500000000000002
AUDUSD,12,15000,6,6,-3.4398169e-05,-2.77803135e-05,4.233859733333333e-05,0.00022833333333333334
AUDUSD,12,30000,6,6,-9.790694833333334e-05,-9.9226431e-05,0.00011376279033333334,0.00021833333333333332
AUDUSD,12,60000,6,6,1.1970357500000002e-05,-7.936348e-06,6.209876783333333e-05,0.00022
AUDUSD,12,120000,6,6,0.00013101343033333334,0.0001429691115,0.00013891135766666668,0.00022
AUDUSD,13,250,13,13,-2.2621195846153848e-05,-7.961118e-06,2.629604553846154e-05,0.0002230769230769231
AUDUSD,13,500,13,13,-2.3829542230769228e-05,-7.961118e-06,2.872921823076923e-05,0.0002230769230769231
AUDUSD,13,1000,13,13,-2.4449723153846154e-05,-7.961118e-06,3.057421576923077e-05,0.0002207692307692308
AUDUSD,13,2000,13,13,-1.2393602307692305e-06,-7.903795e-06,2.5682600076923077e-05,0.0002207692307692308
AUDUSD,13,3000,13,13,-5.521219076923078e-06,0.0,2.2641899846153847e-05,0.00022153846153846155
AUDUSD,13,5000,13,13,1.2377726153846138e-06,-2.3879552e-05,5.874004030769231e-05,0.00022230769230769233
AUDUSD,13,10000,13,13,-1.888219823076923e-05,-7.962322e-06,7.031489592307692e-05,0.00022
AUDUSD,13,15000,13,13,-2.498987730769231e-05,-2.3714946e-05,9.234436084615386e-05,0.00022
AUDUSD,13,30000,13,13,-7.084201392307694e-05,-5.5325253e-05,0.0001345237253076923,0.00021615384615384614
AUDUSD,13,60000,13,13,-4.4416154692307686e-05,-0.000111134044,0.00016074209900000002,0.00021846153846153847
AUDUSD,13,120000,13,13,-7.140907461538467e-06,2.3803573e-05,0.0001651092906923077,0.00021615384615384614
AUDUSD,14,250,52,52,-2.0742326173076926e-05,-7.950453e-06,4.393146863461539e-05,0.00021961538461538462
AUDUSD,14,500,52,52,-3.064252513461538e-05,-7.950453e-06,5.565831113461539e-05,0.0002201923076923077
AUDUSD,14,1000,52,52,-3.8676812711538455e-05,-1.98020395e-05,7.469177267307692e-05,0.00022038461538461537
AUDUSD,14,2000,52,52,-1.6913723788461537e-05,-1.19214935e-05,8.738995713461539e-05,0.00021942307692307693
