variant,train_trades,train_tpd,train_pf,train_net,test_trades,test_tpd,test_pf,test_net,all_trades,all_tpd,all_pf,all_net,score
L22-24_d0.8_mx0.0_r35_atr0.0002_none,963,5.412012644889357,1.0247314554068314,2535.9971428571694,616,7.134848180172933,1.7576290966116408,33351.792857142624,1579,5.6526743651257325,1.2448631687354395,35887.7899999998,1.8212661809052633
L22-24_d1.0_mx0.0_r35_atr0.0_none,942,5.293993677555322,1.042684790647911,4246.0085714286,610,7.065352905690729,1.7522871351333196,32877.31428571406,1552,5.556016855399073,1.2592832382104568,37123.32285714266,1.8211573062081443
L22-24_d1.2_mx3.0_r35_atr0.0002_none,905,5.086055497014401,1.074278993045662,6929.712857142988,587,6.7989543535089485,1.7625658207423829,32508.275714285533,1492,5.341222389339831,1.2901491413010833,39437.98857142853,1.821124704175326
L22-24_d0.6_mx3.0_r38_atr0.0004_none,1010,5.67615033368458,1.11720887346154,11644.247142857454,647,7.493907098330987,1.5930970619015783,28494.812857142635,1657,5.931907171002748,1.2723319091320993,40139.06000000009,1.8206342560541586
L22-24_d0.8_mx0.0_r35_atr0.0_none,963,5.412012644889357,1.0247314554068314,2535.9971428571694,621,7.192760908908103,1.7536671038240472,33266.15428571403,1584,5.670573903964002,1.244082691999796,35802.151428571204,1.8204393696360075
L21-24_d0.6_mx0.0_r35_atr0.0004_none,1096,6.16006713374056,1.1632269233058044,18279.378571428548,698,8.08461693142972,1.454163208371916,26542.65714285701,1794,6.422354535171351,1.2629930203645614,44822.03571428555,1.8203813455791853
L21-24_d0.6_mx0.0_r35_atr0.0_none,1111,6.244374621884819,1.1600694047034135,18051.231428571387,718,8.3162678463704,1.4388209184849232,25983.484285714163,1829,6.547651307039242,1.2560406126417873,44034.71571428554,1.8200570265823894
L21-24_d1.0_mx3.0_r40_atr0.0002_none,1116,6.2718651211801895,1.1699177968167298,18918.08142857158,738,8.54791876131108,1.4148023150764697,25662.271428571257,1854,6.637149001230593,1.2573879727014856,44580.35285714283,1.8197715473875464
L22-24_d0.6_mx3.0_r40_atr0.0002_none,1051,5.9065683175272214,1.0921812498208854,9589.768571428893,680,7.876131107983109,1.5783721690561339,28911.155714285494,1731,6.196820345809146,1.2499755247836535,38500.92428571438,1.8197586649218698
L22-24_d1.2_mx0.0_r35_atr0.0004_none,915,5.142255005268704,1.034168896061819,3354.7771428571746,583,6.7526241705208125,1.8080260134168626,34120.86999999979,1498,5.362701835945755,1.2669022515071013,37475.647142856964,1.8195031173304745
L21-24_d1.0_mx3.0_r40_atr0.0004_none,1103,6.198805760449596,1.1704185673064695,18924.290000000172,720,8.339432937864467,1.427672154059343,26148.16142857127,1823,6.526171860433318,1.2617651384304598,45072.45142857144,1.8186958273949467
L21-24_d0.6_mx0.0_r40_atr0.0004_none,1220,6.856340007024938,1.1338225004471676,16752.56857142868,779,9.022803136939473,1.378374940646887,24958.049999999846,1999,7.15623562754043,1.2182132272070105,41710.618571428524,1.8186019500350692
L22-24_d1.0_mx0.0_r35_atr0.0004_none,932,5.237794169301019,1.0391361500423333,3885.217142857186,596,6.903197265232254,1.769241913094404,33209.43714285694,1528,5.470099068975376,1.2604119988585538,37094.654285714125,1.8180484276645819
L22-24_d0.6_mx3.0_r40_atr0.0_none,1051,5.9065683175272214,1.0921812498208854,9589.768571428893,686,7.945626382465313,1.5691393496406945,28623.26999999978,1737,6.2182997924150705,1.247615878825813,38213.03857142867,1.8169144267991348
L21-24_d1.0_mx3.0_r40_atr0.0_none,1116,6.2718651211801895,1.1699177968167298,18918.08142857158,744,8.617414035793283,1.4055703605194214,25258.335714285553,1860,6.658628447836517,1.254450136433066,44176.41714285713,1.8168119739031323
L21-24_d1.0_mx3.0_r38_atr0.0002_none,1085,6.0983606557377055,1.1936495675561676,20507.86571428589,713,8.25835511763523,1.4113157142374897,24823.435714285544,1798,6.436674166241967,1.2726641707439303,45331.30142857143,1.816688469098376
L21-24_d1.0_mx3.0_r38_atr0.0004_none,1073,6.030913348946136,1.1942598060912142,20516.01428571447,696,8.061451839935652,1.4253368705090153,25360.561428571284,1769,6.33285684098,1.2776429676002976,45876.57571428576,1.8166291044377239
L22-24_d0.6_mx3.0_r38_atr0.0002_none,1021,5.737969792764313,1.112915281125332,11285.467142857464,659,7.632897647295395,1.5742807035581297,27992.03142857118,1680,6.014245049658791,1.2641585754143718,39277.498571428645,1.816059205491367
L21-24_d0.6_mx0.0_r40_atr0.0002_none,1239,6.963119072708114,1.1304317916889166,16444.211428571518,802,9.289201689121255,1.3650450260460754,24411.844285714105,2041,7.306591753781899,1.2117456967798226,40856.05571428561,1.814659597744455
L22-24_d0.8_mx3.0_r40_atr0.0004_none,1010,5.67615033368458,1.0881609911039476,8967.145714285974,651,7.540237281319123,1.6111803309485333,29921.678571428354,1661,5.9462268020733635,1.2581050889910643,38888.824285714334,1.8145240626100532
L22-24_d0.8_mx3.0_r38_atr0.0004_none,989,5.558131366350544,1.1076306751980352,10603.754285714545,634,7.343334003619545,1.6085926288731047,29083.14285714263,1623,5.81019030690251,1.2712570241196846,39686.897142857175,1.8140811145154523
L21-24_d1.0_mx3.0_r38_atr0.0_none,1085,6.0983606557377055,1.1936495675561676,20507.86571428589,719,8.327850392117433,1.4018772429142559,24419.49999999984,1804,6.458153612847892,1.2695660419683847,44927.36571428573,1.813624556244372
L22-24_d0.6_mx3.0_r38_atr0.0_none,1021,5.737969792764313,1.112915281125332,11285.467142857464,665,7.702392921777599,1.5648390967911214,27704.145714285463,1686,6.035724496264715,1.2616854806329736,38989.61285714293,1.8131192020308715
L22-24_d0.6_mx2.0_r35_atr0.0004_none,916,5.147874956094134,1.119019695898768,10489.424285714462,598,6.926362356726322,1.6665121882283995,27685.329999999787,1514,5.4199803602282195,1.2944005130231182,38174.75428571425,1.8128425958428749
L22-24_d1.0_mx3.0_r38_atr0.0002_none,968,5.440112399016509,1.1170257886284498,11274.047142857402,625,7.239091091896239,1.6130702871489766,28850.685714285482,1593,5.702793073872889,1.279814755869253,40124.73285714289,1.8128116726213606
L22-24_d0.8_mx3.0_r40_atr0.0002_none,1022,5.743589743589744,1.0841561021137678,8610.305714285976,662,7.667645284536497,1.598076196349517,29606.63857142834,1684,6.028564680729406,1.251730955723107,38216.944285714315,1.8125777751436394
L21-24_d0.6_mx0.0_r40_atr0.0_none,1239,6.963119072708114,1.1304317916889166,16444.211428571518,806,9.33553187210939,1.3588457940295198,24106.7585714284,2045,7.320911384852516,1.20983273910606,40550.969999999914,1.8121072750039082
L22-24_d1.2_mx0.0_r38_atr0.0002_none,949,5.333333333333333,1.0534516338208793,5371.622857142989,606,7.019022722702594,1.7120038048885948,31764.827142856884,1555,5.566756578702035,1.2559223007918905,37136.44999999989,1.8117641268547753
L22-24_d0.8_mx0.0_r40_atr0.0002_none,1040,5.844748858447488,1.049478819100543,5339.484285714436,667,7.725558013271667,1.623022462899922,30848.428571428318,1707,6.110902559385449,1.229868591393502,36187.91285714275,1.8111277351077057
L22-24_d0.8_mx3.0_r38_atr0.0002_none,1000,5.619950825430277,1.1033592883524734,10244.974285714554,644,7.459159461089885,1.5941277026833651,28716.867142856896,1644,5.885368370023245,1.2642295523124165,38961.841428571446,1.8109796168888648
L22-24_d0.6_mx2.0_r35_atr0.0002_none,924,5.192834562697576,1.1172352732763693,10371.542857143051,603,6.984275085461492,1.651173941887896,27317.615714285494,1527,5.466519161207722,1.2889849581740165,37689.15857142855,1.8107142728353771
L22-24_d0.6_mx2.0_r35_atr0.0_none,924,5.192834562697576,1.1172352732763693,10371.542857143051,604,6.995857631208526,1.6473637804957444,27220.587142856923,1528,5.470099068975376,1.2880266983092432,37592.129999999976,1.8096797370582867
L22-24_d0.8_mx3.0_r40_atr0.0_none,1022,5.743589743589744,1.0841561021137678,8610.305714285976,668,7.737140559018701,1.5886329691219794,29318.752857142623,1690,6.0500441273353305,1.2493336303887048,37929.0585714286,1.8096523584113577
L22-24_d1.0_mx3.0_r38_atr0.0_none,968,5.440112399016509,1.1170257886284498,11274.047142857402,631,7.308586366378443,1.6030432541888442,28562.799999999763,1599,5.724272520478813,1.2772173549214023,39836.84714285717,1.809641908759981
L22-24_d1.2_mx0.0_r38_atr0.0004_none,941,5.288373726729891,1.0513326648947947,5145.111428571578,594,6.880032173738186,1.7279973670852273,32080.162857142634,1535,5.495158423348954,1.257976654628735,37225.274285714215,1.8092193560667553
L22-24_d0.8_mx0.0_r40_atr0.0004_none,1025,5.760449596066034,1.0498944875456822,5354.394285714467,653,7.563402372813191,1.6340696338343152,31049.268571428336,1678,6.007085234123482,1.2329348768280575,36403.6628571428,1.8090713150955309
L22-24_d0.6_mx0.0_r40_atr0.0002_none,1073,6.030207235686688,1.0371687250300776,4156.787142857349,684,7.922461290971245,1.6028052869733587,30139.145714285467,1757,6.289897947768152,1.211920760307557,34295.93285714281,1.8088771912440407
L22-24_d1.2_mx0.0_r38_atr0.0_none,949,5.333333333333333,1.0534516338208793,5371.622857142989,613,7.100100542931831,1.7010916119647839,31491.89142857117,1562,5.591815933075614,1.253508396800176,36863.51428571417,1.8084644527080418
L22-24_d0.8_mx0.0_r40_atr0.0_none,1040,5.844748858447488,1.049478819100543,5339.484285714436,674,7.806635833500905,1.6137286440068732,30575.4928571426,1714,6.1359619137590276,1.2276936271501502,35914.97714285703,1.8084422798214115
L21-24_d0.8_mx3.0_r40_atr0.0002_none,1166,6.5528626624517035,1.1346847063147145,15606.935714285893,767,8.883812587975065,1.3801687435197678,24337.4628571427,1933,6.919961714875263,1.2220427375434464,39944.39857142859,1.8079916034193195
L22-24_d0.8_mx3.0_r38_atr0.0_none,1000,5.619950825430277,1.1033592883524734,10244.974285714554,650,7.528654735572089,1.5844823581684369,28428.981428571184,1650,5.906847816629169,1.2617356475827057,38673.95571428574,1.8079641432269347
L22-24_d0.6_mx0.0_r40_atr0.0004_none,1057,5.940288022479804,1.0374951378857542,4170.787142857368,668,7.737140559018701,1.6182448443095143,30479.79142857121,1725,6.175340899203222,1.2158431340764728,34650.57857142858,1.8078998972261615
L21-24_d0.8_mx3.0_r40_atr0.0004_none,1151,6.468563400070249,1.1383856882783943,15949.075714285918,749,8.675326764528453,1.3922040926501342,24823.352857142716,1900,6.801824758542679,1.228362170831486,40772.42857142862,1.8075087498350968
L21-24_d0.6_mx3.0_r38_atr0.0004_none,1152,6.47418335089568,1.1845473543840734,20310.38571428602,741,8.582666398552181,1.3383630656288346,21478.757142857026,1893,6.776765404169101,1.2408130089011027,41789.142857143044,1.8064773654783726
L22-24_d0.6_mx0.0_r40_atr0.0_none,1073,6.030207235686688,1.0371687250300776,4156.787142857349,691,8.003539111200482,1.5937235044349976,29866.20999999975,1764,6.31495730214173,1.2098386576795424,34022.99714285709,1.8062845210049547
L22-24_d1.0_mx3.0_r40_atr0.0004_none,980,5.507551808921672,1.087634863523464,8791.930000000233,629,7.285421274884375,1.6223758685806398,29637.77714285693,1609,5.760071598155354,1.2597567973810184,38429.707142857165,1.8060845339065041
L21-24_d0.8_mx3.0_r40_atr0.0_none,1166,6.5528626624517035,1.1346847063147145,15606.935714285893,773,8.953307862457269,1.3714666562189712,23933.527142856998,1939,6.941441161481187,1.2192947592256032,39540.46285714288,1.8052554550647093
L22-24_d1.0_mx3.0_r40_atr0.0002_none,990,5.563751317175975,1.0871967660939172,8771.021428571667,640,7.412829278101749,1.6087811478872607,29322.737142856917,1630,5.835249661276088,1.2560836432649982,38093.75857142858,1.8051315245127346
L22-24_d0.6_mx2.0_r40_atr0.0004_none,1004,5.642430628731999,1.1295857395157198,12130.495714286057,651,7.540237281319123,1.5425827924255155,25538.481428571227,1655,5.9247473554674395,1.2677670533777847,37668.977142857286,1.8050752099356469
L21-24_d0.6_mx3.0_r38_atr0.0002_none,1167,6.558482613277134,1.1776579011648804,19702.968571428883,760,8.802734767745827,1.3232778944006962,20805.12571428556,1927,6.898482268269339,1.2311304194103072,40508.09428571445,1.804247381459101
L22-24_d1.0_mx0.0_r40_atr0.0002_none,1009,5.67053038285915,1.0513420784043455,5452.960000000121,646,7.482324552583953,1.6349130458001633,30588.417142856895,1655,5.9247473554674395,1.2334501801161062,36041.37714285701,1.8039851351992713
L21-24_d0.8_mx3.0_r38_atr0.0004_none,1113,6.255005268703899,1.1776134777995781,19246.17285714308,719,8.327850392117433,1.3760365544672881,23206.812857142715,1832,6.558391030342205,1.2496146217934572,42452.98571428579,1.8036862349268996
L21-24_d0.8_mx3.0_r38_atr0.0002_none,1127,6.333684580259923,1.173435133246944,18902.09285714307,736,8.524753669817011,1.363058343747941,22669.687142856972,1863,6.66936817113948,1.2425036788163761,41571.780000000035,1.8030587169648615
L22-24_d1.0_mx3.0_r38_atr0.0004_none,963,5.412012644889357,1.0911350439317409,8967.945714285941,615,7.123265634425899,1.6281545327488032,29216.961428571212,1578,5.649094457358078,1.2634982830648886,38184.907142857155,1.802775166092172
L22-24_d1.2_mx0.0_r40_atr0.0002_none,969,5.445732349841939,1.0327637298334744,3417.450000000109,614,7.111683088678865,1.696525557705522,31707.352857142614,1583,5.666993996196348,1.2344340808187357,35124.80285714273,1.8021897971455076
L21-24_d0.6_mx3.0_r40_atr0.0004_none,1201,6.749560941341763,1.1437882381429407,16935.140000000243,775,8.976472953951337,1.3340809778142266,22069.659999999865,1976,7.073897748884387,1.2121680828049959,39004.800000000105,1.8021746703862607
L22-24_d1.0_mx3.0_r40_atr0.0_none,990,5.563751317175975,1.0871967660939172,8771.021428571667,646,7.482324552583953,1.599010102336654,29034.8514285712,1636,5.856729107882012,1.2536281715236506,37805.872857142866,1.8020797420859898
L22-24_d0.8_mx0.0_r38_atr0.0002_none,1013,5.693010186160871,1.057286054510766,5999.030000000155,648,7.505489644078021,1.618369379259823,29895.397142856877,1661,5.9462268020733635,1.234502737299553,35894.42714285703,1.8020193269473774
L22-24_d0.6_mx2.0_r40_atr0.0002_none,1016,5.709870038637162,1.1273657099424055,11973.754285714635,663,7.679227830283531,1.5239533129807283,25027.145714285485,1679,6.0106651418911365,1.2609799346578572,37000.90000000012,1.8018803517894284
L22-24_d0.8_mx0.0_r38_atr0.0004_none,999,5.614330874604847,1.0577781107256616,6015.880000000174,636,7.366499095113613,1.6320426461080044,30210.73285714262,1635,5.853149200114358,1.2384601050050392,36226.61285714278,1.8016851801355107
L21-24_d0.6_mx3.0_r38_atr0.0_none,1167,6.558482613277134,1.1776579011648804,19702.968571428883,766,8.872230042228031,1.3149835253153987,20401.189999999857,1933,6.919961714875263,1.2282886205101018,40104.15857142874,1.8016351703634423
L22-24_d0.8_mx2.0_r35_atr0.0004_none,897,5.041095890410959,1.1011788853963238,8883.788571428733,588,6.8105368992559825,1.6853754379834223,28399.949999999786,1485,5.3161630349662525,1.2884848231753527,37283.73857142852,1.8011864829066402
L22-24_d1.0_mx0.0_r40_atr0.0_none,1009,5.67053038285915,1.0513420784043455,5452.960000000121,653,7.563402372813191,1.625288142007761,30315.481428571176,1662,5.949806709841018,1.2312253678588898,35768.4414285713,1.8011738305954301
L22-24_d1.0_mx0.0_r40_atr0.0004_none,996,5.597471022128556,1.0484400457319216,5131.938571428719,632,7.320168912125477,1.6464065476117762,30789.257142856914,1628,5.82808984574078,1.233899191966771,35921.19571428563,1.8010238705571364
L21-24_d0.8_mx3.0_r38_atr0.0_none,1127,6.333684580259923,1.173435133246944,18902.09285714307,742,8.594248944299215,1.3542502055527335,22265.751428571268,1869,6.690847617745404,1.239571198720296,41167.84428571433,1.80024855044156
L22-24_d1.2_mx0.0_r40_atr0.0004_none,961,5.400772743238496,1.0306698273980608,3190.938571428699,600,6.94952744822039,1.7094851731149183,31909.23857142836,1561,5.5882360253079595,1.2355450644421961,35100.17714285706,1.8002017098240668
