variant,train_tpd,train_pf,train_net,test_tpd,test_pf,test_net,all_tpd,all_pf,all_net,all_trades,score
L22-24_d1.0_mx2.0_r30_atr0.0002_none,4.4564578681396165,1.1623460527395424,12114.855714285932,6.115584154433943,1.562292656379259,22135.542857142744,4.718318437768027,1.300467813228474,34250.398571428675,1318,1.913934463408166
L22-24_d1.0_mx2.0_r30_atr0.0_none,4.4564578681396165,1.1623460527395424,12114.855714285932,6.115584154433943,1.562292656379259,22135.542857142744,4.718318437768027,1.300467813228474,34250.398571428675,1318,1.913934463408166
L22-24_d0.8_mx2.0_r30_atr0.0_none,4.507227641320954,1.1493962309114791,11346.950000000215,6.196661974663181,1.5359191903746792,21550.02571428559,4.775596962050492,1.283195741210266,32896.97571428581,1334,1.907840159683341
L22-24_d0.8_mx2.0_r30_atr0.0002_none,4.507227641320954,1.1493962309114791,11346.950000000215,6.196661974663181,1.5359191903746792,21550.02571428559,4.775596962050492,1.283195741210266,32896.97571428581,1334,1.907840159683341
L21-24_d0.8_mx2.0_r30_atr0.0002_none,4.732552693208431,1.1617707681270613,12870.44857142877,6.7642067162678465,1.332755419148908,16590.339999999946,5.104948476674664,1.2276418966268101,29460.78857142871,1426,1.9020113941192345
L21-24_d0.8_mx2.0_r30_atr0.0_none,4.732552693208431,1.1617707681270613,12870.44857142877,6.7757892620148805,1.329895970471928,16483.13999999995,5.108528384442318,1.2266258474571983,29353.588571428714,1427,1.9018780328047427
L21-24_d1.0_mx2.0_r30_atr0.0002_none,4.676346604215457,1.1797820120738087,13999.644285714492,6.648381258797507,1.3405120053546442,16689.41714285709,5.033350321321583,1.241869323002903,30689.061428571575,1406,1.900481862480163
L21-24_d1.0_mx2.0_r30_atr0.0_none,4.676346604215457,1.1797820120738087,13999.644285714492,6.659963804544541,1.3375864527912278,16582.217142857095,5.036930229089237,1.24082098555935,30581.86142857158,1407,1.9003206742981822
L20-24_d0.8_mx0.0_r30_atr0.0002_none,5.591851071303126,1.024596419392968,2748.6657142858253,8.119364568670822,1.169561279591055,11849.495714285598,6.071523573941255,1.0803713444443694,14598.16142857142,1696,1.8838217526956607
L20-24_d0.8_mx0.0_r30_atr0.0_none,5.591851071303126,1.024596419392968,2748.6657142858253,8.14252966016489,1.1674759416638008,11725.195714285583,6.078683389476563,1.0796309013674312,14473.861428571407,1698,1.8837572446904494
L20-24_d1.0_mx0.0_r30_atr0.0002_none,5.530031612223393,1.034898892912021,3834.8714285715378,8.02670420269455,1.1691726763270516,11704.552857142746,6.003505326355828,1.0867774215642814,15539.424285714284,1677,1.8817405224928496
L20-24_d1.0_mx0.0_r30_atr0.0_none,5.530031612223393,1.034898892912021,3834.8714285715378,8.049869294188618,1.1670671092233933,11580.252857142734,6.0106651418911365,1.0860218193675777,15415.124285714273,1679,1.8816656515016197
L20-24_d1.0_mx2.0_r30_atr0.0002_none,4.884309133489461,1.1594236029795106,13213.245714285877,7.158013271667001,1.1754211486178694,10423.164285714221,5.32332285050156,1.1661034758355475,23636.410000000098,1487,1.874179689491943
L20-24_d1.0_mx2.0_r30_atr0.0_none,4.884309133489461,1.1594236029795106,13213.245714285877,7.169595817414035,1.1733043096648552,10315.964285714228,5.326902758269214,1.165225662787467,23529.210000000105,1488,1.8737012359636265
L20-24_d0.8_mx2.0_r30_atr0.0002_none,4.951756440281031,1.1437174869806344,12179.600000000162,7.297003820631409,1.1703372022413996,10257.877142857069,5.409240636925257,1.1547755681270595,22437.477142857235,1511,1.8736091848425052
L20-24_d0.8_mx2.0_r30_atr0.0_none,4.951756440281031,1.1437174869806344,12179.600000000162,7.308586366378443,1.1682575754310773,10150.677142857076,5.412820544692911,1.1539222720981137,22330.277142857238,1512,1.8731486153065589
L20-24_d0.8_mx0.0_r35_atr0.0_bull,4.659536960864966,1.0760081362704765,6124.435714285879,6.474643072591997,1.45054117109112,19075.7599999999,4.958172258200848,1.2050201299380532,25200.19571428578,1385,1.8729437517684024
L20-24_d0.8_mx0.0_r35_atr0.0002_bull,4.659536960864966,1.0760081362704765,6124.435714285879,6.474643072591997,1.45054117109112,19075.7599999999,4.958172258200848,1.2050201299380532,25200.19571428578,1385,1.8729437517684024
L21-24_d1.0_mx0.0_r35_atr0.0_bull,4.4508167822305795,1.1017257569902688,7797.440000000151,6.092419062939875,1.5315740411329726,20380.569999999847,4.707578714465065,1.2450440301649806,28178.010000000002,1315,1.8694691846820537
L21-24_d1.0_mx0.0_r35_atr0.0002_bull,4.4508167822305795,1.1017257569902688,7797.440000000151,6.092419062939875,1.5315740411329726,20380.569999999847,4.707578714465065,1.2450440301649806,28178.010000000002,1315,1.8694691846820537
L20-24_d1.0_mx0.0_r35_atr0.0002_bull,4.569279586320366,1.0932728971036914,7304.495714285929,6.381982706615725,1.4518377592006004,18942.669999999925,4.8722544717771505,1.2182956576322952,26247.165714285853,1361,1.8690057267558777
L20-24_d1.0_mx0.0_r35_atr0.0_bull,4.569279586320366,1.0932728971036914,7304.495714285929,6.381982706615725,1.4518377592006004,18942.669999999925,4.8722544717771505,1.2182956576322952,26247.165714285853,1361,1.8690057267558777
L21-24_d0.8_mx0.0_r35_atr0.0002_bull,4.541074156775179,1.0867939145553596,6834.040000000106,6.150331791675045,1.5231984646691383,20244.609999999826,4.7827567775858,1.2305887868994505,27078.649999999936,1336,1.8689964375632644
L21-24_d0.8_mx0.0_r35_atr0.0_bull,4.541074156775179,1.0867939145553596,6834.040000000106,6.150331791675045,1.5231984646691383,20244.609999999826,4.7827567775858,1.2305887868994505,27078.649999999936,1336,1.8689964375632644
L22-24_d1.0_mx0.0_r35_atr0.0002_bull,4.304148548595604,1.0829730730726044,6231.508571428714,6.022923788457671,1.5580047232615521,20929.629999999863,4.593021665900135,1.2411948753996902,27161.138571428583,1283,1.8551110114863276
L22-24_d1.0_mx0.0_r35_atr0.0_bull,4.304148548595604,1.0829730730726044,6231.508571428714,6.022923788457671,1.5580047232615521,20929.629999999863,4.593021665900135,1.2411948753996902,27161.138571428583,1283,1.8551110114863276
L20-24_d0.8_mx2.0_r35_atr0.0002_bull,4.4508167822305795,1.0657954083866599,4988.950000000163,6.266157249145385,1.4863236744372192,19451.645714285623,4.761277330979875,1.2110176398331212,24440.595714285788,1330,1.851321540202819
L20-24_d0.8_mx2.0_r35_atr0.0_bull,4.4508167822305795,1.0657954083866599,4988.950000000163,6.266157249145385,1.4863236744372192,19451.645714285623,4.761277330979875,1.2110176398331212,24440.595714285788,1330,1.851321540202819
L22-24_d0.8_mx0.0_r35_atr0.0_bull,4.3605594076859795,1.0695564331458371,5337.338571428698,6.057671425698773,1.5464372139071605,20686.489999999838,4.639560466879638,1.2271019306147464,26023.828571428538,1296,1.850323705451313
L22-24_d0.8_mx0.0_r35_atr0.0002_bull,4.3605594076859795,1.0695564331458371,5337.338571428698,6.057671425698773,1.5464372139071605,20686.489999999838,4.639560466879638,1.2271019306147464,26023.828571428538,1296,1.850323705451313
L22-24_d1.0_mx0.0_r30_atr0.0_bull,4.196967916323892,1.096523975146823,7067.458571428742,5.837603056505127,1.5867619788803584,21156.019999999924,4.467724894032244,1.2582787558909398,28223.478571428666,1248,1.849871695297105
L22-24_d1.0_mx0.0_r30_atr0.0002_bull,4.196967916323892,1.096523975146823,7067.458571428742,5.837603056505127,1.5867619788803584,21156.019999999924,4.467724894032244,1.2582787558909398,28223.478571428666,1248,1.849871695297105
L20-24_d1.0_mx0.0_r30_atr0.0_bull,4.383123751322129,1.070019019645205,5457.735714285917,6.069253971445807,1.5331390891920154,20599.779999999962,4.657460005717908,1.2235063318658355,26057.51571428588,1301,1.8482254425064286
L20-24_d1.0_mx0.0_r30_atr0.0002_bull,4.383123751322129,1.070019019645205,5457.735714285917,6.069253971445807,1.5331390891920154,20599.779999999962,4.657460005717908,1.2235063318658355,26057.51571428588,1301,1.8482254425064286
L20-24_d1.0_mx2.0_r35_atr0.0_bull,4.33799506404983,1.0835669428517014,6126.860000000208,6.173496883169113,1.4880731119174226,19318.55571428565,4.6610399134855625,1.2253839857687057,25445.41571428586,1302,1.84657324421834
L20-24_d1.0_mx2.0_r35_atr0.0002_bull,4.33799506404983,1.0835669428517014,6126.860000000208,6.173496883169113,1.4880731119174226,19318.55571428565,4.6610399134855625,1.2253839857687057,25445.41571428586,1302,1.84657324421834
L21-24_d1.0_mx2.0_r35_atr0.0002_bull,4.236455517687155,1.0944158601227008,6775.424285714434,5.941845968228433,1.5356944924644182,19940.739999999867,4.525003418314709,1.2451348190613445,26716.1642857143,1264,1.842917415061143
L21-24_d1.0_mx2.0_r35_atr0.0_bull,4.236455517687155,1.0944158601227008,6775.424285714434,5.941845968228433,1.5356944924644182,19940.739999999867,4.525003418314709,1.2451348190613445,26716.1642857143,1264,1.842917415061143
L21-24_d0.8_mx2.0_r35_atr0.0_bull,4.343636149958867,1.0784580782958342,5813.284285714391,5.999758696963603,1.5270313819339407,19804.779999999842,4.610921204738406,1.229404265637565,25618.064285714234,1288,1.8427439133526125
L21-24_d0.8_mx2.0_r35_atr0.0002_bull,4.343636149958867,1.0784580782958342,5813.284285714391,5.999758696963603,1.5270313819339407,19804.779999999842,4.610921204738406,1.229404265637565,25618.064285714234,1288,1.8427439133526125
L22-24_d0.8_mx0.0_r30_atr0.0002_bull,4.22517334586908,1.0832815622131697,6196.362857143033,5.849185602252161,1.576830029300302,20936.939999999893,4.489204340638168,1.245108552862638,27133.302857142928,1254,1.8421956055567161
L22-24_d0.8_mx0.0_r30_atr0.0_bull,4.22517334586908,1.0832815622131697,6196.362857143033,5.849185602252161,1.576830029300302,20936.939999999893,4.489204340638168,1.245108552862638,27133.302857142928,1254,1.8421956055567161
L20-24_d0.8_mx0.0_r30_atr0.0002_bull,4.422611352685392,1.0508317246457406,4049.580000000198,6.080836517192841,1.5241994080711059,20380.699999999935,4.686099267859141,1.2060825977683283,24430.280000000137,1309,1.8385384450436826
L20-24_d0.8_mx0.0_r30_atr0.0_bull,4.422611352685392,1.0508317246457406,4049.580000000198,6.080836517192841,1.5241994080711059,20380.699999999935,4.686099267859141,1.2060825977683283,24430.280000000137,1309,1.8385384450436826
L21-24_d1.0_mx0.0_r30_atr0.0002_bull,4.298507462686567,1.0768620651130723,5882.250000000175,5.883933239493263,1.5553481386699026,20485.459999999923,4.546482864920633,1.2324835089454858,26367.710000000097,1270,1.8382667275433904
L21-24_d1.0_mx0.0_r30_atr0.0_bull,4.298507462686567,1.0768620651130723,5882.250000000175,5.883933239493263,1.5553481386699026,20485.459999999923,4.546482864920633,1.2324835089454858,26367.710000000097,1270,1.8382667275433904
L22-24_d1.0_mx2.0_r35_atr0.0_bull,4.151839229051593,1.0811978687831991,5771.064285714425,5.895515785240297,1.5498350764784088,20179.969999999877,4.456985170729282,1.2407868853641104,25951.03428571431,1245,1.8325079525277836
L22-24_d1.0_mx2.0_r35_atr0.0002_bull,4.151839229051593,1.0811978687831991,5771.064285714425,5.895515785240297,1.5498350764784088,20179.969999999877,4.456985170729282,1.2407868853641104,25951.03428571431,1245,1.8325079525277836
L22-24_d0.8_mx2.0_r35_atr0.0002_bull,4.219532259960042,1.0704718750359221,5123.674285714407,5.930263422481399,1.5380928565587142,19936.829999999856,4.510683787244092,1.2283289388728271,25060.50428571427,1260,1.8296378613526278
L22-24_d0.8_mx2.0_r35_atr0.0_bull,4.219532259960042,1.0704718750359221,5123.674285714407,5.930263422481399,1.5380928565587142,19936.829999999856,4.510683787244092,1.2283289388728271,25060.50428571427,1260,1.8296378613526278
L21-24_d0.8_mx0.0_r30_atr0.0_bull,4.332353978140792,1.059557068745705,4649.864285714457,5.895515785240297,1.545842680348116,20266.379999999896,4.571542219294211,1.2162817629258562,24916.244285714354,1277,1.8289785654889408
L21-24_d0.8_mx0.0_r30_atr0.0002_bull,4.332353978140792,1.059557068745705,4649.864285714457,5.895515785240297,1.545842680348116,20266.379999999896,4.571542219294211,1.2162817629258562,24916.244285714354,1277,1.8289785654889408
L21-24_d1.0_mx2.0_r30_atr0.0_bull,4.061581854506993,1.1289340916658515,8749.521428571627,5.7101950532877535,1.5143379927059815,18544.049999999937,4.342428122164352,1.2626537938285616,27293.571428571566,1213,1.8224994138137778
L21-24_d1.0_mx2.0_r30_atr0.0002_bull,4.061581854506993,1.1289340916658515,8749.521428571627,5.7101950532877535,1.5143379927059815,18544.049999999937,4.342428122164352,1.2626537938285616,27293.571428571566,1213,1.8224994138137778
L22-24_d1.0_mx2.0_r30_atr0.0002_bull,4.033376424961805,1.120143362586561,8126.291428571607,5.6870299617936855,1.5320497197172782,18904.77999999994,4.317368767790774,1.2620044689508292,27031.071428571548,1206,1.820838209577512
L22-24_d1.0_mx2.0_r30_atr0.0_bull,4.033376424961805,1.120143362586561,8126.291428571607,5.6870299617936855,1.5320497197172782,18904.77999999994,4.317368767790774,1.2620044689508292,27031.071428571548,1206,1.820838209577512
L20-24_d1.0_mx2.0_r30_atr0.0002_bull,4.117992713597367,1.1122527827143878,7764.597142857368,5.826020510758093,1.4827375236186426,18131.79999999997,4.414026277517434,1.2426323563285124,25896.397142857342,1233,1.816372554587885
L20-24_d1.0_mx2.0_r30_atr0.0_bull,4.117992713597367,1.1122527827143878,7764.597142857368,5.826020510758093,1.4827375236186426,18131.79999999997,4.414026277517434,1.2426323563285124,25896.397142857342,1233,1.816372554587885
L22-24_d0.8_mx2.0_r30_atr0.0_bull,4.061581854506993,1.1054210270635083,7255.195714285894,5.6986125075407195,1.5223410176225105,18685.699999999913,4.338848214396699,1.2480148231202375,25940.895714285805,1212,1.8125611460802937
L22-24_d0.8_mx2.0_r30_atr0.0002_bull,4.061581854506993,1.1054210270635083,7255.195714285894,5.6986125075407195,1.5223410176225105,18685.699999999913,4.338848214396699,1.2480148231202375,25940.895714285805,1212,1.8125611460802937
L21-24_d0.8_mx2.0_r30_atr0.0002_bull,4.095428369961217,1.1083089533325283,7517.135714285909,5.721777599034787,1.5048865938820561,18324.969999999907,4.3674874765379315,1.2444858888683512,25842.10571428582,1220,1.8117065755131017
L21-24_d0.8_mx2.0_r30_atr0.0_bull,4.095428369961217,1.1083089533325283,7517.135714285909,5.721777599034787,1.5048865938820561,18324.969999999907,4.3674874765379315,1.2444858888683512,25842.10571428582,1220,1.8117065755131017
L20-24_d0.8_mx2.0_r30_atr0.0_bull,4.15748031496063,1.0896655571160008,6356.441428571652,5.837603056505127,1.4738641816780214,17912.71999999994,4.442665539658666,1.2232839136696667,24269.1614285716,1241,1.805178511274012
L20-24_d0.8_mx2.0_r30_atr0.0002_bull,4.15748031496063,1.0896655571160008,6356.441428571652,5.837603056505127,1.4738641816780214,17912.71999999994,4.442665539658666,1.2232839136696667,24269.1614285716,1241,1.805178511274012
short_only_base,3.88670819132683,1.1499372155705772,9501.8471428573,5.4669615926000406,1.4787925791479222,16872.209999999963,4.1562729182463425,1.26745484291803,26374.05714285727,1161,1.7897670151555716
