"RunName","Window","Magic","DoubleTopBottomToleranceATR","NecklineBreakBufferATR","ADXLowThreshold","ADXHighThreshold","Trades","WinRate","AvgWinR","AvgLossR","ExpectancyR","PF","MaxDD_R","MaxLossR","TotalR","MaxConsecutiveLosses","PositiveMonths","PositiveQuarters","RiskGuardRejects","spread_too_wide","daily_loss_r_blocked","weekly_loss_r_blocked","monthly_loss_r_blocked","total_open_risk_blocked","min_bars_between_entries_blocked","strategy01b_one_position_blocked","live_order_send_failed","live_position_tracking_failed","live_sl_tp_invalid","live_lot_invalid","LiveEntries","AvgPlannedRR","AvgSpreadPoints","AvgMFE_R","AvgMAE_R","MonthlyProfitR","QuarterProfitR","RejectReasonCounts"
"livepath2025_jshort_g011_tol0.20_neck0.05_adx18_30","2025.01.01-2025.12.31","2026053311","0.2","0.05","18","30","108","46.2963","1.501437","-1.033784","0.139929","1.252043","13.127764","-1.59758","15.112371","8","8","4","22","14","11","3","8","0","0","0","0","0","0","0","108","1.499837","18.102","0.90097","-0.775248","2025-01:3.807|2025-03:0.705|2025-04:1.507|2025-05:8.052|2025-06:-2.543|2025-07:1.004|2025-08:3.562|2025-09:-1.662|2025-10:-6.806|2025-11:1.505|2025-12:5.982","2025-Q1:4.512|2025-Q2:7.016|2025-Q3:2.904|2025-Q4:0.68","break_candle_strength_filter_failed=97|daily_loss_r_blocked=11|direction_filter_failed=1786|entry_open_count_filter_failed=65|fibo_filter_failed=75|monthly_loss_r_blocked=8|pattern_adx_bucket_filter_failed=263|rr_too_low=1|spread_too_wide=14|trend_alignment_filter_failed=1231|weekly_loss_r_blocked=3"
"livepath2025_jshort_g012_tol0.20_neck0.07_adx18_30","2025.01.01-2025.12.31","2026053312","0.2","0.07","18","30","105","47.619","1.499958","-1.035532","0.171844","1.316808","12.168166","-1.59758","18.043598","8","8","4","19","15","11","0","8","0","0","0","0","0","0","0","105","1.499844","18.067","0.918606","-0.773138","2025-01:4.807|2025-03:0.705|2025-04:1.507|2025-05:9.023|2025-06:-2.543|2025-07:1.004|2025-08:3.562|2025-09:-0.702|2025-10:-6.807|2025-11:1.505|2025-12:5.982","2025-Q1:5.512|2025-Q2:7.988|2025-Q3:3.864|2025-Q4:0.68","break_candle_strength_filter_failed=96|daily_loss_r_blocked=11|direction_filter_failed=1790|entry_open_count_filter_failed=68|fibo_filter_failed=75|monthly_loss_r_blocked=8|pattern_adx_bucket_filter_failed=265|rr_too_low=1|spread_too_wide=15|trend_alignment_filter_failed=1223"
"livepath2025_jshort_g013_tol0.25_neck0.03_adx18_30","2025.01.01-2025.12.31","2026053313","0.25","0.03","18","30","119","46.2185","1.502679","-1.038525","0.135981","1.243461","14.285382","-1.59758","16.181787","9","8","4","17","14","9","3","5","0","0","0","0","0","0","0","119","1.499639","18.143","0.903716","-0.785592","2025-01:2.508|2025-03:1.231|2025-04:1.507|2025-05:7.02|2025-06:-1.03|2025-07:1.688|2025-08:2.359|2025-09:-2.857|2025-10:-6.769|2025-11:5.544|2025-12:4.982","2025-Q1:3.739|2025-Q2:7.497|2025-Q3:1.19|2025-Q4:3.756","break_candle_strength_filter_failed=106|daily_loss_r_blocked=9|direction_filter_failed=1868|entry_open_count_filter_failed=68|fibo_filter_failed=80|monthly_loss_r_blocked=5|pattern_adx_bucket_filter_failed=289|rr_too_low=1|spread_too_wide=14|trend_alignment_filter_failed=1303|weekly_loss_r_blocked=3"
"livepath2025_jshort_g014_tol0.25_neck0.05_adx18_30","2025.01.01-2025.12.31","2026053314","0.25","0.05","18","30","119","47.0588","1.502857","-1.040308","0.156476","1.284113","13.224644","-1.59758","18.620589","8","8","4","18","14","9","3","6","0","0","0","0","0","0","0","119","1.499708","18.193","0.910829","-0.780161","2025-01:2.508|2025-03:2.744|2025-04:1.507|2025-05:7.02|2025-06:-1.03|2025-07:2.688|2025-08:2.359|2025-09:-1.81|2025-10:-6.756|2025-11:4.409|2025-12:4.982","2025-Q1:5.252|2025-Q2:7.498|2025-Q3:3.237|2025-Q4:2.634","break_candle_strength_filter_failed=105|daily_loss_r_blocked=9|direction_filter_failed=1861|entry_open_count_filter_failed=68|fibo_filter_failed=83|monthly_loss_r_blocked=6|pattern_adx_bucket_filter_failed=290|rr_too_low=1|spread_too_wide=14|trend_alignment_filter_failed=1288|weekly_loss_r_blocked=3"
"livepath2025_jshort_g015_tol0.25_neck0.07_adx18_30","2025.01.01-2025.12.31","2026053315","0.25","0.07","18","30","116","48.2759","1.501531","-1.042232","0.185791","1.344642","12.264266","-1.597789","21.551804","8","8","4","16","15","10","0","6","0","0","0","0","0","0","0","116","1.49971","18.164","0.927047","-0.778378","2025-01:3.508|2025-03:2.744|2025-04:1.507|2025-05:7.992|2025-06:-1.03|2025-07:2.688|2025-08:2.359|2025-09:-0.85|2025-10:-6.756|2025-11:4.408|2025-12:4.982","2025-Q1:6.252|2025-Q2:8.469|2025-Q3:4.197|2025-Q4:2.634","break_candle_strength_filter_failed=106|daily_loss_r_blocked=10|direction_filter_failed=1861|entry_open_count_filter_failed=71|fibo_filter_failed=83|monthly_loss_r_blocked=6|pattern_adx_bucket_filter_failed=291|rr_too_low=1|spread_too_wide=15|trend_alignment_filter_failed=1280"
"livepath2025_jshort_g016_tol0.30_neck0.03_adx18_30","2025.01.01-2025.12.31","2026053316","0.3","0.03","18","30","92","39.1304","1.497031","-1.054356","-0.055987","0.912763","15.396688","-1.737705","-5.150815","6","6","2","74","16","11","9","9","0","0","0","0","0","0","0","92","1.499777","18.109","0.842319","-0.844284","2025-01:2.504|2025-03:1.225|2025-04:1.507|2025-05:5.01|2025-06:-6.281|2025-07:0.174|2025-08:3.422|2025-09:-6.891|2025-10:-5.82","2025-Q1:3.729|2025-Q2:0.236|2025-Q3:-3.295|2025-Q4:-5.82","break_candle_strength_filter_failed=109|daily_loss_r_blocked=11|direction_filter_failed=1987|entry_open_count_filter_failed=54|fibo_filter_failed=85|max_drawdown_r_blocked=45|monthly_loss_r_blocked=9|pattern_adx_bucket_filter_failed=328|rr_too_low=1|spread_too_wide=16|trend_alignment_filter_failed=1333|weekly_loss_r_blocked=9"
"livepath2025_jshort_g017_tol0.30_neck0.05_adx18_30","2025.01.01-2025.12.31","2026053317","0.3","0.05","18","30","117","44.4444","1.501306","-1.050645","0.083555","1.14315","14.429019","-1.737705","9.775961","7","8","4","35","16","11","9","15","0","0","0","0","0","0","0","117","1.499764","18.145","0.893727","-0.804162","2025-01:2.504|2025-03:2.738|2025-04:1.507|2025-05:5.01|2025-06:-6.281|2025-07:1.174|2025-08:3.422|2025-09:-2.863|2025-10:-6.82|2025-11:4.409|2025-12:4.976","2025-Q1:5.242|2025-Q2:0.236|2025-Q3:1.734|2025-Q4:2.565","break_candle_strength_filter_failed=108|daily_loss_r_blocked=11|direction_filter_failed=1969|entry_open_count_filter_failed=68|fibo_filter_failed=87|monthly_loss_r_blocked=15|pattern_adx_bucket_filter_failed=328|rr_too_low=1|spread_too_wide=16|trend_alignment_filter_failed=1316|weekly_loss_r_blocked=9"
"livepath2025_jshort_g018_tol0.30_neck0.07_adx18_30","2025.01.01-2025.12.31","2026053318","0.3","0.07","18","30","114","45.614","1.499876","-1.052997","0.111471","1.194647","13.46848","-1.737705","12.70772","7","8","4","33","17","11","7","15","0","0","0","0","0","0","0","114","1.499769","18.114","0.909779","-0.80298","2025-01:3.504|2025-03:2.738|2025-04:1.507|2025-05:5.982|2025-06:-6.281|2025-07:1.175|2025-08:3.422|2025-09:-1.903|2025-10:-6.82|2025-11:4.409|2025-12:4.976","2025-Q1:6.242|2025-Q2:1.208|2025-Q3:2.694|2025-Q4:2.565","break_candle_strength_filter_failed=109|daily_loss_r_blocked=11|direction_filter_failed=1967|entry_open_count_filter_failed=69|fibo_filter_failed=87|monthly_loss_r_blocked=15|pattern_adx_bucket_filter_failed=327|rr_too_low=1|spread_too_wide=17|trend_alignment_filter_failed=1305|weekly_loss_r_blocked=7"
"livepath2025_jshort_g019_tol0.20_neck0.03_adx20_30","2025.01.01-2025.12.31","2026053319","0.2","0.03","20","30","102","47.0588","1.502837","-1.030573","0.16162","1.296226","9.131047","-1.59758","16.485236","9","6","4","10","10","7","3","0","0","0","0","0","0","0","0","102","1.499875","18.157","0.941911","-0.771835","2025-01:4.811|2025-03:-0.808|2025-04:1.507|2025-05:6.515|2025-06:-1.543|2025-07:-0.377|2025-08:3.144|2025-09:-1.662|2025-10:-2.588|2025-11:1.505|2025-12:5.982","2025-Q1:4.003|2025-Q2:6.479|2025-Q3:1.104|2025-Q4:4.899","break_candle_strength_filter_failed=81|daily_loss_r_blocked=7|direction_filter_failed=1789|entry_open_count_filter_failed=55|fibo_filter_failed=73|pattern_adx_bucket_filter_failed=313|rr_too_low=1|spread_too_wide=10|trend_alignment_filter_failed=1244|weekly_loss_r_blocked=3"
"livepath2025_jshort_g020_tol0.20_neck0.05_adx20_30","2025.01.01-2025.12.31","2026053320","0.2","0.05","20","30","104","47.1154","1.503034","-1.030787","0.163032","1.299071","10.952336","-1.59758","16.95535","10","8","4","12","10","9","3","0","0","0","0","0","0","0","0","104","1.499929","18.144","0.935853","-0.769607","2025-01:4.811|2025-03:0.705|2025-04:1.507|2025-05:6.515|2025-06:-1.543|2025-07:0.623|2025-08:3.144|2025-09:-1.662|2025-10:-4.631|2025-11:1.505|2025-12:5.982","2025-Q1:5.516|2025-Q2:6.479|2025-Q3:2.104|2025-Q4:2.856","break_candle_strength_filter_failed=79|daily_loss_r_blocked=9|direction_filter_failed=1786|entry_open_count_filter_failed=55|fibo_filter_failed=75|pattern_adx_bucket_filter_failed=310|rr_too_low=1|spread_too_wide=10|trend_alignment_filter_failed=1231|weekly_loss_r_blocked=3"
"livepath2025_jshort_g021_tol0.20_neck0.07_adx20_30","2025.01.01-2025.12.31","2026053321","0.2","0.07","20","30","102","49.0196","1.50005","-1.032469","0.208962","1.396996","10.173862","-1.597789","21.314086","10","8","4","9","10","9","0","0","0","0","0","0","0","0","0","102","1.499939","18.078","0.960652","-0.766207","2025-01:5.812|2025-03:0.705|2025-04:1.507|2025-05:7.487|2025-06:-1.543|2025-07:0.623|2025-08:4.572|2025-09:-0.702|2025-10:-4.631|2025-11:1.504|2025-12:5.982","2025-Q1:6.517|2025-Q2:7.451|2025-Q3:4.492|2025-Q4:2.854","break_candle_strength_filter_failed=79|daily_loss_r_blocked=9|direction_filter_failed=1790|entry_open_count_filter_failed=57|fibo_filter_failed=75|pattern_adx_bucket_filter_failed=312|rr_too_low=1|spread_too_wide=10|trend_alignment_filter_failed=1223"
"livepath2025_jshort_g022_tol0.25_neck0.03_adx20_30","2025.01.01-2025.12.31","2026053322","0.25","0.03","20","30","111","48.6486","1.501001","-1.038275","0.197048","1.369579","9.178004","-1.59758","21.872336","9","8","3","10","10","7","3","0","0","0","0","0","0","0","0","111","1.499631","18.207","0.943001","-0.769728","2025-01:3.512|2025-03:1.231|2025-04:1.507|2025-05:7.02|2025-06:0.995|2025-07:-0.371|2025-08:1.941|2025-09:-1.841|2025-10:-2.627|2025-11:5.525|2025-12:4.982","2025-Q1:4.743|2025-Q2:9.522|2025-Q3:-0.271|2025-Q4:7.879","break_candle_strength_filter_failed=87|daily_loss_r_blocked=7|direction_filter_failed=1868|entry_open_count_filter_failed=56|fibo_filter_failed=80|pattern_adx_bucket_filter_failed=339|rr_too_low=1|spread_too_wide=10|trend_alignment_filter_failed=1303|weekly_loss_r_blocked=3"
"livepath2025_jshort_g023_tol0.25_neck0.05_adx20_30","2025.01.01-2025.12.31","2026053323","0.25","0.05","20","30","113","48.6726","1.501219","-1.039411","0.197179","1.369593","10.095925","-1.59758","22.281238","9","9","4","10","10","7","3","0","0","0","0","0","0","0","0","113","1.499678","18.292","0.935462","-0.768345","2025-01:3.512|2025-03:2.744|2025-04:1.507|2025-05:7.02|2025-06:0.995|2025-07:0.629|2025-08:1.941|2025-09:-1.81|2025-10:-3.627|2025-11:4.389|2025-12:4.982","2025-Q1:6.256|2025-Q2:9.522|2025-Q3:0.76|2025-Q4:5.744","break_candle_strength_filter_failed=87|daily_loss_r_blocked=7|direction_filter_failed=1861|entry_open_count_filter_failed=55|fibo_filter_failed=83|pattern_adx_bucket_filter_failed=339|rr_too_low=1|spread_too_wide=10|trend_alignment_filter_failed=1288|weekly_loss_r_blocked=3"
"livepath2025_jshort_g024_tol0.25_neck0.07_adx20_30","2025.01.01-2025.12.31","2026053324","0.25","0.07","20","30","111","50.4505","1.498581","-1.041457","0.240004","1.46509","9.178333","-1.597789","26.640412","9","9","4","8","10","8","0","0","0","0","0","0","0","0","0","111","1.499683","18.234","0.958242","-0.765198","2025-01:4.512|2025-03:2.744|2025-04:1.507|2025-05:7.992|2025-06:0.995|2025-07:0.629|2025-08:3.368|2025-09:-0.849|2025-10:-3.628|2025-11:4.389|2025-12:4.982","2025-Q1:7.256|2025-Q2:10.493|2025-Q3:3.148|2025-Q4:5.743","break_candle_strength_filter_failed=87|daily_loss_r_blocked=8|direction_filter_failed=1861|entry_open_count_filter_failed=57|fibo_filter_failed=83|pattern_adx_bucket_filter_failed=342|rr_too_low=1|spread_too_wide=10|trend_alignment_filter_failed=1280"
"livepath2025_jshort_g025_tol0.30_neck0.03_adx20_30","2025.01.01-2025.12.31","2026053325","0.3","0.03","20","30","114","46.4912","1.501274","-1.046446","0.13802","1.246491","10.14879","-1.737705","15.734334","9","8","3","18","12","9","9","0","0","0","0","0","0","0","0","114","1.499659","18.219","0.920595","-0.784233","2025-01:2.504|2025-03:1.225|2025-04:1.507|2025-05:5.01|2025-06:0.854|2025-07:-1.884|2025-08:3.004|2025-09:-2.863|2025-10:-2.627|2025-11:4.022|2025-12:4.982","2025-Q1:3.729|2025-Q2:7.371|2025-Q3:-1.743|2025-Q4:6.377","break_candle_strength_filter_failed=89|daily_loss_r_blocked=9|direction_filter_failed=1987|entry_open_count_filter_failed=54|fibo_filter_failed=85|pattern_adx_bucket_filter_failed=385|rr_too_low=1|spread_too_wide=12|trend_alignment_filter_failed=1333|weekly_loss_r_blocked=9"
"livepath2025_jshort_g026_tol0.30_neck0.05_adx20_30","2025.01.01-2025.12.31","2026053326","0.3","0.05","20","30","115","46.9565","1.501468","-1.04644","0.149969","1.270181","11.148884","-1.737705","17.246449","9","8","3","18","12","9","9","0","0","0","0","0","0","0","0","115","1.499709","18.235","0.922623","-0.779754","2025-01:2.504|2025-03:2.738|2025-04:1.507|2025-05:5.01|2025-06:0.855|2025-07:-0.884|2025-08:3.004|2025-09:-2.863|2025-10:-3.627|2025-11:4.022|2025-12:4.982","2025-Q1:5.242|2025-Q2:7.372|2025-Q3:-0.744|2025-Q4:5.377","break_candle_strength_filter_failed=89|daily_loss_r_blocked=9|direction_filter_failed=1969|entry_open_count_filter_failed=53|fibo_filter_failed=87|pattern_adx_bucket_filter_failed=384|rr_too_low=1|spread_too_wide=12|trend_alignment_filter_failed=1316|weekly_loss_r_blocked=9"
"livepath2025_jshort_g027_tol0.30_neck0.07_adx20_30","2025.01.01-2025.12.31","2026053327","0.3","0.07","20","30","113","48.6726","1.498769","-1.048747","0.191194","1.355185","10.188786","-1.737705","21.60496","9","8","4","16","12","9","7","0","0","0","0","0","0","0","0","113","1.499714","18.177","0.944773","-0.776864","2025-01:3.504|2025-03:2.738|2025-04:1.507|2025-05:5.982|2025-06:0.855|2025-07:-0.885|2025-08:4.432|2025-09:-1.903|2025-10:-3.627|2025-11:4.021|2025-12:4.982","2025-Q1:6.242|2025-Q2:8.343|2025-Q3:1.644|2025-Q4:5.376","break_candle_strength_filter_failed=89|daily_loss_r_blocked=9|direction_filter_failed=1967|entry_open_count_filter_failed=54|fibo_filter_failed=87|pattern_adx_bucket_filter_failed=384|rr_too_low=1|spread_too_wide=12|trend_alignment_filter_failed=1305|weekly_loss_r_blocked=7"
"livepath2025_jshort_g028_tol0.20_neck0.03_adx20_32","2025.01.01-2025.12.31","2026053328","0.2","0.03","20","32","112","46.4286","1.503068","-1.034903","0.14344","1.258725","11.271164","-1.59758","16.065329","11","8","4","13","10","10","3","0","0","0","0","0","0","0","0","112","1.499753","18.08","0.916266","-0.773014","2025-01:4.811|2025-03:-1.931|2025-04:1.507|2025-05:4.371|2025-06:1.468|2025-07:1.126|2025-08:4.665|2025-09:-1.662|2025-10:-4.662|2025-11:1.427|2025-12:4.946","2025-Q1:2.88|2025-Q2:7.346|2025-Q3:4.129|2025-Q4:1.711","break_candle_strength_filter_failed=89|daily_loss_r_blocked=10|direction_filter_failed=1789|entry_open_count_filter_failed=63|fibo_filter_failed=73|pattern_adx_bucket_filter_failed=285|rr_too_low=1|spread_too_wide=10|trend_alignment_filter_failed=1244|weekly_loss_r_blocked=3"
"livepath2025_jshort_g029_tol0.20_neck0.05_adx20_32","2025.01.01-2025.12.31","2026053329","0.2","0.05","20","32","113","46.9027","1.503261","-1.035626","0.15518","1.282202","12.092684","-1.59758","17.535309","11","8","4","16","10","13","3","0","0","0","0","0","0","0","0","113","1.499803","18.035","0.913039","-0.768934","2025-01:4.811|2025-03:-0.418|2025-04:1.507|2025-05:4.371|2025-06:1.468|2025-07:2.126|2025-08:4.665|2025-09:-1.663|2025-10:-5.705|2025-11:1.427|2025-12:4.946","2025-Q1:4.393|2025-Q2:7.346|2025-Q3:5.129|2025-Q4:0.667","break_candle_strength_filter_failed=87|daily_loss_r_blocked=13|direction_filter_failed=1786|entry_open_count_filter_failed=63|fibo_filter_failed=75|pattern_adx_bucket_filter_failed=282|rr_too_low=1|spread_too_wide=10|trend_alignment_filter_failed=1231|weekly_loss_r_blocked=3"
