period_id,variant,fractal_alignment_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,avg_r,max_dd_profit,max_dd_pct,recovery_factor,avg_mfe_r,avg_mae_r,mfe_ge_0_5r_rate,mfe_ge_0_8r_rate,mfe_ge_1_0r_rate,mfe_ge_1_3r_rate,tp_rate,full_sl_rate,time_exit_rate,avg_hold_bars,avg_parent_wave2_age,avg_child_flip_signal_age
full2025_validation,h_one_symbol,count_2,53,22,0.41509433962264153,-241.89999999999992,315.24,-557.1400000000001,0.5658182862476216,-0.19197949056603777,241.89999999999992,2.418999999999999,-1.0,0.4765935283018869,-0.6706603018867925,0.39622641509433965,0.24528301886792453,0.1509433962264151,0.0,0.11320754716981132,0.37735849056603776,0.5094339622641509,21.77358490566038,1.4150943396226414,0.0
full2025_validation,h_one_symbol,full,16,4,0.25,-175.48,56.88,-232.35999999999999,0.24479256326390086,-0.4682613124999999,210.73999999999998,2.1073999999999997,-0.8326848249027238,0.46894606250000004,-0.8275191250000001,0.375,0.25,0.125,0.0,0.0625,0.5,0.4375,19.0625,3.3125,0.0
full2025_validation,i_h1_diag,count_1,85,43,0.5058823529411764,51.840000000000046,820.51,-768.67,1.067441164609,0.03172412941176472,114.63999999999999,1.1463999999999999,0.4521981856245643,0.6474813411764705,-0.6150490588235297,0.5647058823529412,0.38823529411764707,0.3058823529411765,0.0,0.21176470588235294,0.32941176470588235,0.4588235294117647,21.08235294117647,1.6941176470588235,0.0
full2025_validation,i_h1_diag,count_2,53,22,0.41509433962264153,-241.89999999999992,315.24,-557.1400000000001,0.5658182862476216,-0.19197949056603777,241.89999999999992,2.418999999999999,-1.0,0.4765935283018869,-0.6706603018867925,0.39622641509433965,0.24528301886792453,0.1509433962264151,0.0,0.11320754716981132,0.37735849056603776,0.5094339622641509,21.77358490566038,1.4150943396226414,0.0
full2025_validation,i_h1_diag,full,16,4,0.25,-175.48,56.88,-232.35999999999999,0.24479256326390086,-0.4682613124999999,210.73999999999998,2.1073999999999997,-0.8326848249027238,0.46894606250000004,-0.8275191250000001,0.375,0.25,0.125,0.0,0.0625,0.5,0.4375,19.0625,3.3125,0.0
full2025_validation,j_full_fractal_diag,count_1,85,43,0.5058823529411764,51.840000000000046,820.51,-768.67,1.067441164609,0.03172412941176472,114.63999999999999,1.1463999999999999,0.4521981856245643,0.6474813411764705,-0.6150490588235297,0.5647058823529412,0.38823529411764707,0.3058823529411765,0.0,0.21176470588235294,0.32941176470588235,0.4588235294117647,21.08235294117647,1.6941176470588235,0.0
full2025_validation,j_full_fractal_diag,count_2,53,22,0.41509433962264153,-241.89999999999992,315.24,-557.1400000000001,0.5658182862476216,-0.19197949056603777,241.89999999999992,2.418999999999999,-1.0,0.4765935283018869,-0.6706603018867925,0.39622641509433965,0.24528301886792453,0.1509433962264151,0.0,0.11320754716981132,0.37735849056603776,0.5094339622641509,21.77358490566038,1.4150943396226414,0.0
full2025_validation,j_full_fractal_diag,full,16,4,0.25,-175.48,56.88,-232.35999999999999,0.24479256326390086,-0.4682613124999999,210.73999999999998,2.1073999999999997,-0.8326848249027238,0.46894606250000004,-0.8275191250000001,0.375,0.25,0.125,0.0,0.0625,0.5,0.4375,19.0625,3.3125,0.0
q1_quick,e_base_first_child_flip,count_1,23,10,0.43478260869565216,-47.889999999999986,194.39,-242.28,0.8023361400033019,-0.08991604347826085,114.63999999999999,1.1463999999999999,-0.41774249825540816,0.5763002608695652,-0.6353726956521738,0.5217391304347826,0.2608695652173913,0.2608695652173913,0.0,0.17391304347826086,0.34782608695652173,0.4782608695652174,21.08695652173913,2.0,0.0
q1_quick,e_base_first_child_flip,count_2,8,3,0.375,-77.06,41.3,-118.36000000000001,0.3489354511659344,-0.42465837500000003,108.03,1.0803,-0.7133203739701934,0.265056875,-0.681114625,0.25,0.125,0.125,0.0,0.125,0.625,0.25,18.0,1.625,0.0
q1_quick,e_base_first_child_flip,full,4,0,0.0,-76.34,0,-76.34,0.0,-0.80940925,76.34,0.7634,-1.0,0.3001165,-0.8740245000000001,0.25,0.25,0.0,0.0,0.0,0.5,0.5,17.5,3.25,0.0
q1_quick,f_child_stop,count_1,23,10,0.43478260869565216,-47.889999999999986,194.39,-242.28,0.8023361400033019,-0.08991604347826085,114.63999999999999,1.1463999999999999,-0.41774249825540816,0.5763002608695652,-0.6353726956521738,0.5217391304347826,0.2608695652173913,0.2608695652173913,0.0,0.17391304347826086,0.34782608695652173,0.4782608695652174,21.08695652173913,2.0,0.0
q1_quick,f_child_stop,count_2,8,3,0.375,-77.06,41.3,-118.36000000000001,0.3489354511659344,-0.42465837500000003,108.03,1.0803,-0.7133203739701934,0.265056875,-0.681114625,0.25,0.125,0.125,0.0,0.125,0.625,0.25,18.0,1.625,0.0
q1_quick,f_child_stop,full,4,0,0.0,-76.34,0,-76.34,0.0,-0.80940925,76.34,0.7634,-1.0,0.3001165,-0.8740245000000001,0.25,0.25,0.0,0.0,0.0,0.5,0.5,17.5,3.25,0.0
q1_quick,g_parent_stop,count_1,12,4,0.3333333333333333,-107.02,74.76,-181.77999999999997,0.41126636593684684,-0.38054275,112.72,1.1272,-0.9494322214336408,0.49134966666666663,-0.7411638333333334,0.4166666666666667,0.25,0.16666666666666666,0.0,0.08333333333333333,0.5833333333333334,0.3333333333333333,16.0,1.75,0.0
q1_quick,g_parent_stop,count_2,5,2,0.4,-25.189999999999998,46.42,-71.61,0.6482334869431644,-0.22407980000000002,56.86,0.5686,-0.4430179387970453,0.5067184,-0.8222368,0.4,0.4,0.4,0.0,0.2,0.6,0.2,9.8,0.8,0.0
q1_quick,g_parent_stop,full,4,1,0.25,-30.0,30.75,-60.75,0.5061728395061729,-0.2934562499999999,60.75,0.6074999999999999,-0.49382716049382713,0.40099675,-0.7404845,0.25,0.25,0.25,0.0,0.25,0.5,0.25,10.25,3.25,0.0
q1_quick,h_one_symbol,count_1,23,10,0.43478260869565216,-47.889999999999986,194.39,-242.28,0.8023361400033019,-0.08991604347826085,114.63999999999999,1.1463999999999999,-0.41774249825540816,0.5763002608695652,-0.6353726956521738,0.5217391304347826,0.2608695652173913,0.2608695652173913,0.0,0.17391304347826086,0.34782608695652173,0.4782608695652174,21.08695652173913,2.0,0.0
q1_quick,h_one_symbol,count_2,8,3,0.375,-77.06,41.3,-118.36000000000001,0.3489354511659344,-0.42465837500000003,108.03,1.0803,-0.7133203739701934,0.265056875,-0.681114625,0.25,0.125,0.125,0.0,0.125,0.625,0.25,18.0,1.625,0.0
q1_quick,h_one_symbol,full,4,0,0.0,-76.34,0,-76.34,0.0,-0.80940925,76.34,0.7634,-1.0,0.3001165,-0.8740245000000001,0.25,0.25,0.0,0.0,0.0,0.5,0.5,17.5,3.25,0.0
q1_quick,i_h1_diag,count_1,23,10,0.43478260869565216,-47.889999999999986,194.39,-242.28,0.8023361400033019,-0.08991604347826085,114.63999999999999,1.1463999999999999,-0.41774249825540816,0.5763002608695652,-0.6353726956521738,0.5217391304347826,0.2608695652173913,0.2608695652173913,0.0,0.17391304347826086,0.34782608695652173,0.4782608695652174,21.08695652173913,2.0,0.0
q1_quick,i_h1_diag,count_2,8,3,0.375,-77.06,41.3,-118.36000000000001,0.3489354511659344,-0.42465837500000003,108.03,1.0803,-0.7133203739701934,0.265056875,-0.681114625,0.25,0.125,0.125,0.0,0.125,0.625,0.25,18.0,1.625,0.0
q1_quick,i_h1_diag,full,4,0,0.0,-76.34,0,-76.34,0.0,-0.80940925,76.34,0.7634,-1.0,0.3001165,-0.8740245000000001,0.25,0.25,0.0,0.0,0.0,0.5,0.5,17.5,3.25,0.0
q1_quick,j_full_fractal_diag,count_1,23,10,0.43478260869565216,-47.889999999999986,194.39,-242.28,0.8023361400033019,-0.08991604347826085,114.63999999999999,1.1463999999999999,-0.41774249825540816,0.5763002608695652,-0.6353726956521738,0.5217391304347826,0.2608695652173913,0.2608695652173913,0.0,0.17391304347826086,0.34782608695652173,0.4782608695652174,21.08695652173913,2.0,0.0
q1_quick,j_full_fractal_diag,count_2,8,3,0.375,-77.06,41.3,-118.36000000000001,0.3489354511659344,-0.42465837500000003,108.03,1.0803,-0.7133203739701934,0.265056875,-0.681114625,0.25,0.125,0.125,0.0,0.125,0.625,0.25,18.0,1.625,0.0
q1_quick,j_full_fractal_diag,full,4,0,0.0,-76.34,0,-76.34,0.0,-0.80940925,76.34,0.7634,-1.0,0.3001165,-0.8740245000000001,0.25,0.25,0.0,0.0,0.0,0.5,0.5,17.5,3.25,0.0
