period_id,variant,h1_alignment_with_parent,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,avg_r,max_dd_profit,max_dd_pct,recovery_factor,avg_mfe_r,avg_mae_r,mfe_ge_0_5r_rate,mfe_ge_0_8r_rate,mfe_ge_1_0r_rate,mfe_ge_1_3r_rate,tp_rate,full_sl_rate,time_exit_rate,avg_hold_bars,avg_parent_wave2_age,avg_child_flip_signal_age
full2025_validation,j_full_fractal_diag,false,113,57,0.504424778761062,23.499999999999986,998.31,-974.8100000000001,1.0241072619279654,0.015501654867256636,163.13,1.6313000000000002,0.14405688714522152,0.617580884955752,-0.6052254778761065,0.5309734513274337,0.36283185840707965,0.26548672566371684,0.0,0.18584070796460178,0.30973451327433627,0.504424778761062,21.86725663716814,1.6460176991150441,0.0
full2025_validation,j_full_fractal_diag,true,41,12,0.2926829268292683,-389.03999999999996,194.32000000000002,-583.36,0.33310477235326386,-0.40785926829268293,430.41999999999996,4.3042,-0.9038613447330515,0.4393138536585365,-0.7969266585365853,0.36585365853658536,0.21951219512195122,0.14634146341463414,0.0,0.0975609756097561,0.5121951219512195,0.3902439024390244,19.024390243902438,2.097560975609756,0.0
q1_quick,e_base_first_child_flip,false,25,10,0.4,-96.38000000000001,194.39,-290.77000000000004,0.6685352684252157,-0.16676783999999997,163.13,1.6313000000000002,-0.5908171397045302,0.53019624,-0.6234746800000001,0.48,0.24,0.24,0.0,0.16,0.4,0.44,20.36,2.16,0.0
q1_quick,e_base_first_child_flip,true,10,3,0.3,-104.91,41.3,-146.21000000000004,0.28247041925996846,-0.4533777,135.88,1.3588,-0.7720783043862232,0.3320921,-0.797172,0.3,0.2,0.1,0.0,0.1,0.5,0.4,19.0,1.8,0.0
q1_quick,f_child_stop,false,25,10,0.4,-96.38000000000001,194.39,-290.77000000000004,0.6685352684252157,-0.16676783999999997,163.13,1.6313000000000002,-0.5908171397045302,0.53019624,-0.6234746800000001,0.48,0.24,0.24,0.0,0.16,0.4,0.44,20.36,2.16,0.0
q1_quick,f_child_stop,true,10,3,0.3,-104.91,41.3,-146.21000000000004,0.28247041925996846,-0.4533777,135.88,1.3588,-0.7720783043862232,0.3320921,-0.797172,0.3,0.2,0.1,0.0,0.1,0.5,0.4,19.0,1.8,0.0
q1_quick,g_parent_stop,false,12,4,0.3333333333333333,-107.02,74.76,-181.77999999999997,0.41126636593684684,-0.38054275,112.72,1.1272,-0.9494322214336408,0.49134966666666663,-0.7411638333333334,0.4166666666666667,0.25,0.16666666666666666,0.0,0.08333333333333333,0.5833333333333334,0.3333333333333333,16.0,1.75,0.0
q1_quick,g_parent_stop,true,9,3,0.3333333333333333,-55.19000000000001,77.17,-132.36,0.5830311272287699,-0.25491377777777785,117.61000000000001,1.1761000000000001,-0.46926281778760315,0.45973100000000006,-0.7859024444444445,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,10.0,1.8888888888888888,0.0
q1_quick,h_one_symbol,false,25,10,0.4,-96.38000000000001,194.39,-290.77000000000004,0.6685352684252157,-0.16676783999999997,163.13,1.6313000000000002,-0.5908171397045302,0.53019624,-0.6234746800000001,0.48,0.24,0.24,0.0,0.16,0.4,0.44,20.36,2.16,0.0
q1_quick,h_one_symbol,true,10,3,0.3,-104.91,41.3,-146.21000000000004,0.28247041925996846,-0.4533777,135.88,1.3588,-0.7720783043862232,0.3320921,-0.797172,0.3,0.2,0.1,0.0,0.1,0.5,0.4,19.0,1.8,0.0
q1_quick,i_h1_diag,false,25,10,0.4,-96.38000000000001,194.39,-290.77000000000004,0.6685352684252157,-0.16676783999999997,163.13,1.6313000000000002,-0.5908171397045302,0.53019624,-0.6234746800000001,0.48,0.24,0.24,0.0,0.16,0.4,0.44,20.36,2.16,0.0
q1_quick,i_h1_diag,true,10,3,0.3,-104.91,41.3,-146.21000000000004,0.28247041925996846,-0.4533777,135.88,1.3588,-0.7720783043862232,0.3320921,-0.797172,0.3,0.2,0.1,0.0,0.1,0.5,0.4,19.0,1.8,0.0
q1_quick,j_full_fractal_diag,false,25,10,0.4,-96.38000000000001,194.39,-290.77000000000004,0.6685352684252157,-0.16676783999999997,163.13,1.6313000000000002,-0.5908171397045302,0.53019624,-0.6234746800000001,0.48,0.24,0.24,0.0,0.16,0.4,0.44,20.36,2.16,0.0
q1_quick,j_full_fractal_diag,true,10,3,0.3,-104.91,41.3,-146.21000000000004,0.28247041925996846,-0.4533777,135.88,1.3588,-0.7720783043862232,0.3320921,-0.797172,0.3,0.2,0.1,0.0,0.1,0.5,0.4,19.0,1.8,0.0
