"scenario_mode","dow_regime_h4","dow_regime_h1","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"tokyo_only_reference","range","trend_up","41","0.341463414634146","-172","323.68","-495.68","0.653001936733376","-7.9271","-0.193343902439024","0.646201636190791"
"tokyo_only_reference","trend_down","trend_down","59","0.372881355932203","-124.92","614.19","-739.11","0.830985915492958","-5.6501","-0.095764406779661","0.825816336597036"
"tokyo_only_reference","trend_down","range","38","0.315789473684211","-281.85","219.17","-501.02","0.437447606881961","-12.2063","-0.321218421052632","0.440106233171721"
"tokyo_only_reference","transition_down","trend_down","3","0.333333333333333","-13.63","33.7","-47.33","0.712021973378407","-0.6142","-0.204733333333333","0.695699564011098"
"tokyo_only_reference","transition_down","range","1","1","32.44","32.44","0","∞","1.408","1.408","∞"
"tokyo_only_reference","trend_up","range","38","0.421052631578947","-70.71","357.99","-428.7","0.835059482155353","-2.8912","-0.0760842105263158","0.847469519754786"
"tokyo_only_reference","trend_up","trend_up","49","0.285714285714286","-409.95","222.5","-632.45","0.351806466914381","-18.5478","-0.378526530612245","0.350753635160773"
"tokyo_only_reference","transition_up","trend_up","1","0","-24.48","0","-24.48","0","-1.0066","-1.0066","0"
"london_newyork_overlap_reference","trend_down","trend_down","39","0.256410256410256","-284.08","218.26","-502.34","0.434486602699367","-12.66","-0.324615384615385","0.433724269343281"
"london_newyork_overlap_reference","trend_down","range","29","0.206896551724138","-274.63","161.51","-436.14","0.370316870729582","-11.5646","-0.398779310344828","0.390570243622241"
"london_newyork_overlap_reference","trend_up","trend_up","39","0.512820512820513","-80.81","315.58","-396.39","0.796135119453064","-3.3763","-0.0865717948717949","0.809161254585432"
"london_newyork_overlap_reference","trend_up","range","25","0.36","-94.09","187.57","-281.66","0.665944756088902","-3.9701","-0.158804","0.682975325401262"
"london_newyork_overlap_reference","range","trend_down","32","0.3125","-181.99","211.81","-393.8","0.53786185881158","-7.4567","-0.233021875","0.565943501114727"
"london_newyork_overlap_reference","range","range","32","0.40625","-49.87","288.16","-338.03","0.852468715794456","-1.777","-0.05553125","0.880669379641941"
"london_newyork_overlap_reference","range","trend_up","25","0.48","-36.72","154.26","-190.98","0.807728557964185","-1.2722","-0.050888","0.846637895701232"
"london_newyork_overlap_reference","transition_down","trend_down","1","0","-27.4","0","-27.4","0","-1.096","-1.096","0"
"london_newyork_overlap_reference","transition_down","range","1","1","5.38","5.38","0","∞","0.1801","0.1801","∞"
"london_newyork_overlap_reference","transition_up","trend_up","3","0.333333333333333","4.42","31.44","-27.02","1.16358253145818","0.2425","0.0808333333333334","1.20297982757178"
"symbol_best_session","range","range","47","0.425531914893617","-43.47","513.32","-556.79","0.921927477145782","-2.2408","-0.0476765957446809","0.90835960919512"
"symbol_best_session","range","trend_down","41","0.390243902439024","-61.0200000000001","432.94","-493.96","0.876467730180582","-2.7172","-0.0662731707317073","0.875245633689005"
"symbol_best_session","range","trend_up","28","0.392857142857143","-179.05","157.46","-336.51","0.467920715580518","-7.3944","-0.264085714285714","0.488623632415386"
"symbol_best_session","trend_down","range","38","0.263157894736842","-322.91","209.78","-532.69","0.393812536371999","-14.0895","-0.370776315789474","0.411554653435574"
"symbol_best_session","trend_down","trend_down","47","0.276595744680851","-456.97","279.91","-736.88","0.379858321572033","-20.0463","-0.426517021276596","0.380912527331349"
"symbol_best_session","trend_up","trend_up","32","0.375","-123.76","230.77","-354.53","0.650918116943559","-5.2193","-0.163103125","0.663129699551425"
"symbol_best_session","trend_up","range","26","0.384615384615385","-66.61","243.52","-310.13","0.785219101667043","-3.2663","-0.125626923076923","0.765744120832228"
"symbol_best_session","transition_down","trend_down","4","0.5","16.2","60.76","-44.56","1.36355475763016","0.7095","0.177375","1.33811475409836"
"symbol_best_session","transition_down","range","2","0.5","-19.11","5.38","-24.49","0.219681502654145","-0.8506","-0.4253","0.174735616571262"
"symbol_best_session","transition_up","trend_up","3","0","-52.52","0","-52.52","0","-2.274","-0.758","0"
"symbol_best_session_with_dow_alignment","trend_down","range","66","0.257575757575758","-576.97","390.02","-966.99","0.403334057229134","-25.4793","-0.38605","0.41881821603312"
"symbol_best_session_with_dow_alignment","trend_down","trend_down","81","0.320987654320988","-541.47","581.83","-1123.3","0.517964924775216","-24.4242","-0.301533333333333","0.523042163086843"
"symbol_best_session_with_dow_alignment","trend_up","trend_up","81","0.419753086419753","-206.78","664.96","-871.74","0.762796246587286","-9.5485","-0.117882716049383","0.763952476539865"
"symbol_best_session_with_dow_alignment","trend_up","range","45","0.4","-100.27","416.42","-516.69","0.805937796357584","-4.8927","-0.108726666666667","0.792060146030073"
"symbol_best_session_with_dow_alignment","transition_down","trend_down","8","0.375","-16.21","90.8","-107.01","0.848518830015886","-0.893","-0.111625","0.825117991500695"
"symbol_best_session_with_dow_alignment","transition_down","range","2","0.5","-18.82","5.39","-24.21","0.222635274679884","-0.8506","-0.4253","0.174735616571262"
"symbol_best_session_with_dow_alignment","transition_up","trend_up","4","0.25","-22.2","29.35","-51.55","0.569350145489816","-0.8368","-0.2092","0.632014072119613"
"symbol_best_session_with_dow_alignment","transition_up","range","1","0","-2.48","0","-2.48","0","-0.1413","-0.1413","0"
"symbol_best_session_with_wave3_confirmed","trend_down","range","16","0.4375","-36.63","126.54","-163.17","0.775510204081633","-1.3201","-0.08250625","0.814540601292498"
"symbol_best_session_with_wave3_confirmed","trend_down","trend_down","48","0.270833333333333","-305.06","346.8","-651.86","0.532016077071764","-12.6255","-0.26303125","0.540733923595702"
"symbol_best_session_with_wave3_confirmed","trend_up","trend_up","50","0.5","13.64","428.56","-414.92","1.03287380699894","0.8833","0.017666","1.04964144411474"
"symbol_best_session_with_wave3_confirmed","trend_up","range","15","0.666666666666667","150.94","214.16","-63.22","3.38753559000316","6.4233","0.42822","3.42215015649157"
"symbol_best_session_with_wave3_confirmed","transition_down","trend_down","6","0.333333333333333","-29.16","67.95","-97.11","0.699721964782206","-1.2943","-0.215716666666667","0.684617071566071"
"symbol_best_session_with_wave3_confirmed","transition_down","range","2","1","17.85","17.85","0","∞","0.7826","0.3913","∞"
"symbol_best_session_with_wave3_confirmed","transition_up","trend_up","9","0.444444444444444","25.08","126.13","-101.05","1.24819396338446","1.0001","0.111122222222222","1.23477076926688"
"symbol_best_session_with_wave3_confirmed","transition_up","range","1","0","-2.48","0","-2.48","0","-0.1413","-0.1413","0"
