"scenario_mode","direction","session_label","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"london_newyork_overlap_reference","LONG","london_newyork_overlap","110","0.454545454545455","-170.55","908.93","-1079.48","0.842007262756142","-6.7308","-0.0611890909090909","0.859802163330854"
"symbol_best_session","LONG","other","7","0.142857142857143","-76.93","3.89","-80.82","0.0481316505815392","-3.2328","-0.461828571428572","0.0636892866452342"
"symbol_best_session","LONG","london","61","0.39344262295082","-66.94","641.64","-708.58","0.905529368596348","-3.6225","-0.0593852459016393","0.884354588465148"
"symbol_best_session","LONG","london_newyork_overlap","29","0.413793103448276","-96.35","217.45","-313.8","0.69295729764181","-3.9383","-0.135803448275862","0.716597704457957"
"symbol_best_session","LONG","tokyo","20","0.5","-18.18","203.07","-221.25","0.917830508474576","-0.3132","-0.01566","0.966099126500482"
"symbol_best_session","SHORT","london","50","0.2","-663.44","206.74","-870.18","0.237583028798639","-28.1833","-0.563666","0.264690765357371"
"symbol_best_session","SHORT","london_newyork_overlap","50","0.28","-500.22","289.94","-790.16","0.366938341601701","-22.1427","-0.442854","0.362757822819928"
"symbol_best_session","SHORT","other","14","0.571428571428571","44.01","139.85","-95.84","1.45920283806344","1.869","0.1335","1.44562599842636"
"symbol_best_session","SHORT","tokyo","35","0.428571428571429","48.58","401","-352.42","1.13784688723682","1.3015","0.0371857142857143","1.08060720169452"
"symbol_best_session","SHORT","new_york","2","0.5","20.25","30.26","-10.01","3.02297702297702","0.8734","0.4367","2.65542077331312"
"symbol_best_session_with_dow_alignment","SHORT","london","69","0.318840579710145","-418.57","523.16","-941.73","0.555530778460918","-18.2913","-0.265091304347826","0.577463715051987"
"symbol_best_session_with_dow_alignment","SHORT","london_newyork_overlap","49","0.244897959183673","-514.43","261.39","-775.82","0.33692093526849","-23.4039","-0.477630612244898","0.334102496984044"
"symbol_best_session_with_dow_alignment","SHORT","other","13","0.461538461538462","-2.29999999999998","121.5","-123.8","0.981421647819063","-0.422","-0.0324615384615384","0.925375773651636"
"symbol_best_session_with_dow_alignment","SHORT","tokyo","25","0.28","-208.12","161.99","-370.11","0.437680689524736","-9.0023","-0.360092","0.456628942206126"
"symbol_best_session_with_dow_alignment","SHORT","new_york","1","0","-10.05","0","-10.05","0","-0.5276","-0.5276","0"
"symbol_best_session_with_dow_alignment","LONG","london_newyork_overlap","37","0.567567567567568","45.56","367","-321.44","1.14173718267795","2.3192","0.0626810810810811","1.15777085402522"
"symbol_best_session_with_dow_alignment","LONG","other","15","0.266666666666667","-73.2","47.84","-121.04","0.395241242564441","-3.4346","-0.228973333333333","0.393876290479132"
"symbol_best_session_with_dow_alignment","LONG","london","55","0.345454545454545","-184.44","505.19","-689.63","0.732552238156693","-8.8598","-0.161087272727273","0.721463512782787"
"symbol_best_session_with_dow_alignment","LONG","tokyo","24","0.375","-119.65","190.7","-310.35","0.614467536652167","-5.4441","-0.2268375","0.617194971029983"
"symbol_best_session_with_wave3_confirmed","SHORT","london","39","0.307692307692308","-227.33","325.32","-552.65","0.588654663892156","-9.3386","-0.239451282051282","0.600222607504442"
"symbol_best_session_with_wave3_confirmed","SHORT","other","2","0","-12.23","0","-12.23","0","-0.5211","-0.26055","0"
"symbol_best_session_with_wave3_confirmed","SHORT","london_newyork_overlap","19","0.315789473684211","-94.56","125.65","-220.21","0.570591707915172","-4.0862","-0.215063157894737","0.55986169605446"
"symbol_best_session_with_wave3_confirmed","SHORT","tokyo","11","0.545454545454545","-8.87000000000001","108.17","-117.04","0.924213943950786","0.0162","0.00147272727272727","1.00322683451518"
"symbol_best_session_with_wave3_confirmed","SHORT","new_york","1","0","-10.01","0","-10.01","0","-0.5276","-0.5276","0"
"symbol_best_session_with_wave3_confirmed","LONG","other","17","0.235294117647059","-102.89","28.5","-131.39","0.216911484892305","-4.5471","-0.267476470588235","0.214418990359697"
"symbol_best_session_with_wave3_confirmed","LONG","tokyo","16","0.5625","59.02","206.22","-147.2","1.40095108695652","2.738","0.171125","1.44898494637762"
"symbol_best_session_with_wave3_confirmed","LONG","london_newyork_overlap","17","0.588235294117647","-11.26","147.9","-159.16","0.929253581301834","-0.0119000000000002","-0.000700000000000014","0.998217548905066"
"symbol_best_session_with_wave3_confirmed","LONG","london","25","0.64","242.31","386.23","-143.92","2.68364369093941","9.9864","0.399456","2.58915357807801"
