"scenario_mode","entry_time","exit_time","strategy","symbol","direction","base_currency","quote_currency","server_time","server_hour","utc_hour","session_label","session_window_name","allowed_session","session_volatility_rank","dow_regime_h4","dow_regime_h1","h4_structure","h1_structure","fractal_alignment","wave_stage","setup_type","wave_tf","fib_zone","divergence_type","m15_confirmation_type","failure_type","wave_size_atr","retracement_ratio","extension_ratio","wave_rule_validity","wave3_break_confirmed","pivot_confirmation_delay_bars","entry_delay_from_pivot","pivot_time","pivot_confirmed_time","room_to_1r","room_to_2r","entry","exit","stop_loss","take_profit","risk_price","result_r","profit","commission","swap","net_profit","volume","reward_r","holding_bars","atr","spread_points","spread_atr","atr_session_percentile","average_m15_range_atr","average_h1_range_atr","average_true_range","realized_volatility","breakout_followthrough_rate","average_spread_atr","score","exit_reason","position_id"
"baseline_all_sessions","2025.01.03 09:30:00","2025.01.03 09:59:02","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPUSD","SHORT","GBP","USD","2025.01.03 09:30:00","9","7","london","london_utc_07_16","true","1","trend_down","trend_down","LH_LL","LH_LL","fractal_aligned","possible_wave4_pullback","wave4_continuation","H1","wave4_shallow","none","ma_reclaim","fib_not_aligned","7.7824","0.1767","9.4250","valid_wave4","true","3","10","2025.01.02 22:00:00","2025.01.03 01:00:00","4.7882","4.7882","1.23918000","1.24003000","1.24003000","1.23799000","0.00085000","-1.0000","-24.65","0.00","0.00","-24.65","0.290","1.400","1","0.00242214","20.00","0.082572","1.0000","1.3777","1.5818","0.00114500","0.935630","0.9600","0.384088","1.2000","DEAL_REASON_SL","32"
"baseline_all_sessions","2025.01.03 10:45:00","2025.01.03 10:53:27","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","EURUSD","SHORT","EUR","USD","2025.01.03 10:45:00","10","8","london","london_utc_07_16","true","1","trend_down","trend_down","LH_LL","LH_LL","fractal_aligned","possible_wave4_pullback","wave4_continuation","H1","wave4_382","none","ma_reclaim","no_follow_through","9.4758","0.3342","7.2500","valid_wave4","true","3","5","2025.01.03 04:00:00","2025.01.03 07:00:00","9.5179","9.5179","1.02768000","1.02829000","1.02824000","1.02690000","0.00056000","-1.0893","-26.23","0.00","0.00","-26.23","0.430","1.400","0","0.00159143","18.00","0.113106","1.0000","1.3619","1.4920","0.00084473","0.832889","1.0000","0.313823","1.5000","DEAL_REASON_SL","36"
"baseline_all_sessions","2025.01.03 10:15:00","2025.01.03 11:05:34","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPUSD","SHORT","GBP","USD","2025.01.03 10:15:00","10","8","london","london_utc_07_16","true","1","trend_down","trend_down","LH_LL","LH_LL","fractal_aligned","possible_wave4_pullback","wave4_continuation","H1","wave4_shallow","none","ma_reclaim","fib_not_aligned","7.7824","0.1767","9.4250","valid_wave4","true","3","11","2025.01.02 22:00:00","2025.01.03 01:00:00","5.2588","5.2588","1.23958000","1.24043000","1.24043000","1.23839000","0.00085000","-1.0000","-23.80","0.00","0.00","-23.80","0.280","1.400","3","0.00242214","20.00","0.082572","1.0000","1.3957","1.5884","0.00113962","0.925487","0.9615","0.295047","1.2000","DEAL_REASON_SL","34"
"baseline_all_sessions","2025.01.03 09:15:00","2025.01.03 11:32:12","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPJPY","SHORT","GBP","JPY","2025.01.03 09:15:00","9","7","london","london_utc_07_16","true","1","trend_down","range","LH_LL","compression_range","fractal_aligned","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","micro_bos","wave3_unconfirmed_too_early","1.7934","0.7417","0.3102","valid_wave2","false","3","3","2025.01.03 05:00:00","2025.01.03 08:00:00","1.2004","1.2004","194.73100000","195.19600000","195.19000000","194.08800000","0.45900000","-1.0131","-23.67","0.00","0.00","-23.67","0.080","1.400","9","0.35407143","38.00","0.107323","1.0000","1.1535","1.1419","0.23575510","0.848758","0.8846","0.329208","1.0600","DEAL_REASON_SL","29"
"baseline_all_sessions","2025.01.03 12:15:00","2025.01.03 13:12:47","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPJPY","SHORT","GBP","JPY","2025.01.03 12:15:00","12","10","london","london_utc_07_16","true","1","trend_down","range","LH_LL","compression_range","fractal_aligned","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","ma_reclaim","wave3_unconfirmed_too_early","1.7934","0.7417","0.1039","valid_wave2","false","3","6","2025.01.03 05:00:00","2025.01.03 08:00:00","3.1909","3.1909","194.94900000","195.19300000","195.19000000","194.61100000","0.24100000","-1.0124","-23.29","0.00","0.00","-23.29","0.150","1.400","3","0.35407143","38.00","0.107323","1.0000","1.1867","1.1506","0.22432787","0.817037","0.9000","0.216348","1.1500","DEAL_REASON_SL","41"
"baseline_all_sessions","2025.01.03 12:15:00","2025.01.03 13:16:44","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPUSD","SHORT","GBP","USD","2025.01.03 12:15:00","12","10","london","london_utc_07_16","true","1","trend_down","trend_down","LH_LL","LH_LL","fractal_aligned","possible_wave4_pullback","wave4_continuation","H1","wave4_shallow","none","ma_reclaim","fib_not_aligned","7.7824","0.1767","9.4250","valid_wave4","true","3","13","2025.01.02 22:00:00","2025.01.03 01:00:00","5.4353","5.4353","1.23973000","1.24059000","1.24058000","1.23854000","0.00085000","-1.0118","-24.08","0.00","0.00","-24.08","0.280","1.400","4","0.00242214","20.00","0.082572","1.0000","1.3633","1.5976","0.00111426","0.909820","0.9655","0.203785","1.2000","DEAL_REASON_SL","40"
"baseline_all_sessions","2025.01.03 09:30:00","2025.01.03 13:19:04","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","EURJPY","LONG","EUR","JPY","2025.01.03 09:30:00","9","7","london","london_utc_07_16","true","1","range","range","expanding_transition","compression_range","fractal_aligned","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","ma_reclaim","other","2.8177","0.3406","0.1449","valid_wave2","false","3","3","2025.01.03 05:00:00","2025.01.03 08:00:00","7.7686","7.7686","161.61400000","161.93600000","161.38500000","161.93500000","0.22900000","1.4061","32.79","0.00","0.00","32.79","0.160","1.400","15","0.29385714","30.00","0.102090","1.0000","1.1732","1.0798","0.18412000","0.795998","0.9630","0.338164","1.1500","DEAL_REASON_TP","31"
"baseline_all_sessions","2025.01.03 15:30:00","2025.01.03 16:09:34","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPUSD","SHORT","GBP","USD","2025.01.03 15:30:00","15","13","london_newyork_overlap","london_newyork_overlap_utc_13_16","true","2","trend_down","trend_down","LH_LL","LH_LL","fractal_aligned","possible_wave4_pullback","wave4_continuation","H1","wave4_shallow","none","ma_reclaim","other","7.7824","0.1767","9.4250","valid_wave4","true","3","16","2025.01.02 22:00:00","2025.01.03 01:00:00","6.5647","6.5647","1.24069000","1.23947000","1.24154000","1.23950000","0.00085000","1.4353","34.16","0.00","0.00","34.16","0.280","1.400","2","0.00242214","20.00","0.082572","0.8000","1.0755","1.6322","0.00130538","0.577140","0.8000","0.227828","1.2000","DEAL_REASON_TP","45"
"baseline_all_sessions","2025.01.03 16:15:00","2025.01.03 16:22:01","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPUSD","SHORT","GBP","USD","2025.01.03 16:15:00","16","14","london_newyork_overlap","london_newyork_overlap_utc_13_16","true","2","trend_down","trend_down","LH_LL","LH_LL","fractal_aligned","possible_wave4_pullback","wave4_continuation","H1","wave4_shallow","none","micro_bos","fib_not_aligned","7.7824","0.1767","9.4250","valid_wave4","true","3","17","2025.01.02 22:00:00","2025.01.03 01:00:00","5.0588","5.0588","1.23941000","1.24026000","1.24026000","1.23822000","0.00085000","-1.0000","-23.80","0.00","0.00","-23.80","0.280","1.400","0","0.00242214","20.00","0.082572","0.8000","1.0655","1.6098","0.00125448","0.570832","0.8333","0.239931","1.2000","DEAL_REASON_SL","47"
"baseline_all_sessions","2025.01.03 17:00:00","2025.01.03 17:10:30","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPJPY","SHORT","GBP","JPY","2025.01.03 17:00:00","17","15","london_newyork_overlap","london_newyork_overlap_utc_13_16","true","1","trend_down","range","LH_LL","expanding_transition","fractal_aligned","possible_abc_completion","abc_completion_reentry","H1","abc_other","bullish_rsi_macd","candle_reversal","abc_not_complete","2.6325","0.9008","0.2144","valid_abc","false","3","3","2025.01.03 13:00:00","2025.01.03 16:00:00","4.8817","4.8817","195.08800000","195.27400000","195.27400000","194.82700000","0.18600000","-1.0000","-23.67","0.00","0.00","-23.67","0.200","1.400","0","0.24121429","45.00","0.186556","1.0000","1.1390","1.3916","0.25096875","0.722708","0.8824","0.294806","1.1000","DEAL_REASON_SL","49"
"baseline_all_sessions","2025.01.03 10:45:00","2025.01.03 18:45:02","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","AUDJPY","LONG","AUD","JPY","2025.01.03 10:45:00","10","8","london","london_utc_07_16","true","3","trend_up","trend_up","HH_HL","HH_HL","fractal_aligned","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","ma_reclaim","wave3_unconfirmed_too_early","3.1282","0.6906","0.0872","valid_wave2","false","3","7","2025.01.03 02:00:00","2025.01.03 05:00:00","1.4194","1.4194","97.71800000","97.59000000","97.50100000","98.02200000","0.21700000","-0.5899","-13.85","0.00","0.00","-13.85","0.170","1.400","32","0.22728571","28.00","0.123193","0.6000","1.0997","0.9700","0.10805455","0.749575","0.8800","0.322104","1.0710","DEAL_REASON_EXPERT","35"
"baseline_all_sessions","2025.01.03 20:45:00","2025.01.03 21:17:55","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPJPY","SHORT","GBP","JPY","2025.01.03 20:45:00","20","18","new_york","new_york_utc_13_22","true","5","trend_down","range","LH_LL","expanding_transition","fractal_aligned","possible_abc_completion","abc_completion_reentry","H1","abc_other","bullish_rsi_macd","ma_reclaim","abc_not_complete","2.6325","0.9008","0.2144","valid_abc","false","3","6","2025.01.03 13:00:00","2025.01.03 16:00:00","7.3511","7.3511","195.14300000","195.27500000","195.27400000","194.95900000","0.13100000","-1.0076","-24.36","0.00","0.00","-24.36","0.290","1.400","2","0.24121429","38.00","0.157536","0.2000","0.7794","0.7786","0.15622034","0.507535","0.7188","0.257877","1.1000","DEAL_REASON_SL","52"
"baseline_all_sessions","2025.01.06 17:15:00","2025.01.07 01:15:00","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","USDJPY","LONG","USD","JPY","2025.01.06 17:15:00","17","15","london_newyork_overlap","london_newyork_overlap_utc_13_16","true","1","trend_up","trend_up","HH_HL","HH_HL","fractal_aligned","possible_wave3_start","wave3_start_pullback","H4","wave2_382_786","none","candle_reversal","other","2.6141","0.6905","0.1823","valid_wave2","false","3","5","2025.01.03 16:00:00","2025.01.06 04:00:00","0.8086","0.8086","157.43100000","157.75900000","156.78300000","158.33800000","0.64800000","0.5062","10.40","0.00","0.24","10.64","0.050","1.400","32","0.54128571","18.00","0.033254","1.0000","1.2641","1.4312","0.22693939","0.829642","0.9375","0.057195","1.0404","DEAL_REASON_EXPERT","54"
"baseline_all_sessions","2025.01.06 20:15:04","2025.01.07 04:15:01","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","AUDJPY","LONG","AUD","JPY","2025.01.06 20:15:04","20","18","new_york","new_york_utc_13_22","true","5","trend_up","trend_up","HH_HL","HH_HL","fractal_aligned","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","ma_reclaim","other","2.3968","0.5540","0.8289","valid_wave2","true","3","8","2025.01.03 08:00:00","2025.01.03 20:00:00","0.5379","0.5379","98.38400000","98.92700000","97.42100000","99.73300000","0.96300000","0.5639","10.33","0.00","0.05","10.38","0.030","1.400","32","0.40971429","28.00","0.068340","0.2000","0.7632","0.8094","0.07710526","0.522030","0.6944","0.243176","1.5769","DEAL_REASON_EXPERT","55"
"baseline_all_sessions","2025.01.07 07:15:00","2025.01.07 11:00:01","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","EURUSD","LONG","EUR","USD","2025.01.07 07:15:00","7","5","tokyo","tokyo_utc_00_08","true","3","range","trend_up","expanding_transition","HH_HL","fractal_aligned","possible_wave4_pullback","wave4_continuation","H1","wave4_shallow","none","candle_reversal","other","6.4847","0.4698","5.6332","valid_wave4","true","3","3","2025.01.07 03:00:00","2025.01.07 06:00:00","1.9041","1.9041","1.03943000","1.04249000","1.03724000","1.04249000","0.00219000","1.3973","33.66","0.00","0.00","33.66","0.110","1.400","15","0.00198929","18.00","0.090485","0.6000","1.0134","0.5906","0.00039221","0.696561","0.7576","0.512195","1.1452","DEAL_REASON_TP","58"
"baseline_all_sessions","2025.01.08 01:15:00","2025.01.08 09:15:00","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","AUDJPY","LONG","AUD","JPY","2025.01.08 01:15:00","1","23","other","other","true","2","trend_up","trend_up","HH_HL","HH_HL","fractal_aligned","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","micro_bos","target_blocked","2.3968","0.5540","0.9878","valid_wave2","true","3","15","2025.01.03 08:00:00","2025.01.03 20:00:00","0.5309","0.5309","98.55500000","98.40900000","97.42100000","100.14300000","1.13400000","-0.1287","-2.78","0.00","0.00","-2.78","0.030","1.400","32","0.40971429","28.00","0.068340","0.8000","1.1286","1.0920","0.07942857","1.173374","0.7692","0.426087","1.5765","DEAL_REASON_EXPERT","60"
"baseline_all_sessions","2025.01.08 04:00:00","2025.01.08 09:33:51","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPUSD","LONG","GBP","USD","2025.01.08 04:00:00","4","2","tokyo","tokyo_utc_00_08","true","3","range","range","expanding_transition","expanding_transition","fractal_aligned","possible_abc_completion","abc_completion_reentry","H1","abc_50_786","bearish_macd","micro_bos","no_follow_through","7.4733","0.5751","0.6688","valid_abc","false","3","3","2025.01.08 00:00:00","2025.01.08 03:00:00","5.2118","5.2118","1.24863000","1.24693000","1.24693000","1.25101000","0.00170000","-1.0000","-23.80","0.00","0.00","-23.80","0.140","1.400","22","0.00181714","20.00","0.110063","0.6000","1.1023","0.6158","0.00053344","0.719388","0.9000","0.477816","1.4500","DEAL_REASON_SL","61"
"baseline_all_sessions","2025.01.09 01:45:00","2025.01.09 05:54:47","RESEARCH_STRATEGY_FX_FRACTAL_DOW_ELLIOTT_SESSION","GBPJPY","SHORT","GBP","JPY","2025.01.09 01:45:00","1","23","other","other","true","4","range","trend_down","expanding_transition","LH_LL","fractal_aligned","possible_wave4_pullback","wave4_continuation","H1","wave4_382","none","ma_reclaim","other","5.0413","0.3685","1.8222","valid_wave4","true","3","3","2025.01.08 21:00:00","2025.01.09 00:00:00","1.2500","1.2500","195.64600000","195.04700000","196.07400000","195.04700000","0.42800000","1.3995","30.37","0.00","0.00","30.37","0.080","1.400","16","0.47964286","38.00","0.079226","0.4000","0.9819","0.8016","0.09921739","0.673356","0.7500","0.403336","1.4125","DEAL_REASON_TP","66"
