"scenario_mode","server_hour","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"symbol_best_session_with_wave3_confirmed","16","14","0.285714285714286","-88.06","100.21","-188.27","0.532267488181867","-3.7088","-0.264914285714286","0.53261417481601"
"symbol_best_session_with_wave3_confirmed","17","7","0.285714285714286","-26.6","12.14","-38.74","0.313371192565823","-1.0919","-0.155985714285714","0.321421912870549"
"symbol_best_session_with_wave3_confirmed","1","18","0.222222222222222","-114.47","28.5","-142.97","0.199342519409666","-5.0304","-0.279466666666667","0.197895240373116"
"symbol_best_session_with_wave3_confirmed","2","11","0.454545454545455","-0.300000000000004","119.29","-119.59","0.997491429049251","0.3726","0.0338727272727273","1.07382018464952"
"symbol_best_session_with_wave3_confirmed","3","4","0.5","-42.76","6.15","-48.91","0.125741157227561","-1.7287","-0.432175","0.14331731007483"
"symbol_best_session_with_wave3_confirmed","11","15","0.2","-112.63","102.85","-215.48","0.477306478559495","-4.9951","-0.333006666666667","0.461392480132843"
"symbol_best_session_with_wave3_confirmed","19","1","0","-10.01","0","-10.01","0","-0.5276","-0.5276","0"
"symbol_best_session_with_wave3_confirmed","4","5","0.8","61.85","86.52","-24.67","3.50709363599514","2.9016","0.58032","3.9016"
"symbol_best_session_with_wave3_confirmed","6","2","0.5","8.47","33.39","-24.92","1.33988764044944","0.3439","0.17195","1.32649767397702"
"symbol_best_session_with_wave3_confirmed","13","3","0.666666666666667","41.24","66.2","-24.96","2.65224358974359","1.7658","0.5886","2.69788461538462"
"symbol_best_session_with_wave3_confirmed","5","2","0.5","12.98","34.83","-21.85","1.59405034324943","0.4341","0.21705","1.4341"
"symbol_best_session_with_wave3_confirmed","14","2","0.5","-21.98","2.88","-24.86","0.115848753016895","-0.8615","-0.43075","0.159019914096056"
"symbol_best_session_with_wave3_confirmed","7","2","0.5","9.25","33.55","-24.3","1.38065843621399","0.4032","0.2016","1.4032"
"symbol_best_session_with_wave3_confirmed","8","1","1","0.66","0.66","0","∞","0.0275","0.0275","∞"
