"scenario_mode","fib_zone","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"newyork_only_reference","wave4_382","32","0.4375","-148.15","222.94","-371.09","0.600770702524994","-6.3305","-0.197828125","0.613463593344527"
"newyork_only_reference","abc_382_886","6","0.333333333333333","-24.86","30.85","-55.71","0.553760545683001","-1.1741","-0.195683333333333","0.550807253806718"
"newyork_only_reference","abc_50_786","16","0.5","63.66","137.89","-74.23","1.85760474201805","2.5142","0.1571375","1.68270562359139"
"tokyo_only_reference","wave4_382","33","0.333333333333333","-162.16","232.94","-395.1","0.589572260187294","-7.9803","-0.241827272727273","0.557787468899442"
"tokyo_only_reference","wave2_other","61","0.360655737704918","-339.79","432.8","-772.59","0.560193634398581","-14.9446","-0.244993442622951","0.557416034140144"
"tokyo_only_reference","wave2_50_618","75","0.373333333333333","-155.14","764.4","-919.54","0.831285207821302","-6.0969","-0.081292","0.846305292054985"
"tokyo_only_reference","wave2_382_786","115","0.347826086956522","-544.35","856.71","-1401.06","0.611472742066721","-23.7041","-0.206122608695652","0.618786245227611"
"tokyo_only_reference","wave4_shallow","28","0.464285714285714","-26.52","296.45","-322.97","0.917887110257919","-1.516","-0.0541428571428571","0.895851223885519"
"tokyo_only_reference","abc_50_786","19","0.473684210526316","-53.32","158.21","-211.53","0.747931735451236","-2.1345","-0.112342105263158","0.771074646074646"
"tokyo_only_reference","abc_382_886","5","0.4","-30.11","38.77","-68.88","0.562862950058072","-1.0977","-0.21954","0.639009471191792"
"tokyo_only_reference","abc_other","1","0","-19.56","0","-19.56","0","-1.002","-1.002","0"
"london_newyork_overlap_reference","wave2_50_618","38","0.342105263157895","-136.76","315.86","-452.62","0.697848084485882","-5.7424","-0.151115789473684","0.714547045255707"
"london_newyork_overlap_reference","wave4_shallow","12","0.25","-161.95","73.26","-235.21","0.311466349219846","-7.0223","-0.585191666666667","0.316291658958806"
"london_newyork_overlap_reference","abc_other","3","0.333333333333333","-16.47","30.75","-47.22","0.651207115628971","-0.5834","-0.194466666666667","0.708765974440895"
"london_newyork_overlap_reference","wave2_382_786","77","0.350649350649351","-427.35","413.41","-840.76","0.491709881535753","-17.9436","-0.233033766233766","0.522353573776776"
"london_newyork_overlap_reference","wave2_other","56","0.357142857142857","-264.55","393.68","-658.23","0.598088813940416","-10.7575","-0.192098214285714","0.621376103843081"
"london_newyork_overlap_reference","abc_50_786","11","0.636363636363636","22.4","92.05","-69.65","1.321608040201","0.869600000000001","0.0790545454545455","1.27407967725668"
"london_newyork_overlap_reference","abc_382_886","8","0.25","-22.32","64.22","-86.54","0.74208458516293","-1.1423","-0.1427875","0.712997160875355"
"london_newyork_overlap_reference","wave4_382","21","0.428571428571429","-12.79","190.74","-203.53","0.937159141158552","-0.4284","-0.0204","0.950654257279764"
"symbol_best_session","wave2_other","57","0.333333333333333","-381.86","470.82","-852.68","0.552164938781254","-16.8559","-0.295717543859649","0.546873445862938"
"symbol_best_session","wave2_50_618","48","0.333333333333333","-210.93","433.07","-644","0.672468944099379","-8.8738","-0.184870833333333","0.680917929983028"
"symbol_best_session","wave4_shallow","22","0.5","15.98","284.36","-268.38","1.05954243982413","1.1245","0.0511136363636364","1.09887191931981"
"symbol_best_session","wave4_382","27","0.407407407407407","-19.5","298.92","-318.42","0.938760128132655","-1.1774","-0.0436074074074074","0.915761608356586"
"symbol_best_session","wave2_382_786","94","0.297872340425532","-705.65","475.49","-1181.14","0.402568704810607","-31.0698","-0.330529787234043","0.417120666366502"
"symbol_best_session","abc_other","1","0","-23.64","0","-23.64","0","-1","-1","0"
"symbol_best_session","abc_382_886","6","0.5","9.64","59.3","-49.66","1.19412001610954","0.5412","0.0902","1.23752468729427"
"symbol_best_session","abc_50_786","13","0.538461538461538","6.74","111.88","-105.14","1.06410500285334","-0.0777","-0.00597692307692308","0.98418771240766"
"symbol_best_session_with_dow_alignment","wave2_50_618","74","0.364864864864865","-262.17","689.79","-951.96","0.72459977309971","-11.6444","-0.157356756756757","0.731827467164733"
"symbol_best_session_with_dow_alignment","wave4_shallow","30","0.5","-16.88","334.54","-351.42","0.951966308121336","-0.1737","-0.00578999999999999","0.989117018677126"
"symbol_best_session_with_dow_alignment","wave4_382","37","0.378378378378378","-73.65","349.02","-422.67","0.825750585563206","-3.4829","-0.0941324324324324","0.819362902723897"
"symbol_best_session_with_dow_alignment","wave2_382_786","83","0.289156626506024","-597.6","424.87","-1022.47","0.415532974072589","-27.8032","-0.334978313253012","0.421271848115916"
"symbol_best_session_with_dow_alignment","abc_other","1","0","-23.64","0","-23.64","0","-1","-1","0"
"symbol_best_session_with_dow_alignment","wave2_other","54","0.314814814814815","-470.49","334.89","-805.38","0.415816136482158","-21.2016","-0.392622222222222","0.410611527790905"
"symbol_best_session_with_dow_alignment","abc_50_786","6","0.333333333333333","-54.96","16.34","-71.3","0.229172510518934","-2.4536","-0.408933333333333","0.223937246963563"
"symbol_best_session_with_dow_alignment","abc_382_886","3","0.333333333333333","14.19","29.32","-15.13","1.93787177792465","0.693","0.231","1.93245425188375"
"symbol_best_session_with_wave3_confirmed","wave2_50_618","5","0.6","33.83","37.25","-3.42","10.8918128654971","1.6798","0.33596","11.0888888888889"
"symbol_best_session_with_wave3_confirmed","wave4_shallow","48","0.458333333333333","-40.04","556.7","-596.74","0.932902101417703","-1.5586","-0.0324708333333333","0.938348713851168"
"symbol_best_session_with_wave3_confirmed","wave4_382","56","0.375","-69.44","569.71","-639.15","0.891355706798092","-3.1883","-0.0569339285714286","0.881814576066367"
"symbol_best_session_with_wave3_confirmed","abc_other","1","0","-23.64","0","-23.64","0","-1","-1","0"
"symbol_best_session_with_wave3_confirmed","wave2_other","5","0.8","14.96","39.35","-24.39","1.61336613366134","1.0718","0.21436","2.06657378843666"
"symbol_best_session_with_wave3_confirmed","wave2_382_786","21","0.428571428571429","-30.05","60.6","-90.65","0.668505239933811","-1.1385","-0.0542142857142857","0.730532544378698"
"symbol_best_session_with_wave3_confirmed","abc_50_786","6","0.333333333333333","-57.02","17.83","-74.85","0.238209752839011","-2.4536","-0.408933333333333","0.223937246963563"
"symbol_best_session_with_wave3_confirmed","abc_382_886","5","0.4","5.58","46.55","-40.97","1.1361972174762","0.2955","0.0591","1.16951583295089"
