"scenario_mode","symbol","session_label","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"baseline_all_sessions","AUDJPY","tokyo","12","0.416666666666667","-10.16","115.23","-125.39","0.918972804848871","-0.425","-0.0354166666666667","0.921344363629634"
"baseline_all_sessions","AUDJPY","london","14","0.428571428571429","36.45","147.42","-110.97","1.32846715328467","1.6757","0.119692857142857","1.3216191317032"
"baseline_all_sessions","AUDJPY","other","3","0","-35.74","0","-35.74","0","-1.7616","-0.5872","0"
"baseline_all_sessions","GBPJPY","new_york","9","0.333333333333333","-45.85","55.6","-101.45","0.548053228191227","-1.9849","-0.220544444444444","0.586660002915391"
"baseline_all_sessions","GBPJPY","london","20","0.3","-140.93","166.23","-307.16","0.541183747883839","-6.0554","-0.30277","0.550859651985581"
"baseline_all_sessions","GBPJPY","london_newyork_overlap","7","0.428571428571429","-45.1","40.73","-85.83","0.474542700687405","-2.3276","-0.332514285714286","0.421469937613402"
"baseline_all_sessions","GBPJPY","other","7","0.571428571428571","1.63","65.03","-63.4","1.02570977917981","-0.15","-0.0214285714285714","0.950806768988587"
"baseline_all_sessions","GBPJPY","tokyo","21","0.428571428571429","-91.08","157.51","-248.59","0.633613580594553","-3.7039","-0.17637619047619","0.670433413117176"
"session_volatility_only_filter","EURJPY","other","6","0.5","0.0700000000000003","76.81","-76.74","1.0009121709669","-0.0720000000000001","-0.012","0.977658485121172"
"session_volatility_only_filter","EURJPY","london","19","0.526315789473684","47.6","218.25","-170.65","1.27893348959859","2.0683","0.108857894736842","1.26766833611575"
"session_volatility_only_filter","EURJPY","tokyo","8","0.375","4.49000000000001","98.8","-94.31","1.04760894921005","0.0306999999999999","0.00383749999999999","1.00732539549977"
"session_volatility_only_filter","EURJPY","london_newyork_overlap","10","0.3","-134.62","16.23","-150.85","0.107590321511435","-6.1445","-0.61445","0.123491483837836"
"session_volatility_only_filter","EURUSD","london","25","0.2","-268.58","111.54","-380.12","0.29343365253078","-11.7235","-0.46894","0.298052857844253"
"session_volatility_only_filter","EURUSD","tokyo","7","1","105.87","105.87","0","∞","4.7381","0.676871428571429","∞"
"session_volatility_only_filter","EURUSD","london_newyork_overlap","11","0.272727272727273","-54.46","80.75","-135.21","0.59721914059611","-2.2264","-0.2024","0.61866264730063"
"session_volatility_only_filter","AUDJPY","london_newyork_overlap","20","0.15","-298.24","67.26","-365.5","0.184021887824897","-13.023","-0.65115","0.178006968289235"
"session_volatility_only_filter","AUDJPY","other","2","0","-16.64","0","-16.64","0","-0.7548","-0.3774","0"
"session_volatility_only_filter","AUDJPY","tokyo","5","0.4","13.22","66.42","-53.2","1.2484962406015","0.0768","0.01536","1.02818658934929"
"session_volatility_only_filter","AUDJPY","new_york","2","0.5","20.25","30.26","-10.01","3.02297702297702","0.8734","0.4367","2.65542077331312"
"session_volatility_only_filter","AUDJPY","london","5","0.4","-13.49","54.33","-67.82","0.801091123562371","-0.5066","-0.10132","0.833601576613565"
"session_volatility_only_filter","GBPJPY","other","9","0.444444444444444","-19.78","38.54","-58.32","0.660836762688614","-0.8569","-0.0952111111111111","0.667417038618281"
"session_volatility_only_filter","GBPJPY","london","21","0.285714285714286","-150.64","145.19","-295.83","0.490788628604266","-6.2159","-0.295995238095238","0.525771701481606"
"session_volatility_only_filter","GBPJPY","london_newyork_overlap","10","0.4","-62.05","46.19","-108.24","0.426736881005174","-3.3228","-0.33228","0.359237904236651"
"session_volatility_only_filter","GBPJPY","tokyo","4","1","106.79","106.79","0","∞","4.7772","1.1943","∞"
"session_volatility_only_filter","GBPUSD","london","35","0.285714285714286","-257.65","306.05","-563.7","0.54293063686358","-11.7404","-0.33544","0.524595474497481"
"session_volatility_only_filter","GBPUSD","london_newyork_overlap","9","0.333333333333333","-61.05","83.26","-144.31","0.576952394151479","-2.549","-0.283222222222222","0.585197962604351"
"session_volatility_only_filter","GBPUSD","tokyo","8","0.5","30.53","129.51","-98.98","1.30844615073752","1.5385","0.1923125","1.37697245908066"
"session_volatility_only_filter","USDJPY","london_newyork_overlap","19","0.526315789473684","13.85","213.7","-199.85","1.06930197648236","1.1847","0.0623526315789474","1.1374106894312"
"session_volatility_only_filter","USDJPY","london","6","0.166666666666667","-87.62","13.02","-100.64","0.129372019077901","-3.6877","-0.614616666666667","0.157424543605913"
"session_volatility_only_filter","USDJPY","tokyo","23","0.217391304347826","-230.5","96.68","-327.18","0.295494834647595","-10.173","-0.442304347826087","0.29295737449698"
"session_volatility_only_filter","USDJPY","other","4","0.5","3.43","28.39","-24.96","1.13741987179487","0.3199","0.079975","1.29273426061493"
"london_only_reference","EURUSD","london","40","0.3","-252.58","269.92","-522.5","0.516593301435407","-11.049","-0.276225","0.529118455539219"
"london_only_reference","EURJPY","london","48","0.479166666666667","-5.59000000000001","444.95","-450.54","0.987592666577884","-0.3541","-0.00737708333333333","0.982770030265578"
"london_only_reference","GBPUSD","london","55","0.290909090909091","-318.96","479.9","-798.86","0.600731041734471","-14.7969","-0.269034545454545","0.59116002254617"
"london_only_reference","GBPJPY","london","50","0.38","-258.75","408.06","-666.81","0.611958428937778","-10.9427","-0.218854","0.632167023540208"
"london_only_reference","AUDJPY","london","48","0.25","-311.97","315.66","-627.63","0.502939630036805","-14.9252","-0.310941666666667","0.485330832149409"
"london_only_reference","USDJPY","london","30","0.2","-332.64","84.07","-416.71","0.201747018310096","-14.7539","-0.491796666666667","0.211897995812145"
"newyork_only_reference","AUDJPY","new_york","55","0.363636363636364","-219","405.26","-624.26","0.649184634607375","-9.2085","-0.167427272727273","0.668355770685222"
"newyork_only_reference","USDJPY","new_york","63","0.412698412698413","-61.68","554.45","-616.13","0.899891256715304","-1.6067","-0.0255031746031746","0.942037821340702"
"newyork_only_reference","GBPJPY","new_york","56","0.410714285714286","-335.11","397.73","-732.84","0.542724196277496","-14.8659","-0.2654625","0.557677030054718"
"newyork_only_reference","GBPUSD","new_york","41","0.439024390243902","-102.01","205.47","-307.48","0.66823858462339","-4.7922","-0.116882926829268","0.661086712070099"
"newyork_only_reference","EURUSD","new_york","51","0.450980392156863","-129.56","327.59","-457.15","0.716591928251121","-5.2012","-0.10198431372549","0.746821394497557"
"newyork_only_reference","EURJPY","new_york","48","0.229166666666667","-578.61","204.84","-783.45","0.261458931648478","-25.5475","-0.532239583333333","0.272519918673721"
"tokyo_only_reference","GBPUSD","tokyo","55","0.454545454545455","35.07","633.51","-598.44","1.058602366152","1.2801","0.0232745454545454","1.04883696975015"
"tokyo_only_reference","EURJPY","tokyo","58","0.362068965517241","-223.96","500.69","-724.65","0.690940454012282","-9.7366","-0.167872413793103","0.692932134488446"
"tokyo_only_reference","EURUSD","tokyo","59","0.338983050847458","-348.7","374.83","-723.53","0.518057302392437","-15.888","-0.26928813559322","0.514597514328661"
"tokyo_only_reference","USDJPY","tokyo","65","0.276923076923077","-510.03","419.74","-929.77","0.451444981016811","-21.7673","-0.334881538461538","0.46073158344585"
"tokyo_only_reference","AUDJPY","tokyo","36","0.444444444444444","-21.71","342.6","-364.31","0.940407894375669","-1.0873","-0.0302027777777778","0.932201381787344"
"tokyo_only_reference","GBPJPY","tokyo","64","0.390625","-261.62","508.91","-770.53","0.660467470442423","-11.277","-0.176203125","0.673434282884621"
"london_newyork_overlap_reference","AUDJPY","london_newyork_overlap","47","0.361702127659574","-204.31","341.26","-545.57","0.625510933519072","-8.56639999999999","-0.182263829787234","0.639127137922319"
"london_newyork_overlap_reference","GBPUSD","london_newyork_overlap","32","0.375","-117.74","230.66","-348.4","0.662055109070034","-4.7828","-0.1494625","0.685862911488847"
"london_newyork_overlap_reference","GBPJPY","london_newyork_overlap","36","0.333333333333333","-205.29","196.17","-401.46","0.488641458675833","-8.8176","-0.244933333333333","0.509844686315275"
"london_newyork_overlap_reference","USDJPY","london_newyork_overlap","44","0.454545454545455","-3.18000000000002","487.36","-490.54","0.993517348228483","0.136200000000001","0.00309545454545456","1.00629957679055"
"london_newyork_overlap_reference","EURUSD","london_newyork_overlap","32","0.375","-109.38","235.05","-344.43","0.682431843916035","-4.1725","-0.130390625","0.724578368923067"
"london_newyork_overlap_reference","EURJPY","london_newyork_overlap","35","0.257142857142857","-379.89","83.47","-463.36","0.180140711325967","-16.5472","-0.472777142857143","0.192094367627529"
"symbol_best_session","EURJPY","other","6","0.5","0.0700000000000003","76.81","-76.74","1.0009121709669","-0.0720000000000001","-0.012","0.977658485121172"
"symbol_best_session","EURJPY","london","19","0.526315789473684","47.6","218.25","-170.65","1.27893348959859","2.0683","0.108857894736842","1.26766833611575"
"symbol_best_session","EURJPY","tokyo","8","0.375","4.49000000000001","98.8","-94.31","1.04760894921005","0.0306999999999999","0.00383749999999999","1.00732539549977"
"symbol_best_session","EURJPY","london_newyork_overlap","10","0.3","-134.62","16.23","-150.85","0.107590321511435","-6.1445","-0.61445","0.123491483837836"
"symbol_best_session","EURUSD","london","25","0.2","-268.58","111.54","-380.12","0.29343365253078","-11.7235","-0.46894","0.298052857844253"
"symbol_best_session","EURUSD","tokyo","7","1","105.87","105.87","0","∞","4.7381","0.676871428571429","∞"
"symbol_best_session","EURUSD","london_newyork_overlap","11","0.272727272727273","-54.46","80.75","-135.21","0.59721914059611","-2.2264","-0.2024","0.61866264730063"
"symbol_best_session","AUDJPY","london_newyork_overlap","20","0.15","-298.24","67.26","-365.5","0.184021887824897","-13.023","-0.65115","0.178006968289235"
"symbol_best_session","AUDJPY","other","2","0","-16.64","0","-16.64","0","-0.7548","-0.3774","0"
"symbol_best_session","AUDJPY","tokyo","5","0.4","13.22","66.42","-53.2","1.2484962406015","0.0768","0.01536","1.02818658934929"
"symbol_best_session","AUDJPY","new_york","2","0.5","20.25","30.26","-10.01","3.02297702297702","0.8734","0.4367","2.65542077331312"
"symbol_best_session","AUDJPY","london","5","0.4","-13.49","54.33","-67.82","0.801091123562371","-0.5066","-0.10132","0.833601576613565"
"symbol_best_session","GBPJPY","other","9","0.444444444444444","-19.78","38.54","-58.32","0.660836762688614","-0.8569","-0.0952111111111111","0.667417038618281"
"symbol_best_session","GBPJPY","london","21","0.285714285714286","-150.64","145.19","-295.83","0.490788628604266","-6.2159","-0.295995238095238","0.525771701481606"
"symbol_best_session","GBPJPY","london_newyork_overlap","10","0.4","-62.05","46.19","-108.24","0.426736881005174","-3.3228","-0.33228","0.359237904236651"
"symbol_best_session","GBPJPY","tokyo","4","1","106.79","106.79","0","∞","4.7772","1.1943","∞"
"symbol_best_session","GBPUSD","london","35","0.285714285714286","-257.65","306.05","-563.7","0.54293063686358","-11.7404","-0.33544","0.524595474497481"
"symbol_best_session","GBPUSD","london_newyork_overlap","9","0.333333333333333","-61.05","83.26","-144.31","0.576952394151479","-2.549","-0.283222222222222","0.585197962604351"
"symbol_best_session","GBPUSD","tokyo","8","0.5","30.53","129.51","-98.98","1.30844615073752","1.5385","0.1923125","1.37697245908066"
"symbol_best_session","USDJPY","london_newyork_overlap","19","0.526315789473684","13.85","213.7","-199.85","1.06930197648236","1.1847","0.0623526315789474","1.1374106894312"
"symbol_best_session","USDJPY","london","6","0.166666666666667","-87.62","13.02","-100.64","0.129372019077901","-3.6877","-0.614616666666667","0.157424543605913"
"symbol_best_session","USDJPY","tokyo","23","0.217391304347826","-230.5","96.68","-327.18","0.295494834647595","-10.173","-0.442304347826087","0.29295737449698"
"symbol_best_session","USDJPY","other","4","0.5","3.43","28.39","-24.96","1.13741987179487","0.3199","0.079975","1.29273426061493"
"symbol_best_session_with_dow_alignment","EURUSD","london","37","0.297297297297297","-222.5","263.31","-485.81","0.542002017249542","-9.7841","-0.264435135135135","0.558134283533625"
"symbol_best_session_with_dow_alignment","EURUSD","tokyo","9","0.444444444444444","-49.94","38.43","-88.37","0.434876089170533","-2.3133","-0.257033333333333","0.438669287326199"
"symbol_best_session_with_dow_alignment","EURUSD","london_newyork_overlap","10","0.5","12.1","74.12","-62.02","1.19509835536924","0.392","0.0392","1.12489247140536"
"symbol_best_session_with_dow_alignment","AUDJPY","london_newyork_overlap","24","0.333333333333333","-118.09","195.26","-313.35","0.623137067177278","-5.0968","-0.212366666666667","0.636174146435481"
"symbol_best_session_with_dow_alignment","AUDJPY","other","7","0.428571428571429","-19.09","26.58","-45.67","0.582001313772717","-0.8751","-0.125014285714286","0.601012173437286"
"symbol_best_session_with_dow_alignment","AUDJPY","tokyo","2","1","65.89","65.89","0","∞","2.8015","1.40075","∞"
"symbol_best_session_with_dow_alignment","AUDJPY","new_york","1","0","-10.05","0","-10.05","0","-0.5276","-0.5276","0"
"symbol_best_session_with_dow_alignment","AUDJPY","london","6","0.333333333333333","-36.84","52.33","-89.17","0.586856566109678","-1.5698","-0.261633333333333","0.611781580769611"
"symbol_best_session_with_dow_alignment","GBPJPY","other","9","0.333333333333333","-50.82","35.7","-86.52","0.412621359223301","-2.6","-0.288888888888889","0.375870180997647"
"symbol_best_session_with_dow_alignment","GBPJPY","london","16","0.3125","-78.62","134.15","-212.77","0.630493020632608","-3.6537","-0.22835625","0.638111368633744"
"symbol_best_session_with_dow_alignment","GBPJPY","london_newyork_overlap","12","0.333333333333333","-110.89","50.11","-161","0.311242236024845","-5.2921","-0.441008333333333","0.297300527147429"
"symbol_best_session_with_dow_alignment","GBPJPY","tokyo","2","0.5","-14.75","7.61","-22.36","0.340339892665474","-0.493","-0.2465","0.519961051606621"
"symbol_best_session_with_dow_alignment","GBPUSD","london","32","0.25","-294.27","197.96","-492.23","0.402169717408529","-13.8716","-0.4334875","0.389255303223761"
"symbol_best_session_with_dow_alignment","GBPUSD","london_newyork_overlap","9","0.444444444444444","-29.25","89.09","-118.34","0.752830826432314","-1.3556","-0.150622222222222","0.73652601504344"
"symbol_best_session_with_dow_alignment","GBPUSD","tokyo","8","0.375","-41.8","69.34","-111.14","0.62389778657549","-2.1096","-0.2637","0.58161120145968"
"symbol_best_session_with_dow_alignment","GBPUSD","other","2","0","-23.79","0","-23.79","0","-1.1408","-0.5704","0"
"symbol_best_session_with_dow_alignment","USDJPY","london_newyork_overlap","16","0.5625","-22.98","177.8","-200.78","0.885546369160275","-0.5371","-0.03356875","0.939743762340693"
"symbol_best_session_with_dow_alignment","USDJPY","london","15","0.4","-38.81","149.62","-188.43","0.794034920129491","-1.3506","-0.0900399999999999","0.840556270438098"
"symbol_best_session_with_dow_alignment","USDJPY","tokyo","23","0.260869565217391","-171.96","171.42","-343.38","0.499213699108859","-7.2973","-0.317273913043478","0.531145392280954"
"symbol_best_session_with_dow_alignment","USDJPY","other","3","0","-28.47","0","-28.47","0","-1.2341","-0.411366666666667","0"
"symbol_best_session_with_dow_alignment","EURJPY","other","7","0.571428571428571","46.67","107.06","-60.39","1.77281006789204","1.9934","0.284771428571429","1.7703961352657"
"symbol_best_session_with_dow_alignment","EURJPY","london_newyork_overlap","15","0.2","-199.76","42.01","-241.77","0.173760185300079","-9.1951","-0.613006666666667","0.172268831917039"
"symbol_best_session_with_dow_alignment","EURJPY","london","18","0.5","68.03","230.98","-162.95","1.41749002761583","3.0787","0.171038888888889","1.40339889149491"
"symbol_best_session_with_dow_alignment","EURJPY","tokyo","5","0","-115.21","0","-115.21","0","-5.0347","-1.00694","0"
"symbol_best_session_with_wave3_confirmed","EURUSD","london","16","0.5","34.44","182.29","-147.85","1.23293878931349","1.6577","0.10360625","1.26755221278931"
"symbol_best_session_with_wave3_confirmed","EURUSD","tokyo","4","0.5","-19.79","6.15","-25.94","0.237085582112567","-0.809","-0.20225","0.263340010926971"
"symbol_best_session_with_wave3_confirmed","EURUSD","london_newyork_overlap","5","0.4","-34.25","12.85","-47.1","0.272823779193206","-1.3465","-0.2693","0.355741626794258"
"symbol_best_session_with_wave3_confirmed","EURUSD","other","1","0","-13.52","0","-13.52","0","-0.5729","-0.5729","0"
"symbol_best_session_with_wave3_confirmed","GBPJPY","other","5","0.2","-46.03","2.93","-48.96","0.0598447712418301","-2.0243","-0.40486","0.0665406252882044"
"symbol_best_session_with_wave3_confirmed","GBPJPY","london_newyork_overlap","3","0.666666666666667","-5.81","17.83","-23.64","0.754230118443316","-0.292","-0.0973333333333333","0.708"
"symbol_best_session_with_wave3_confirmed","GBPJPY","tokyo","1","1","7.62","7.62","0","∞","0.534","0.534","∞"
"symbol_best_session_with_wave3_confirmed","GBPJPY","london","9","0.444444444444444","36.2","120.43","-84.23","1.42977561438917","1.0306","0.114511111111111","1.25719348157021"
"symbol_best_session_with_wave3_confirmed","GBPUSD","london","24","0.291666666666667","-206.47","145.87","-352.34","0.414003519327922","-8.6004","-0.35835","0.41875836340781"
"symbol_best_session_with_wave3_confirmed","GBPUSD","london_newyork_overlap","3","0.333333333333333","-15.3","35.38","-50.68","0.698105761641673","-0.6607","-0.220233333333333","0.684780534351145"
"symbol_best_session_with_wave3_confirmed","GBPUSD","tokyo","5","0.8","81.16","103.01","-21.85","4.71441647597254","3.3953","0.67906","4.3953"
"symbol_best_session_with_wave3_confirmed","GBPUSD","other","1","0","-6.8","0","-6.8","0","-0.2857","-0.2857","0"
"symbol_best_session_with_wave3_confirmed","AUDJPY","other","8","0.375","-25.01","25.57","-50.58","0.505535784895216","-1.1028","-0.13785","0.498636115657392"
"symbol_best_session_with_wave3_confirmed","AUDJPY","london_newyork_overlap","11","0.363636363636364","-24.92","101.28","-126.2","0.802535657686212","-0.9887","-0.0898818181818182","0.812273340042152"
"symbol_best_session_with_wave3_confirmed","AUDJPY","new_york","1","0","-10.01","0","-10.01","0","-0.5276","-0.5276","0"
"symbol_best_session_with_wave3_confirmed","AUDJPY","tokyo","4","0.5","-0.939999999999998","46.74","-47.68","0.980285234899329","0.0723000000000003","0.0180750000000001","1.03615"
"symbol_best_session_with_wave3_confirmed","AUDJPY","london","4","0.5","7.74","56.27","-48.53","1.1594889758912","0.4659","0.116475","1.23203346780218"
"symbol_best_session_with_wave3_confirmed","EURJPY","london","4","1","103.54","103.54","0","∞","4.4852","1.1213","∞"
"symbol_best_session_with_wave3_confirmed","EURJPY","london_newyork_overlap","7","0.428571428571429","18.35","50.73","-32.38","1.56670784434836","0.7852","0.112171428571429","1.55937878464059"
"symbol_best_session_with_wave3_confirmed","EURJPY","other","1","0","-11.58","0","-11.58","0","-0.4833","-0.4833","0"
"symbol_best_session_with_wave3_confirmed","EURJPY","tokyo","4","0.25","-39.44","33.92","-73.36","0.462377317339149","-1.5989","-0.399725","0.467033333333333"
"symbol_best_session_with_wave3_confirmed","USDJPY","london","7","0.428571428571429","39.53","103.15","-63.62","1.62134548883999","1.6088","0.229828571428571","1.6102723617328"
"symbol_best_session_with_wave3_confirmed","USDJPY","london_newyork_overlap","7","0.571428571428571","-43.89","55.48","-99.37","0.558317399617591","-1.5954","-0.227914285714286","0.611228891000804"
"symbol_best_session_with_wave3_confirmed","USDJPY","other","3","0","-12.18","0","-12.18","0","-0.5992","-0.199733333333333","0"
"symbol_best_session_with_wave3_confirmed","USDJPY","tokyo","9","0.555555555555556","21.54","116.95","-95.41","1.22576249868986","1.1605","0.128944444444444","1.28865287036116"
