decision_seconds,horizon_seconds,feature_set,model_family,omitted_symbol,episodes,mean,sign_positive
120,300,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDJPY,327,-0.012459981113568108,False
120,600,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,AUDUSD,428,-0.1655921527722431,False
120,600,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,EURUSD,446,-0.2355035012966612,False
120,600,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,USDCAD,391,-0.16906641391155194,False
120,600,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,USDCHF,441,-0.15046305154676323,False
120,600,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,USDJPY,322,-0.12534330267413557,False
120,600,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,AUDUSD,428,0.01821121177012665,True
120,600,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,EURUSD,446,0.006525919851505106,True
120,600,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,USDCAD,391,0.032898481082028926,True
120,600,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,USDCHF,441,0.005706046088661217,True
120,600,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,USDJPY,322,0.018639919689407623,True
120,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,AUDUSD,428,-0.1041243194455247,False
120,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,EURUSD,446,-0.1613271050712359,False
120,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDCAD,391,-0.16777589781532506,False
120,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDCHF,441,-0.06046836814488354,False
120,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDJPY,322,-0.011220512885569847,False
120,600,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,AUDUSD,428,0.0759461213741916,True
120,600,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,EURUSD,446,0.053335803208470624,True
120,600,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDCAD,391,0.05537645777994515,True
120,600,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDCHF,441,0.053046653746726125,True
120,600,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDJPY,322,0.04427652141297347,True
120,900,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,AUDUSD,428,-0.4405686584059147,False
120,900,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,EURUSD,458,-0.34650587339187555,False
120,900,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,USDCAD,385,-0.44257071595907227,False
120,900,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,USDCHF,461,-0.4374210304260829,False
120,900,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,USDJPY,320,-0.49017217965676513,False
120,900,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,AUDUSD,428,-0.17195431346001097,False
120,900,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,EURUSD,458,-0.11284152523062072,False
120,900,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,USDCAD,385,-0.19751274510362737,False
120,900,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,USDCHF,461,-0.20694884280044903,False
120,900,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,USDJPY,320,-0.19028398437196875,False
120,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,AUDUSD,428,-0.581155238843048,False
120,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,EURUSD,458,-0.4280980214371582,False
120,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDCAD,385,-0.5872590848891426,False
120,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDCHF,461,-0.5272333386297686,False
120,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDJPY,320,-0.5129608870086365,False
120,900,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,AUDUSD,428,-0.19014739556418986,False
120,900,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,EURUSD,458,-0.163656530449803,False
120,900,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDCAD,385,-0.1972609042126883,False
120,900,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDCHF,461,-0.19876835301247622,False
120,900,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDJPY,320,-0.16395228807725704,False
