decision_seconds,horizon_seconds,fold,feature_set,action,model_family,inner_score,parameters,train_rows,test_rows
60,300,3,CONTEXT_ONLY,REVERSAL,SHALLOW_GRADIENT_BOOSTING,5.1275452241901105,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",504,87
60,300,3,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_REGRESSION,5.030839294317719,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",504,87
60,300,3,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_LOGISTIC,0.47913867528860754,"{""C"": 0.1, ""l1_ratio"": 0.9}",504,87
60,300,3,CONTEXT_PLUS_SHOCK,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,5.11691302821131,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",504,87
60,300,3,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_REGRESSION,5.023098999062907,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",504,87
60,300,3,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_LOGISTIC,0.6006830124925705,"{""C"": 0.1, ""l1_ratio"": 0.1}",504,87
60,300,3,CONTEXT_PLUS_SHOCK,REVERSAL,SHALLOW_GRADIENT_BOOSTING,5.099864132605486,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 50}",504,87
60,300,4,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,4.146573838350707,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",591,86
60,300,4,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_LOGISTIC,0.5891636208908524,"{""C"": 0.1, ""l1_ratio"": 0.9}",591,86
60,300,4,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,3.983007808544976,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 50}",591,86
60,300,4,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_REGRESSION,4.178552287753819,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",591,86
60,300,4,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_LOGISTIC,0.573027991972876,"{""C"": 0.1, ""l1_ratio"": 0.9}",591,86
60,300,4,CONTEXT_ONLY,REVERSAL,SHALLOW_GRADIENT_BOOSTING,4.0623456873477855,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",591,86
60,300,4,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_REGRESSION,4.1216381300830465,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",591,86
60,300,4,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_LOGISTIC,0.5908799385797662,"{""C"": 0.1, ""l1_ratio"": 0.9}",591,86
60,300,4,CONTEXT_PLUS_SHOCK,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,4.053165014046156,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",591,86
