decision_seconds,horizon_seconds,feature_set,model_family,action,rows,coverage,chosen_mean,chosen_125x_mean,positive_fraction,rmse,auc,ci_low,ci_high
60,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,CHOSEN,528,0.3731060606060606,-0.4520848415934517,-0.5450200605484874,0.11931818181818182,4.458733012080392,,-0.7552466577257622,-0.19264176203637398
60,600,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,CHOSEN,528,0.056818181818181816,0.02515676439088123,0.011414852959838498,0.02462121212121212,4.203955912501393,,-0.05782325239190502,0.11339285860882059
60,900,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,519,,,,0.371868978805395,,0.5286881337614037,,
60,900,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,519,,,,0.3737957610789981,,0.5441395717684377,,
60,900,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,CHOSEN,519,0.6339113680154143,-0.334183690884396,-0.4925858675846155,0.2543352601156069,5.520175442256114,,-0.7407796590978581,0.06109298515261859
60,900,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,CHOSEN,519,0.11753371868978806,-0.2255259263196541,-0.25458012943906616,0.04238921001926782,5.278341698834261,,-0.42479848352933836,-0.018636674438000503
60,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,CONTINUATION,519,,,,0.371868978805395,,0.527146444578658,,
60,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,REVERSAL,519,,,,0.3737957610789981,,0.5259793814432989,,
60,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,CHOSEN,519,0.6551059730250481,-0.47864004647705344,-0.6420470658136758,0.24855491329479767,5.589983083592324,,-0.8699593659951547,-0.08023514045113496
60,900,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,CHOSEN,519,0.13102119460500963,-0.19429426260767338,-0.22660628503313424,0.05202312138728324,5.292236595232984,,-0.411831906405986,0.02355685922314801
120,300,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,520,,,,0.25576923076923075,,0.6084591323269415,,
120,300,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,520,,,,0.2692307692307692,,0.61,,
120,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,CHOSEN,520,0.04038461538461539,-0.002918680229241591,-0.012756506789884594,0.019230769230769232,2.805809174647514,,-0.09606590518395036,0.07085437220885489
120,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,CHOSEN,520,0.03076923076923077,-0.0038783568310844594,-0.01164993401214649,0.01730769230769231,2.8071648667294773,,-0.056668732226203784,0.04154917983962002
120,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,CONTINUATION,520,,,,0.25576923076923075,,0.6046123059586952,,
120,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,REVERSAL,520,,,,0.2692307692307692,,0.603703007518797,,
120,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,CHOSEN,520,0.051923076923076926,-0.06324263147413009,-0.0759049497791442,0.021153846153846155,2.8523449002433203,,-0.20955993900492018,0.06745231709672542
120,300,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,CHOSEN,520,0.032692307692307694,-0.013870553496053832,-0.02209985650249954,0.019230769230769232,2.814741918618763,,-0.06220093826457981,0.021502317979045383
120,600,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,507,,,,0.3708086785009862,,0.5705996131528046,,
120,600,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,507,,,,0.2978303747534517,,0.5283131185356054,,
120,600,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,CHOSEN,507,0.20512820512820512,-0.17195646942674653,-0.22341657011520902,0.0670611439842209,4.077938164528047,,-0.32738636320035824,0.005428381032221314
120,600,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,CHOSEN,507,0.021696252465483234,0.015821837011611266,0.010225736238204138,0.015779092702169626,4.038290246596565,,-0.08910049816693535,0.10657507695478899
120,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,CONTINUATION,507,,,,0.3708086785009862,,0.5696491696124858,,
120,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,REVERSAL,507,,,,0.2978303747534517,,0.5330195699084754,,
120,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,CHOSEN,507,0.23668639053254437,-0.10473226288525395,-0.1637940910315147,0.09270216962524655,4.069075431195701,,-0.2880072961972382,0.10901538005754527
120,600,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,CHOSEN,507,0.03550295857988166,0.05699976201596357,0.04813621110011139,0.02564102564102564,4.045342427591898,,-0.020444237153422924,0.12725649397425182
120,900,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,513,,,,0.3820662768031189,,0.5228706624605679,,
120,900,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,513,,,,0.3586744639376218,,0.5256045989163473,,
120,900,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,CHOSEN,513,0.32943469785575047,-0.42697806723783743,-0.5093418836676963,0.11695906432748537,5.322375476124796,,-0.7243131593259061,-0.18457951630056293
120,900,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,CHOSEN,513,0.09941520467836257,-0.17427610288081996,-0.1990671314582537,0.03313840155945419,5.075051254667973,,-0.33682621478289654,0.003214444933053823
120,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,CONTINUATION,513,,,,0.3820662768031189,,0.5119423163587201,,
120,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,REVERSAL,513,,,,0.3586744639376218,,0.5277190432139554,,
120,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,CHOSEN,513,0.34307992202729043,-0.5253899301542153,-0.6109876561878453,0.1111111111111111,5.39441720414391,,-0.8102007771465167,-0.2611169211437537
120,900,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,CHOSEN,513,0.1189083820662768,-0.18342113415830497,-0.21302194247595382,0.042884990253411304,5.0909240834029115,,-0.31334790202949636,-0.026659116324829018
