detector_id,parameter,baseline,current,classification,status
STRICT_V0,InpTesterModel,REAL_TICKS_MODEL_4,REAL_TICKS_MODEL_4,strategy_or_execution,UNCHANGED
STRICT_V0,InpTokyoEndHour,9,9,strategy_or_execution,UNCHANGED
STRICT_V0,InpTokyoStartHour,0,0,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpBaselineExcludeMs,2000,2000,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpBaselineMinutes,15,15,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpBurstMaxMs,3000,3000,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpBurstQuietMs,300,300,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpCommissionPerLotRoundTurn,0.0,0.0,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpContinuationInvalidPct,50.0,50.0,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpDebugMaxMessages,200,200,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpDebugSymbol,EURUSD,EURUSD,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpEnableDebug,false,false,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpExecutionMode,1,1,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpGridMs,250,250,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpLondonEndHour,17,17,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpLondonStartHour,8,8,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpMaxHoldSeconds,120,120,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpMaxQuoteAgeMs,500,500,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpMaxSpreadMedianRatio,1.5,1.5,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpMinBaselineSamples,300,300,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpMinEfficiency,0.65,0.65,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpMinMoveSpreadRatio,4.0,4.0,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpMinRobustZ,3.5,3.5,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpMinTickIntensityRatio,1.5,1.5,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpNewYorkEndHour,22,22,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpNewYorkStartHour,13,13,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpNoiseFloorTicks,1.0,1.0,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpPullbackMaxPct,35.0,35.0,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpPullbackMinPct,15.0,15.0,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpPullbackWaitMs,10000,10000,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpReaccelerationConfirmTicks,2,2,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpResearchPeriod,2025-03-01_TO_2025-04-01,2025-03-01_TO_2025-04-01,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpResumeCheckpoint,,,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpResumeCursorMsc,0,0,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpResumeLastEventSequence,-1,-1,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpResumeRun,false,false,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpRewardRisk,1.2,1.2,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpSchemaVersion,tickshock-event-v1,tickshock-event-v1+detector-feature-v1,output_provenance,ALLOWED_VERSIONED_FEATURE_SCHEMA_CHANGE
TAIL_V1_RAW,InpShadowExitSlippageTicks,1.0,1.0,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpShadowSlippageTicks,1.0,1.0,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpShockPercentile,99.5,99.5,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpSubmitLatencyMs,0,0,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpSymbols,"EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF","EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF",strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpTesterModel,REAL_TICKS_MODEL_4,REAL_TICKS_MODEL_4,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpTokyoEndHour,9,9,strategy_or_execution,UNCHANGED
TAIL_V1_RAW,InpTokyoStartHour,0,0,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpBaselineExcludeMs,2000,2000,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpBaselineMinutes,15,15,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpBurstMaxMs,3000,3000,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpBurstQuietMs,300,300,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpCommissionPerLotRoundTurn,0.0,0.0,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpContinuationInvalidPct,50.0,50.0,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpDebugMaxMessages,200,200,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpDebugSymbol,EURUSD,EURUSD,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpEnableDebug,false,false,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpExecutionMode,1,1,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpGridMs,250,250,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpLondonEndHour,17,17,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpLondonStartHour,8,8,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpMaxHoldSeconds,120,120,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpMaxQuoteAgeMs,500,500,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpMaxSpreadMedianRatio,1.5,1.5,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpMinBaselineSamples,300,300,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpMinEfficiency,0.65,0.65,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpMinMoveSpreadRatio,4.0,4.0,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpMinRobustZ,3.5,3.5,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpMinTickIntensityRatio,1.5,1.5,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpNewYorkEndHour,22,22,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpNewYorkStartHour,13,13,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpNoiseFloorTicks,1.0,1.0,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpPullbackMaxPct,35.0,35.0,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpPullbackMinPct,15.0,15.0,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpPullbackWaitMs,10000,10000,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpReaccelerationConfirmTicks,2,2,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpResearchPeriod,2025-03-01_TO_2025-04-01,2025-03-01_TO_2025-04-01,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpResumeCheckpoint,,,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpResumeCursorMsc,0,0,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpResumeLastEventSequence,-1,-1,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpResumeRun,false,false,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpRewardRisk,1.2,1.2,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpSchemaVersion,tickshock-event-v1,tickshock-event-v1+detector-feature-v1,output_provenance,ALLOWED_VERSIONED_FEATURE_SCHEMA_CHANGE
TAIL_V1_NOISE_ROBUST,InpShadowExitSlippageTicks,1.0,1.0,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpShadowSlippageTicks,1.0,1.0,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpShockPercentile,99.5,99.5,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpSubmitLatencyMs,0,0,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpSymbols,"EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF","EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF",strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpTesterModel,REAL_TICKS_MODEL_4,REAL_TICKS_MODEL_4,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpTokyoEndHour,9,9,strategy_or_execution,UNCHANGED
TAIL_V1_NOISE_ROBUST,InpTokyoStartHour,0,0,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpBaselineExcludeMs,2000,2000,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpBaselineMinutes,15,15,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpBurstMaxMs,3000,3000,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpBurstQuietMs,300,300,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpCommissionPerLotRoundTurn,0.0,0.0,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpContinuationInvalidPct,50.0,50.0,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpDebugMaxMessages,200,200,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpDebugSymbol,EURUSD,EURUSD,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpEnableDebug,false,false,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpExecutionMode,1,1,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpGridMs,250,250,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpLondonEndHour,17,17,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpLondonStartHour,8,8,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpMaxHoldSeconds,120,120,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpMaxQuoteAgeMs,500,500,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpMaxSpreadMedianRatio,1.5,1.5,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpMinBaselineSamples,300,300,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpMinEfficiency,0.65,0.65,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpMinMoveSpreadRatio,4.0,4.0,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpMinRobustZ,3.5,3.5,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpMinTickIntensityRatio,1.5,1.5,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpNewYorkEndHour,22,22,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpNewYorkStartHour,13,13,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpNoiseFloorTicks,1.0,1.0,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpPullbackMaxPct,35.0,35.0,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpPullbackMinPct,15.0,15.0,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpPullbackWaitMs,10000,10000,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpReaccelerationConfirmTicks,2,2,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpResearchPeriod,2025-03-01_TO_2025-04-01,2025-03-01_TO_2025-04-01,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpResumeCheckpoint,,,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpResumeCursorMsc,0,0,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpResumeLastEventSequence,-1,-1,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpResumeRun,false,false,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpRewardRisk,1.2,1.2,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpSchemaVersion,tickshock-event-v1,tickshock-event-v1+detector-feature-v1,output_provenance,ALLOWED_VERSIONED_FEATURE_SCHEMA_CHANGE
TAIL_V1_PERSISTENT,InpShadowExitSlippageTicks,1.0,1.0,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpShadowSlippageTicks,1.0,1.0,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpShockPercentile,99.5,99.5,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpSubmitLatencyMs,0,0,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpSymbols,"EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF","EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF",strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpTesterModel,REAL_TICKS_MODEL_4,REAL_TICKS_MODEL_4,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpTokyoEndHour,9,9,strategy_or_execution,UNCHANGED
TAIL_V1_PERSISTENT,InpTokyoStartHour,0,0,strategy_or_execution,UNCHANGED
