Preset,Month,Trades,ProfitR,ExpectancyR,PF
H,2025-12,15,2.4973196616000006,0.16648797744000005,1.3121649577
H,2026-01,17,3.0001764509,0.17648096770000002,1.333352938988889
H,2026-02,14,1.0006482506,0.07147487504285714,1.1250810313250001
H,2026-03,19,5.9999520193999984,0.3157869483894736,1.6666613354888886
J,2024-01,21,1.5069176088999998,0.07175798137619047,1.1255764674083333
J,2024-02,30,7.4866972264,0.24955657421333333,1.4991131484266667
J,2024-03,18,1.9686051618,0.10936695343333333,1.19686051618
J,2024-04,24,-9.006151743,-0.375256322625,0.49965823649999996
J,2024-05,23,9.490605415400003,0.41263501806086966,1.9490605415400002
J,2024-06,21,1.4910567750999997,0.07100270357619046,1.124254731258333
J,2024-07,19,-1.4982935154000003,-0.07885755344210528,0.87514220705
J,2024-08,20,-2.5024676052999997,-0.12512338026499997,0.8075024919
J,2024-09,22,0.5026119966999998,0.02284599984999999,1.0386624612846154
J,2024-10,26,1.5031012501999996,0.05781158654615383,1.1002067500133335
J,2024-11,17,2.9969890457999995,0.1762934732823529,1.3329987828666665
J,2024-12,20,-2.4956950795,-0.124784753975,0.808023455423077
J,2025-01,25,12.4916231474,0.49966492589600003,2.2491623147400004
J,2025-02,22,-9.4946284181,-0.43157401900454545,0.4414924459941177
J,2025-03,20,-2.500959956600001,-0.12504799783000003,0.807618464876923
J,2025-04,20,-2.4996993092000013,-0.12498496546000007,0.8077154377538461
J,2025-05,20,2.4982002759000004,0.12491001379500002,1.227109115990909
J,2025-06,20,4.9966905090000004,0.24983452545,1.4996690509000001
J,2025-07,21,1.4941381329999996,0.07114943490476189,1.1245115110833332
J,2025-08,18,11.9931857742,0.6662880985666667,2.9988642957000002
J,2025-09,14,-1.4999461364999997,-0.10713900974999999,0.8333393181666666
J,2025-10,23,-5.4974874372,-0.23902119292173915,0.656407035175
J,2025-11,18,4.499302570799999,0.2499612539333333,1.4999225078666667
J,2025-12,10,4.9928151571,0.49928151571,2.248203789275
J,2026-01,15,7.4923251352,0.49948834234666667,2.2487208558666665
J,2026-02,11,4.0006482506,0.3636952955090909,1.8001296501200001
J,2026-03,14,0.9949984893999995,0.07107132067142853,1.124374811175
