calculation_id,scope,metric,checked_count,independent_value,reported_value,tolerance,difference,status,evidence_path,note
TSRC-030,REALIZABLE,entry_processing_plus_latency_violations,7128,0,0,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Submit latency is zero in the preset
TSRC-031,REALIZABLE,entry_eligible_violations,7128,0,0,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Formal invariant
TSRC-032,REALIZABLE,entry_not_after_signal_violations,7128,0,0,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Signal tick is not reused as fill
TSRC-033,REALIZABLE,stale_Detection_boundary_fills,2508,0,0,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Detection valid cells only
TSRC-034,REALIZABLE,reversal_signal_clock_violations,1518,0,0,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Includes broker-invalid signaled reversal cells
TSRC-035,REALIZABLE,realized_RR_violations,7128,0,0,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Minimum realized RR is 1.2
TSRC-036,REALIZABLE,duplicate_events,19,0,0,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Key is symbol detector and detection time
TSRC-037,REALIZABLE,market_clusters,19,15,15,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Fixed first-event anchor and inclusive 2000 ms window
TSRC-038,REALIZABLE,market_cluster_id_violations,19,0,0,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Cross-symbol and cross-detector recomputation
TSRC-039,REALIZABLE,TP_LIMIT,7128,1227,1227,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Outcome recount
TSRC-040,REALIZABLE,SL_GAP,7128,2820,2820,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Outcome recount includes gap and exit slippage
TSRC-041,REALIZABLE,TIME_MARKET,7128,3081,3081,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Outcome recount
TSRC-042,REALIZABLE,policy_mask_0,7128,2037,2037,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Policy is diagnostic
TSRC-043,REALIZABLE,policy_mask_1,7128,4353,4353,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Cost bit only
TSRC-044,REALIZABLE,policy_mask_2,7128,717,717,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Range bit only
TSRC-045,REALIZABLE,policy_mask_3,7128,21,21,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Both diagnostic bits
TSRC-046,REALIZABLE,ExpectancyR,7128,-0.292361643098,-0.292362,0.000001,0.000000356902,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Mean of encoded valid-cell net R
TSRC-047,REALIZABLE,cluster_mean_ExpectancyR,15,-0.242732085354,-0.242732,0.000001,-0.000000085354,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Each cluster first averages its correlated valid cells
TSRC-048,REALIZABLE,positive_cluster_means,15,3,3,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_comparison_202503/summary.md,Descriptive only
TSRC-049,REALIZABLE,scenario_summary_field_mismatches,1656,0,0,0.000001,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/summary.csv,552 keys times valid invalid and mean R
TSRC-050,REALIZABLE,overall_and_funnel_mismatches,11,0,0,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/summary.csv,Overall four values and seven funnel counters
TSRC-051,REALIZABLE,commission_R_absolute_max,7128,0,0,0,0,PARTIAL,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Configured commission is zero and source is ORDER_HARNESS_REQUIRED
TSRC-052,REALIZABLE,generated_tick_fallback_minutes,30187,179,179,0,0,PARTIAL,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/tick_quality.csv,GBPUSD fallback rate is 0.5930 percent
TSRC-053,REALIZABLE,independent_sample_count,19,15,15,0,0,PASS,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/events.csv,Statistical n is market clusters not 7128 scenario cells
