family,target,variant,geometry,policy,trades,win_rate,expectancy_r,total_r,expectancy_pips,total_pips,pf,maxdd_r,long,short,tp,sl,timeout,gross_expectancy_r,max_day_profit_share,top5_removed_total_r,mean_hold_seconds,timeout_rate,clusters,days,predicted_ev,longest_loss_streak,min_month_trades,worst_month_ev,positive_months,robust_gate,all_converged,cost_04_total_r,neighbor_low_total_r,neighbor_high_total_r
ELASTICNET,NET_R,FULL486,3,PERCENTILE_150,840,0.48809523809524,-0.044943993931961,-37.752954902847,-0.48369047619051,-406.30000000003,0.89845812843364,50.702523357752,515,325,300,311,229,-0.024831039296954,0.10271818932554,-42.718613730088,538.25624880952,0.27261904761905,840,63,0.22443784895173,11,217,-0.072498920110866,1,False,True,-54.647836796254,-33.371414315054,-33.837432408403
ELASTICNET,NET_R,FULL486,3,PERCENTILE_200,1088,0.48897058823529,-0.039716298571423,-43.211332845708,-0.35863970588239,-390.20000000004,0.90979770786583,57.689202606022,665,423,392,403,293,-0.019145322484038,0.10974409601191,-48.17704994546,537.22564522059,0.26930147058824,1088,63,0.19630988927423,9,289,-0.079106140807322,1,False,True,-65.592554828784,-70.323952109423,-30.950901293174
ELASTICNET,NET_R,FULL486,3,PERCENTILE_300,1523,0.4924491135916,-0.038522133113707,-58.669208732176,-0.34753775443208,-529.30000000005,0.91246864838908,65.481689743815,920,603,547,562,414,-0.01713635694173,0.089530006027513,-63.634925831927,537.34418844386,0.27183191070256,1523,63,0.15753136104598,11,431,-0.07425658477309,1,False,True,-91.239745842096,-65.684489068582,-76.842732688718
ELASTICNET,NET_R,FULL486,4,ABS_0,1902,0.48685594111462,-0.03527237315469,-67.088053740221,-0.47644584647746,-906.20000000013,0.89029151191107,71.317032726807,1074,828,343,360,1199,-0.020359253115861,0.12949381398944,-72.063226605872,843.36629547844,0.63038906414301,1902,63,0.1018550194804,12,532,-0.05964392127897,1,False,True,-95.452808054074,-79.330396013731,-56.362674096086
ELASTICNET,NET_R,FULL486,4,ABS_0.05,1158,0.47495682210708,-0.038706258312325,-44.821847125673,-0.42046632124359,-486.90000000007,0.88048976021733,57.352472633876,669,489,214,222,722,-0.023698082098539,0.11336580639949,-49.797019991325,900.15404835924,0.62348877374784,1158,63,0.15135608561172,10,262,-0.052731650586943,0,False,True,-62.201315181238,-40.222952779756,-21.726417481542
ELASTICNET,NET_R,FULL486,4,ABS_0.1,658,0.49696048632219,-0.034816054034985,-22.90896355502,-0.37613981762923,-247.50000000003,0.89336557913462,36.072999930088,391,267,124,130,404,-0.019318775015477,0.1261328476948,-27.87829103439,1008.0980972644,0.61398176291793,658,61,0.21124005311568,11,90,-0.054815680257637,1,False,True,-33.106173149856,-22.254569899992,-21.304837958251
ELASTICNET,NET_R,FULL486,4,ALL,2909,0.48539016844276,-0.050553851344444,-147.06115356099,-0.61729116534896,-1795.7000000001,0.84809965234557,148.99794890449,1581,1328,518,588,1803,-0.034556862697906,0.14601643428075,-152.03632642664,983.37103300103,0.61980061876934,2909,63,0.053241044964174,10,867,-0.080080445230137,0,False,True,-193.59639353377,-147.06115356099,-132.6905000354
ELASTICNET,NET_R,FULL486,4,FREQUENCY_100,482,0.49585062240664,-0.022294520551736,-10.745958905937,-0.042946058091323,-20.700000000018,0.92862480018321,20.060772006324,277,205,91,87,304,-0.0082013915750747,0.1000874151935,-15.718344703584,1108.8600580913,0.63070539419087,482,62,0.22648592586584,7,140,-0.058835544398708,2,False,True,-17.538847072688,-15.982297568565,-5.2513608001731
ELASTICNET,NET_R,FULL486,4,FREQUENCY_150,740,0.49324324324324,-0.020686347982801,-15.307897507273,-0.10472972972975,-77.500000000017,0.9338230487507,30.118198671198,430,310,136,136,468,-0.0063398532486554,0.099317664173587,-20.283070372924,988.76232702703,0.63243243243243,740,63,0.18993169693731,8,210,-0.02951892798162,0,False,True,-25.92430361054,-26.127432755142,-9.6616055557878
ELASTICNET,NET_R,FULL486,4,FREQUENCY_200,1002,0.4750499001996,-0.039994885330596,-40.074875101257,-0.50658682634735,-507.60000000005,0.87623176030473,57.524154700281,590,412,181,189,632,-0.025478599210847,0.10448096170964,-45.050047966909,927.40096506986,0.63073852295409,1002,63,0.16195914697747,11,294,-0.057097993887424,0,False,True,-54.620193793245,-45.455476479884,-11.454301783126
