family,month,geometry,variant,scope,feature,direction,bin,lower,upper,edge_fit_rows,rows,tp_first_rate,net_win_rate,net_expectancy_r,total_r
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_atr14_pct64,1,0,-inf,0.0625,656,184,0.043478260869565,0.47826086956522,-0.043364759787129,-7.9791158008317
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_atr14_pct64,1,1,0.0625,0.3125,656,216,0.064814814814815,0.43055555555556,-0.069634224419654,-15.040992474645
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_atr14_pct64,1,2,0.3125,0.609375,656,158,0.082278481012658,0.4873417721519,-0.046729709850954,-7.3832941564507
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_atr14_pct64,1,3,0.609375,0.84375,656,158,0.12025316455696,0.4873417721519,-0.060993904672146,-9.637036938199
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_atr14_pct64,1,4,0.84375,inf,656,217,0.10599078341014,0.44239631336406,-0.105619610094,-22.919455390399
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_atr14_pct64,-1,0,-inf,0.0625,656,184,0.03804347826087,0.47282608695652,-0.049105589630819,-9.0354284920707
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_atr14_pct64,-1,1,0.0625,0.3125,656,216,0.050925925925926,0.5,-0.01697452961514,-3.6664983968702
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_atr14_pct64,-1,2,0.3125,0.609375,656,158,0.094936708860759,0.4620253164557,-0.051124824212352,-8.0777222255517
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_atr14_pct64,-1,3,0.609375,0.84375,656,158,0.12658227848101,0.4746835443038,-0.02619015555269,-4.138044577325
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_atr14_pct64,-1,4,0.84375,inf,656,217,0.12903225806452,0.50691244239631,-0.005685066432263,-1.2336594158011
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_spread_atr,1,0,-inf,0.042751662845,656,185,0.07027027027027,0.47027027027027,-0.053788226795779,-9.950821957219
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_spread_atr,1,1,0.042751662845,0.087804022145,656,196,0.061224489795918,0.45408163265306,-0.075742846543839,-14.845597922593
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_spread_atr,1,2,0.087804022145,0.146128216357,656,195,0.10769230769231,0.48205128205128,-0.038001539759356,-7.4103002530744
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_spread_atr,1,3,0.146128216357,0.230993939699,656,208,0.081730769230769,0.48076923076923,-0.079630758176681,-16.56319770075
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_spread_atr,1,4,0.230993939699,inf,656,149,0.093959731543624,0.40939597315436,-0.095234744475772,-14.18997692689
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_spread_atr,-1,0,-inf,0.042751662845,656,185,0.07027027027027,0.4972972972973,-0.0028376406601191,-0.52496352212203
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_spread_atr,-1,1,0.042751662845,0.087804022145,656,196,0.071428571428571,0.47959183673469,-0.0038438838544466,-0.75340123547153
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_spread_atr,-1,2,0.087804022145,0.146128216357,656,195,0.082051282051282,0.48205128205128,-0.044470123106576,-8.6716740057824
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_spread_atr,-1,3,0.146128216357,0.230993939699,656,208,0.081730769230769,0.47596153846154,-0.035901736633311,-7.4675612197287
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_spread_atr,-1,4,0.230993939699,inf,656,149,0.14093959731544,0.49664429530201,-0.058615792781973,-8.733753124514
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema_alignment,1,1,-1,0,656,302,0.072847682119205,0.47019867549669,-0.057346124358101,-17.318529556147
