task,policy,metric,expected,actual,status
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100,trades,251,251,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100,tp,107,107,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100,sl,141,141,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100,timeout,3,3,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100,total_r,-57.511795897994,-57.511795897984,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100,expectancy_r,-0.22913066094818,-0.22913066094814,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100,pf,0.63933177396911,0.63933177396916,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_100,maxdd_r,60.718230996137,60.718230996129,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_100,trades,243,243,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_100,tp,102,102,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_100,sl,138,138,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_100,timeout,3,3,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_100,total_r,-59.003522737411,-59.003522737402,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_100,expectancy_r,-0.24281285077124,-0.2428128507712,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_100,pf,0.62238641202396,0.622386412024,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_100,maxdd_r,62.209957835554,62.209957835548,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_150,trades,345,345,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_150,tp,153,153,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_150,sl,187,187,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_150,timeout,5,5,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_150,total_r,-63.547023899784,-63.547023899773,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_150,expectancy_r,-0.18419427217329,-0.18419427217326,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_150,pf,0.6962923115145,0.69629231151454,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_150,maxdd_r,66.272476967754,66.272476967745,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_150,trades,359,359,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_150,tp,158,158,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_150,sl,196,196,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_150,timeout,5,5,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_150,total_r,-68.430259659571,-68.430259659559,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_150,expectancy_r,-0.19061353665619,-0.19061353665615,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_150,pf,0.6873448984949,0.68734489849495,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_150,maxdd_r,70.001562529912,70.001562529902,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_200,trades,437,437,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_200,tp,196,196,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_200,sl,233,233,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_200,timeout,8,8,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_200,total_r,-71.604377065101,-71.604377065095,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_200,expectancy_r,-0.16385440975996,-0.16385440975994,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_200,pf,0.72349202408097,0.72349202408099,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_200,maxdd_r,71.604377065101,71.604377065095,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_200,trades,424,424,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_200,tp,189,189,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_200,sl,227,227,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_200,timeout,8,8,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_200,total_r,-71.702208902049,-71.702208902042,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_200,expectancy_r,-0.16910898325955,-0.16910898325953,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_200,pf,0.71595537023852,0.71595537023855,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_200,maxdd_r,71.702208902049,71.702208902042,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_300,trades,574,574,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_300,tp,259,259,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_300,sl,303,303,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_300,timeout,12,12,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_300,total_r,-88.013909111149,-88.013909111138,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_300,expectancy_r,-0.15333433643057,-0.15333433643055,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_300,pf,0.73756729963174,0.73756729963177,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,PERCENTILE_300,maxdd_r,88.013909111149,88.013909111138,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_300,trades,600,600,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_300,tp,274,274,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_300,sl,314,314,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_300,timeout,12,12,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_300,total_r,-85.793352893822,-85.793352893811,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_300,expectancy_r,-0.1429889214897,-0.14298892148969,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_300,pf,0.75301901525953,0.75301901525956,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,FREQUENCY_300,maxdd_r,85.793352893822,85.793352893811,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0,trades,385,385,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0,tp,192,192,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0,sl,189,189,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0,timeout,4,4,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0,total_r,-22.068341733206,-22.068341733212,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0,expectancy_r,-0.057320368138197,-0.057320368138212,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0,pf,0.89308681775018,0.89308681775015,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0,maxdd_r,40.58092596616,40.580925966161,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.05,trades,238,238,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.05,tp,114,114,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.05,sl,122,122,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.05,timeout,2,2,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.05,total_r,-23.511112471306,-23.511112471308,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.05,expectancy_r,-0.098786186854228,-0.098786186854234,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.05,pf,0.82305771936211,0.8230577193621,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.05,maxdd_r,34.852553476117,34.852553476119,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.1,trades,142,142,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.1,tp,67,67,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.1,sl,74,74,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.1,timeout,1,1,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.1,total_r,-15.98853564095,-15.988535640951,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.1,expectancy_r,-0.11259532141514,-0.11259532141515,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.1,pf,0.80092835035184,0.80092835035183,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ABS_0.1,maxdd_r,31.28383289192,31.28383289192,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ALL,trades,1099,1099,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ALL,tp,503,503,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ALL,sl,579,579,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ALL,timeout,17,17,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ALL,total_r,-164.5295503621,-164.5295503621,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ALL,expectancy_r,-0.14970841707198,-0.14970841707197,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ALL,pf,0.74435433367125,0.74435433367125,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,ALL,maxdd_r,165.76239349936,165.76239349935,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_100,trades,166,166,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_100,tp,77,77,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_100,sl,87,87,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_100,timeout,2,2,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_100,total_r,-21.057772340788,-21.05777234079,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_100,expectancy_r,-0.12685405024571,-0.12685405024572,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_100,pf,0.77834079451924,0.77834079451922,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_100,maxdd_r,33.0646350639,33.064635063902,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_100,trades,171,171,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_100,tp,79,79,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_100,sl,90,90,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_100,timeout,2,2,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_100,total_r,-22.501797226609,-22.50179722661,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_100,expectancy_r,-0.13158945746555,-0.13158945746556,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_100,pf,0.77127603187064,0.77127603187062,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_100,maxdd_r,33.252807106911,33.252807106913,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_150,trades,268,268,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_150,tp,132,132,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_150,sl,134,134,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_150,timeout,2,2,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_150,total_r,-19.226321484642,-19.226321484644,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_150,expectancy_r,-0.071740005539708,-0.071740005539716,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_150,pf,0.86815684042885,0.86815684042884,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_150,maxdd_r,32.439054066935,32.439054066938,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_150,trades,270,270,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_150,tp,133,133,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_150,sl,135,135,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_150,timeout,2,2,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_150,total_r,-19.306198596777,-19.306198596779,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_150,expectancy_r,-0.071504439247322,-0.071504439247331,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_150,pf,0.86855339775182,0.86855339775181,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_150,maxdd_r,33.486673114555,33.486673114557,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_200,trades,356,356,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_200,tp,178,178,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_200,sl,174,174,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_200,timeout,4,4,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_200,total_r,-19.216554029787,-19.216554029794,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_200,expectancy_r,-0.053979084353335,-0.053979084353353,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_200,pf,0.89904160562065,0.89904160562062,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_200,maxdd_r,33.104981117122,33.104981117125,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_200,trades,365,365,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_200,tp,183,183,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_200,sl,178,178,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_200,timeout,4,4,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_200,total_r,-18.782268270762,-18.782268270768,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_200,expectancy_r,-0.051458269234965,-0.051458269234981,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_200,pf,0.90348696152312,0.90348696152309,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_200,maxdd_r,34.330125796939,34.330125796941,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_300,trades,499,499,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_300,tp,254,254,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_300,sl,239,239,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_300,timeout,6,6,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_300,total_r,-16.632353085893,-16.632353085893,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_300,expectancy_r,-0.033331368909604,-0.033331368909605,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_300,pf,0.93612917347845,0.93612917347845,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,PERCENTILE_300,maxdd_r,39.394266991332,39.394266991331,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_300,trades,508,508,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_300,tp,256,256,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_300,sl,246,246,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_300,timeout,6,6,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_300,total_r,-22.10731992983,-22.107319929829,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_300,expectancy_r,-0.043518346318564,-0.043518346318561,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_300,pf,0.91744212053689,0.9174421205369,PASS
ELASTICNET__NET_R__FULL486__g1__m202503,FREQUENCY_300,maxdd_r,41.500591199224,41.500591199222,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0,trades,259,259,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0,tp,125,125,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0,sl,128,128,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0,timeout,6,6,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0,total_r,-12.328738684791,-12.328738684786,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0,expectancy_r,-0.047601307663287,-0.047601307663267,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0,pf,0.90938858514495,0.90938858514498,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0,maxdd_r,21.224252651251,21.224252651248,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.05,trades,157,157,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.05,tp,79,79,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.05,sl,75,75,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.05,timeout,3,3,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.05,total_r,-1.3527593462437,-1.3527593462393,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.05,expectancy_r,-0.0086163015684315,-0.0086163015684031,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.05,pf,0.98295554268018,0.98295554268023,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.05,maxdd_r,11.871756527964,11.871756527962,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.1,trades,100,100,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.1,tp,49,49,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.1,sl,48,48,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.1,timeout,3,3,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.1,total_r,-2.0223057927408,-2.022305792738,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.1,expectancy_r,-0.020223057927408,-0.02022305792738,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.1,pf,0.96019963589287,0.96019963589292,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ABS_0.1,maxdd_r,13.455558801266,13.455558801262,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ALL,trades,853,853,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ALL,tp,390,390,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ALL,sl,451,451,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ALL,timeout,12,12,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ALL,total_r,-104.93874136681,-104.93874136681,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ALL,expectancy_r,-0.12302314345464,-0.12302314345464,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ALL,pf,0.78369962752688,0.78369962752689,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,ALL,maxdd_r,106.87973024754,106.87973024754,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_100,trades,193,193,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_100,tp,93,93,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_100,sl,96,96,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_100,timeout,4,4,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_100,total_r,-10.516716504715,-10.516716504712,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_100,expectancy_r,-0.054490759091789,-0.054490759091773,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_100,pf,0.89695126945961,0.89695126945964,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_100,maxdd_r,15.222224031703,15.2222240317,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_100,trades,178,178,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_100,tp,87,87,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_100,sl,87,87,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_100,timeout,4,4,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_100,total_r,-6.9171606326379,-6.9171606326337,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_100,expectancy_r,-0.038860452992348,-0.038860452992324,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_100,pf,0.92532785794967,0.92532785794971,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_100,maxdd_r,15.002207675654,15.002207675651,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_150,trades,264,264,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_150,tp,126,126,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_150,sl,132,132,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_150,timeout,6,6,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_150,total_r,-15.615455112606,-15.615455112601,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_150,expectancy_r,-0.059149451184113,-0.059149451184094,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_150,pf,0.88871311338763,0.88871311338766,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_150,maxdd_r,22.325376246757,22.325376246754,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_150,trades,255,255,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_150,tp,122,122,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_150,sl,127,127,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_150,timeout,6,6,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_150,total_r,-14.141507125501,-14.141507125496,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_150,expectancy_r,-0.055456890688239,-0.05545689068822,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_150,pf,0.89523773614896,0.89523773614899,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_150,maxdd_r,22.065592520532,22.065592520529,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_200,trades,321,321,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_200,tp,149,149,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_200,sl,165,165,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_200,timeout,7,7,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_200,total_r,-28.128653761964,-28.12865376196,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_200,expectancy_r,-0.087628204865933,-0.08762820486592,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_200,pf,0.83934604658864,0.83934604658866,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,PERCENTILE_200,maxdd_r,34.7622748132,34.762274813197,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_200,trades,325,325,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_200,tp,152,152,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_200,sl,166,166,PASS
ELASTICNET__NET_R__FULL486__g1__m202504,FREQUENCY_200,timeout,7,7,PASS
