run_id,year,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,break_even_triggered,break_even_exits,full_sl_exits,tp_exits,time_exits,avg_mfe_r,avg_mae_r,avg_final_score,avg_target_room_score,avg_retest_score,avg_m15_best_score,avg_m5_best_score
london_first120__h1_h4_notopp__be_1_1r,2025,77,31,0.4025974025974026,40.24999999999994,935.14,-894.8900000000001,1.0449775950116773,1.423300000000001,0.018484415584415596,1.037330696517935,268.14000000000004,2.6814000000000004,0.15010815245767112,19,2,36,22,17,0.8446441558441556,0.7842792207792207,4.288311688311687,-0.29220779220779264,0.1999999999999997,3.8220779220779213,2.9363636363636347
london_first120__h1_h4_notopp__no_be,2025,77,33,0.42857142857142855,62.67000000000003,976.4500000000002,-913.78,1.068583247608834,2.4719999999999986,0.032103896103896086,1.0636499868683282,249.02999999999997,2.4903,0.2516564269365138,0,0,36,23,18,0.5364857142857143,0.5043818181818182,4.288311688311687,-0.29220779220779264,0.1999999999999997,3.8220779220779213,2.9363636363636347
london_first120__h4_bias_h1_rev__be_1_1r,2025,57,28,0.49122807017543857,252.15000000000003,875.3600000000001,-623.21,1.4045987708797998,10.118400000000001,0.17751578947368424,1.3932316158467863,141.01,1.4101,1.7881710516984615,16,2,25,21,9,0.9320052631578947,0.8620929824561404,4.255263157894739,-0.2710526315789476,0.19999999999999984,3.694736842105263,2.942105263157894
london_first120__h4_bias_h1_rev__no_be,2025,57,29,0.5087719298245614,264.66999999999996,913.1000000000001,-648.43,1.408170504140771,10.577200000000003,0.18556491228070182,1.394867602205572,166.57999999999998,1.6658,1.5888462000240124,0,0,26,22,9,0.6555070175438596,0.46994210526315794,4.255263157894739,-0.2710526315789476,0.19999999999999984,3.694736842105263,2.942105263157894
london_first120__london_focused_diagnostic__be_1_1r,2025,77,31,0.4025974025974026,40.24999999999994,935.14,-894.8900000000001,1.0449775950116773,1.423300000000001,0.018484415584415596,1.037330696517935,268.14000000000004,2.6814000000000004,0.15010815245767112,19,2,36,22,17,0.8446441558441556,0.7842792207792207,4.288311688311687,-0.29220779220779264,0.1999999999999997,3.8220779220779213,2.9363636363636347
london_first120__soft__be_1_1r,2025,217,86,0.39631336405529954,-227.98000000000016,2459.2799999999997,-2687.2600000000007,0.9151626563860583,-9.210400000000002,-0.042444239631336415,0.9192238813300381,596.3900000000001,5.9639000000000015,-0.3822666376029111,52,8,106,59,44,0.8588124423963132,0.8490654377880181,4.343778801843307,-0.28479262672810957,0.20000000000000034,4.042396313364056,3.4230414746543807
london_first120__soft__no_be,2025,217,94,0.43317972350230416,-30.590000000000114,2700.829999999999,-2731.42,0.9888006970733167,-1.2919000000000023,-0.005953456221198167,0.9887569360801486,581.76,5.8176,-0.0525818206820684,0,0,106,64,47,0.5235691244239632,0.5295225806451613,4.343778801843307,-0.28479262672810957,0.20000000000000034,4.042396313364056,3.4230414746543807
newyork_first120__baseline__be_1_1r,2025,49,12,0.24489795918367346,-461.71999999999997,188.02999999999997,-649.75,0.2893882262408618,-19.062399999999993,-0.3890285714285713,0.30691758956944143,461.71999999999997,4.6171999999999995,-1.0,5,2,21,4,22,0.515,0.8105673469387756,4.591836734693874,0.0,0.0,2.271428571428572,2.148979591836735
newyork_first120__baseline__no_be,2025,49,12,0.24489795918367346,-517.7399999999999,188.02999999999997,-705.77,0.26641823823625255,-21.34559999999999,-0.43562448979591817,0.2833920837949442,517.7399999999999,5.177399999999999,-1.0,0,0,23,4,22,0.17227346938775515,0.6078979591836734,4.591836734693874,0.0,0.0,2.271428571428572,2.148979591836735
newyork_first120__h1_h4_notopp__be_1_1r,2025,124,49,0.3951612903225806,-300.6300000000001,795.5400000000002,-1096.1699999999996,0.7257450942828215,-11.1307,-0.08976370967741935,0.7588356372145424,445.1500000000001,4.4515,-0.6753453891946536,13,1,29,13,81,0.6249661290322582,0.6243209677419354,4.30322580645161,-0.29758064516129035,0.19999999999999954,4.154032258064514,2.796774193548385
newyork_first120__h1_h4_notopp__no_be,2025,124,49,0.3951612903225806,-311.1300000000001,795.5400000000002,-1106.6699999999996,0.7188592805443361,-11.556799999999997,-0.09319999999999998,0.7518940491755062,455.6500000000001,4.556500000000001,-0.6828267310435643,0,0,29,13,82,0.2824459677419354,0.3756459677419354,4.30322580645161,-0.29758064516129035,0.19999999999999954,4.154032258064514,2.796774193548385
newyork_first120__h4_bias_h1_rev__be_1_1r,2025,93,30,0.3225806451612903,-507.72,523.39,-1031.11,0.5075986073260855,-21.194700000000005,-0.22790000000000005,0.5177838904094632,557.4000000000001,5.574000000000002,-0.9108719052744886,8,2,35,9,47,0.6380225806451613,0.7302483870967742,4.236559139784943,-0.29032258064516175,0.19999999999999962,3.8225806451612887,2.696774193548386
newyork_first120__h4_bias_h1_rev__no_be,2025,93,31,0.3333333333333333,-450.07000000000016,602.2299999999999,-1052.3,0.5722987741138458,-18.6221,-0.20023763440860215,0.5843160627428924,514.44,5.1444,-0.8748736490164064,0,0,36,10,47,0.2814688172043011,0.48170645161290304,4.236559139784943,-0.29032258064516175,0.19999999999999962,3.8225806451612887,2.696774193548386
newyork_first120__soft__be_1_1r,2025,245,96,0.39183673469387753,-456.86999999999995,1750.1399999999996,-2207.0099999999993,0.7929914227846726,-17.057899999999997,-0.06962408163265305,0.8150712702893738,744.28,7.442799999999999,-0.6138415650024184,26,1,63,30,151,0.6044571428571426,0.6456183673469384,4.3802040816326455,-0.28387755102040696,0.20000000000000065,4.255918367346941,3.5955102040816387
newyork_first120__soft__no_be,2025,245,96,0.39183673469387753,-451.31,1755.6999999999996,-2207.0099999999993,0.7955106682797088,-16.827099999999994,-0.0686820408163265,0.817456270909903,738.72,7.387200000000001,-0.6109351310374702,0,0,63,30,152,0.3075677551020408,0.3762497959183676,4.3802040816326455,-0.28387755102040696,0.20000000000000065,4.255918367346941,3.5955102040816387
one_first120__baseline__be_1_1r,2025,116,46,0.39655172413793105,-96.05000000000005,1225.3300000000006,-1321.38,0.9273108416958032,-3.6481000000000052,-0.03144913793103453,0.9349361060826299,322.7500000000001,3.2275000000000014,-0.2975987606506585,23,3,48,28,37,0.7911068965517244,0.7863801724137931,4.574137931034477,0.0,0.0,2.6767241379310334,1.7405172413793102
one_first120__baseline__no_be,2025,116,46,0.39655172413793105,-174.63,1221.8500000000006,-1396.48,0.8749498739688364,-6.959799999999997,-0.05999827586206894,0.8827945545054665,400.01,4.0001,-0.43656408589785256,0,0,51,28,37,0.45190862068965515,0.511906896551724,4.574137931034477,0.0,0.0,2.6767241379310334,1.7405172413793102
one_first120__h1_h4_notopp__be_1_1r,2025,367,144,0.3923705722070845,-632.76,3219.310000000001,-3852.0699999999993,0.8357350723117705,-26.731900000000007,-0.07283896457765669,0.8423337662506182,850.1899999999999,8.5019,-0.744257166045237,66,7,141,69,150,0.7418920980926431,0.7277760217983648,4.292506811989113,-0.28978201634877204,0.20000000000000137,3.8305177111716677,2.777384196185292
one_first120__h1_h4_notopp__no_be,2025,367,149,0.40599455040871935,-548.8599999999998,3376.9,-3925.76,0.8601901287903488,-22.503600000000002,-0.06131771117166213,0.8689073515482191,764.8099999999998,7.648099999999998,-0.7176422902420208,0,0,142,73,152,0.40642561307901914,0.46774332425068105,4.292506811989113,-0.28978201634877204,0.20000000000000137,3.819073569482294,2.7888283378746657
one_first120__h4_bias_h1_rev__be_1_1r,2025,271,109,0.4022140221402214,-379.7699999999999,2757.3199999999997,-3137.0899999999992,0.8789419493862147,-14.895399999999986,-0.05496457564575641,0.8886955196199233,588.1399999999999,5.881399999999998,-0.6457136056041078,52,6,121,64,80,0.7821804428044282,0.7923464944649447,4.26107011070111,-0.2817343173431721,0.20000000000000084,3.6564575645756463,2.9265682656826595
one_first120__h4_bias_h1_rev__no_be,2025,271,110,0.4059040590405904,-433.19999999999976,2787.6299999999997,-3220.8299999999977,0.8655005076331261,-17.9642,-0.06628856088560886,0.8702089321039302,651.5799999999997,6.515799999999997,-0.6648454525921605,0,0,125,65,81,0.4444442804428043,0.510732841328413,4.26107011070111,-0.2817343173431721,0.20000000000000084,3.6564575645756463,2.9265682656826595
one_first120__soft__be_1_1r,2025,679,260,0.38291605301914583,-1347.9600000000005,6454.989999999996,-7802.949999999996,0.8272499503392947,-57.824200000000005,-0.08516082474226805,0.8273473103578411,1525.4600000000005,15.254600000000003,-0.8836416556317439,128,17,296,142,224,0.7690175257731963,0.7784812960235642,4.354860088365281,-0.2849042709867476,0.20000000000000123,4.077908689248894,3.556553755522827
one_first120__soft__no_be,2025,779,312,0.40051347881899874,-1239.7200000000007,7872.029999999998,-9111.749999999998,0.8639427113342661,-52.47880000000001,-0.06736688061617459,0.8656516581186597,1531.2800000000007,15.312800000000006,-0.809597199728332,0,0,342,169,268,0.4340675224646983,0.5014344030808733,4.351797175866538,-0.28414634146341805,0.19999999999999962,4.081129653401795,3.514505776636706
tokyo_first120__baseline__be_1_1r,2025,18,8,0.4444444444444444,10.309999999999988,230.59999999999997,-220.29000000000002,1.0468019428934583,0.4092000000000007,0.02273333333333337,1.0439183025125305,99.64,0.9964000000000001,0.10347250100361288,4,0,9,5,4,0.9114055555555556,0.7967,4.527777777777779,0.0,0.0,3.433333333333334,0.9833333333333333
tokyo_first120__baseline__no_be,2025,18,8,0.4444444444444444,10.309999999999988,230.59999999999997,-220.29000000000002,1.0468019428934583,0.4092000000000007,0.02273333333333337,1.0439183025125305,99.64,0.9964000000000001,0.10347250100361288,0,0,9,5,4,0.5403611111111111,0.5176277777777778,4.527777777777779,0.0,0.0,3.433333333333334,0.9833333333333333
tokyo_first120__h1_h4_notopp__be_1_1r,2025,53,23,0.4339622641509434,83.69999999999999,649.5299999999999,-565.83,1.1479242882137741,3.2888000000000006,0.062052830188679256,1.1375865459033196,112.43,1.1243,0.7444632215600817,15,1,20,14,18,0.8751622641509434,0.7761792452830192,4.316037735849059,-0.2688679245283021,0.1999999999999999,3.394339622641509,3.035849056603773
tokyo_first120__h1_h4_notopp__no_be,2025,53,23,0.4339622641509434,58.510000000000026,649.5299999999999,-591.0200000000001,1.0989983418496831,2.292100000000002,0.04324716981132079,1.092051469466109,112.43,1.1243,0.520412701236325,0,0,21,14,18,0.5130622641509434,0.46981509433962254,4.316037735849059,-0.2688679245283021,0.1999999999999999,3.394339622641509,3.035849056603773
tokyo_first120__h4_bias_h1_rev__be_1_1r,2025,52,18,0.34615384615384615,-96.12000000000005,561.4099999999999,-657.5299999999999,0.8538165558985902,-4.2433,-0.08160192307692307,0.8465419222312233,265.45000000000005,2.6545000000000005,-0.36210209078922595,13,3,26,14,9,0.759246153846154,0.8531307692307695,4.281730769230771,-0.27980769230769253,0.1999999999999999,3.480769230769231,3.392307692307692
tokyo_first120__h4_bias_h1_rev__no_be,2025,52,18,0.34615384615384615,-160.33000000000007,554.5899999999999,-714.9199999999998,0.7757371454148716,-6.773699999999999,-0.13026346153846152,0.7755685583269278,278.63000000000005,2.7863000000000007,-0.5754226034526075,0,0,28,14,10,0.4501519230769231,0.5804153846153846,4.281730769230771,-0.27980769230769253,0.1999999999999999,3.480769230769231,3.392307692307692
tokyo_first120__soft__be_1_1r,2025,181,73,0.40331491712707185,-325.38999999999993,1854.8799999999999,-2180.2700000000004,0.8507570163328393,-13.603399999999993,-0.07515690607734803,0.8494742875606099,595.6299999999999,5.956299999999999,-0.5462955190302705,45,6,82,38,55,0.822153038674033,0.8142784530386739,4.39171270718231,-0.27513812154696077,0.19999999999999987,4.0497237569060776,3.556906077348068
tokyo_first120__soft__no_be,2025,181,74,0.4088397790055249,-408.48,1857.7799999999997,-2266.26,0.8197558973815888,-17.250799999999998,-0.09530828729281766,0.8172577002444924,669.8,6.6979999999999995,-0.6098536876679607,0,0,86,38,57,0.4262364640883978,0.5215447513812157,4.39171270718231,-0.27513812154696077,0.19999999999999987,4.0497237569060776,3.556906077348068
