run_id,rejected_before_selection_reason,session_label,symbol,rows
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,london,EURUSD,134
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,london,GBPJPY,138
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,london,GBPUSD,187
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,london,USDJPY,124
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,london_newyork_overlap,AUDJPY,183
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,london_newyork_overlap,EURJPY,155
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,london_newyork_overlap,EURUSD,175
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,london_newyork_overlap,GBPJPY,164
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,london_newyork_overlap,GBPUSD,154
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,london_newyork_overlap,USDJPY,190
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,new_york,AUDJPY,148
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,new_york,EURJPY,151
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,new_york,EURUSD,175
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,new_york,GBPJPY,172
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,new_york,GBPUSD,173
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,new_york,USDJPY,208
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,tokyo,AUDJPY,122
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,tokyo,EURJPY,105
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,tokyo,GBPJPY,83
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,tokyo,USDJPY,99
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,london,AUDJPY,44
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,london,EURJPY,30
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,london,EURUSD,37
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,london,GBPJPY,25
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,london,GBPUSD,45
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,london,USDJPY,20
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,london_newyork_overlap,AUDJPY,54
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,london_newyork_overlap,EURJPY,34
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,london_newyork_overlap,EURUSD,16
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,london_newyork_overlap,GBPJPY,38
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,london_newyork_overlap,GBPUSD,23
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,london_newyork_overlap,USDJPY,8
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,new_york,AUDJPY,48
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,new_york,EURJPY,31
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,new_york,EURUSD,24
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,new_york,GBPJPY,28
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,new_york,GBPUSD,16
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,new_york,USDJPY,19
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,tokyo,AUDJPY,44
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,tokyo,EURJPY,38
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,tokyo,GBPJPY,23
clean_first120__h1_h4_notopp__be_1_1r,spread_too_high,tokyo,USDJPY,14
clean_first120__h1_h4_notopp__be_1_1r,symbol_already_open,london_newyork_overlap,USDJPY,1
clean_first120__h1_h4_notopp__be_1_1r,symbol_already_open,new_york,GBPUSD,3
clean_first120__h1_h4_notopp__be_1_1r,symbol_already_open,new_york,USDJPY,1
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,london,AUDJPY,9
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,london,EURJPY,14
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,london,EURUSD,7
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,london,GBPJPY,15
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,london,GBPUSD,5
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,london,USDJPY,14
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,london_newyork_overlap,EURJPY,5
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,london_newyork_overlap,EURUSD,10
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,london_newyork_overlap,GBPJPY,16
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,london_newyork_overlap,GBPUSD,16
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,london_newyork_overlap,USDJPY,7
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,new_york,AUDJPY,4
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,new_york,EURJPY,3
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,new_york,EURUSD,5
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,new_york,GBPJPY,5
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,new_york,GBPUSD,5
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,new_york,USDJPY,9
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,tokyo,AUDJPY,13
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,tokyo,EURJPY,9
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,tokyo,GBPJPY,3
clean_first120__h1_h4_notopp__no_be,htf_resistance_blocked,tokyo,USDJPY,6
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,london,AUDJPY,11
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,london,EURJPY,19
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,london,EURUSD,10
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,london,GBPJPY,24
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,london,GBPUSD,30
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,london,USDJPY,14
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,london_newyork_overlap,AUDJPY,15
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,london_newyork_overlap,EURJPY,9
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,london_newyork_overlap,EURUSD,13
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,london_newyork_overlap,GBPJPY,8
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,london_newyork_overlap,GBPUSD,8
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,london_newyork_overlap,USDJPY,11
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,new_york,AUDJPY,12
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,new_york,EURJPY,4
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,new_york,EURUSD,18
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,new_york,GBPJPY,7
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,new_york,GBPUSD,8
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,new_york,USDJPY,12
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,tokyo,AUDJPY,14
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,tokyo,EURJPY,3
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,tokyo,GBPJPY,7
clean_first120__h1_h4_notopp__no_be,htf_support_blocked,tokyo,USDJPY,9
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,london,AUDJPY,5
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,london,EURJPY,2
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,london,EURUSD,1
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,london,GBPJPY,2
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,london,GBPUSD,1
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,london,USDJPY,1
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,london_newyork_overlap,AUDJPY,8
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,london_newyork_overlap,EURJPY,5
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,london_newyork_overlap,EURUSD,3
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,london_newyork_overlap,GBPJPY,5
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,london_newyork_overlap,GBPUSD,7
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,london_newyork_overlap,USDJPY,3
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,new_york,AUDJPY,8
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,new_york,EURJPY,15
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,new_york,EURUSD,8
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,new_york,GBPJPY,7
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,new_york,GBPUSD,12
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,new_york,USDJPY,5
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,tokyo,AUDJPY,2
clean_first120__h1_h4_notopp__no_be,obstacle_before_target,tokyo,GBPJPY,1
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,london,AUDJPY,74
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,london,EURJPY,72
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,london,EURUSD,82
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,london,GBPJPY,68
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,london,GBPUSD,110
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,london,USDJPY,74
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,london_newyork_overlap,AUDJPY,26
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,london_newyork_overlap,EURJPY,54
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,london_newyork_overlap,EURUSD,77
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,london_newyork_overlap,GBPJPY,61
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,london_newyork_overlap,GBPUSD,96
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,london_newyork_overlap,USDJPY,54
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,new_york,AUDJPY,43
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,new_york,EURJPY,52
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,new_york,EURUSD,45
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,new_york,GBPJPY,43
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,new_york,GBPUSD,44
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,new_york,USDJPY,44
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,tokyo,AUDJPY,53
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,tokyo,EURJPY,56
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,tokyo,GBPJPY,57
clean_first120__h1_h4_notopp__no_be,previous_day_level_blocked,tokyo,USDJPY,79
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,london,AUDJPY,43
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,london,EURJPY,38
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,london,EURUSD,33
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,london,GBPJPY,41
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,london,GBPUSD,51
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,london,USDJPY,37
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,london_newyork_overlap,AUDJPY,20
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,london_newyork_overlap,EURJPY,27
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,london_newyork_overlap,EURUSD,43
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,london_newyork_overlap,GBPJPY,50
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,london_newyork_overlap,GBPUSD,43
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,london_newyork_overlap,USDJPY,30
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,new_york,AUDJPY,33
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,new_york,EURJPY,27
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,new_york,EURUSD,24
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,new_york,GBPJPY,26
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,new_york,GBPUSD,37
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,new_york,USDJPY,42
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,tokyo,AUDJPY,22
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,tokyo,EURJPY,19
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,tokyo,GBPJPY,19
clean_first120__h1_h4_notopp__no_be,previous_week_level_blocked,tokyo,USDJPY,17
clean_first120__h1_h4_notopp__no_be,session_invalidated,london,EURJPY,3
clean_first120__h1_h4_notopp__no_be,session_invalidated,london,EURUSD,5
clean_first120__h1_h4_notopp__no_be,session_invalidated,london,GBPJPY,3
clean_first120__h1_h4_notopp__no_be,session_invalidated,london,GBPUSD,2
clean_first120__h1_h4_notopp__no_be,session_invalidated,london,USDJPY,6
clean_first120__h1_h4_notopp__no_be,session_invalidated,london_newyork_overlap,AUDJPY,3
clean_first120__h1_h4_notopp__no_be,session_invalidated,london_newyork_overlap,EURJPY,2
clean_first120__h1_h4_notopp__no_be,session_invalidated,london_newyork_overlap,EURUSD,4
clean_first120__h1_h4_notopp__no_be,session_invalidated,london_newyork_overlap,GBPJPY,5
clean_first120__h1_h4_notopp__no_be,session_invalidated,london_newyork_overlap,GBPUSD,5
clean_first120__h1_h4_notopp__no_be,session_invalidated,london_newyork_overlap,USDJPY,12
clean_first120__h1_h4_notopp__no_be,session_invalidated,new_york,EURJPY,1
clean_first120__h1_h4_notopp__no_be,session_invalidated,new_york,EURUSD,5
clean_first120__h1_h4_notopp__no_be,session_invalidated,new_york,USDJPY,4
clean_first120__h1_h4_notopp__no_be,session_invalidated,tokyo,USDJPY,9
clean_first120__h1_h4_notopp__no_be,session_level_blocked,london,AUDJPY,141
clean_first120__h1_h4_notopp__no_be,session_level_blocked,london,EURJPY,143
clean_first120__h1_h4_notopp__no_be,session_level_blocked,london,EURUSD,134
clean_first120__h1_h4_notopp__no_be,session_level_blocked,london,GBPJPY,138
clean_first120__h1_h4_notopp__no_be,session_level_blocked,london,GBPUSD,187
clean_first120__h1_h4_notopp__no_be,session_level_blocked,london,USDJPY,124
clean_first120__h1_h4_notopp__no_be,session_level_blocked,london_newyork_overlap,AUDJPY,183
clean_first120__h1_h4_notopp__no_be,session_level_blocked,london_newyork_overlap,EURJPY,155
clean_first120__h1_h4_notopp__no_be,session_level_blocked,london_newyork_overlap,EURUSD,175
clean_first120__h1_h4_notopp__no_be,session_level_blocked,london_newyork_overlap,GBPJPY,164
clean_first120__h1_h4_notopp__no_be,session_level_blocked,london_newyork_overlap,GBPUSD,154
clean_first120__h1_h4_notopp__no_be,session_level_blocked,london_newyork_overlap,USDJPY,190
clean_first120__h1_h4_notopp__no_be,session_level_blocked,new_york,AUDJPY,148
clean_first120__h1_h4_notopp__no_be,session_level_blocked,new_york,EURJPY,151
clean_first120__h1_h4_notopp__no_be,session_level_blocked,new_york,EURUSD,175
clean_first120__h1_h4_notopp__no_be,session_level_blocked,new_york,GBPJPY,172
clean_first120__h1_h4_notopp__no_be,session_level_blocked,new_york,GBPUSD,173
clean_first120__h1_h4_notopp__no_be,session_level_blocked,new_york,USDJPY,208
clean_first120__h1_h4_notopp__no_be,session_level_blocked,tokyo,AUDJPY,122
