run_id,event,htf_permission_mode,rejected_before_selection_reason,rows
tokyo_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,spread_too_high,859
tokyo_first120__h4_bias_h1_rev__be_1_1r,signal,h4_bias_h1_reversal_pre_filter,none,52
tokyo_first120__h4_bias_h1_rev__no_be,order_sent,h4_bias_h1_reversal_pre_filter,none,52
tokyo_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,session_invalidated,91
tokyo_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,spread_too_high,859
tokyo_first120__h4_bias_h1_rev__no_be,signal,h4_bias_h1_reversal_pre_filter,none,52
tokyo_first120__soft__be_1_1r,order_sent,soft_pre_filter,none,181
tokyo_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,session_invalidated,288
tokyo_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,spread_too_high,2964
tokyo_first120__soft__be_1_1r,signal,soft_pre_filter,none,181
tokyo_first120__soft__no_be,order_sent,soft_pre_filter,none,181
tokyo_first120__soft__no_be,preselection_rejected,soft_pre_filter,session_invalidated,288
tokyo_first120__soft__no_be,preselection_rejected,soft_pre_filter,spread_too_high,2964
tokyo_first120__soft__no_be,signal,soft_pre_filter,none,181
