checkpoint_seconds,feature,mean_abs_shap,status
15,num__path_expansion_ratio,0.024240964985289146,DESCRIPTIVE_ONLY
15,num__decision_spread_atr,1.4946563684625633,DESCRIPTIVE_ONLY
15,num__spread_vs_t0_ratio,0.0234886980940566,DESCRIPTIVE_ONLY
15,num__spread_vs_postshock_mean,0.01719298607367612,DESCRIPTIVE_ONLY
15,num__spread_contraction_from_t0,0.03175546769724539,DESCRIPTIVE_ONLY
15,num__tick_count_postshock,0.030165857719815527,DESCRIPTIVE_ONLY
15,num__tick_rate_recent_5s,0.010305718649471727,DESCRIPTIVE_ONLY
15,num__tick_rate_recent_10s,0.016830460331929597,DESCRIPTIVE_ONLY
15,num__tick_activity_vs_t0,0.10642081982362347,DESCRIPTIVE_ONLY
15,num__activity_decay,0.042737727852417834,DESCRIPTIVE_ONLY
15,num__activity_acceleration,0.009910813519271235,DESCRIPTIVE_ONLY
15,num__checkpoint_quote_lag_ms,0.02222267552315862,DESCRIPTIVE_ONLY
15,num__spread_atr_t0,0.5206957927002842,DESCRIPTIVE_ONLY
15,num__tick_activity_ratio,0.012409392660108489,DESCRIPTIVE_ONLY
15,num__atr14_m5,0.09672667928189438,DESCRIPTIVE_ONLY
15,num__pre_return_5m_dir_atr_action,0.10340973507457767,DESCRIPTIVE_ONLY
15,num__m5_ema20_slope_dir_atr_action,0.03299453084652613,DESCRIPTIVE_ONLY
15,num__m15_alignment_dir_action,0.011855122359723193,DESCRIPTIVE_ONLY
15,num__pre_extension_15m_dir_atr_action,0.07494042050409101,DESCRIPTIVE_ONLY
15,num__day_range_position_dir_action,0.055560250139475215,DESCRIPTIVE_ONLY
15,num__detection_efficiency,0.0013288615603784233,DESCRIPTIVE_ONLY
15,num__severity,0.03323377740360553,DESCRIPTIVE_ONLY
15,num__confirmation_retention_action,0.07442960112270801,DESCRIPTIVE_ONLY
15,num__spread_efficiency_interaction,0.07839464113233162,DESCRIPTIVE_ONLY
15,num__flow_efficiency_interaction,0.06282587879710301,DESCRIPTIVE_ONLY
15,cat__action_CONTINUATION,0.0,DESCRIPTIVE_ONLY
15,cat__action_REVERSAL,0.0,DESCRIPTIVE_ONLY
15,cat__shock_direction_LONG,0.006066073593483542,DESCRIPTIVE_ONLY
15,cat__shock_direction_SHORT,0.0,DESCRIPTIVE_ONLY
