episode_id,checkpoint_seconds,market_cluster_id,symbol,session,week,fold,path_class,continuation_r,reversal_r,oracle_r,remaining_mfe,consumed_move
ts15n_delayed_decision_r2_202503_AUDUSD_mh_118,15,3458,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.154125565594
ts15n_delayed_decision_r2_202503_AUDUSD_mh_118,30,3458,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.196159810756
ts15n_delayed_decision_r2_202503_AUDUSD_mh_118,60,3458,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.342223357607
ts15n_delayed_decision_r2_202503_AUDUSD_mh_119,15,3475,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.099085990224
ts15n_delayed_decision_r2_202503_AUDUSD_mh_119,60,3475,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.311413112133
ts15n_delayed_decision_r2_202503_AUDUSD_mh_119,120,3475,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.463578935
ts15n_delayed_decision_r2_202503_AUDUSD_mh_120,30,3493,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.276519894358
ts15n_delayed_decision_r2_202503_AUDUSD_mh_120,120,3493,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.582147146017
ts15n_delayed_decision_r2_202503_AUDUSD_mh_121,15,3506,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.1862455274
ts15n_delayed_decision_r2_202503_AUDUSD_mh_121,30,3506,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.23280690925
ts15n_delayed_decision_r2_202503_AUDUSD_mh_121,60,3506,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.341450133566
ts15n_delayed_decision_r2_202503_AUDUSD_mh_121,120,3506,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.310409212333
ts15n_delayed_decision_r2_202503_AUDUSD_mh_122,15,3513,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.59643558705
ts15n_delayed_decision_r2_202503_AUDUSD_mh_122,30,3513,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,1.608568704469
ts15n_delayed_decision_r2_202503_AUDUSD_mh_122,60,3513,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,1.867149728581
ts15n_delayed_decision_r2_202503_AUDUSD_mh_123,30,3556,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.206279019623
ts15n_delayed_decision_r2_202503_AUDUSD_mh_123,60,3556,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.095205701364
ts15n_delayed_decision_r2_202503_AUDUSD_mh_124,15,3561,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.109860702736
ts15n_delayed_decision_r2_202503_AUDUSD_mh_124,30,3561,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.062777544421
ts15n_delayed_decision_r2_202503_AUDUSD_mh_124,60,3561,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.03138877221
ts15n_delayed_decision_r2_202503_AUDUSD_mh_125,15,3580,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.015756635118
ts15n_delayed_decision_r2_202503_AUDUSD_mh_125,30,3580,AUDUSD,OVERLAP,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.393915877938
