checkpoint_seconds,feature,importance_gain
60,num__activity_acceleration,86.74328088760376
60,num__checkpoint_quote_lag_ms,685.4357392191887
60,num__spread_atr_t0,6343.119754433632
60,num__tick_activity_ratio,33.36534023284912
60,num__atr14_m5,4159.8186292648315
60,num__pre_return_5m_dir_atr_action,870.017406463623
60,num__m5_ema20_slope_dir_atr_action,717.0970983505249
60,num__m15_alignment_dir_action,292.35386896133423
60,num__pre_extension_15m_dir_atr_action,1125.9961094856262
60,num__day_range_position_dir_action,620.4237757921219
60,num__detection_efficiency,7.121240139007568
60,num__severity,707.562043428421
60,num__confirmation_retention_action,539.2835111618042
60,num__spread_efficiency_interaction,678.2527856826782
60,num__flow_efficiency_interaction,341.9122908115387
60,cat__action_CONTINUATION,0.0
60,cat__action_REVERSAL,0.0
60,cat__shock_direction_LONG,8.767080307006836
60,cat__shock_direction_SHORT,0.0
30,num__postshock_return_atr_action,419.6022713780403
30,num__postshock_mfe_to_decision_atr,459.48679876327515
30,num__postshock_mae_to_decision_atr,143.26645076274872
30,num__postshock_range_atr,236.76247906684875
30,num__retracement_from_peak_pct,497.0302414894104
30,num__retracement_from_trough_pct,178.77105981111526
30,num__current_location_in_postshock_range,34.93720006942749
30,num__new_extreme_count,294.3186779022217
30,num__origin_recross_count,276.52611923217773
30,num__time_since_last_extreme_ms,427.70812010765076
30,num__distance_from_last_extreme_atr,330.1899546086788
30,num__net_move_over_path_length,287.1233594417572
30,num__shock_direction_tick_ratio,237.55079054832458
30,num__direction_consistency,76.3056800365448
30,num__realized_abs_move_atr,255.6869695186615
30,num__realized_volatility,409.0720589160919
30,num__recent_5s_acceleration_action,603.5910373181105
30,num__recent_10s_acceleration_action,668.8253127634525
30,num__peak_update_interval_ms,746.3478116989136
30,num__extreme_update_rate,372.0554804801941
30,num__path_contraction_ratio,855.6187891960144
30,num__path_expansion_ratio,407.3942105770111
30,num__decision_spread_atr,13269.246058613062
30,num__spread_vs_t0_ratio,309.0161895751953
30,num__spread_vs_postshock_mean,243.85441207885742
30,num__spread_contraction_from_t0,365.18690161406994
30,num__tick_count_postshock,230.71664023399353
30,num__tick_rate_recent_5s,110.24401116371155
30,num__tick_rate_recent_10s,235.06236743927002
30,num__tick_activity_vs_t0,366.1912450790405
30,num__activity_decay,512.3643817305565
30,num__activity_acceleration,183.44173109531403
30,num__checkpoint_quote_lag_ms,430.56700210273266
30,num__spread_atr_t0,10560.115072250366
30,num__tick_activity_ratio,1.2775499820709229
30,num__atr14_m5,5740.6489062309265
30,num__pre_return_5m_dir_atr_action,371.9223668575287
30,num__m5_ema20_slope_dir_atr_action,695.7716882228851
30,num__m15_alignment_dir_action,29.248190879821777
30,num__pre_extension_15m_dir_atr_action,676.0195754095912
30,num__day_range_position_dir_action,408.9405100941658
30,num__detection_efficiency,63.05868053436279
30,num__severity,147.57382988929749
30,num__confirmation_retention_action,600.3526233434677
30,num__spread_efficiency_interaction,641.965871155262
30,num__flow_efficiency_interaction,563.5861150920391
30,cat__action_CONTINUATION,179.290620803833
30,cat__action_REVERSAL,6.910900115966797
30,cat__shock_direction_LONG,27.577449798583984
30,cat__shock_direction_SHORT,11.1766996383667
15,num__postshock_return_atr_action,633.71829611063
15,num__postshock_mfe_to_decision_atr,322.1935381889343
15,num__postshock_mae_to_decision_atr,494.4454598426819
15,num__postshock_range_atr,145.46797108650208
15,num__retracement_from_peak_pct,269.4081516265869
15,num__retracement_from_trough_pct,178.6476775407791
15,num__current_location_in_postshock_range,62.53308057785034
15,num__new_extreme_count,99.18020057678223
15,num__origin_recross_count,118.17959117889404
15,num__time_since_last_extreme_ms,425.4903316497803
15,num__distance_from_last_extreme_atr,402.9314308166504
15,num__net_move_over_path_length,682.7367212772369
15,num__shock_direction_tick_ratio,388.742666721344
15,num__direction_consistency,183.48195898532867
15,num__realized_abs_move_atr,346.03959523141384
15,num__realized_volatility,211.69659757614136
15,num__recent_5s_acceleration_action,798.7246150374413
15,num__recent_10s_acceleration_action,1569.142612695694
15,num__peak_update_interval_ms,962.5639481544495
15,num__extreme_update_rate,375.0727614760399
15,num__path_contraction_ratio,658.9057936668396
15,num__path_expansion_ratio,336.58274936676025
15,num__decision_spread_atr,20658.18320055306
15,num__spread_vs_t0_ratio,344.1007372736931
15,num__spread_vs_postshock_mean,362.5819282531738
15,num__spread_contraction_from_t0,282.7607090473175
15,num__tick_count_postshock,287.0063645839691
15,num__tick_rate_recent_5s,69.38476848602295
15,num__tick_rate_recent_10s,247.14817428588867
15,num__tick_activity_vs_t0,768.621976852417
15,num__activity_decay,242.26752066612244
15,num__activity_acceleration,83.64288020133972
15,num__checkpoint_quote_lag_ms,417.73591935634613
15,num__spread_atr_t0,5778.806329250336
15,num__tick_activity_ratio,58.85803031921387
15,num__atr14_m5,1187.5292137861252
15,num__pre_return_5m_dir_atr_action,840.4156966209412
15,num__m5_ema20_slope_dir_atr_action,429.5156481266022
15,num__m15_alignment_dir_action,48.69109010696411
15,num__pre_extension_15m_dir_atr_action,613.1097190380096
15,num__day_range_position_dir_action,768.4084768295288
15,num__detection_efficiency,6.606289863586426
15,num__severity,384.27722907066345
15,num__confirmation_retention_action,876.5251975879073
15,num__spread_efficiency_interaction,730.488617181778
15,num__flow_efficiency_interaction,539.4765216112137
15,cat__action_CONTINUATION,0.0
15,cat__action_REVERSAL,0.0
15,cat__shock_direction_LONG,11.8017897605896
15,cat__shock_direction_SHORT,0.0
