period_id,variant,anchor_flip_entry_bucket,m15_bias_flip_direction,m15_bias_flip_age_bucket2,anchor_flip_pullback_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,anchor_pullback_diag,anchor_flip_entry_direction,SHORT,fresh_0_4,flip_without_true_pullback,14,5,0.35714285714285715,-21.229999999999997,120.45,-141.68,0.8501552795031055,-1.0603,-0.07573571428571428,0.8333830947404811,113.53999999999999,1.1354,-0.18698256121190768,3,0.21428571428571427,4,0.2857142857142857,7,0.5,0.8080857142857143,0.6704928571428572,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.21428571428571427,0.0,USDJPY:10|AUDJPY:3|GBPUSD:1,SHORT:14,new_york:5|london:4|london_newyork_overlap:4|tokyo:1
full2025_validation,anchor_pullback_diag,anchor_flip_entry_direction,SHORT,fresh_0_4,true_post_anchor_pullback,15,1,0.06666666666666667,-144.33,21.34,-165.67000000000004,0.1288102855073338,-6.4489,-0.4299266666666667,0.1306299626578951,144.33,1.4433000000000002,-1.0,1,0.06666666666666667,0,0.0,14,0.9333333333333333,0.3260199999999999,0.5796266666666666,0.2,0.06666666666666667,0.06666666666666667,0.0,0.0,USDJPY:9|EURUSD:3|AUDJPY:1|EURJPY:1|GBPJPY:1,SHORT:15,london_newyork_overlap:6|london:5|tokyo:3|new_york:1
full2025_validation,anchor_pullback_diag,anchor_flip_entry_direction,SHORT,normal_5_12,flip_without_true_pullback,8,3,0.375,-16.979999999999997,62.05,-79.03,0.7851448816904972,-0.7172000000000001,-0.08965000000000001,0.7892695539754364,46.66,0.4666,-0.3639091298756965,1,0.125,2,0.25,5,0.625,0.6955625,0.5620875,0.625,0.375,0.375,0.25,0.0,USDJPY:6|EURJPY:1|GBPJPY:1,SHORT:8,london_newyork_overlap:5|london:3
full2025_validation,anchor_pullback_diag,anchor_flip_entry_direction,SHORT,normal_5_12,true_post_anchor_pullback,2,1,0.5,25.529999999999998,28.83,-3.3,8.736363636363636,1.1675,0.58375,9.405327573794096,3.3,0.033,7.736363636363636,0,0.0,1,0.5,1,0.5,1.1509,0.41325,1.0,1.0,0.5,0.5,0.0,EURJPY:1|USDJPY:1,SHORT:2,london:1|tokyo:1
full2025_validation,anchor_pullback_diag,no_anchor_flip_entry,LONG,fresh_0_4,no_flip,4,1,0.25,-58.81999999999999,1.6,-60.42,0.026481297583581597,-2.6715,-0.667875,0.029392530155500658,60.419999999999995,0.6042,-0.9735187024164184,1,0.25,0,0.0,3,0.75,0.8437,0.727725,0.75,0.5,0.5,0.25,0.0,EURUSD:2|GBPJPY:1|USDJPY:1,SHORT:4,london_newyork_overlap:2|london:1|tokyo:1
full2025_validation,anchor_pullback_diag,no_anchor_flip_entry,LONG,normal_5_12,no_flip,3,3,1.0,38.4,38.4,0,inf,1.7456999999999998,0.5819,inf,0.0,0.0,inf,0,0.0,0,0.0,3,1.0,0.7612333333333333,0.39410000000000006,1.0,0.3333333333333333,0.0,0.0,0.0,AUDJPY:1|GBPJPY:1|USDJPY:1,SHORT:3,new_york:3
full2025_validation,anchor_pullback_diag,no_anchor_flip_entry,LONG,old_13_24,no_flip,1,0,0.0,-6.91,0,-6.91,0.0,-0.328,-0.328,0.0,6.91,0.0691,-1.0,0,0.0,0,0.0,1,1.0,0.7778,0.328,1.0,0.0,0.0,0.0,0.0,USDJPY:1,SHORT:1,london_newyork_overlap:1
full2025_validation,anchor_pullback_diag,no_anchor_flip_entry,NONE,none,no_flip,241,58,0.24066390041493776,-822.8400000000004,1277.2299999999996,-2100.07,0.6081844890884587,-35.89819999999996,-0.14895518672199154,0.6135935769358696,864.6900000000003,8.646900000000004,-0.9516011518578914,27,0.11203319502074689,39,0.16182572614107885,175,0.7261410788381742,0.6101195020746886,0.5660049792531121,0.5020746887966805,0.3360995850622407,0.26556016597510373,0.12448132780082988,0.0,USDJPY:141|EURUSD:32|EURJPY:21|GBPUSD:21|GBPJPY:17|AUDJPY:9,SHORT:136|LONG:105,london_newyork_overlap:98|new_york:61|london:52|tokyo:30
full2025_validation,anchor_pullback_diag,no_anchor_flip_entry,SHORT,fresh_0_4,no_flip,9,0,0.0,-81.51,0,-81.51,0.0,-3.6220000000000003,-0.4024444444444445,0.0,81.51,0.8151,-1.0,0,0.0,0,0.0,9,1.0,0.3334333333333333,0.5067888888888888,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,EURJPY:3|GBPJPY:2|USDJPY:2|AUDJPY:1|EURUSD:1,LONG:9,london_newyork_overlap:4|london:2|new_york:2|tokyo:1
full2025_validation,anchor_pullback_diag,no_anchor_flip_entry,SHORT,normal_5_12,no_flip,4,1,0.25,3.1900000000000013,29.52,-26.33,1.1211545765286746,0.1371,0.034275,1.1173901875160546,17.27,0.1727,0.18471337579617841,0,0.0,1,0.25,3,0.75,0.5244000000000001,0.5671250000000001,0.25,0.25,0.25,0.25,0.0,USDJPY:3|GBPUSD:1,LONG:4,london_newyork_overlap:2|london:1|new_york:1
