period_id,variant,m15_wave1_quality_bucket,m15_wave1_quality_high,anchor_aligned_bucket,anchor_flip_entry_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,base,none,false,anchor_not_aligned,no_anchor_flip_entry,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146,USDJPY:184|EURUSD:44|EURJPY:27|GBPUSD:25|GBPJPY:23|AUDJPY:15,SHORT:183|LONG:135,london_newyork_overlap:130|new_york:76|london:72|tokyo:40
full2025_validation,light,none,false,anchor_not_aligned,no_anchor_flip_entry,50,19,0.38,134.29000000000002,528.3600000000001,-394.06999999999994,1.3407770193112905,5.493600000000001,0.10987200000000001,1.340572207929079,123.71,1.2371,1.085522593161426,7,0.14,15,0.3,28,0.56,0.780528,0.5037440000000001,0.64,0.48,0.4,0.24,0.0,USDJPY:31|EURUSD:9|EURJPY:6|GBPJPY:4,SHORT:36|LONG:14,london_newyork_overlap:19|london:13|new_york:11|tokyo:7
full2025_validation,light_or_anchor_pullback,none,false,anchor_aligned,anchor_flip_entry_direction,70,20,0.2857142857142857,-50.640000000000015,481.61999999999995,-532.26,0.9048585277871716,-2.609300000000001,-0.0372757142857143,0.8835845933513878,158.13,1.5813000000000001,-0.32024283817112514,2,0.02857142857142857,13,0.18571428571428572,55,0.7857142857142857,0.5872328571428572,0.49546714285714294,0.4857142857142857,0.2857142857142857,0.21428571428571427,0.17142857142857143,0.0,USDJPY:43|EURUSD:12|EURJPY:5|GBPJPY:5|GBPUSD:3|AUDJPY:2,SHORT:40|LONG:30,london_newyork_overlap:34|london:17|tokyo:15|new_york:4
full2025_validation,light_or_anchor_pullback,none,false,anchor_aligned,no_anchor_flip_entry,11,3,0.2727272727272727,-62.050000000000004,69.93,-131.98,0.52985300803152,-2.5845,-0.23495454545454544,0.5228908990215987,96.26,0.9626000000000001,-0.6446083523789736,3,0.2727272727272727,2,0.18181818181818182,6,0.5454545454545454,0.6703181818181818,0.6855090909090908,0.7272727272727273,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0,USDJPY:8|EURJPY:2|EURUSD:1,SHORT:9|LONG:2,london_newyork_overlap:5|new_york:3|london:2|tokyo:1
full2025_validation,light_or_anchor_pullback,none,false,anchor_not_aligned,no_anchor_flip_entry,26,10,0.38461538461538464,59.650000000000006,257.02,-197.37000000000003,1.3022242488726754,2.680900000000001,0.1031115384615385,1.3243717407349151,133.22,1.3322,0.44775559225341544,3,0.11538461538461539,7,0.2692307692307692,16,0.6153846153846154,0.7528307692307692,0.45593076923076914,0.5769230769230769,0.46153846153846156,0.38461538461538464,0.23076923076923078,0.0,USDJPY:12|EURUSD:7|GBPJPY:4|EURJPY:3,SHORT:18|LONG:8,london_newyork_overlap:8|new_york:8|london:6|tokyo:4
full2025_validation,light_or_anchor_pullback_exhaustion,none,false,anchor_aligned,anchor_flip_entry_direction,42,12,0.2857142857142857,-69.99000000000002,284.84,-354.8299999999999,0.8027506129695912,-3.2145,-0.07653571428571429,0.7834770308500606,166.03,1.6602999999999999,-0.42155032223092226,2,0.047619047619047616,8,0.19047619047619047,32,0.7619047619047619,0.6681261904761906,0.5017952380952382,0.5952380952380952,0.40476190476190477,0.23809523809523808,0.19047619047619047,0.0,USDJPY:23|EURUSD:8|EURJPY:4|GBPJPY:3|AUDJPY:2|GBPUSD:2,SHORT:26|LONG:16,london_newyork_overlap:18|london:12|tokyo:10|new_york:2
full2025_validation,light_or_anchor_pullback_exhaustion,none,false,anchor_aligned,no_anchor_flip_entry,11,3,0.2727272727272727,-62.56999999999999,69.93,-132.5,0.5277735849056604,-2.5845,-0.23495454545454544,0.5228908990215987,96.78,0.9678000000000001,-0.646517875594131,3,0.2727272727272727,2,0.18181818181818182,6,0.5454545454545454,0.6703181818181818,0.6855090909090908,0.7272727272727273,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0,USDJPY:8|EURJPY:2|EURUSD:1,SHORT:9|LONG:2,london_newyork_overlap:5|new_york:3|london:2|tokyo:1
full2025_validation,light_or_anchor_pullback_exhaustion,none,false,anchor_not_aligned,no_anchor_flip_entry,27,10,0.37037037037037035,53.66999999999997,258.7,-205.03,1.2617665707457444,2.361900000000001,0.08747777777777782,1.2751546499842727,133.48000000000002,1.3348000000000002,0.40208270902007764,3,0.1111111111111111,7,0.25925925925925924,17,0.6296296296296297,0.7407518518518518,0.45261481481481475,0.5555555555555556,0.4444444444444444,0.37037037037037035,0.2222222222222222,0.0,USDJPY:13|EURUSD:7|GBPJPY:4|EURJPY:3,SHORT:18|LONG:9,london_newyork_overlap:9|new_york:8|london:6|tokyo:4
full2025_validation,light_or_anchor_pullback_m5pattern,none,false,anchor_aligned,anchor_flip_entry_direction,67,19,0.2835820895522388,-32.43000000000001,474.73999999999995,-507.16999999999996,0.9360569434311966,-1.7036000000000002,-0.025426865671641794,0.9201518595767618,148.89000000000001,1.4889000000000001,-0.21781180737457184,2,0.029850746268656716,13,0.19402985074626866,52,0.7761194029850746,0.5863074626865673,0.49279104477611946,0.47761194029850745,0.26865671641791045,0.22388059701492538,0.1791044776119403,0.0,USDJPY:41|EURUSD:12|GBPJPY:5|EURJPY:4|GBPUSD:3|AUDJPY:2,SHORT:37|LONG:30,london_newyork_overlap:33|london:16|tokyo:14|new_york:4
full2025_validation,light_or_anchor_pullback_m5pattern,none,false,anchor_aligned,no_anchor_flip_entry,11,3,0.2727272727272727,-61.35,69.93,-131.28,0.5326782449725778,-2.5845,-0.23495454545454544,0.5228908990215987,95.56,0.9556,-0.642005023022185,3,0.2727272727272727,2,0.18181818181818182,6,0.5454545454545454,0.6703181818181818,0.6855090909090908,0.7272727272727273,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0,USDJPY:8|EURJPY:2|EURUSD:1,SHORT:9|LONG:2,london_newyork_overlap:5|new_york:3|london:2|tokyo:1
