comparison,feature,left_n,right_n,left_mean,right_mean,left_median,right_median,standardized_difference,p_value
REV_SUCCESS_VS_FAIL,f22,615,9375,1.0191732454439772,1.0402315488539702,0.812984661706,0.873716112524,-0.0258868293301098,0.3040248554812567
REV_SUCCESS_VS_FAIL,f23,615,9375,0.3951248620718959,0.3680543049466599,0.126715701524,0.141119776446,0.0296697327284722,0.1132859478487818
REV_SUCCESS_VS_FAIL,f24,615,9375,0.5935213414634146,0.59587,0.640625,0.640625,-0.0074841353893061,0.8322850576518535
REV_SUCCESS_VS_FAIL,f25,615,9375,0.01293881300813,0.0058594186666666,0.017,0.00026,0.832017315261337,3.585218077806531e-42
REV_SUCCESS_VS_FAIL,f26,615,9375,0.5066549367174292,1.113733373059802,0.441752243235,0.94782471006,-0.9884635227026136,5.137484130929661e-159
REV_SUCCESS_VS_FAIL,f27,615,9375,0.8620043944739886,1.742878317142619,0.700881771999,1.463197593845,-0.7870207005747918,4.5456343349050056e-128
REV_SUCCESS_VS_FAIL,f28,615,9375,141.44227642276422,97.33002666666668,141.0,89.0,0.9453633875156116,1.1000844504899908e-97
REV_SUCCESS_VS_FAIL,f29,615,9375,337.47317073170734,342.2208,248.0,249.0,-0.0181186613936362,0.6395693668453525
REV_SUCCESS_VS_FAIL,f30,615,9375,1.4780487804878049,1.39744,1.0,1.0,0.1494347411410632,2.043967117334332e-05
REV_SUCCESS_VS_FAIL,f31,615,9375,0.4093395336915674,0.2394078251646501,0.190476190476,0.1,0.2990995467687432,9.219389497718605e-23
REV_SUCCESS_VS_FAIL,f32,615,9375,250.0,250.0,250.0,250.0,,1.0
REV_SUCCESS_VS_FAIL,f33,615,9375,4.099186991869919,2.074453333333333,1.0,0.0,0.2336608369149416,2.235804559539253e-19
REV_SUCCESS_VS_FAIL,f34,615,9375,0.2485532711617593,0.2136217627193495,0.0,0.0,0.0606169275390918,0.1254096359300293
REV_SUCCESS_VS_FAIL,f35,615,9375,0.8829268292682927,0.85984,1.0,1.0,0.0689753327964035,0.1086252909819099
REV_SUCCESS_VS_FAIL,f36,615,9375,0.2682926829268293,0.19808,1.0,1.0,0.0722316542508259,0.0843517986079369
CONT_ONLY_VS_REV_ONLY,f01,696,615,0.1052463849527485,-0.1001067652002731,0.091882398997,-0.075182517715,0.1004040426702432,0.2458125849786617
CONT_ONLY_VS_REV_ONLY,f02,696,615,0.0265532990903031,-0.2551443393822927,-0.139930890041,-0.233550327493,0.1018986025118563,0.2140203368527424
