entry_time,exit_time,strategy,symbol,direction,base_currency,quote_currency,base_strength,quote_strength,strength_diff,strength_rank_base,strength_rank_quote,pair_momentum_h1,pair_momentum_h4,strength_alignment,pair_alignment,entry_type,pullback_depth_atr,overextended_flag,room_to_1r,room_to_2r,failure_type,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,exit_reason,position_id
2025.01.07 20:00:00,2025.01.07 22:36:07,currency_strength_momentum_room_to_2r,EURJPY,SHORT,EUR,JPY,-2.44113,1.05939,-3.50052,5,2,-2.57076,-0.06464,true,true,strength_momentum,0.9463,false,9.5333,9.5333,other,163.47300000,163.23500000,163.66800000,163.23900000,0.19500000,1.2205,28.67,0.00,0.00,28.67,0.190,1.200,10,0.19528571,30.00,4.941,DEAL_REASON_TP,70
2025.01.07 18:00:00,2025.01.07 23:00:00,currency_strength_momentum_room_to_2r,GBPUSD,SHORT,GBP,USD,-0.07621,2.51545,-2.59166,3,1,-2.78835,0.19410,true,true,strength_momentum,1.6046,false,7.3691,7.3691,other,1.24968000,1.24814000,1.25117000,1.24790000,0.00149000,1.0336,24.64,0.00,0.00,24.64,0.160,1.200,20,0.00148571,20.00,3.811,DEAL_REASON_EXPERT,62
2025.01.07 20:00:00,2025.01.07 23:43:50,currency_strength_momentum_room_to_2r,GBPJPY,SHORT,GBP,JPY,-2.17717,1.05939,-3.23655,4,2,-2.30508,0.05337,true,true,strength_momentum,0.6345,false,9.3333,9.3333,no_follow_through,197.10600000,197.34700000,197.34000000,196.82600000,0.23400000,-1.0299,-24.45,0.00,0.00,-24.45,0.160,1.200,14,0.23357143,38.00,4.581,DEAL_REASON_SL,71
2025.01.07 21:00:00,2025.01.08 02:00:00,currency_strength_momentum_room_to_2r,EURUSD,SHORT,EUR,USD,-2.91376,2.30679,-5.22056,5,1,-3.85821,-0.52464,true,true,strength_momentum,0.7566,true,5.0000,5.0000,other,1.03536000,1.03426000,1.03660000,1.03388000,0.00124000,0.8871,20.90,0.00,0.52,21.42,0.190,1.200,20,0.00123714,18.00,6.559,DEAL_REASON_EXPERT,73
2025.01.08 03:00:00,2025.01.08 03:07:12,currency_strength_momentum_room_to_2r,USDJPY,LONG,USD,JPY,2.16369,-0.45874,2.62243,1,3,1.38468,0.76163,true,true,strength_momentum,0.5830,false,2.1743,2.1743,no_follow_through,158.18100000,158.07200000,158.07200000,158.31200000,0.10900000,-1.0000,-24.13,0.00,0.00,-24.13,0.350,1.200,0,0.10892857,19.00,3.271,DEAL_REASON_SL,78
2025.01.08 06:15:00,2025.01.08 07:30:09,currency_strength_momentum_room_to_2r,USDJPY,LONG,USD,JPY,1.26070,0.11224,1.14846,1,2,1.56576,-0.48605,true,true,strength_momentum,0.9112,false,2.4222,2.4222,no_follow_through,158.20000000,158.10400000,158.11000000,158.30800000,0.09000000,-1.0667,-25.50,0.00,0.00,-25.50,0.420,1.200,5,0.09021429,17.00,1.585,DEAL_REASON_SL,80
2025.01.08 12:00:00,2025.01.08 12:31:28,currency_strength_momentum_room_to_2r,USDJPY,LONG,USD,JPY,4.40712,1.05627,3.35085,1,2,1.26555,1.07115,true,true,strength_momentum,0.1026,false,2.2685,2.2685,other,158.17300000,158.30700000,158.06500000,158.30300000,0.10800000,1.2407,29.63,0.00,0.00,29.63,0.350,1.200,2,0.10821429,18.00,4.060,DEAL_REASON_TP,84
2025.01.08 11:45:00,2025.01.08 12:31:29,currency_strength_momentum_room_to_2r,GBPJPY,SHORT,GBP,JPY,-3.23578,0.98495,-4.22074,5,2,-2.23946,-0.48632,true,true,strength_momentum,0.1862,false,5.7173,5.7173,no_follow_through,196.92800000,197.12100000,197.11900000,196.69900000,0.19100000,-1.0105,-24.38,0.00,0.00,-24.38,0.200,1.200,3,0.19121429,38.00,5.321,DEAL_REASON_SL,83
2025.01.08 13:15:00,2025.01.08 13:20:30,currency_strength_momentum_room_to_2r,GBPJPY,SHORT,GBP,JPY,-4.17600,1.27893,-5.45493,4,2,-1.61922,-1.38647,true,true,strength_momentum,1.6104,false,3.6482,3.6482,other,196.56200000,196.32200000,196.76100000,196.32400000,0.19900000,1.2060,28.80,0.00,0.00,28.80,0.190,1.200,0,0.19864286,38.00,6.425,DEAL_REASON_TP,87
2025.01.08 11:45:00,2025.01.08 13:32:01,currency_strength_momentum_room_to_2r,EURJPY,SHORT,EUR,JPY,-2.88605,0.98495,-3.87101,4,2,-2.10853,-0.44383,true,true,strength_momentum,0.2808,false,4.5232,4.5232,other,163.26600000,163.08300000,163.41700000,163.08500000,0.15100000,1.2119,28.90,0.00,0.00,28.90,0.250,1.200,7,0.15100000,30.00,4.817,DEAL_REASON_TP,82
