control_id,symbol,anchor_msc,pseudo_direction,decision_seconds,target_msc,quote_msc,processing_msc,status,reason,entry_bid,entry_ask,usd_pair_count,usd_factor,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,h300_quote_msc,h300_continuation,h300_reversal,h300_continuation_125x,h300_reversal_125x,h600_quote_msc,h600_continuation,h600_reversal,h600_continuation_125x,h600_reversal_125x,h900_quote_msc,h900_continuation,h900_reversal,h900_continuation_125x,h900_reversal_125x,feature_spec_sha256,schema_version
"ts15h_detection_time_continuation_r1_202503_GBPUSD_ctrl_956","GBPUSD","1743030000000","SHORT","60","1743030060000","1743030060576","1743030063084","EXCLUDED","STALE_OR_INVALID_QUOTE","1.2887300000","1.2889300000","5","0.925712516764","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1743030300060","-0.0002600000","-0.0001400000","-0.0003100000","-0.0001900000","1743030600686","-0.0004100000","0.0000100000","-0.0004600000","-0.0000400000","1743030900148","-0.0006200000","0.0002200000","-0.0006700000","0.0001700000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_GBPUSD_ctrl_956","GBPUSD","1743030000000","SHORT","120","1743030120000","1743030120062","1743030120324","EXCLUDED","FEATURE_UNAVAILABLE","1.2887600000","1.2889600000","2","0.000000000000","1.331140120662","3.006057151747","0.402560281646","0.359410491182","1.000000000000","-1.000000000000","-1.000000000000","1.000000000000","1.000000000000","0.000023276655","-0.000007758764","0.000310399953","0.000007758764","0.512820512820","0.188829787234","0.000104530192","0.000312620887","0.000810622127","0.000023276655","0.000018029957","0.000050606775","0.459951352434","","0.117187500000","0.000200000000","1.913322798274","","22.000000000000","262.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","","1743030300060","-0.0002300000","-0.0001700000","-0.0002800000","-0.0002200000","1743030600686","-0.0003800000","-0.0000200000","-0.0004300000","-0.0000700000","1743030900148","-0.0005900000","0.0001900000","-0.0006400000","0.0001400000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_AUDUSD_ctrl_961","AUDUSD","1743030000000","SHORT","60","1743030060000","1743030060351","1743030060532","EXCLUDED","FEATURE_UNAVAILABLE","0.6288600000","0.6290800000","2","0.000000000000","0.058844487176","1.144476127599","0.316253676143","0.258833433257","1.000000000000","-1.000000000000","-1.000000000000","1.000000000000","1.000000000000","-0.000119236410","-0.000158978721","0.000174905790","0.000158978721","0.139240506329","0.217017208413","0.000089459742","0.000224308384","0.000516400936","0.000119236410","0.000103875520","0.000098514767","1.210340472421","","0.453125000000","0.000220000000","2.459206721919","","48.000000000000","181.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","","1743030300326","-0.0003200000","-0.0001100000","-0.0003737500","-0.0001637500","1743030601027","-0.0004800000","0.0000500000","-0.0005337500","-0.0000037500","1743030900256","-0.0006600000","0.0002300000","-0.0007137500","0.0001762500","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_AUDUSD_ctrl_961","AUDUSD","1743030000000","SHORT","120","1743030120000","1743030120324","1743030131079","EXCLUDED","STALE_OR_INVALID_QUOTE","0.6289200000","0.6291400000","4","0.876493060715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1743030300326","-0.0002600000","-0.0001700000","-0.0003137500","-0.0002237500","1743030601027","-0.0004200000","-0.0000100000","-0.0004737500","-0.0000637500","1743030900256","-0.0006000000","0.0001700000","-0.0006537500","0.0001162500","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_EURUSD_ctrl_1017","EURUSD","1743030000000","SHORT","60","1743030060000","1743030060532","1743030063084","EXCLUDED","STALE_OR_INVALID_QUOTE","1.0750000000","1.0751800000","4","0.673948362665","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1743030300412","-0.0002900000","-0.0000700000","-0.0003350000","-0.0001150000","1743030600832","-0.0003900000","0.0000300000","-0.0004350000","-0.0000150000","1743030900428","-0.0005100000","0.0001500000","-0.0005550000","0.0001050000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_EURUSD_ctrl_1017","EURUSD","1743030000000","SHORT","120","1743030120000","1743030120324","1743030131079","EXCLUDED","STALE_OR_INVALID_QUOTE","1.0750400000","1.0752200000","3","0.772545554668","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1743030300412","-0.0002500000","-0.0001100000","-0.0002950000","-0.0001550000","1743030600832","-0.0003500000","-0.0000100000","-0.0003950000","-0.0000550000","1743030900428","-0.0004700000","0.0001100000","-0.0005150000","0.0000650000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_USDCHF_ctrl_889","USDCHF","1743030000000","LONG","60","1743030060000","1743030060655","1743030063084","EXCLUDED","STALE_OR_INVALID_QUOTE","0.8844200000","0.8846500000","6","0.462856258382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1743030301779","-0.0003300000","-0.0001400000","-0.0003887500","-0.0001987500","1743030602591","-0.0003600000","-0.0001000000","-0.0004175000","-0.0001575000","1743030905313","-0.0003900000","-0.0000800000","-0.0004487500","-0.0001387500","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_USDCHF_ctrl_889","USDCHF","1743030000000","LONG","120","1743030120000","1743030120746","1743030131079","EXCLUDED","STALE_OR_INVALID_QUOTE","0.8844200000","0.8846500000","6","0.462930146519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1743030301779","-0.0003300000","-0.0001400000","-0.0003887500","-0.0001987500","1743030602591","-0.0003600000","-0.0001000000","-0.0004175000","-0.0001575000","1743030905313","-0.0003900000","-0.0000800000","-0.0004487500","-0.0001387500","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_ctrl_655","USDJPY","1743030900000","SHORT","60","1743030960000","1743030960276","1743030962251","EXCLUDED","SHOCK_PURGE","150.5340000000","150.5500000000","4","-1.534078697618","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_ctrl_655","USDJPY","1743030900000","SHORT","120","1743031020000","1743031020167","1743031020325","EXCLUDED","SHOCK_PURGE","150.5320000000","150.5490000000","1","0.000000000000","-0.807615529638","-0.741051173924","-0.241188390820","-0.078844713217","1.000000000000","1.000000000000","1.000000000000","-1.000000000000","-1.000000000000","-0.000016606689","-0.000116241031","-0.000252391913","0.000116241031","0.365384615385","0.773104593248","0.013306191991","0.053085272429","0.113888582557","0.000016606689","0.000059392905","0.000065396538","0.253938349756","","0.078125000000","0.017000000000","1.277600684846","","15.000000000000","158.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","","","","","","","","","","","","","","","","","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_USDCAD_ctrl_906","USDCAD","1743031800000","LONG","60","1743031860000","1743031860218","1743031862377","EXCLUDED","SHOCK_PURGE","1.4283400000","1.4286100000","1","0.000000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1743032100325","-0.0003200000","-0.0002300000","-0.0003887500","-0.0002987500","1743032400132","-0.0004300000","-0.0001200000","-0.0004987500","-0.0001887500","","","","","","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_USDCAD_ctrl_906","USDCAD","1743031800000","LONG","120","1743031920000","1743031920274","1743031921056","EXCLUDED","SHOCK_PURGE","1.4283000000","1.4285700000","1","0.000000000000","2.251397250655","1.181488267733","0.843506032113","0.171319219037","-1.000000000000","1.000000000000","1.000000000000","1.000000000000","1.000000000000","-0.000031502623","0.000280066938","0.000210042850","0.000280066938","0.329670329671","0.774881516588","0.000111051790","0.000432064942","0.000946718432","0.000031502623","0.000093229007","0.000063417758","0.496747658445","","0.085937500000","0.000270000000","2.431298048021","","14.000000000000","782.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","","1743032100325","-0.0002800000","-0.0002700000","-0.0003487500","-0.0003387500","1743032400132","-0.0003900000","-0.0001600000","-0.0004587500","-0.0002287500","","","","","","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_EURUSD_ctrl_1018","EURUSD","1743031800000","SHORT","60","1743031860000","1743031862377","1743031865966","EXCLUDED","STALE_OR_INVALID_QUOTE","1.0752700000","1.0754600000","5","3.156542356316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1743032100301","-0.0002200000","-0.0001500000","-0.0002662500","-0.0001962500","1743032400160","-0.0003100000","-0.0000600000","-0.0003562500","-0.0001062500","1743032700017","-0.0002400000","-0.0001300000","-0.0002862500","-0.0001762500","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_EURUSD_ctrl_1018","EURUSD","1743031800000","SHORT","120","1743031920000","1743031921056","1743031921357","EXCLUDED","FEATURE_UNAVAILABLE","1.0752300000","1.0754100000","4","3.725124830872","-0.817232876602","0.463877742255","-0.152290809140","0.109545545991","1.000000000000","-1.000000000000","-1.000000000000","1.000000000000","1.000000000000","-0.000023248515","-0.000158079245","-0.000079042746","0.000158079245","0.103030303030","0.154761904762","0.000070174047","0.000291929687","0.000747620718","0.000023248515","0.000058441276","0.000068153482","0.341119989840","","0.367187500000","0.000180000000","2.565050857258","","13.000000000000","301.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","1.000000000000","1743032100301","-0.0002600000","-0.0001000000","-0.0003050000","-0.0001450000","1743032400160","-0.0003500000","-0.0000100000","-0.0003950000","-0.0000550000","1743032700017","-0.0002800000","-0.0000800000","-0.0003250000","-0.0001250000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_GBPUSD_ctrl_957","GBPUSD","1743031800000","SHORT","60","1743031860000","1743031862365","1743031862377","EXCLUDED","FEATURE_UNAVAILABLE","1.2888000000","1.2890000000","4","3.677195347109","-1.644100083037","-0.209557063185","-0.775180531062","-0.097842230407","1.000000000000","-1.000000000000","-1.000000000000","1.000000000000","1.000000000000","-0.000015517830","-0.000224984970","-0.000294797600","0.000224984970","0.475000000000","0.194148936170","0.000084864045","0.000283941836","0.000766775818","0.000015517830","0.000060392620","0.000053595307","0.289537105201","","0.242187500000","0.000200000000","2.356710653159","","12.000000000000","12.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","1.000000000000","1743032100965","-0.0002100000","-0.0001900000","-0.0002600000","-0.0002400000","1743032400333","-0.0002000000","-0.0002000000","-0.0002500000","-0.0002500000","1743032700122","-0.0002700000","-0.0001400000","-0.0003212500","-0.0001912500","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_GBPUSD_ctrl_957","GBPUSD","1743031800000","SHORT","120","1743031920000","1743031922414","1743031923793","EXCLUDED","STALE_OR_INVALID_QUOTE","1.2887200000","1.2889200000","6","3.725124830872","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1743032100965","-0.0002900000","-0.0001100000","-0.0003400000","-0.0001600000","1743032400333","-0.0002800000","-0.0001200000","-0.0003300000","-0.0001700000","1743032700122","-0.0003500000","-0.0000600000","-0.0004012500","-0.0001112500","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_AUDUSD_ctrl_962","AUDUSD","1743032700000","LONG","60","1743032760000","1743032760519","1743032761358","EXCLUDED","SHOCK_PURGE","0.6295000000","0.6297400000","4","-0.530218721358","1.860823773011","3.352113286235","0.553184588407","0.394009251260","1.000000000000","-1.000000000000","-1.000000000000","-1.000000000000","-1.000000000000","0.000174727981","0.000158842357","0.000460712365","0.000158842357","0.362500000000","0.341300191205","0.000087103215","0.000218844598","0.000503377744","0.000174727981","0.000192443096","0.000124398607","1.404581488634","","0.953125000000","0.000240000000","2.755351803729","","72.000000000000","839.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","1.000000000000","","","","","","","","","","","","","","","","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_AUDUSD_ctrl_962","AUDUSD","1743032700000","LONG","120","1743032820000","1743032820001","1743032820145","EXCLUDED","SHOCK_PURGE","0.6294500000","0.6296900000","1","0.000000000000","1.166251985299","2.673748779440","0.364454731709","0.322837104915","1.000000000000","-1.000000000000","-1.000000000000","-1.000000000000","-1.000000000000","-0.000055591955","0.000087365031","0.000476629287","0.000087365031","0.379746835443","0.331739961759","0.000086952985","0.000218844598","0.000503377744","0.000055591955","0.000193912272","0.000123855332","0.448845877846","","0.953125000000","0.000240000000","2.760112255329","","20.000000000000","144.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","","","","","","","","","","","","","","","","","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_ctrl_656","USDJPY","1743032700000","LONG","60","1743032760000","1743032760373","1743032761358","EXCLUDED","FEATURE_UNAVAILABLE","150.5270000000","150.5500000000","2","0.000000000000","-0.262264857939","-0.464771571146","-0.210876922077","-0.105000768382","-1.000000000000","1.000000000000","1.000000000000","1.000000000000","1.000000000000","-0.000019928457","-0.000016607075","-0.000076390261","-0.000016607075","0.131428571428","0.770890979524","0.010766192571","0.042631804614","0.103772804767","0.000019928457","0.000056738778","0.000050143748","0.397426551735","","0.070312500000","0.023000000000","2.136316980073","","41.000000000000","985.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","","1743033000279","0.0040000000","-0.0470000000","-0.0013750000","-0.0523750000","1743033300206","0.0160000000","-0.0590000000","0.0106250000","-0.0643750000","1743033600016","0.0140000000","-0.0650000000","0.0076250000","-0.0713750000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_ctrl_656","USDJPY","1743032700000","LONG","120","1743032820000","1743032820724","1743032821910","EXCLUDED","STALE_OR_INVALID_QUOTE","150.5400000000","150.5620000000","5","1.537669596509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1743033000279","-0.0080000000","-0.0340000000","-0.0132500000","-0.0392500000","1743033300206","0.0040000000","-0.0460000000","-0.0012500000","-0.0512500000","1743033600016","0.0020000000","-0.0520000000","-0.0042500000","-0.0582500000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_GBPUSD_ctrl_958","GBPUSD","1743032700000","LONG","60","1743032760000","1743032760511","1743032761358","EXCLUDED","FEATURE_UNAVAILABLE","1.2889200000","1.2891300000","3","-0.331189343115","0.230983911677","0.936870953441","0.134339063262","0.142201870166","1.000000000000","-1.000000000000","-1.000000000000","-1.000000000000","-1.000000000000","0.000050426981","0.000042668818","0.000151288572","0.000042668818","0.272727272728","0.210771276596","0.000084995353","0.000263757361","0.000736975981","0.000050426981","0.000088807421","0.000058510702","0.861842006290","","0.460937500000","0.000210000000","2.470723318526","","21.000000000000","847.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","1.000000000000","1743033000186","-0.0002800000","-0.0001300000","-0.0003312500","-0.0001812500","1743033300247","-0.0003100000","-0.0001200000","-0.0003637500","-0.0001737500","1743033600017","-0.0004100000","0.0000000000","-0.0004612500","-0.0000512500","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_GBPUSD_ctrl_958","GBPUSD","1743032700000","LONG","120","1743032820000","1743032820325","1743032820666","EXCLUDED","FEATURE_UNAVAILABLE","1.2889200000","1.2891200000","3","1.591684903921","0.155760637107","0.843607806893","-0.012916215775","0.081258660010","1.000000000000","-1.000000000000","-1.000000000000","-1.000000000000","-1.000000000000","-0.000003878908","-0.000093089645","0.000155168669","-0.000093089645","0.281690140845","0.210106382979","0.000084995685","0.000263757361","0.000736975981","0.000003878908","0.000066417797","0.000058484971","0.066323162657","","0.460937500000","0.000200000000","2.353060637364","","25.000000000000","341.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","-1.000000000000","1743033000186","-0.0002700000","-0.0001300000","-0.0003200000","-0.0001800000","1743033300247","-0.0003000000","-0.0001200000","-0.0003525000","-0.0001725000","1743033600017","-0.0004000000","0.0000000000","-0.0004500000","-0.0000500000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
