event_id,market_cluster_id,symbol,shock_direction,primary_path_class,secondary_origin_recross,secondary_valid_pullback,secondary_reacceleration,secondary_invalidation,secondary_continuation_touch,secondary_reversal_touch,secondary_two_sided,path_status,schema_version
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016211500_44","36","USDJPY","SHORT","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016313250_45","37","USDJPY","LONG","CLEAN_CONTINUATION","true","false","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016524750_46","38","USDJPY","SHORT","PULLBACK_CONTINUATION","true","true","true","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016712500_47","39","USDJPY","LONG","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741016712750_48","39","USDJPY","LONG","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016960750_49","40","USDJPY","SHORT","CLEAN_CONTINUATION","true","false","false","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741017127000_50","41","USDJPY","SHORT","CLEAN_CONTINUATION","true","false","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741017467750_51","42","USDJPY","SHORT","PULLBACK_CONTINUATION","true","true","true","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741017484500_52","43","USDJPY","SHORT","CLEAN_CONTINUATION","true","false","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741017545000_53","44","USDJPY","SHORT","CLEAN_CONTINUATION","true","false","false","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741017545250_54","44","USDJPY","SHORT","CLEAN_CONTINUATION","true","false","false","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022591750_55","45","USDJPY","LONG","PULLBACK_CONTINUATION","true","true","true","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022677000_56","46","USDJPY","LONG","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022774500_57","47","USDJPY","LONG","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022820750_58","48","USDJPY","SHORT","DEAD_OR_TIMEOUT","true","true","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022821000_59","48","USDJPY","SHORT","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022862500_60","49","USDJPY","SHORT","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022963000_61","50","USDJPY","SHORT","PULLBACK_CONTINUATION","true","true","true","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023002750_62","51","USDJPY","SHORT","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023005000_63","52","USDJPY","LONG","PULLBACK_CONTINUATION","true","true","true","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023010500_64","53","USDJPY","SHORT","CLEAN_CONTINUATION","true","false","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023015750_65","54","USDJPY","LONG","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023017250_66","54","USDJPY","SHORT","CLEAN_CONTINUATION","true","false","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023050250_67","55","USDJPY","SHORT","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023164500_68","56","USDJPY","SHORT","CLEAN_CONTINUATION","true","false","false","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023190250_69","57","USDJPY","SHORT","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023266750_70","58","USDJPY","LONG","CLEAN_CONTINUATION","true","false","false","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023267000_71","58","USDJPY","LONG","CLEAN_CONTINUATION","true","false","false","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023279500_72","59","USDJPY","LONG","CLEAN_CONTINUATION","true","false","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023283250_73","60","USDJPY","SHORT","CLEAN_CONTINUATION","true","false","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023294500_74","61","USDJPY","LONG","CLEAN_CONTINUATION","true","false","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023294750_75","61","USDJPY","LONG","PULLBACK_CONTINUATION","true","true","true","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023431500_76","62","USDJPY","SHORT","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023435750_77","63","USDJPY","SHORT","PULLBACK_CONTINUATION","false","true","true","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023436000_78","63","USDJPY","SHORT","CLEAN_CONTINUATION","true","false","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024235000_79","64","USDJPY","SHORT","CLEAN_CONTINUATION","true","false","false","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024329500_80","65","USDJPY","SHORT","CLEAN_CONTINUATION","true","false","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024399500_81","66","USDJPY","SHORT","PULLBACK_CONTINUATION","true","true","true","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741024399750_82","66","USDJPY","SHORT","PULLBACK_CONTINUATION","true","true","true","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024665750_83","67","USDJPY","SHORT","PULLBACK_CONTINUATION","true","true","true","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024838250_84","68","USDJPY","LONG","DEAD_OR_TIMEOUT","true","true","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1741024838500_85","68","USDJPY","LONG","FAILED_SHOCK_REVERSAL","false","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1741024838750_86","68","USDJPY","LONG","FAILED_SHOCK_REVERSAL","true","true","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741024879000_88","69","USDJPY","LONG","FAILED_SHOCK_REVERSAL","true","true","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024878750_87","69","USDJPY","LONG","FAILED_SHOCK_REVERSAL","true","true","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1741024879250_89","69","USDJPY","LONG","FAILED_SHOCK_REVERSAL","true","true","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1741024879500_90","69","USDJPY","LONG","FAILED_SHOCK_REVERSAL","true","true","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024981250_91","70","USDJPY","SHORT","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741025095250_92","71","USDJPY","SHORT","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741025095500_93","71","USDJPY","SHORT","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741025468250_94","72","USDJPY","SHORT","CLEAN_CONTINUATION","true","false","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741025526750_95","73","USDJPY","LONG","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741025705750_96","74","USDJPY","SHORT","CLEAN_CONTINUATION","true","false","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026009000_97","75","USDJPY","SHORT","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741026009250_98","75","USDJPY","SHORT","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026079000_99","76","USDJPY","SHORT","DEAD_OR_TIMEOUT","true","true","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1741026207250_100","77","USDJPY","LONG","CLEAN_CONTINUATION","false","false","false","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026750500_101","78","USDJPY","LONG","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1741026750750_102","78","USDJPY","LONG","DEAD_OR_TIMEOUT","false","true","false","false","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1741026751000_103","78","USDJPY","LONG","FAILED_SHOCK_REVERSAL","true","true","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026801250_104","79","USDJPY","LONG","PULLBACK_CONTINUATION","false","true","true","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026801500_105","79","USDJPY","LONG","CLEAN_CONTINUATION","true","false","false","true","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026863250_106","80","USDJPY","SHORT","DEAD_OR_TIMEOUT","true","false","false","false","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026937500_107","81","USDJPY","LONG","CLEAN_CONTINUATION","true","false","false","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741026969750_109","82","USDJPY","SHORT","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026969500_108","82","USDJPY","SHORT","FAILED_SHOCK_REVERSAL","true","false","false","true","false","true","false","VALID","tickshock-state-conditioned-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741027268250_110","83","USDJPY","SHORT","CLEAN_CONTINUATION","false","false","false","false","true","false","false","VALID","tickshock-state-conditioned-response-v1"
