left_out_hour,candidate_id,episodes,selected_episodes,probability,unconditional_probability,lift
3,SR-CLEAN-002,3152,782,0.3209718670076726,0.3293147208121827,0.9746660161928556
4,SR-CLEAN-002,3127,760,0.3171052631578947,0.3245922609529901,0.9769341457091003
5,SR-CLEAN-002,3136,772,0.327720207253886,0.328125,0.998766345916605
6,SR-CLEAN-002,3177,785,0.32229299363057323,0.3273528485993075,0.9845431161195491
7,SR-CLEAN-002,3195,792,0.3194444444444444,0.3286384976525822,0.9720238095238094
8,SR-CLEAN-002,3136,768,0.32421875,0.3294005102040816,0.9842691190706679
9,SR-CLEAN-002,3108,763,0.31716906946264745,0.3236808236808237,0.979882174840863
10,SR-CLEAN-002,3096,767,0.318122555410691,0.32945736434108525,0.965595521128921
11,SR-CLEAN-002,3095,780,0.3192307692307692,0.32730210016155087,0.9753398131976612
12,SR-CLEAN-002,3158,780,0.32564102564102565,0.3305889803673211,0.9850329108949799
13,SR-CLEAN-002,3159,774,0.32170542635658916,0.3285849952516619,0.9790630461083479
14,SR-CLEAN-002,3139,782,0.3171355498721228,0.3236699585855368,0.9798115069375919
15,SR-CLEAN-002,3114,773,0.3221216041397154,0.329800899165061,0.9767153605560602
16,SR-CLEAN-002,3100,766,0.3185378590078329,0.32645161290322583,0.9757582637591719
17,SR-CLEAN-002,3083,771,0.3216601815823606,0.32954914044761596,0.9760613580889937
18,SR-CLEAN-002,3112,772,0.31865284974093266,0.3306555269922879,0.9637003580114505
19,SR-CLEAN-002,3139,784,0.32142857142857145,0.3297228416693214,0.9748447204968945
20,SR-CLEAN-002,3143,785,0.3197452229299363,0.3289850461342666,0.9719141544185589
21,SR-CLEAN-002,3179,792,0.32323232323232326,0.3280905945265807,0.9851922872057102
22,SR-CLEAN-002,3185,792,0.3244949494949495,0.33092621664050237,0.9805658578191785
23,SR-CLEAN-002,3204,789,0.3193916349809886,0.3274032459425718,0.9755298364910271
0,SR-DEAD-001,3253,602,0.1777408637873754,0.17368582846603137,1.0233469555758092
1,SR-DEAD-001,3193,599,0.17529215358931552,0.17225180081428124,1.017650629837608
2,SR-DEAD-001,3172,604,0.17549668874172186,0.17244640605296344,1.017688293763696
3,SR-DEAD-001,3152,593,0.17200674536256325,0.17385786802030456,0.9893526667569331
4,SR-DEAD-001,3127,594,0.17676767676767677,0.17332906939558682,1.0198386074769838
5,SR-DEAD-001,3136,589,0.1799660441426146,0.17506377551020408,1.0280027585268479
6,SR-DEAD-001,3177,592,0.17398648648648649,0.17248977022348128,1.008677130597751
7,SR-DEAD-001,3195,603,0.175787728026534,0.17339593114241,1.0137938466512206
8,SR-DEAD-001,3136,573,0.16579406631762653,0.17155612244897958,0.966412996230626
9,SR-DEAD-001,3108,576,0.17881944444444445,0.17535392535392536,1.019762996941896
10,SR-DEAD-001,3096,560,0.175,0.1708656330749354,1.024196597353497
11,SR-DEAD-001,3095,575,0.17391304347826086,0.17092084006462036,1.0175063696885016
12,SR-DEAD-001,3158,593,0.16863406408094436,0.17226092463584547,0.9789455411169528
13,SR-DEAD-001,3159,591,0.18104906937394247,0.1725229503007281,1.0494202021142829
14,SR-DEAD-001,3139,587,0.18057921635434412,0.1739407454603377,1.0381651284547366
15,SR-DEAD-001,3114,583,0.17667238421955403,0.17276814386640976,1.0225981495533294
16,SR-DEAD-001,3100,593,0.17537942664418213,0.17225806451612904,1.018120267035514
17,SR-DEAD-001,3083,578,0.17301038062283736,0.1725591955887123,1.0026146681582848
18,SR-DEAD-001,3112,583,0.17667238421955403,0.17352185089974292,1.0181564068356521
19,SR-DEAD-001,3139,589,0.1765704584040747,0.17330359987257088,1.0188504943573355
20,SR-DEAD-001,3143,592,0.17736486486486486,0.1759465478841871,1.0080610673965102
21,SR-DEAD-001,3179,599,0.17529215358931552,0.1711229946524064,1.0243635225375627
22,SR-DEAD-001,3185,597,0.17420435510887772,0.17142857142857143,1.0161920714684534
23,SR-DEAD-001,3204,600,0.17833333333333334,0.17290886392009988,1.0313718411552346
0,SR-NOTRADE-001,3253,190,0.15263157894736842,0.17368582846603137,0.8787796925943177
1,SR-NOTRADE-001,3193,187,0.15508021390374332,0.17225180081428124,0.9003111327175499
2,SR-NOTRADE-001,3172,184,0.15760869565217392,0.17244640605296344,0.9139575550433193
3,SR-NOTRADE-001,3152,176,0.1534090909090909,0.17385786802030456,0.8823822163238222
4,SR-NOTRADE-001,3127,187,0.15508021390374332,0.17332906939558682,0.8947155514335893
5,SR-NOTRADE-001,3136,182,0.15384615384615385,0.17506377551020408,0.8788006165055346
6,SR-NOTRADE-001,3177,185,0.15675675675675677,0.17248977022348128,0.9087887157230223
7,SR-NOTRADE-001,3195,186,0.16129032258064516,0.17339593114241,0.9301851636194247
8,SR-NOTRADE-001,3136,180,0.15555555555555556,0.17155612244897958,0.9067327550598927
9,SR-NOTRADE-001,3108,180,0.15,0.17535392535392536,0.8554128440366973
10,SR-NOTRADE-001,3096,189,0.14814814814814814,0.1708656330749354,0.8670447385003149
11,SR-NOTRADE-001,3095,189,0.15343915343915343,0.17092084006462036,0.8977205669077124
12,SR-NOTRADE-001,3158,188,0.15425531914893617,0.17226092463584547,0.8954748122653317
13,SR-NOTRADE-001,3159,190,0.15263157894736842,0.1725229503007281,0.8847030420086914
14,SR-NOTRADE-001,3139,193,0.15544041450777202,0.1739407454603377,0.8936400387177589
15,SR-NOTRADE-001,3114,192,0.15104166666666666,0.17276814386640976,0.8742448884758364
16,SR-NOTRADE-001,3100,193,0.14507772020725387,0.17225806451612904,0.8422114843492265
17,SR-NOTRADE-001,3083,194,0.15463917525773196,0.1725591955887123,0.8961514611270445
18,SR-NOTRADE-001,3112,193,0.15544041450777202,0.17352185089974292,0.895797351755901
19,SR-NOTRADE-001,3139,193,0.15544041450777202,0.17330359987257088,0.8969254800365742
20,SR-NOTRADE-001,3143,192,0.15104166666666666,0.1759465478841871,0.8584520042194091
21,SR-NOTRADE-001,3179,190,0.15789473684210525,0.1711229946524064,0.9226973684210527
22,SR-NOTRADE-001,3185,190,0.15263157894736842,0.17142857142857143,0.8903508771929824
23,SR-NOTRADE-001,3204,185,0.13513513513513514,0.17290886392009988,0.7815396624060884
0,SR-REV-001,3253,283,0.8374558303886925,0.4263756532431602,1.964126760096912
1,SR-REV-001,3193,277,0.8339350180505415,0.4265580958346383,1.9550326818174588
2,SR-REV-001,3172,271,0.8450184501845018,0.4246532156368222,1.9899023934560058
3,SR-REV-001,3152,274,0.8357664233576643,0.4241751269035533,1.9703334079456678
4,SR-REV-001,3127,276,0.8369565217391305,0.4288455388551327,1.951650293421522
5,SR-REV-001,3136,278,0.8381294964028777,0.42538265306122447,1.9702954278256557
6,SR-REV-001,3177,282,0.8333333333333334,0.42713251495121185,1.9509948415622698
7,SR-REV-001,3195,283,0.8303886925795053,0.4253521126760563,1.9522383169915523
8,SR-REV-001,3136,275,0.8363636363636363,0.42697704081632654,1.9588023626858577
9,SR-REV-001,3108,270,0.837037037037037,0.42824967824967825,1.9545538024876867
10,SR-REV-001,3096,264,0.821969696969697,0.4266795865633075,1.9264331429357924
11,SR-REV-001,3095,275,0.8327272727272728,0.43037156704361873,1.934903084903085
12,SR-REV-001,3158,278,0.8273381294964028,0.4243191893603547,1.9498013529474925
13,SR-REV-001,3159,281,0.8291814946619217,0.4267173156062045,1.9431634581876933
14,SR-REV-001,3139,280,0.8357142857142857,0.429117553360943,1.9475182946229717
15,SR-REV-001,3114,272,0.8308823529411765,0.4258188824662813,1.95125765238222
16,SR-REV-001,3100,273,0.8315018315018315,0.42838709677419357,1.9410057813672272
17,SR-REV-001,3083,268,0.832089552238806,0.4249108011676938,1.958268770650564
18,SR-REV-001,3112,274,0.8321167883211679,0.4235218508997429,1.964755269541331
19,SR-REV-001,3139,277,0.8375451263537906,0.4246575342465753,1.9722836846395717
20,SR-REV-001,3143,272,0.8272058823529411,0.4225262488068724,1.9577621146350106
21,SR-REV-001,3179,278,0.8309352517985612,0.42623466498899026,1.9494783508986169
22,SR-REV-001,3185,282,0.8333333333333334,0.42543171114599687,1.9587945879458795
23,SR-REV-001,3204,281,0.8327402135231317,0.42602996254681647,1.9546517539400101
0,SR-WHIP-001,3253,296,0.0,0.0,
1,SR-WHIP-001,3193,293,0.0,0.0,
2,SR-WHIP-001,3172,293,0.0,0.0,
3,SR-WHIP-001,3152,281,0.0,0.0,
4,SR-WHIP-001,3127,282,0.0,0.0,
5,SR-WHIP-001,3136,292,0.0,0.0,
6,SR-WHIP-001,3177,292,0.0,0.0,
7,SR-WHIP-001,3195,294,0.0,0.0,
8,SR-WHIP-001,3136,286,0.0,0.0,
9,SR-WHIP-001,3108,287,0.0,0.0,
10,SR-WHIP-001,3096,279,0.0,0.0,
11,SR-WHIP-001,3095,280,0.0,0.0,
12,SR-WHIP-001,3158,290,0.0,0.0,
13,SR-WHIP-001,3159,292,0.0,0.0,
14,SR-WHIP-001,3139,287,0.0,0.0,
15,SR-WHIP-001,3114,279,0.0,0.0,
16,SR-WHIP-001,3100,281,0.0,0.0,
17,SR-WHIP-001,3083,273,0.0,0.0,
18,SR-WHIP-001,3112,284,0.0,0.0,
19,SR-WHIP-001,3139,282,0.0,0.0,
20,SR-WHIP-001,3143,287,0.0,0.0,
21,SR-WHIP-001,3179,287,0.0,0.0,
22,SR-WHIP-001,3185,287,0.0,0.0,
23,SR-WHIP-001,3204,293,0.0,0.0,
