event_id,market_cluster_id,symbol,strategy,direction,entry_quote_msc,mfe,mae,time_to_mfe_ms,time_to_mae_ms,barrier_05_result,barrier_05_msc,barrier_10_result,barrier_10_msc,barrier_20_result,barrier_20_msc,timeout_return,max_tolerable_cost,censored,schema_version
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845000_5,5,USDJPY,post_burst_continuation,LONG,1740999847355,0.0,0.102,0,112908,REVERSAL_FIRST,1740999848014.0,REVERSAL_FIRST,1740999848014.0,REVERSAL_FIRST,1740999848014.0,-0.099,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845000_5,5,USDJPY,failed_shock_reversal,SHORT,1740999847355,0.064,0.022,99063,5645,REVERSAL_FIRST,1740999848014.0,REVERSAL_FIRST,1740999848014.0,REVERSAL_FIRST,1740999848014.0,0.061,0.042,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000198250_7,6,USDJPY,detection_time_continuation,SHORT,1741000200600,0.004,0.033,3372,112591,REVERSAL_FIRST,1741000200828.0,REVERSAL_FIRST,1741000200828.0,REVERSAL_FIRST,1741000200828.0,-0.024,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000198250_7,6,USDJPY,post_burst_continuation,SHORT,1741000200600,0.004,0.033,3372,112591,REVERSAL_FIRST,1741000200828.0,REVERSAL_FIRST,1741000200828.0,REVERSAL_FIRST,1741000200828.0,-0.024,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000198250_7,6,USDJPY,failed_shock_reversal,LONG,1741000200600,0.0,0.041,0,3372,REVERSAL_FIRST,1741000200828.0,REVERSAL_FIRST,1741000200828.0,REVERSAL_FIRST,1741000200828.0,-0.015,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000392750_8,7,USDJPY,detection_time_continuation,LONG,1741000394980,0.0,0.037,0,30881,REVERSAL_FIRST,1741000395394.0,REVERSAL_FIRST,1741000395394.0,REVERSAL_FIRST,1741000395394.0,-0.031,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000392750_8,7,USDJPY,post_burst_continuation,LONG,1741000394980,0.0,0.037,0,30881,REVERSAL_FIRST,1741000395394.0,REVERSAL_FIRST,1741000395394.0,REVERSAL_FIRST,1741000395394.0,-0.031,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000392750_8,7,USDJPY,failed_shock_reversal,SHORT,1741000395855,0.0,0.021,0,49725,REVERSAL_FIRST,1741000396076.0,REVERSAL_FIRST,1741000396076.0,REVERSAL_FIRST,1741000396076.0,-0.01,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9,8,USDJPY,detection_time_continuation,LONG,1741001029316,0.0,0.044,0,86051,REVERSAL_FIRST,1741001029624.0,REVERSAL_FIRST,1741001029624.0,REVERSAL_FIRST,1741001029624.0,-0.03,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9,8,USDJPY,post_burst_continuation,LONG,1741001029624,0.0,0.043,0,85743,REVERSAL_FIRST,1741001030981.0,REVERSAL_FIRST,1741001030981.0,REVERSAL_FIRST,1741001030981.0,-0.029,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9,8,USDJPY,failed_shock_reversal,SHORT,1741001030981,0.008,0.019,81234,233,REVERSAL_FIRST,1741001031214.0,REVERSAL_FIRST,1741001031214.0,REVERSAL_FIRST,1741001031214.0,-0.004,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001732500_10,9,USDJPY,detection_time_continuation,LONG,1741001733162,0.022,0.023,63143,4996,REVERSAL_FIRST,1741001733398.0,REVERSAL_FIRST,1741001733398.0,REVERSAL_FIRST,1741001733398.0,-0.011,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001732500_10,9,USDJPY,post_burst_continuation,LONG,1741001735642,0.018,0.027,60663,2516,REVERSAL_FIRST,1741001735883.0,REVERSAL_FIRST,1741001735883.0,REVERSAL_FIRST,1741001735883.0,-0.015,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001732500_10,9,USDJPY,failed_shock_reversal,SHORT,1741001736563,0.0,0.059,0,59515,REVERSAL_FIRST,1741001737131.0,REVERSAL_FIRST,1741001737131.0,REVERSAL_FIRST,1741001737131.0,-0.026,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001791750_11,10,USDJPY,detection_time_continuation,LONG,1741001794665,0.0,0.048,0,56356,REVERSAL_FIRST,1741001795177.0,REVERSAL_FIRST,1741001795177.0,REVERSAL_FIRST,1741001795177.0,-0.013,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001791750_11,10,USDJPY,post_burst_continuation,LONG,1741001794665,0.0,0.048,0,56356,REVERSAL_FIRST,1741001795177.0,REVERSAL_FIRST,1741001795177.0,REVERSAL_FIRST,1741001795177.0,-0.013,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001791750_11,10,USDJPY,failed_shock_reversal,SHORT,1741001794665,0.012,0.026,74857,116254,REVERSAL_FIRST,1741001795177.0,REVERSAL_FIRST,1741001795177.0,REVERSAL_FIRST,1741001795177.0,-0.023,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002078000_12,11,USDJPY,detection_time_continuation,SHORT,1741002079796,0.0,0.029,0,31722,REVERSAL_FIRST,1741002080902.0,REVERSAL_FIRST,1741002080902.0,REVERSAL_FIRST,1741002080902.0,-0.018,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002078000_12,11,USDJPY,post_burst_continuation,SHORT,1741002079796,0.0,0.029,0,31722,REVERSAL_FIRST,1741002080902.0,REVERSAL_FIRST,1741002080902.0,REVERSAL_FIRST,1741002080902.0,-0.018,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002078000_12,11,USDJPY,failed_shock_reversal,LONG,1741002079796,0.0,0.025,0,53116,REVERSAL_FIRST,1741002080902.0,REVERSAL_FIRST,1741002080902.0,REVERSAL_FIRST,1741002080902.0,-0.017,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002364750_13,12,USDJPY,detection_time_continuation,LONG,1741002365460,0.0,0.045,0,81426,REVERSAL_FIRST,1741002365691.0,REVERSAL_FIRST,1741002365691.0,REVERSAL_FIRST,1741002365691.0,-0.026,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002364750_13,12,USDJPY,post_burst_continuation,LONG,1741002367995,0.0,0.045,0,78891,REVERSAL_FIRST,1741002368238.0,REVERSAL_FIRST,1741002368238.0,REVERSAL_FIRST,1741002368238.0,-0.026,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002364750_13,12,USDJPY,failed_shock_reversal,SHORT,1741002367995,0.011,0.025,78891,13754,REVERSAL_FIRST,1741002368238.0,REVERSAL_FIRST,1741002368238.0,REVERSAL_FIRST,1741002368238.0,-0.007,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741002365000_14,12,USDJPY,detection_time_continuation,LONG,1741002365460,0.0,0.045,0,81426,REVERSAL_FIRST,1741002365691.0,REVERSAL_FIRST,1741002365691.0,REVERSAL_FIRST,1741002365691.0,-0.026,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741002365000_14,12,USDJPY,post_burst_continuation,LONG,1741002367995,0.0,0.045,0,78891,REVERSAL_FIRST,1741002368238.0,REVERSAL_FIRST,1741002368238.0,REVERSAL_FIRST,1741002368238.0,-0.026,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741002365000_14,12,USDJPY,failed_shock_reversal,SHORT,1741002367995,0.011,0.025,78891,13754,REVERSAL_FIRST,1741002368238.0,REVERSAL_FIRST,1741002368238.0,REVERSAL_FIRST,1741002368238.0,-0.007,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614250_15,13,USDJPY,detection_time_continuation,SHORT,1741013614519,0.016,0.024,119604,1828,REVERSAL_FIRST,1741013614737.0,REVERSAL_FIRST,1741013614737.0,REVERSAL_FIRST,1741013614737.0,0.015,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614250_15,13,USDJPY,post_burst_continuation,SHORT,1741013616583,0.019,0.021,117540,5416,REVERSAL_FIRST,1741013617582.0,REVERSAL_FIRST,1741013617582.0,REVERSAL_FIRST,1741013617582.0,0.018,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614250_15,13,USDJPY,pullback_continuation,SHORT,1741013625801,0.014,0.019,108322,237,REVERSAL_FIRST,1741013626038.0,REVERSAL_FIRST,1741013626038.0,REVERSAL_FIRST,1741013626038.0,0.013,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614500_16,13,USDJPY,detection_time_continuation,SHORT,1741013614737,0.015,0.025,119386,1610,REVERSAL_FIRST,1741013615702.0,REVERSAL_FIRST,1741013615702.0,REVERSAL_FIRST,1741013615702.0,0.007,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614500_16,13,USDJPY,post_burst_continuation,SHORT,1741013616583,0.019,0.021,117540,5416,REVERSAL_FIRST,1741013617582.0,REVERSAL_FIRST,1741013617582.0,REVERSAL_FIRST,1741013617582.0,0.011,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614500_16,13,USDJPY,failed_shock_reversal,LONG,1741013616583,0.0,0.054,0,117540,REVERSAL_FIRST,1741013617582.0,REVERSAL_FIRST,1741013617582.0,REVERSAL_FIRST,1741013617582.0,-0.048,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614750_17,13,USDJPY,detection_time_continuation,SHORT,1741013616583,0.019,0.021,117540,5416,REVERSAL_FIRST,1741013617582.0,REVERSAL_FIRST,1741013617582.0,REVERSAL_FIRST,1741013617582.0,0.009,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614750_17,13,USDJPY,post_burst_continuation,SHORT,1741013616583,0.019,0.021,117540,5416,REVERSAL_FIRST,1741013617582.0,REVERSAL_FIRST,1741013617582.0,REVERSAL_FIRST,1741013617582.0,0.009,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614750_17,13,USDJPY,failed_shock_reversal,LONG,1741013616583,0.0,0.054,0,117540,REVERSAL_FIRST,1741013617582.0,REVERSAL_FIRST,1741013617582.0,REVERSAL_FIRST,1741013617582.0,-0.046,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013930500_18,14,USDJPY,detection_time_continuation,SHORT,1741013931050,0.061,0.02,89952,448,REVERSAL_FIRST,1741013931288.0,REVERSAL_FIRST,1741013931288.0,REVERSAL_FIRST,1741013931288.0,0.05,0.041,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013930500_18,14,USDJPY,post_burst_continuation,SHORT,1741013931979,0.06,0.02,89023,258,REVERSAL_FIRST,1741013932237.0,REVERSAL_FIRST,1741013932237.0,REVERSAL_FIRST,1741013932237.0,0.049,0.04,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013930500_18,14,USDJPY,failed_shock_reversal,LONG,1741013931979,0.0,0.096,0,89023,REVERSAL_FIRST,1741013932237.0,REVERSAL_FIRST,1741013932237.0,REVERSAL_FIRST,1741013932237.0,-0.084,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013937500_19,15,USDJPY,detection_time_continuation,SHORT,1741013939181,0.034,0.024,81821,11141,REVERSAL_FIRST,1741013939415.0,REVERSAL_FIRST,1741013939415.0,REVERSAL_FIRST,1741013939415.0,0.005,0.01,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013937500_19,15,USDJPY,post_burst_continuation,SHORT,1741013940169,0.031,0.027,80833,10153,REVERSAL_FIRST,1741013940376.0,REVERSAL_FIRST,1741013940376.0,REVERSAL_FIRST,1741013940376.0,0.002,0.004,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013937500_19,15,USDJPY,failed_shock_reversal,LONG,1741013941734,0.0,0.07,0,79268,REVERSAL_FIRST,1741013942247.0,REVERSAL_FIRST,1741013942247.0,REVERSAL_FIRST,1741013942247.0,-0.041,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014178500_20,16,USDJPY,detection_time_continuation,SHORT,1741014179026,0.0,0.084,0,98396,REVERSAL_FIRST,1741014179473.0,REVERSAL_FIRST,1741014179473.0,REVERSAL_FIRST,1741014179473.0,-0.06,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014178500_20,16,USDJPY,post_burst_continuation,SHORT,1741014179473,0.0,0.083,0,97949,REVERSAL_FIRST,1741014179913.0,REVERSAL_FIRST,1741014179913.0,REVERSAL_FIRST,1741014179913.0,-0.059,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014178500_20,16,USDJPY,failed_shock_reversal,LONG,1741014179913,0.047,0.024,97509,1110,REVERSAL_FIRST,1741014180120.0,REVERSAL_FIRST,1741014180120.0,REVERSAL_FIRST,1741014180120.0,0.023,0.023,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014453500_21,17,USDJPY,detection_time_continuation,SHORT,1741014454308,0.0,0.073,0,70192,REVERSAL_FIRST,1741014454528.0,REVERSAL_FIRST,1741014454528.0,REVERSAL_FIRST,1741014454528.0,-0.071,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014453500_21,17,USDJPY,post_burst_continuation,SHORT,1741014454308,0.0,0.073,0,70192,REVERSAL_FIRST,1741014454528.0,REVERSAL_FIRST,1741014454528.0,REVERSAL_FIRST,1741014454528.0,-0.071,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014453500_21,17,USDJPY,failed_shock_reversal,LONG,1741014456559,0.031,0.022,67941,2052,REVERSAL_FIRST,1741014457118.0,REVERSAL_FIRST,1741014457118.0,REVERSAL_FIRST,1741014457118.0,0.027,0.009,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014606000_22,18,USDJPY,detection_time_continuation,SHORT,1741014606591,0.055,0.017,59204,101078,REVERSAL_FIRST,1741014606803.0,REVERSAL_FIRST,1741014606803.0,REVERSAL_FIRST,1741014606803.0,0.009,0.038,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014606000_22,18,USDJPY,post_burst_continuation,SHORT,1741014607245,0.05,0.022,58550,100424,REVERSAL_FIRST,1741014607482.0,REVERSAL_FIRST,1741014607482.0,REVERSAL_FIRST,1741014607482.0,0.004,0.028,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014714500_24,19,USDJPY,detection_time_continuation,SHORT,1741014715014,0.027,0.03,66318,7130,REVERSAL_FIRST,1741014715219.0,REVERSAL_FIRST,1741014715219.0,REVERSAL_FIRST,1741014715219.0,0.018,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014714500_24,19,USDJPY,post_burst_continuation,SHORT,1741014715014,0.027,0.03,66318,7130,REVERSAL_FIRST,1741014715219.0,REVERSAL_FIRST,1741014715219.0,REVERSAL_FIRST,1741014715219.0,0.018,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014714500_24,19,USDJPY,failed_shock_reversal,LONG,1741014717041,0.0,0.058,0,64291,REVERSAL_FIRST,1741014717658.0,REVERSAL_FIRST,1741014717658.0,REVERSAL_FIRST,1741014717658.0,-0.05,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014714250_23,19,USDJPY,detection_time_continuation,SHORT,1741014714803,0.027,0.03,66529,7341,REVERSAL_FIRST,1741014715014.0,REVERSAL_FIRST,1741014715014.0,REVERSAL_FIRST,1741014715014.0,0.018,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014714250_23,19,USDJPY,post_burst_continuation,SHORT,1741014715014,0.027,0.03,66318,7130,REVERSAL_FIRST,1741014715219.0,REVERSAL_FIRST,1741014715219.0,REVERSAL_FIRST,1741014715219.0,0.018,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014714250_23,19,USDJPY,pullback_continuation,SHORT,1741014717041,0.024,0.033,64291,5103,REVERSAL_FIRST,1741014717658.0,REVERSAL_FIRST,1741014717658.0,REVERSAL_FIRST,1741014717658.0,0.015,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014782000_25,20,USDJPY,detection_time_continuation,SHORT,1741014783118,0.0,0.054,0,63749,REVERSAL_FIRST,1741014783379.0,REVERSAL_FIRST,1741014783379.0,REVERSAL_FIRST,1741014783379.0,-0.041,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014782000_25,20,USDJPY,post_burst_continuation,SHORT,1741014783118,0.0,0.054,0,63749,REVERSAL_FIRST,1741014783379.0,REVERSAL_FIRST,1741014783379.0,REVERSAL_FIRST,1741014783379.0,-0.041,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014782000_25,20,USDJPY,failed_shock_reversal,LONG,1741014783589,0.022,0.018,109134,3824,REVERSAL_FIRST,1741014783852.0,REVERSAL_FIRST,1741014783852.0,REVERSAL_FIRST,1741014783852.0,0.007,0.004,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014791750_26,21,USDJPY,detection_time_continuation,LONG,1741014793203,0.005,0.03,99520,31488,REVERSAL_FIRST,1741014793463.0,REVERSAL_FIRST,1741014793463.0,REVERSAL_FIRST,1741014793463.0,-0.009,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014791750_26,21,USDJPY,post_burst_continuation,LONG,1741014793463,0.009,0.026,99260,31228,REVERSAL_FIRST,1741014793715.0,REVERSAL_FIRST,1741014793715.0,REVERSAL_FIRST,1741014793715.0,-0.005,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014791750_26,21,USDJPY,failed_shock_reversal,SHORT,1741014793715,0.0,0.044,0,53152,REVERSAL_FIRST,1741014793997.0,REVERSAL_FIRST,1741014793997.0,REVERSAL_FIRST,1741014793997.0,-0.032,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014870250_27,22,USDJPY,detection_time_continuation,SHORT,1741014870538,0.0,0.073,0,94369,REVERSAL_FIRST,1741014871053.0,REVERSAL_FIRST,1741014871053.0,REVERSAL_FIRST,1741014871053.0,-0.057,0.0,False,tickshock-state-conditioned-response-v1
